word type,number
everything,53842
adult,2
hate,18
function,29943
normal,number
the,4508
and,1827
of,1516
a,1336
in,1177
to,1128
it,938
was,834
he,806
that,645
his,612
with,572
had,518
as,433
on,412
is,387
for,386
they,374
her,369
at,355
one,328
she,303
him,299
there,283
but,264
i,259
out,254
up,245
not,237
when,230
from,228
all,228
were,228
by,213
their,199
street,189
them,187
be,178
little,172
an,160
which,151
no,149
who,148
said,147
upon,141
old,139
are,129
been,128
over,128
so,127
came,125
its,119
have,117
down,112
if,108
into,106
fire,105
has,105
or,104
day,103
where,103
two,100
christmas,99
you,97
man,97
come,94
only,94
back,94
then,92
what,85
this,84
door,84
more,82
went,82
would,79
made,78
other,78
way,78
about,77
through,77
could,76
than,74
now,72
once,71
will,71
me,70
time,70
last,68
long,67
men,67
before,67
house,66
just,65
did,65
window,65
after,65
my,64
good,64
tenement,61
woman,60
children,59
off,59
know,59
face,59
night,59
never,58
away,58
life,57
even,57
took,55
hand,55
while,55
like,54
baby,53
police,53
go,53
some,53
mother,53
three,52
room,52
many,51
yet,51
found,51
saw,51
any,50
very,49
heard,49
thought,48
home,48
child,48
story,47
every,47
against,46
right,46
left,46
got,46
years,45
do,45
stood,45
much,44
fell,44
under,44
first,44
whole,44
dead,44
see,44
something,43
get,43
great,43
morning,43
new,42
nothing,42
can,42
eyes,42
end,42
again,42
alley,41
head,41
himself,41
half,40
hands,40
ever,40
big,40
next,40
work,40
might,40
until,39
here,39
policeman,39
look,39
floor,39
without,39
since,38
girl,38
such,38
another,38
brought,38
sergeant,38
name,37
told,37
wife,37
enough,37
we,36
own,36
young,36
gone,36
how,35
these,35
days,35
let,35
within,35
put,35
too,35
father,34
gave,34
rest,34
across,34
sat,34
firemen,34
well,33
set,33
each,32
make,32
corner,32
take,32
hard,32
looked,31
knew,31
find,31
being,31
bed,31
behind,30
called,30
together,30
don't,30
dollar,30
city,29
place,29
around,29
ran,29
ladder,29
stairs,28
held,28
between,28
didn't,28
turned,28
island,28
chief,28
poor,27
lost,27
though,27
looking,27
five,27
four,27
crowd,27
school,27
toward,27
may,27
passed,27
rose,27
done,26
far,26
burning,26
mrs,26
fireman,26
death,25
things,25
seen,25
give,25
women,25
santa,25
among,25
block,25
six,25
mr,25
tried,25
paolo,25
kept,24
should,24
wall,24
tree,24
sight,24
run,24
side,24
smoke,24
strange,24
water,24
reached,24
thing,24
burned,24
station,24
tenements,23
boy,23
red,23
those,23
keep,23
bowery,23
effort,23
dark,23
carried,23
feet,23
liza,23
building,23
mulberry,22
york,22
twenty,22
few,22
green,22
because,22
hall,22
kind,22
laid,22
full,22
help,22
babies,22
white,22
roof,22
body,22
comes,21
almost,21
world,21
along,21
say,21
step,21
people,21
till,21
lay,21
joe,21
spoke,21
hospital,20
asked,20
perhaps,20
coming,20
small,20
going,20
heart,20
light,20
claus,20
says,20
still,20
caught,20
died,20
sent,20
number,20
lives,19
john,19
fight,19
holiday,19
voice,19
whom,19
think,19
most,19
open,19
friend,19
bad,19
none,19
nigger,18
why,18
better,18
year,18
forgotten,18
week,18
east,18
mind,18
yard,18
cold,18
air,18
luck,18
sleep,18
must,18
always,18
real,18
alone,18
jake,18
suddenly,17
our,17
below,17
past,17
tell,17
black,17
wagon,17
it's,17
family,17
am,17
shall,17
does,17
same,17
herself,17
ten,17
train,17
horse,17
safe,17
hung,17
paolo's,16
nearly,16
snow,16
cross,16
above,16
store,16
arms,16
waiting,16
having,16
hope,16
ward,16
less,16
money,16
seven,16
sometimes,16
moment,16
heavy,16
oh,16
reach,16
top,16
soon,16
slept,16
want,16
fires,16
mike,16
fast,15
turn,15
business,15
filled,15
broken,15
coat,15
gray,15
living,15
dozen,15
dollars,15
stand,15
front,15
hundred,15
hook,15
company,15
headquarters,15
ain't,15
martha,15
george,15
carmen,15
children's,14
court,14
known,14
rear,14
beer,14
short,14
strong,14
slum,14
hear,14
knows,14
kitchen,14
general,14
both,14
lived,14
hold,14
paper,14
stopped,14
worked,14
jim,14
hours,14
grew,14
department,14
maggie,14
thomas,14
goats,13
themselves,13
office,13
given,13
square,13
second,13
getting,13
candles,13
spirit,13
lad,13
steps,13
words,13
show,13
clothes,13
table,13
third,13
husband,13
watch,13
lamp,13
whose,13
near,13
beat,13
thus,13
chance,13
streets,13
neither,13
flat,13
village,13
sick,13
months,13
indeed,13
teacher,13
sheep,13
car,13
save,13
word,13
nor,13
met,13
arm,13
part,13
professor,13
taken,12
boys,12
toys,12
girls,12
straight,12
attic,12
sit,12
sea,12
sudden,12
land,12
shut,12
iron,12
board,12
cellar,12
steady,12
locked,12
added,12
escape,12
matter,12
thirty,12
dinner,12
drove,12
friends,12
followed,12
hair,12
hose,12
