word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,27.7%,a,9.39%,and,3.76%
and,the,10.23%,a,2.7%,he,2.04%
the,old,1.36%,street,1.28%,door,1.25%
this,is,6.02%,one,6.02%,to,4.82%
was,a,9.4%,the,7.35%,not,5.06%
from,the,45.98%,a,5.8%,his,3.57%
made,a,14.29%,out,6.49%,to,6.49%
out,of,31.1%,in,7.48%,the,7.09%
of,the,30.9%,a,5.75%,his,3.55%
christmas,tree,11.22%,eve,7.14%,in,6.12%
in,the,41.67%,a,6.73%,his,5.44%
street,and,7.98%,the,6.91%,tenement,4.26%
tenement,was,9.84%,where,4.92%,and,4.92%
life,in,8.77%,and,8.77%,that,8.77%
other,day,7.69%,half,3.85%,in,3.85%
children,of,8.62%,in,6.9%,on,5.17%
a,little,2.19%,good,1.36%,man,1.13%
little,dollar,9.15%,girl,6.71%,ones,4.88%
he,had,12.41%,was,10.55%,said,5.09%
his,wife,3.6%,hand,2.78%,head,2.78%
took,the,23.64%,a,14.55%,her,9.09%
fire,in,12.5%,and,5.77%,escape,4.81%
on,the,48.05%,a,5.85%,his,4.88%
last,christmas,5.88%,fight,4.41%,he,4.41%
when,the,19.82%,he,18.5%,i,8.81%
to,the,20.46%,be,6.43%,him,2.06%
it,was,20.96%,is,9.73%,and,3.74%
who,had,18.92%,is,4.05%,are,4.05%
i,had,6.59%,am,6.2%,don't,4.26%
have,been,15.38%,a,6.84%,to,5.13%
been,a,7.81%,the,3.12%,heard,2.34%
many,a,9.8%,of,7.84%,times,5.88%
upon,the,44.29%,his,11.43%,it,5.0%
what,he,14.12%,was,8.24%,it,7.06%
that,the,7.81%,was,7.66%,he,6.09%
they,were,16.04%,had,9.36%,are,6.95%
are,not,5.43%,in,3.1%,the,3.1%
police,station,13.21%,headquarters,13.21%,office,5.66%
at,the,38.15%,a,5.49%,once,4.91%
which,the,16.67%,he,15.33%,i,5.33%
for,the,28.39%,a,7.81%,him,4.17%
my,wife,6.25%,mind,4.69%,god,3.12%
as,he,17.02%,the,9.79%,a,7.69%
has,been,20.0%,not,8.57%,come,4.76%
their,own,4.02%,heads,3.02%,christmas,2.51%
is,a,10.13%,the,8.83%,not,5.19%
yet,to,5.88%,in,5.88%,but,5.88%
more,than,18.29%,and,6.1%,the,3.66%
all,the,18.5%,right,7.05%,but,3.52%
come,to,19.35%,in,9.68%,out,7.53%
only,one,12.9%,the,12.9%,to,10.75%
into,the,46.15%,a,12.5%,her,3.85%
with,the,20.14%,a,18.02%,his,6.18%
found,him,13.73%,out,11.76%,them,9.8%
them,the,5.91%,and,4.3%,at,3.76%
just,as,21.88%,like,6.25%,now,6.25%
one,of,18.71%,and,2.45%,in,2.45%
way,of,11.54%,to,10.26%,he,6.41%
up,the,12.4%,in,8.68%,and,6.2%
there,was,25.09%,is,13.26%,were,8.6%
no,one,12.69%,more,4.48%,other,4.48%
me,that,5.88%,once,4.41%,in,4.41%
came,to,12.2%,in,8.94%,back,8.94%
but,the,11.92%,it,6.15%,he,5.77%
did,not,35.94%,the,9.38%,it,6.25%
over,the,32.81%,her,6.25%,to,5.47%
had,been,11.99%,come,6.58%,gone,2.9%
long,and,8.96%,since,5.97%,ago,4.48%
not,a,6.75%,for,4.22%,been,3.38%
about,the,14.29%,his,10.39%,a,7.79%
house,and,7.58%,to,7.58%,was,6.06%
door,of,13.1%,and,9.52%,the,5.95%
once,more,14.08%,the,8.45%,to,7.04%
now,and,11.27%,he,7.04%,the,5.63%
through,the,50.65%,a,5.19%,which,3.9%
were,the,5.29%,not,3.08%,of,2.64%
its,journey,2.52%,own,2.52%,place,2.52%
back,to,14.89%,and,7.45%,the,6.38%
would,have,17.72%,be,17.72%,not,7.59%
be,the,3.37%,a,2.81%,done,2.81%
so,much,8.8%,many,7.2%,it,5.6%
go,to,18.87%,she,5.66%,down,3.77%
then,he,14.29%,the,12.09%,i,5.49%
even,the,17.86%,then,7.14%,a,7.14%
never,had,6.9%,heard,5.17%,have,3.45%
day,and,11.76%,a,7.84%,when,6.86%
some,one,18.87%,day,13.21%,of,5.66%
said,the,23.29%,and,6.16%,it,4.79%
you,know,10.42%,do,4.17%,can,4.17%
old,man,10.95%,woman,6.57%,and,4.38%
good,as,7.81%,will,6.25%,deal,6.25%
will,be,12.86%,you,8.57%,come,5.71%
an,old,8.92%,effort,3.82%,end,3.82%
men,and,19.4%,who,4.48%,were,4.48%
down,the,19.64%,to,8.93%,in,8.93%
two,weeks,5.0%,of,5.0%,and,3.0%
window,and,10.77%,sill,9.23%,of,7.69%
