word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,4.72%,in,2.36%,sat,1.89%
and,it,1.95%,him,1.34%,street,0.84%
the,in,10.78%,of,10.31%,to,5.11%
at,was,3.13%,it,2.85%,look,2.56%
was,it,24.14%,he,10.47%,there,8.62%
from,came,2.65%,and,2.21%,it,1.77%
made,and,16.88%,was,10.39%,had,7.79%
out,went,5.56%,him,3.17%,come,2.78%
of,out,5.25%,one,4.05%,end,1.66%
street,the,34.55%,mulberry,12.73%,pell,6.67%
christmas,merry,10.1%,of,9.09%,a,7.07%
in,and,1.97%,it,1.88%,up,1.8%
tenement,the,50.82%,street,13.11%,a,6.56%
life,his,12.28%,the,10.53%,of,5.26%
a,with,7.7%,of,6.5%,in,5.89%
other,the,48.72%,each,14.1%,no,7.69%
children,the,37.29%,and,10.17%,lost,3.39%
little,the,30.41%,a,16.96%,her,3.51%
baby,the,46.15%,a,13.46%,and,7.69%
his,in,10.33%,of,8.69%,with,5.74%
took,he,16.67%,and,14.81%,they,7.41%
on,was,2.45%,policeman,1.47%,went,1.47%
last,the,44.12%,at,20.59%,his,5.88%
came,he,12.4%,it,10.74%,they,5.79%
to,it,2.06%,him,2.06%,was,1.79%
it,of,4.39%,that,4.07%,and,2.78%
who,man,5.04%,one,4.32%,those,2.88%
fire,the,46.08%,of,8.82%,a,7.84%
i,when,7.84%,and,5.1%,that,3.92%
have,would,11.97%,they,10.26%,to,9.4%
been,had,48.44%,has,16.41%,have,14.06%
many,so,17.65%,as,13.73%,the,11.76%
upon,fell,7.09%,came,4.96%,and,2.84%
what,and,8.24%,see,7.06%,for,4.71%
that,and,2.49%,of,2.02%,it,1.25%
they,as,7.8%,that,5.91%,when,5.38%
are,they,20.16%,there,10.85%,who,4.65%
police,the,71.7%,of,7.55%,to,3.77%
which,in,13.42%,of,10.07%,at,4.03%
for,not,2.61%,up,2.09%,it,1.83%
my,of,9.68%,in,6.45%,at,4.84%
