word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,29.07%,a,8.7%,his,3.33%
and,the,10.14%,a,2.69%,he,2.01%
the,street,1.23%,door,1.23%,old,1.19%
this,is,5.93%,one,5.08%,was,4.66%
was,a,9.17%,the,7.84%,not,4.86%
from,the,46.66%,a,5.22%,his,3.75%
of,the,30.92%,a,5.85%,his,3.37%
have,been,15.32%,a,6.36%,to,4.91%
been,a,6.59%,the,3.29%,on,2.1%
all,the,18.1%,right,6.21%,in,2.93%
other,day,6.81%,in,3.66%,half,2.62%
are,not,6.31%,in,3.47%,you,2.52%
as,he,16.08%,the,9.97%,a,7.55%
in,the,40.14%,a,7.41%,his,5.24%
has,been,19.12%,not,7.57%,come,4.78%
two,weeks,4.25%,of,4.25%,little,3.47%
thought,of,28.81%,with,5.93%,that,5.08%
children,of,8.78%,in,7.43%,were,5.41%
with,the,20.76%,a,17.95%,his,5.55%
new,york,54.92%,and,3.28%,england,3.28%
up,the,12.82%,in,8.81%,and,7.37%
i,had,7.13%,am,5.71%,was,4.42%
a,little,2.58%,man,1.35%,good,1.2%
great,city,5.31%,joy,4.42%,blizzard,3.54%
many,a,13.33%,of,6.67%,as,5.0%
last,christmas,4.4%,fight,3.85%,of,3.3%
years,ago,11.4%,of,7.89%,before,6.14%
if,he,13.4%,they,12.71%,the,8.93%
would,have,21.63%,be,15.38%,not,7.69%
not,a,6.32%,been,3.54%,the,3.39%
an,old,8.4%,effort,3.31%,end,3.05%
had,been,11.36%,come,6.25%,a,2.95%
much,as,18.85%,of,10.66%,the,4.1%
that,was,8.08%,the,7.61%,he,6.19%
it,was,21.74%,is,9.31%,and,3.76%
when,the,21.68%,he,17.67%,they,8.01%
said,the,21.01%,and,5.05%,that,3.99%
yet,in,6.35%,but,5.56%,to,5.56%
is,a,9.19%,the,8.32%,not,5.84%
could,not,17.16%,be,9.8%,have,6.37%
there,was,25.81%,is,12.2%,were,9.12%
some,one,16.55%,day,10.07%,of,9.35%
one,of,19.22%,another,2.53%,in,2.53%
can,be,16.83%,i,4.95%,take,3.96%
home,the,14.48%,and,11.72%,in,7.59%
more,than,20.91%,and,4.55%,or,3.18%
than,the,15.94%,a,15.46%,one,6.76%
them,the,4.99%,and,4.79%,on,3.79%
but,the,12.44%,it,6.3%,he,5.4%
never,had,6.37%,heard,5.1%,sleeps,3.18%
even,the,16.67%,a,6.67%,if,6.0%
story,of,34.91%,window,5.66%,while,3.77%
to,the,20.49%,be,6.11%,him,1.92%
come,to,16.67%,in,10.57%,out,5.69%
me,that,4.74%,in,4.21%,to,3.68%
before,the,19.77%,he,13.95%,him,4.65%
came,to,13.33%,in,10.0%,back,7.0%
my,wife,4.44%,mind,3.89%,name,2.78%
work,and,17.14%,of,8.57%,was,7.62%
police,headquarters,15.75%,station,11.81%,office,4.72%
for,the,26.56%,a,8.98%,him,4.3%
were,the,5.09%,not,3.5%,all,2.7%
they,were,16.75%,had,9.87%,are,6.27%
under,the,51.11%,his,8.15%,which,5.19%
out,of,29.32%,the,8.02%,in,7.56%
street,and,9.33%,the,6.44%,tenement,4.67%
just,as,21.82%,now,5.45%,then,4.85%
life,and,9.42%,that,8.7%,of,7.97%
which,the,17.91%,he,13.18%,was,5.97%
after,the,14.04%,a,13.45%,him,9.36%
be,a,3.88%,the,3.65%,found,2.97%
its,own,2.43%,way,2.13%,place,2.13%
his,wife,3.13%,head,2.94%,hand,2.28%
on,the,49.04%,his,5.28%,a,5.1%
