word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.91%,in,2.23%,stood,1.86%
the,in,10.49%,of,10.33%,to,5.14%
at,was,3.24%,it,2.79%,look,2.23%
was,it,24.33%,he,9.62%,there,8.59%
from,came,2.09%,it,1.93%,him,1.61%
of,out,4.78%,one,3.82%,end,1.48%
have,would,13.04%,to,9.57%,they,8.99%
been,had,47.31%,have,15.87%,has,14.37%
all,of,8.12%,was,7.43%,it,7.08%
other,the,50.26%,each,13.09%,no,6.28%
are,they,19.24%,there,11.04%,who,4.42%
as,just,3.2%,it,2.67%,much,2.05%
in,it,1.86%,and,1.76%,up,1.76%
has,it,12.0%,he,7.6%,she,5.2%
two,the,28.08%,and,6.92%,with,3.85%
thought,he,30.77%,the,6.84%,i,5.98%
this,in,11.86%,of,7.2%,at,3.39%
children,the,41.89%,and,8.78%,of,4.73%
a,with,7.88%,of,6.62%,in,6.57%
an,with,9.77%,was,7.02%,in,6.27%
with,and,2.48%,it,2.15%,up,2.02%
up,it,3.81%,locked,2.7%,went,2.38%
and,it,1.95%,him,1.23%,up,0.99%
i,and,6.46%,when,5.74%,that,4.59%
great,the,35.4%,a,30.09%,of,7.08%
many,so,15.83%,as,15.0%,the,11.67%
last,the,45.9%,at,20.77%,a,4.92%
years,three,10.71%,thirty,8.04%,twenty,6.25%
if,as,24.57%,and,3.81%,even,3.11%
would,he,17.79%,it,12.5%,they,6.73%
not,was,16.38%,did,10.05%,is,8.35%
had,he,18.59%,they,6.97%,she,6.75%
much,so,23.14%,as,17.36%,with,6.61%
that,and,2.42%,of,2.06%,it,1.41%
it,of,4.64%,that,4.01%,and,2.68%
when,and,3.9%,it,2.6%,day,2.6%
said,he,28.42%,she,12.87%,and,3.75%
yet,was,9.52%,not,8.73%,as,6.35%
is,it,24.59%,there,9.59%,that,6.5%
could,he,17.48%,they,12.62%,she,7.77%
there,and,6.91%,was,4.23%,that,2.82%
some,of,13.77%,for,5.8%,that,4.35%
one,the,7.71%,no,5.31%,in,3.79%
home,at,15.97%,of,6.94%,his,6.25%
more,once,11.82%,no,7.73%,and,6.36%
than,more,22.12%,less,4.33%,better,3.37%
them,of,16.97%,with,5.19%,to,4.59%
but,it,2.7%,all,2.55%,him,1.95%
never,had,13.73%,and,5.88%,was,5.23%
even,not,11.26%,but,4.64%,and,3.31%
story,the,35.58%,old,7.69%,fifth,7.69%
to,him,1.99%,it,1.72%,was,1.48%
come,had,36.25%,to,6.25%,has,5.0%
me,to,23.44%,promise,4.17%,let,3.65%
before,up,4.02%,years,4.02%,it,3.45%
came,it,10.85%,he,10.51%,they,5.76%
my,of,12.99%,in,8.47%,is,5.08%
work,to,12.38%,the,9.52%,his,7.62%
police,the,68.5%,of,7.87%,to,3.94%
for,not,1.95%,up,1.85%,it,1.56%
were,they,26.0%,there,10.37%,that,4.47%
they,as,7.85%,that,5.79%,when,4.55%
under,from,6.67%,it,2.96%,away,2.22%
out,went,5.41%,him,2.47%,came,2.32%
street,the,37.37%,mulberry,11.6%,pell,5.67%
just,was,11.38%,had,5.99%,i,4.19%
life,the,11.51%,his,11.51%,of,6.47%
which,in,13.4%,of,9.93%,upon,3.47%
after,one,4.73%,long,2.96%,in,2.96%
be,to,41.42%,would,7.32%,must,5.49%
its,of,11.52%,in,11.21%,with,4.85%
baby,the,47.06%,a,12.5%,and,5.88%
his,in,10.6%,of,8.7%,with,5.56%
alley,the,47.12%,cat,13.46%,bottle,10.58%
on,was,1.92%,up,1.83%,them,1.74%
little,the,25.11%,a,20.36%,of,3.17%
christmas,merry,8.87%,of,8.06%,a,6.85%
took,he,18.57%,and,14.29%,they,6.43%
saw,he,20.66%,and,12.4%,i,9.92%
new,in,29.77%,of,11.45%,the,10.69%
who,man,5.1%,those,4.53%,one,4.53%
fire,the,46.12%,of,8.22%,a,7.76%
went,he,21.56%,and,16.51%,they,7.34%
way,the,34.95%,his,11.65%,that,6.31%
he,as,9.06%,that,5.31%,when,4.91%
or,once,3.24%,more,2.52%,two,2.16%
fell,and,17.76%,she,6.54%,silence,5.61%
no,was,7.75%,is,6.72%,and,5.94%
about,all,4.52%,something,3.52%,cast,2.51%
man,the,25.5%,a,18.73%,old,11.16%
him,to,7.78%,for,6.0%,with,3.96%
big,the,33.91%,a,32.17%,and,3.48%
their,of,11.86%,in,11.46%,with,5.14%
back,the,14.54%,came,9.25%,went,5.73%
where,corner,3.26%,street,2.9%,room,2.9%
might,he,17.14%,it,10.48%,one,9.52%
her,in,8.81%,of,7.21%,to,4.58%
away,far,9.21%,went,3.95%,them,3.95%
