word type,number
everything,32759
adult,0
hate,218
function,17178
normal,number
the,1684
and,973
a,886
to,831
he,719
of,677
was,653
that,503
in,468
his,433
had,412
it,378
old,302
on,253
but,248
as,246
for,243
with,243
joe,235
not,229
she,198
mun,182
her,175
be,173
would,170
coon,169
at,161
were,159
been,154
when,154
him,132
could,132
if,121
sue,120
have,118
there,114
by,113
no,113
one,111
they,111
all,110
duckfoot,109
up,108
did,107
an,105
you,105
out,102
said,99
from,97
even,90
so,89
this,82
what,81
i,81
hound,80
or,79
into,79
himself,76
night,75
time,74
he'd,73
sycamore,72
any,70
only,70
who,67
just,67
willow,67
about,66
miss,65
come,63
than,63
them,63
brook,62
might,61
do,60
never,60
which,60
pup,59
knew,59
though,58
down,57
came,57
glory,55
more,54
some,54
then,53
tree,52
back,52
big,51
first,49
now,49
other,48
know,48
go,48
way,47
like,45
hounds,45
two,45
enough,45
left,45
coons,44
too,44
another,44
hills,43
precious,43
water,43
before,43
where,43
corn,43
away,41
far,41
long,40
nothing,39
run,39
man,39
because,38
over,38
thought,38
again,38
creeping,37
hunting,37
such,37
went,37
three,37
den,36
get,36
hunt,36
joe's,35
since,35
its,35
good,35
still,35
their,34
made,34
dog,34
half,34
how,34
should,33
duck,32
must,32
right,32
house,32
very,32
after,30
second,30
trail,30
same,30
pa,30
illustration,29
every,29
hunters,29
hadn't,29
farm,29
ya,29
off,29
ever,28
much,28
head,28
well,28
got,28
me,28
she'd,28
school,27
through,27
little,27
last,27
something,27
raw,27
found,26
anything,26
turned,26
mun's,26
think,26
nose,25
own,25
ice,25
wind,25
better,25
most,25
side,25
started,25
let,25
harold,25
thunder,25
put,25
pine,25
part,24
looked,24
around,24
behind,24
sure,24
always,24
heard,24
toward,24
running,24
don't,24
ain't,24
except,23
else,23
exactly,23
both,23
until,23
couldn't,23
fish,23
we,23
few,22
saw,22
almost,22
find,22
many,22
finally,22
feeling,22
ran,22
hand,22
why,22
take,22
queenie,22
while,21
jumped,21
least,21
great,21
father,21
asked,21
didn't,21
slough,20
is,20
climbed,20
seemed,20
years,20
near,20
began,20
gone,20
moment,20
your,20
new,19
born,19
moon,19
five,19
tonight,19
climb,19
once,19
along,19
day,19
best,19
pool,19
without,18
felt,18
feet,18
home,18
door,18
four,18
butt,18
high,17
beneath,17
trees,17
proper,17
against,17
decided,17
took,17
here,17
wild,17
next,17
suddenly,17
full,17
see,17
sighed,17
brought,17
girl,17
past,16
black,16
sat,16
broken,16
swamp,16
whole,16
each,16
soon,16
eyes,16
woods,16
can,16
hollow,15
called,15
thing,15
who'd,15
seen,15
barn,15
tunnel,15
mind,15
are,15
under,15
wouldn't,15
will,15
herself,15
magic,15
able,14
branches,14
make,14
six,14
times,14
place,14
hungry,14
hope,14
bank,14
everything,14
sun,14
fact,14
being,14
can't,14
held,14
told,14
hay,14
mule,14
grove,14
girls,13
minutes,13
dark,13
became,13
ago,13
ready,13
coming,13
small,13
winter,13
lived,13
either,13
hard,13
front,13
life,13
also,13
tracks,13
neither,13
keep,13
indeed,13
really,13
already,13
doubt,13
needed,13
autumn,12
young,12
owl,12
beside,12
remained,12
thirty,12
reason,12
doing,12
hot,12
fell,12
look,12
reached,12
nor,12
yards,12
across,12
porch,12
shocked,12
yes,12
later,12
between,12
i'll,12
johnson,12
however,12
treed,12
dib,12
paws,11
wanted,11
fishing,11
end,11
light,11
warm,11
men,11
ahead,11
hours,11
tried,11
escape,11
air,11
sometimes,11
ground,11
living,11
rather,11
swam,11
chickens,11
chicken,11
probably,11
scent,11
hundred,11
my,11
us,11
lantern,11
upstream,11
declared,11
crawfish,11
beech,11
beechnuts,11
hunter,10
miles,10
face,10
snow,10
fallen,10
known,10
paw,10
certain,10
course,10
fast,10
mile,10
pools,10
stopped,10
ideas,10
rock,10
free,10
earth,10
shotgun,10
foot,10
forest,10
voice,10
among,10
longer,10
tell,10
he's,10
considered,10
want,10
upon,10
morning,10
kept,10
going,10
happened,10
hoe,10
bring,10
arrived,10
they'd,10
channel,10
leg,10
witch,10
footed,9
summer,9
rose,9
learned,9
deep,9
happily,9
nest,9
attention,9
cold,9
themselves,9
safe,9
none,9
itself,9
often,9
bear,9
care,9
entered,9
hen,9
neck,9
downstream,9
meet,9
work,9
shock,9
followed,9
wrong,9
kicked,9
it's,9
experience,9
presently,9
human,9
jest,9
whenever,9
books,9
mate,9
thinking,9
there'd,9
battle,9
farther,9
whatever,9
git,9
start,9
mud,9
deer,9
guinea,9
pine's,9
catch,8
twenty,8
trunk,8
entrance,8
leaves,8
stood,8
eat,8
directly,8
need,8
massive,8
anyone,8
simply,8
halted,8
perhaps,8
pursued,8
current,8
emerged,8
year,8
son,8
pigs,8
hunted,8
sound,8
straight,8
fat,8
cow,8
cows,8
close,8
tasks,8
plan,8
waited,8
done,8
caught,8
fetch,8
ten,8
sense,8
education,8
things,8
ask,8
surely,8
easy,8
having,8
turn,8
point,8
lay,8
trying,8
idea,8
try,8
i'm,8
apples,8
hoped,8
believe,8
puppy,8
knowing,8
wasn't,8
daughters,8
hunts,8
demanded,8
weeks,7
different,7
has,7
fall,7
filled,7
crotch,7
aware,7
instantly,7
impossible,7
thirteen,7
fur,7
these,7
met,7
glance,7
important,7
chosen,7
finished,7
smaller,7
stayed,7
hands,7
ones,7
body,7
return,7
hiding,7
gave,7
forward,7
edge,7
tongue,7
nobody,7
silent,7
oak,7
rocks,7
situation,7
flat,7
brindle,7
early,7
wet,7
bit,7
dream,7
father's,7
we'll,7
gulped,7
true,7
lore,7
suppose,7
anyhow,7
pointed,7
sort,7
fifty,7
bed,7
ears,7
disappeared,7
shook,7
horse,7
ways,7
wondered,7
raiding,7
stop,7
experienced,7
hour,7
walk,7
business,7
days,7
heart,7
rope,7
our,7
low,7
rest,7
move,7
boys,7
maybe,7
sucker,7
sudden,7
you're,7
spell,7
possible,7
that's,7
waiting,7
axe,7
mary,6
biggest,6
mortal,6
nine,6
base,6
wings,6
whose,6
during,6
shoulder,6
carried,6
sent,6
south,6
blanket,6
gathered,6
shortly,6
sought,6
within,6
split,6
bark,6
stay,6
due,6
knoll,6
willows,6
watched,6
marked,6
special,6
opportunity,6
licked,6
sleeping,6
raised,6
mouth,6
certainly,6
raided,6
spring,6
trout,6
thoughts,6
beyond,6
rifle,6
forgotten,6
prowl,6
thousand,6
somewhere,6
seconds,6
seriously,6
mean,6
taught,6
eight,6
soul,6
matter,6
line,6
forty,6
bad,6
buck,6
unable,6
sleep,6
happen,6
break,6
begin,6
flood,6
cut,6
throw,6
distance,6
clear,6
pond,6
nearly,6
trailed,6
couple,6
thus,6
fighting,6
room,6
roaring,6
appeared,6
tied,6
happy,6
together,6
ducks,6
growled,6
instant,6
one's,6
finding,6
sadly,6
present,6
patch,6
oh,6
yet,6
watch,6
satisfied,6
route,6
boulder,6
quarter,6
obviously,6
future,6
occurred,6
circle,6
remaining,6
help,6
less,6
listen,6
hens,6
those,6
crossed,6
root,6
tonguing,6
may,5
beat,5
forever,5
huge,5
sand,5
inches,5
tail,5
flew,5
upper,5
showed,5
set,5
safety,5
perfect,5
chop,5
above,5
limb,5
ledge,5
proved,5
drop,5
dropped,5
rear,5
slightest,5
touch,5
swim,5
blood,5
nearest,5
open,5
meant,5
besides,5
alone,5
ended,5
path,5
creature,5
places,5
discovered,5
scene,5
top,5
given,5
wife,5
lips,5
expected,5
crawled,5
white,5
closed,5
leaped,5
scarcely,5
means,5
watching,5
milk,5
dogs,5
late,5
swimming,5
bent,5
bobcat,5
worked,5
wait,5
forgot,5
lost,5
kind,5
reckon,5
lacked,5
evening,5
holding,5
sitting,5
ordinary,5
crossroads,5
acquired,5
children,5
raccoon,5
settled,5
say,5
admitted,5
fully,5
continued,5
coon's,5
therefore,5
puzzled,5
questioned,5
does,5
taken,5
hear,5
led,5
glanced,5
joined,5
dangling,5
stuck,5
worth,5
cornfield,5
broke,5
rising,5
fight,5
walked,5
eating,5
boy,5
search,5
direction,5
clearing,5
months,5
give,5
fly,5
sensible,5
eye,5
fed,5
rattling,5
short,5
kin,5
raced,5
ear,5
voiced,5
reach,5
escaped,5
explained,5
carry,5
plenty,5
share,5
question,5
trick,5
aim,5
headed,5
moved,5
expect,5
show,5
self,5
age,5
hearing,5
circled,5
knows,5
pleasantly,5
account,5
usual,5
chased,5
mental,5
advantage,5
necessary,5
lose,5
order,5
latch,5
asserted,5
various,5
grade,5
ma'am,5
season,5
horned,5
stones,5
i'd,5
lazy,5
tumbled,5
o,5
pebbles,5
log,5
tracking,4
trouble,4
sycamore's,4
recovered,4
slept,4
remain,4
thaw,4
pound,4
inch,4
length,4
birds,4
art,4
attended,4
awakened,4
bringing,4
understand,4
shot,4
breath,4
heaven,4
fork,4
heavy,4
leaned,4
tunnel's,4
pressed,4
fit,4
others,4
hair,4
perfectly,4
provided,4
safely,4
chittered,4
pleasure,4
beaver,4
minute,4
buried,4
rolled,4
smooth,4
rubbed,4
leaving,4
returning,4
nights,4
eaten,4
seven,4
hunger,4
endure,4
traveled,4
fox,4
yielded,4
pleased,4
bears,4
wished,4
force,4
riffles,4
dry,4
swift,4
reaching,4
farmer,4
grow,4
livestock,4
name,4
neighbors,4
peace,4
tracked,4
created,4
horses,4
complete,4
walking,4
sight,4
inside,4
roost,4
gently,4
opened,4
floor,4
careless,4
squawk,4
bayed,4
parts,4
plans,4
firm,4
concerning,4
stable,4
spent,4
comfortable,4
threw,4
instead,4
knob,4
use,4
completely,4
rightly,4
won't,4
answer,4
received,4
lifted,4
branch,4
prowling,4
speak,4
smart,4
grandpa,4
you've,4
pondered,4
conceded,4
interesting,4
ate,4
bones,4
cared,4
forced,4
lighted,4
word,4
world,4
surging,4
aside,4
turning,4
dozed,4
whether,4
pleasant,4
winds,4
flight,4
making,4
lead,4
promptly,4
animals,4
follow,4
effort,4
cast,4
stand,4
returned,4
curled,4
tons,4
stone,4
ideal,4
afraid,4
food,4
passing,4
interested,4
satisfying,4
pork,4
shade,4
kennel,4
noticed,4
it'll,4
arm,4
laid,4
toppled,4
easily,4
meekly,4
winded,4
speed,4
february,4
evidence,4
talent,4
naturally,4
hoeing,4
riffle,4
hooks,4
stump,4
particular,4
favored,4
pick,4
pocket,4
wriggled,4
furiously,4
worst,4
working,4
single,4
mounted,4
suffer,4
strategy,4
reasonably,4
heel,4
warning,4
string,4
exposed,4
slowed,4
pursuit,4
doe,4
frowned,4
struck,4
chance,4
changed,4
growl,4
further,4
possibly,4
scented,4
looking,4
dared,4
blue,4
leave,4
wandering,4
chose,4
alive,4
degree,4
arms,4
chest,4
teeth,4
entire,4
teach,4
palm,4
gasped,4
waded,4
jumping,4
she's,4
supper,4
mongrel,4
pair,4
lack,4
mere,4
sons,4
smell,4
voices,4
heels,4
choice,4
bridle,4
rein,4
road,4
roared,4
reasons,4
silly,4
cellar,4
week,4
fifth,4
fixed,4
isn't,4
talking,4
danced,4
kick,4
mules,4
bitter,4
shuddered,4
they're,4
drew,4
involved,4
astounded,4
slow,4
tongued,4
pace,4
properly,4
accordingly,4
gathering,4
pitched,4
squirrel,4
knothole,4
coat,4
produced,3
company,3
book,3
form,3
craftiest,3
natural,3
troubles,3
nice,3
people,3
excitement,3
plot,3
topmost,3
squarely,3
recognize,3
startled,3
noted,3
draped,3
locked,3
ponds,3
asleep,3
roots,3
feed,3
tip,3
weighed,3
appearances,3
devil,3
imp,3
knowledge,3
importance,3
duty,3
hide,3
match,3
urge,3
forth,3
north,3
breaking,3
backwoods,3
flung,3
giant,3
climbing,3
leading,3
level,3
providence,3
save,3
grip,3
descended,3
falling,3
anyway,3
extended,3
nature,3
portion,3
dripping,3
wise,3
belly,3
passed,3
disappear,3
especially,3
feared,3
keeping,3
venture,3
bigger,3
chase,3
usually,3
ordinarily,3
splashed,3
plunged,3
brook's,3
gardens,3
wire,3
fence,3
named,3
owned,3
correct,3
shuffled,3
sleepily,3
third,3
slipped,3
trailer,3
noise,3
quarry,3
milking,3
fingers,3
rain,3
fleeting,3
reflection,3
favorite,3
sniffed,3
equal,3
endless,3
worse,3
greatest,3
cannot,3
fire,3
cunning,3
sit,3
moonstruck,3
used,3
older,3
dewberry,3
bright,3
saying,3
shining,3
hastily,3
scooted,3
subject,3
lingered,3
stretched,3
faded,3
surrounded,3
considerably,3
lot,3
trapped,3
he'll,3
information,3
grades,3
mingled,3
fathers,3
prove,3
influence,3
probability,3
offer,3
what's,3
grandfather,3
pride,3
call,3
bore,3
casual,3
starting,3
huh,3
fault,3
listening,3
figure,3
squawking,3
