word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,5.31%,he,3.72%,a,2.87%
the,pup,2.59%,creeping,2.23%,sycamore,1.93%
by,the,22.02%,a,12.84%,an,2.75%
all,the,18.69%,he,4.67%,of,3.74%
no,longer,8.18%,pa,4.55%,doubt,4.55%
of,the,20.15%,his,7.37%,a,6.92%
this,time,6.1%,night,4.88%,very,3.66%
be,a,4.14%,in,2.96%,and,2.96%
in,the,35.57%,a,8.46%,his,3.9%
any,of,10.0%,coon,8.57%,part,4.29%
a,coon,4.66%,man,2.5%,hound,1.82%
old,joe,78.33%,joe's,11.33%,brindle,2.33%
joe,was,9.17%,had,9.17%,up,4.37%
was,a,9.44%,not,5.88%,the,4.49%
coon,hunt,11.73%,hunting,9.26%,hound,8.02%
one,of,18.02%,had,4.5%,was,3.6%
had,been,13.94%,a,6.36%,not,4.65%
been,a,7.28%,born,5.96%,the,3.31%
to,the,10.82%,a,3.81%,be,3.69%
him,to,9.23%,and,7.69%,up,3.85%
not,even,4.82%,to,3.51%,been,3.51%
even,if,12.22%,to,10.0%,a,6.67%
sue,had,12.82%,was,4.27%,and,4.27%
hound,that,7.69%,pup,5.13%,could,3.85%
down,the,25.45%,to,9.09%,in,9.09%
that,he,9.07%,had,5.36%,the,5.36%
would,be,22.62%,have,13.69%,not,4.76%
for,the,18.14%,a,12.24%,him,4.64%
pup,was,20.34%,who,6.78%,that,5.08%
who,had,11.94%,knew,11.94%,would,7.46%
with,a,18.18%,the,11.57%,his,7.85%
his,own,3.46%,den,3.0%,father,2.77%
he,was,13.81%,had,9.48%,could,4.6%
as,he,11.93%,a,10.29%,the,6.17%
on,the,31.25%,a,13.33%,his,7.08%
duckfoot,had,13.21%,was,13.21%,and,7.55%
there,was,40.71%,were,16.81%,would,2.65%
but,he,10.53%,the,6.58%,it,4.82%
she,was,18.18%,had,6.57%,could,5.05%
said,mun,11.76%,seriously,5.88%,but,4.71%
could,not,22.14%,be,9.16%,have,5.34%
then,he,27.45%,she,5.88%,there,3.92%
were,not,5.7%,the,2.53%,so,2.53%
more,than,33.96%,important,3.77%,the,3.77%
glory,and,9.09%,on,7.27%,would,5.45%
night,the,9.86%,old,9.86%,he,7.04%
at,the,32.05%,least,9.62%,a,5.77%
just,a,12.12%,as,10.61%,after,4.55%
an,hour,3.85%,opportunity,2.88%,i,2.88%
sycamore,and,25.37%,was,7.46%,old,5.97%
come,to,15.0%,out,6.67%,raiding,6.67%
out,of,33.33%,on,8.08%,to,5.05%
only,to,5.8%,a,4.35%,half,4.35%
it,was,25.62%,and,4.41%,had,3.86%
when,he,25.35%,they,10.56%,the,9.15%
what,he,12.66%,ya,6.33%,was,5.06%
himself,with,7.89%,and,6.58%,the,5.26%
came,to,29.82%,out,7.02%,old,5.26%
than,the,13.11%,a,13.11%,any,6.56%
from,the,31.25%,a,8.33%,which,6.25%
knew,that,11.86%,the,8.47%,his,6.78%
did,not,49.04%,so,3.85%,it,2.88%
up,the,9.62%,to,6.73%,and,5.77%
if,he,35.96%,it,7.89%,she,7.02%
them,and,8.62%,was,6.9%,a,5.17%
do,you,15.79%,with,7.02%,it,5.26%
he'd,have,6.85%,never,6.85%,been,6.85%
or,even,6.41%,other,5.13%,a,3.85%
never,been,6.78%,be,5.08%,thought,5.08%
so,much,6.9%,far,5.75%,that,5.75%
they,were,25.45%,could,9.09%,had,5.45%
into,the,67.09%,his,7.59%,a,5.06%
which,he,20.69%,was,12.07%,old,5.17%
some,of,5.56%,pigs,3.7%,education,3.7%
though,he,22.64%,it,11.32%,she,5.66%
have,been,19.66%,a,5.13%,to,5.13%
her,head,5.26%,and,4.68%,nose,3.51%
willow,brook,89.39%,brook's,4.55%,trees,1.52%
brook,and,22.41%,he,6.9%,was,5.17%
time,he,15.94%,and,7.25%,he'd,4.35%
might,have,21.31%,be,16.39%,as,3.28%
about,a,9.38%,the,7.81%,to,7.81%
mun,said,11.04%,and,7.14%,had,5.19%
back,to,19.61%,into,13.73%,in,7.84%
i,know,10.39%,got,9.09%,can't,7.79%
you,ain't,5.1%,think,5.1%,know,5.1%
big,sycamore,21.57%,coon,19.61%,old,5.88%
