word type,number
everything,65055
adult,0
hate,0
function,36083
normal,number
the,4053
and,2227
of,1866
to,1751
he,1644
a,1577
was,1160
his,1159
in,1053
had,810
her,793
said,755
she,695
i,668
that,650
it,579
mr,572
for,504
at,494
him,492
with,487
on,456
you,418
as,371
but,347
not,286
were,272
they,271
when,266
all,257
be,246
from,238
out,235
man,227
would,224
by,221
up,216
little,211
one,211
which,196
what,189
an,187
my,182
me,180
then,180
is,177
so,172
there,168
them,168
have,167
no,166
we,165
or,157
who,149
their,148
old,147
into,146
been,144
gabriel,142
down,138
if,136
some,135
like,134
very,132
good,132
could,132
now,129
about,129
asked,127
aunt,125
this,124
did,123
two,122
room,119
time,119
well,119
mrs,117
after,116
again,114
went,113
young,111
know,111
face,109
over,108
came,101
before,101
began,100
do,99
miss,99
eyes,96
night,95
go,94
back,92
o,91
head,90
made,90
house,87
street,87
see,82
stood,79
life,78
too,77
how,77
come,77
us,76
himself,76
right,74
while,73
say,73
where,72
never,71
men,71
are,70
hand,70
voice,69
door,69
seemed,69
only,69
other,69
think,68
great,68
table,68
first,65
few,65
upon,64
looked,64
still,64
took,63
way,61
long,61
something,61
get,61
mary,60
felt,59
towards,59
our,59
thought,58
knew,57
every,57
any,57
nothing,56
through,55
yes,55
heard,55
tell,54
told,54
home,54
always,53
used,53
put,53
away,53
more,53
round,53
father,52
here,52
turned,52
power,52
your,51
along,51
light,51
sat,51
off,51
friends,50
hands,50
such,50
day,49
saw,49
these,49
money,49
jane,49
own,48
just,48
three,48
much,47
why,47
dark,47
evening,47
together,47
must,46
going,46
take,45
boy,45
end,45
last,45
people,45
once,45
under,44
because,44
walked,44
hall,44
course,44
fire,43
brought,43
its,42
mind,42
another,42
many,42
left,42
let,41
poor,41
make,41
woman,41
called,41
chandler,41
office,40
against,40
air,40
hat,40
passed,39
name,39
look,39
gone,39
got,39
wife,39
moment,39
side,38
will,38
found,37
might,37
slowly,37
white,37
glass,37
sure,37
fellow,37
maria,37
looking,36
saying,36
years,36
ever,36
music,36
dublin,36
window,35
world,35
children,35
than,35
those,34
friend,34
lay,34
better,34
joe,34
part,34
god,33
corner,33
even,33
spoke,33
can,33
seen,33
four,33
girl,33
without,32
morning,32
cold,32
perhaps,32
heart,32
thing,32
ladies,32
mother,31
tried,31
behind,31
half,31
gave,31
small,31
laughed,31
gentlemen,31
has,30
body,30
answered,30
between,30
daughter,30
often,29
being,29
also,29
each,29
open,29
full,29
city,29
dead,28
words,28
hear,28
give,28
done,28
opened,28
boys,28
business,28
nice,28
standing,28
shop,27
find,27
silence,27
school,27
held,27
everyone,27
quickly,27
work,26
continued,26
black,26
may,26
should,26
near,26
beside,26
ran,26
herself,26
stairs,26
mouth,25
irish,25
big,25
until,25
anything,25
new,25
girls,25
minutes,25
sir,25
others,25
set,24
word,24
bad,24
fine,24
grey,24
shook,24
coming,24
brown,24
glanced,24
silent,24
enough,24
jimmy,24
piano,24
same,23
play,23
things,23
followed,23
church,23
nearly,23
quite,23
feel,23
bed,23
wanted,23
met,23
talk,23
hair,23
across,23
case,22
talking,22
mean,22
late,22
fell,22
though,22
read,22
arm,22
high,22
laughing,22
road,22
live,22
bottle,22
leave,22
keep,22
country,22
ask,22
really,22
husband,22
yet,21
soon,21
hard,21
large,21
red,21
five,21
far,21
noise,21
wore,21
walking,21
company,21
short,21
caught,21
lady,21
sent,21
car,21
person,21
drank,21
stout,21
child,20
chair,20
green,20
sometimes,20
certain,20
dress,20
want,20
kept,20
hour,20
blue,20
having,20
cried,20
taken,20
year,20
turn,20
snow,20
sitting,19
jack,19
waiting,19
smiling,19
next,19
front,19
answer,19
remember,19
glasses,19
closed,19
tea,19
drink,19
point,19
times,19
arms,19
bottles,19
gentleman,19
remembered,18
floor,18
wished,18
death,18
whether,18
above,18
waited,18
ah,18
call,18
played,18
till,18
warm,18
crowd,18
watched,18
feet,18
most,18
speak,18
moments,18
best,18
laughter,18
tram,18
concert,18
filled,17
soul,17
returned,17
days,17
stopped,17
seeing,17
both,17
bring,17
sight,17
paper,17
moustache,17
hot,17
love,17
figure,17
second,17
tone,17
party,17
bit,17
stand,17
tom,17
am,16
supper,16
smiled,16
women,16
twice,16
houses,16
beautiful,16
past,16
suddenly,16
meet,16
whose,16
falling,16
piece,16
conversation,16
memory,16
order,16
desk,16
tenor,16
grew,15
chap,15
wish,15
age,15
nose,15
nor,15
priest,15
surprised,15
books,15
smile,15
lamp,15
clerk,15
ten,15
walk,15
lived,15
serious,15
question,15
repeated,15
gaze,15
listening,15
drawing,15
lit,15
dinner,15
expression,15
bar,15
matter,15
polly,15
sing,15
london,15
tonight,15
says,15
cab,15
pope,15
hope,14
myself,14
rather,14
deal,14
lips,14
died,14
raised,14
week,14
beginning,14
amid,14
sister,14
leaned,14
papers,14
pocket,14
pause,14
nodded,14
listened,14
however,14
eight,14
almost,14
suppose,14
alone,14
river,14
streets,14
reached,14
field,14
since,14
believe,14
speech,14
wall,14
sang,14
playing,14
singing,14
become,14
paid,14
shoulders,14
fellows,14
damn,14
entered,14
counter,14
whisky,14
lily,14
committee,13
square,13
true,13
tired,13
run,13
neither,13
tongue,13
thoughts,13
everything,13
kind,13
whenever,13
laid,13
fat,13
itself,13
least,13
copy,13
understand,13
during,13
steps,13
remained,13
colour,13
shadow,13
pushed,13
story,13
sit,13
paris,13
manner,13
game,13
ready,13
lyons,13
contract,13
song,13
opinion,12
idea,12
added,12
wondered,12
fallen,12
strange,12
college,12
pale,12
wine,12
getting,12
sunday,12
speaking,12
listen,12
sound,12
among,12
afraid,12
seem,12
confused,12
bridge,12
nobody,12
quay,12
taking,12
dressed,12
book,12
accent,12
ear,12
led,12
decent,12
blood,12
humour,12
wait,12
overcoat,12
allowed,12
known,12
place,12
frank,12
outside,12
close,12
son,12
does,12
living,12
job,12
weathers,12
trying,12
else,12
constable,12
gazed,11
fear,11
longed,11
cotter,11
giving,11
sorry,11
summer,11
heavy,11
christmas,11
coat,11
present,11
fingers,11
written,11
thick,11
bank,11
foot,11
johnny,11
low,11
wild,11
arranged,11
leo,11
nature,11
became,11
write,11
making,11
cap,11
train,11
lightly,11
ago,11
yourself,11
soft,11
fact,11
running,11
within,11
themselves,11
pass,11
darkness,11
buy,11
manager,11
catch,11
honour,11
candle,11
touch,11
throat,11
married,11
fair,11
thanks,11
chief,11
porter,11
accident,11
concerts,11
collar,11
james,10
grace,10
softly,10
drew,10
lower,10
chapel,10
wrote,10
forget,10
lord,10
deep,10
wrong,10
ended,10
cross,10
someone,10
hill,10
tall,10
gay,10
water,10
public,10
thinking,10
working,10
bought,10
eat,10
grown,10
struck,10
paused,10
minute,10
covered,10
horse,10
turning,10
moved,10
eye,10
saturday,10
rain,10
feeling,10
neck,10
affair,10
longer,10
row,10
bright,10
besides,10
glad,10
cry,10
twenty,10
talked,10
ones,10
cigarette,10
notes,10
halted,10
pudding,10
reason,10
anyone,10
help,10
pantry,10
slightly,10
carried,10
john,10
dressing,10
burke,10
downstairs,9
uncle,9
explained,9
plate,9
understood,9
pleasant,9
given,9
properly,9
showed,9
visit,9
west,9
received,9
forward,9
thin,9
skirt,9
ourselves,9
somewhat,9
quietly,9
breath,9
knees,9
fall,9
charge,9
trouble,9
break,9
broke,9
brother,9
boldly,9
doors,9
liked,9
suit,9
spent,9
stick,9
ground,9
yellow,9
subject,9
quiet,9
free,9
conscious,9
faces,9
kitchen,9
broken,9
bazaar,9
clock,9
upper,9
dull,9
station,9
coloured,9
thank,9
photograph,9
whom,9
begun,9
fond,9
show,9
finished,9
six,9
pleasure,9
society,9
agreed,9
pay,9
seconds,9
cards,9
general,9
family,9
clothes,9
cut,9
less,9
plates,9
address,9
strong,9
mistake,9
king,9
jolly,9
goloshes,9
cover,8
candles,8
ears,8
stories,8
passing,8
box,8
dish,8
smoke,8
mass,8
teeth,8
habit,8
shouted,8
staircase,8
bowed,8
wide,8
fist,8
spirit,8
handed,8
hours,8
distance,8
happy,8
silver,8
wandered,8
escaped,8
changed,8
goes,8
telling,8
hardly,8
pair,8
loudly,8
except,8
tears,8
desire,8
hoped,8
leaning,8
touched,8
platform,8
gathered,8
middle,8
please,8
melancholy,8
bell,8
french,8
placed,8
welcome,8
youth,8
phrase,8
spite,8
drove,8
hotel,8
task,8
mirror,8
waltz,8
ireland,8
clapping,8
plain,8
ring,8
note,8
begin,8
nervously,8
use,8
hospitality,8
drawn,8
upstairs,8
express,8
pity,8
tommy,8
penny,8
doorway,8
duffy,8
helped,8
baritone,8
pupils,8
third,7
doubt,7
staring,7
eating,7
finally,7
anger,7
moist,7
breakfast,7
notice,7
reading,7
toast,7
windows,7
different,7
huge,7
happened,7
noticed,7
pointed,7
lead,7
boots,7
invited,7
empty,7
indeed,7
lying,7
crossed,7
try,7
garden,7
influence,7
stuff,7
named,7
doing,7
excited,7
watching,7
gas,7
beyond,7
bag,7
care,7
none,7
sudden,7
simply,7
secret,7
circle,7
forehead,7
forgotten,7
obliged,7
top,7
useless,7
lamps,7
lifted,7
railings,7
cheeks,7
splendid,7
convent,7
rested,7
class,7
already,7
lines,7
position,7
edge,7
leaving,7
sake,7
holding,7
excitement,7
happiness,7
german,7
therefore,7
catholic,7
proud,7
bass,7
style,7
human,7
pride,7
friendly,7
drunk,7
farley,7
cleared,7
audience,7
finish,7
step,7
takes,7
stared,7
straight,7
letter,7
tip,7
brows,7
appeared,7
thrown,7
features,7
view,7
thirty,7
firmly,7
mantelpiece,7
pain,7
leonard,7
punch,7
banisters,7
writing,7
joy,7
drinking,7
cashier,7
pretty,7
shame,7
clear,7
whole,7
later,7
pa,7
park,7
injured,7
ceased,7
ill,7
religion,7
grand,7
aunts,7
goose,7
boarding,6
lighted,6
blind,6
arranging,6
cases,6
minds,6
angry,6
meaning,6
card,6
snuff,6
allow,6
trembling,6
knock,6
questions,6
asking,6
duties,6
law,6
afterwards,6
land,6
gold,6
nannie,6
upwards,6
proceeded,6
landing,6
heels,6
rose,6
odour,6
pressed,6
knows,6
drive,6
won,6
younger,6
escape,6
intention,6
page,6
offer,6
sixpence,6
shoes,6
pat,6
quarter,6
sign,6
north,6
works,6
iron,6
failure,6
paying,6
observed,6
calling,6
ate,6
adventure,6
expressed,6
pointing,6
everybody,6
names,6
hung,6
rooms,6
pulled,6
pace,6
image,6
places,6
earth,6
distant,6
below,6
ease,6
strove,6
cool,6
purpose,6
tightly,6
gallery,6
recognised,6
difficulty,6
sense,6
stay,6
gazing,6
path,6
shining,6
alive,6
anyway,6
lively,6
respect,6
nights,6
pound,6
line,6
terrible,6
letters,6
laugh,6
ordered,6
final,6
save,6
cheek,6
rivière,6
orders,6
nationalist,6
earnestly,6
musical,6
melody,6
return,6
curious,6
tie,6
sharp,6
stamping,6
rest,6
swiftly,6
fixed,6
able,6
gravely,6
fro,6
aside,6
devil,6
following,6
bent,6
rapidly,6
ends,6
meant,6
troubled,6
match,6
shillings,6
evidently,6
awkward,6
warmly,6
religious,6
skin,6
wet,6
hold,6
account,6
memories,6
dear,6
meeting,6
manners,6
leaf,6
faith,6
poems,6
served,6
die,6
seven,6
curate,6
terms,6
applause,6
settled,6
corkscrew,6
private,6
