word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,27.52%,a,6.42%,his,5.05%
and,the,5.52%,then,3.16%,said,2.6%
the,old,1.85%,table,1.44%,room,1.42%
an,hour,6.56%,old,6.01%,instant,2.73%
after,a,17.24%,the,11.21%,that,6.9%
two,young,11.48%,men,4.92%,gentlemen,4.1%
house,in,10.71%,on,8.33%,and,7.14%
a,little,5.27%,few,3.64%,good,2.34%
little,chandler,18.72%,man,2.96%,boy,2.96%
in,the,35.4%,a,10.3%,his,7.8%
room,and,6.84%,was,5.98%,in,5.13%
there,was,43.03%,were,7.27%,in,3.64%
was,a,11.95%,the,3.14%,not,2.97%
no,no,7.23%,one,7.23%,said,4.82%
for,a,15.67%,the,13.2%,him,7.63%
him,and,10.08%,to,7.82%,he,7.2%
this,time,7.5%,was,5.83%,world,5.0%
time,to,11.21%,and,8.62%,he,5.17%
it,was,26.47%,is,4.26%,would,3.37%
night,he,6.52%,of,6.52%,was,6.52%
i,was,8.28%,had,4.3%,think,3.97%
had,been,12.62%,a,5.2%,to,4.08%
of,the,28.06%,his,8.18%,her,4.73%
way,of,10.53%,to,8.77%,and,8.77%
if,he,26.92%,you,14.62%,i,8.46%
he,had,15.34%,was,13.61%,said,7.61%
thought,of,22.81%,he,10.53%,how,8.77%
would,be,21.97%,have,9.42%,not,8.52%
see,him,11.84%,that,10.53%,the,9.21%
on,the,41.35%,his,10.11%,her,6.07%
knew,that,34.55%,the,10.91%,what,7.27%
that,he,14.54%,the,8.72%,she,5.49%
be,a,4.9%,sure,2.86%,the,2.45%
at,the,36.91%,his,4.95%,him,4.12%
head,and,15.73%,of,7.87%,to,6.74%
said,mr,29.37%,the,6.9%,that,5.14%
to,the,12.65%,be,6.21%,her,3.25%
me,and,5.88%,he,5.88%,i,5.29%
not,be,3.87%,like,3.52%,know,3.17%
long,time,16.39%,as,11.48%,ago,6.56%
his,head,3.88%,wife,2.82%,own,2.29%
now,that,11.01%,i,4.59%,she,4.59%
they,were,18.7%,had,10.69%,would,5.34%
were,all,4.09%,in,3.35%,to,2.97%
every,morning,8.93%,moment,8.93%,year,8.93%
as,he,15.53%,if,10.63%,the,9.54%
up,and,12.32%,the,11.37%,to,9.95%
always,to,7.55%,in,5.66%,a,5.66%
my,aunt,13.95%,uncle,5.23%,heart,4.65%
like,a,20.61%,that,16.03%,the,14.5%
but,he,9.21%,the,8.25%,she,6.98%
some,of,14.18%,time,5.97%,good,2.24%
with,a,13.24%,the,10.71%,his,8.61%
upon,the,25.42%,his,23.73%,her,8.47%
old,man,30.66%,cotter,5.11%,gentleman,4.38%
when,he,27.13%,the,12.4%,she,12.4%
came,to,21.78%,out,9.9%,in,7.92%
while,he,22.06%,the,14.71%,they,8.82%
out,of,28.76%,the,9.44%,and,5.15%
say,he,10.94%,that,9.38%,a,9.38%
something,in,8.33%,about,8.33%,to,6.67%
about,the,21.95%,to,12.2%,him,8.13%
tell,you,30.19%,me,26.42%,him,11.32%
you,know,13.08%,were,3.08%,think,2.56%
began,to,87.0%,with,2.0%,a,2.0%
we,were,9.62%,had,7.69%,have,7.05%
first,time,7.69%,tenor,7.69%,he,4.62%
used,to,86.79%,often,3.77%,slang,1.89%
have,a,16.36%,been,9.7%,you,7.27%
think,of,24.07%,that,14.81%,i,11.11%
one,of,28.23%,night,5.26%,day,4.31%
again,the,9.17%,and,9.17%,in,5.5%
us,and,9.59%,he,8.22%,a,6.85%
well,as,8.49%,said,7.55%,i,6.6%
so,that,7.74%,much,5.36%,i,4.17%
is,it,11.9%,a,5.95%,he,4.76%
who,was,24.83%,had,21.48%,were,6.04%
mr,power,56.32%,lyons,12.64%,duffy,8.05%
told,her,22.64%,him,18.87%,me,15.09%
great,deal,12.31%,sum,3.08%,feeling,3.08%
looked,at,25.0%,down,7.81%,as,6.25%
felt,that,20.34%,his,10.17%,the,5.08%
eyes,and,13.68%,were,8.42%,he,6.32%
from,the,34.78%,his,16.09%,time,4.78%
into,the,47.48%,a,13.67%,his,10.79%
too,much,6.58%,and,6.58%,said,5.26%
man,and,6.45%,of,4.61%,said,4.61%
how,much,8.0%,the,6.67%,he,6.67%
do,you,36.36%,the,6.06%,so,4.04%
asked,mr,17.36%,him,9.09%,gabriel,7.44%
what,he,8.33%,is,7.22%,was,5.56%
young,men,30.48%,man,23.81%,lady,10.48%
right,said,11.27%,and,5.63%,mr,5.63%
life,and,10.26%,he,8.97%,of,6.41%
all,the,24.21%,right,11.11%,very,2.78%
very,well,6.06%,much,6.06%,good,6.06%
put,on,17.31%,it,9.62%,his,9.62%
table,and,30.3%,he,6.06%,the,4.55%
good,night,17.97%,humour,3.91%,man,3.91%
she,had,16.49%,was,12.67%,said,6.48%
their,feet,2.74%,hands,2.05%,conversation,2.05%
are,you,20.59%,jolly,8.82%,a,7.35%
know,what,14.14%,that,8.08%,it,4.04%
face,and,10.19%,was,9.26%,of,6.48%
over,the,21.7%,to,11.32%,his,7.55%
still,they,4.69%,to,4.69%,the,4.69%
voice,and,7.58%,was,6.06%,had,4.55%
then,he,19.89%,she,11.93%,the,5.68%
went,to,15.04%,out,15.04%,into,11.5%
down,the,27.07%,to,7.52%,on,7.52%
street,and,10.84%,the,9.64%,he,8.43%
door,and,14.49%,of,13.04%,was,10.14%
been,a,6.94%,in,4.17%,the,2.78%
hand,and,10.14%,he,7.25%,to,5.8%
through,the,64.81%,his,7.41%,a,7.41%
which,he,19.49%,was,9.74%,the,7.69%
away,from,18.87%,to,11.32%,the,7.55%
go,to,19.35%,on,9.68%,away,6.45%
seemed,to,69.57%,a,4.35%,so,2.9%
before,the,20.2%,him,13.13%,he,10.1%
himself,a,8.33%,in,6.94%,to,5.56%
or,twice,8.05%,a,7.38%,so,4.7%
only,a,13.43%,for,10.45%,the,4.48%
towards,the,43.86%,him,14.04%,her,7.02%
them,to,7.27%,in,6.67%,and,4.24%
could,not,26.52%,he,7.58%,see,5.3%
made,a,20.0%,him,11.11%,her,6.67%
our,eyes,3.45%,shadow,3.45%,friend,3.45%
where,he,11.59%,she,10.14%,the,8.7%
took,his,9.52%,off,9.52%,a,9.52%
her,to,3.16%,and,2.77%,husband,2.5%
light,from,7.84%,and,7.84%,of,7.84%
back,and,11.96%,to,11.96%,again,8.7%
sat,down,33.33%,in,11.76%,at,7.84%
did,not,52.89%,you,10.74%,he,6.61%
yes,said,30.77%,sir,7.69%,yes,7.69%
more,than,9.43%,and,5.66%,at,5.66%
any,of,10.53%,more,5.26%,good,3.51%
get,a,18.33%,the,6.67%,some,6.67%
nothing,said,12.96%,he,9.26%,in,7.41%
heard,the,19.23%,him,9.62%,of,9.62%
never,heard,8.45%,been,7.04%,fear,4.23%
round,the,21.15%,and,17.31%,her,7.69%
turned,to,28.85%,towards,9.62%,his,7.69%
home,by,5.56%,and,5.56%,she,5.56%
other,two,7.35%,hand,4.41%,was,4.41%
come,in,18.92%,to,8.11%,on,6.76%
stood,up,24.36%,at,10.26%,in,6.41%
few,minutes,17.19%,moments,17.19%,seconds,7.81%
men,and,8.45%,were,8.45%,who,8.45%
o,yes,8.33%,i,6.94%,now,6.94%
mary,jane,90.74%,remove,1.85%,collect,1.85%
gabriel,and,4.44%,said,4.44%,she,3.7%
