word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.3%,him,2.83%,up,2.36%
the,of,12.69%,in,8.91%,to,5.49%
an,was,7.78%,of,7.78%,in,6.67%
two,the,20.0%,with,5.83%,these,5.83%
house,the,31.33%,boarding,7.23%,public,7.23%
a,was,9.1%,in,6.84%,for,5.05%
little,a,39.13%,the,12.56%,said,6.28%
in,was,2.64%,and,2.44%,come,1.37%
room,the,49.12%,drawing,10.53%,dressing,8.77%
there,and,6.1%,that,4.88%,but,3.66%
was,he,19.96%,it,13.52%,she,7.8%
no,was,17.36%,no,8.33%,had,4.17%
for,waiting,2.06%,looking,1.65%,it,1.65%
him,for,7.54%,to,7.33%,with,4.28%
this,at,9.24%,in,9.24%,of,7.56%
time,from,9.24%,to,9.24%,the,9.24%
it,of,5.17%,that,4.63%,is,3.57%
night,good,24.21%,the,15.79%,one,11.58%
after,and,11.82%,night,3.64%,was,3.64%
i,and,6.31%,that,4.53%,said,3.88%
had,he,32.42%,she,14.64%,who,4.18%
and,him,2.33%,up,1.24%,her,1.0%
of,out,3.62%,one,3.18%,end,1.24%
way,the,30.0%,his,13.33%,her,6.67%
if,as,29.55%,and,6.82%,see,4.55%
he,that,5.68%,when,4.42%,as,3.6%
thought,he,30.91%,i,18.18%,she,14.55%
would,he,22.33%,she,18.14%,it,8.84%
see,to,40.54%,you,12.16%,could,9.46%
on,and,3.36%,it,2.24%,down,2.24%
knew,he,35.09%,she,19.3%,i,12.28%
that,said,5.57%,like,3.34%,knew,3.03%
be,to,48.64%,would,22.27%,must,5.45%
at,and,3.51%,looked,3.31%,look,2.89%
head,his,51.16%,her,18.6%,the,12.79%
said,he,17.98%,and,8.19%,she,6.43%
to,began,5.04%,seemed,2.78%,used,2.66%
me,to,18.99%,tell,7.82%,for,6.15%
not,did,24.62%,could,13.46%,was,13.08%
long,a,38.33%,as,8.33%,very,6.67%
his,of,12.78%,in,6.78%,to,4.52%
now,was,4.88%,me,4.07%,o,4.07%
they,when,7.22%,that,5.32%,as,4.56%
were,they,18.63%,we,5.7%,you,4.56%
every,at,10.91%,and,5.45%,in,3.64%
as,and,5.25%,soon,2.76%,him,2.76%
up,stood,8.96%,went,2.83%,made,2.36%
