word type,number
everything,311872
adult,69
hate,9
function,160764
normal,number
the,18902
of,10009
and,9431
a,8030
to,6676
in,5929
he,5480
his,4465
i,3349
was,3291
that,3251
with,2955
it,2924
on,2566
her,2551
for,2434
you,2305
him,1997
said,1963
at,1777
she,1768
had,1624
is,1609
all,1568
as,1554
by,1490
from,1313
mr,1287
they,1280
not,1176
out,1127
be,1122
me,1120
or,1112
what,1082
but,1037
up,1036
my,1014
one,946
bloom,895
there,867
like,865
their,863
have,860
no,847
an,840
them,839
when,815
so,787
were,782
then,756
which,714
if,672
about,663
man,636
who,634
old,632
would,609
are,603
we,589
down,587
this,569
now,567
over,547
after,544
your,538
do,534
did,527
too,519
see,513
two,510
little,501
time,495
says,488
stephen,483
into,476
o,460
good,453
some,450
back,447
could,443
know,438
eyes,418
off,418
yes,413
well,392
will,384
other,381
where,380
street,379
more,363
very,358
hand,356
those,350
again,349
been,349
how,348
our,348
come,345
first,343
its,341
say,337
face,337
way,336
here,332
us,328
father,328
go,328
night,326
only,322
never,322
has,319
mrs,319
before,317
get,317
asked,314
right,311
young,303
through,301
head,300
day,299
came,298
long,297
just,297
went,295
round,292
himself,290
made,272
life,269
under,268
must,267
put,263
because,261
still,259
house,258
name,255
god,248
any,248
going,245
let,242
sir,242
voice,240
something,239
can,238
why,236
look,235
miss,233
thing,231
away,229
tell,228
last,228
always,227
poor,226
woman,226
three,222
got,221
make,214
might,212
think,211
much,210
course,210
saw,209
men,208
left,206
door,205
j,205
took,204
than,204
john,204
being,203
hat,202
own,201
hands,199
every,198
told,198
give,198
white,198
upon,195
while,195
great,195
ever,195
though,194
same,191
take,187
turned,186
world,182
heard,182
such,179
towards,179
love,178
new,177
thought,175
looked,174
dark,174
am,173
behind,173
fellow,172
once,172
wife,172
joe,171
home,170
room,169
without,169
black,169
want,169
against,168
most,168
stood,168
years,167
along,167
better,166
light,165
knew,164
another,164
between,163
lord,159
even,158
bit,158
high,156
gave,155
hear,154
heart,154
nothing,154
air,154
money,154
mother,152
half,152
till,152
began,150
looking,150
dublin,150
mulligan,150
dead,149
these,149
morning,147
big,147
coming,146
aunt,145
best,145
gabriel,145
words,144
place,144
mouth,143
side,142
hair,142
near,141
few,141
read,140
power,140
word,138
table,138
irish,137
open,137
passed,136
sure,136
having,136
red,133
things,131
s,131
full,131
call,130
used,129
water,129
called,129
wait,129
gone,128
suppose,128
mind,127
feel,127
four,127
bed,126
brought,125
moment,125
end,124
boy,123
each,123
far,123
son,122
corner,121
walked,121
both,121
many,121
felt,120
women,120
girl,120
second,120
eye,119
may,118
green,118
kind,118
also,116
past,116
people,116
buck,115
bad,114
does,114
five,113
perhaps,113
anything,113
music,112
martin,112
seen,109
bloody,109
quite,108
should,108
mary,108
done,107
nice,106
gentleman,106
paper,105
case,104
evening,104
sea,104
yet,103
slowly,103
ah,103
window,102
lay,102
body,102
arms,102
together,101
blue,101
keep,101
cried,101
death,100
fire,99
find,99
gold,99
feet,99
citizen,99
wonder,99
friend,98
lips,98
seemed,98
days,97
book,97
answered,96
times,96
mean,95
cold,95
part,95
remember,94
ten,94
enough,94
watch,94
found,93
saying,92
grey,92
sat,92
lost,92
office,91
point,91
year,91
fine,90
lady,90
wanted,89
dear,89
children,88
pocket,88
held,88
believe,88
work,87
next,87
land,87
across,87
turn,87
tea,86
set,85
myself,85
talking,85
hard,85
hall,85
foot,85
walk,85
others,85
show,85
ireland,85
often,84
letter,84
c,84
brown,83
friends,82
soul,82
met,82
lovely,82
p,82
forward,81
glass,81
drink,81
waiting,80
nose,80
henry,80
church,79
ladies,79
city,79
matter,79
hope,78
large,78
knows,78
born,78
daughter,78
master,78
professor,78
followed,77
sun,77
walking,77
ask,77
today,77
sweet,77
private,77
child,76
quickly,76
country,76
laughing,75
live,75
true,74
rather,74
fell,74
nor,74
getting,74
road,74
small,74
speak,74
ben,74
arm,73
rose,73
brother,73
de,73
spoke,72
hour,72
earth,72
sitting,71
play,71
fingers,71
nature,71
boys,71
beside,71
standing,71
person,71
really,71
order,71
shall,71
chap,70
girls,70
warm,70
bob,70
taking,70
laughed,70
silent,70
fact,70
idea,69
run,69
write,69
business,69
car,69
fair,69
king,69
answer,68
among,68
hot,68
soft,68
wall,68
herself,68
ill,68
company,67
married,67
whole,67
ned,67
certain,66
breath,66
short,66
leave,66
free,66
six,66
wind,66
form,66
molly,66
late,65
laid,65
school,65
talk,65
since,65
ought,65
figure,65
human,65
husband,65
comes,65
saint,65
bring,64
ear,64
horse,64
alone,63
doing,63
simply,63
blood,63
themselves,63
rest,63
cissy,63
law,62
boots,62
silence,62
bridge,62
whose,62
around,62
holy,62
age,61
jack,61
smiled,61
above,61
fat,61
itself,61
ago,61
gentlemen,61
sent,61
tom,61
alf,61
passing,60
dress,60
number,60
meet,60
pass,60
line,60
taken,60
hold,60
try,59
pat,59
yellow,59
neck,59
dog,59
lynch,59
blind,58
present,58
however,58
ran,58
somewhere,58
job,58
damn,58
shillings,58
smile,57
least,57
question,57
quick,57
touch,57
cut,57
ay,57
heavy,56
smiling,56
front,56
twice,56
tongue,56
making,56
whom,56
eh,56
tap,56
tried,55
died,55
priest,55
sometimes,55
whether,55
suddenly,55
someone,55
thinking,55
turning,55
trying,55
thanks,55
change,55
different,54
stopped,54
beautiful,54
opened,54
public,54
bright,54
forth,54
sing,54
bread,54
trousers,54
square,53
soon,53
teeth,53
low,53
eat,53
shadow,53
please,53
cry,53
memory,53
bar,53
milk,53
thou,53
hes,53
given,52
wrote,52
forget,52
care,52
pair,52
running,52
within,52
skin,52
royal,52
anyhow,52
mine,51
drew,51
everything,51
cup,51
sight,51
goes,51
mirror,51
general,51
wants,51
else,51
hell,51
lot,51
smell,51
simon,51
added,50
floor,50
amid,50
sister,50
wrong,50
telling,50
gaze,50
singing,50
sleep,50
silk,50
jane,50
m,50
im,50
fear,49
raised,49
fall,49
makes,49
during,49
bottle,49
none,49
yourself,49
sit,49
pay,49
hotel,49
language,49
beauty,49
wish,48
seeing,48
blessed,48
understand,48
silver,48
cap,48
field,48
moved,48
sang,48
nine,48
bronze,48
outside,48
drank,48
family,48
kiss,48
account,48
sad,48
lambert,48
shop,47
closed,47
played,47
everyone,47
known,47
letters,47
paid,47
piano,47
penny,47
paddy,47
song,47
art,47
flower,47
card,46
shook,46
deep,46
watched,46
stick,46
steps,46
halted,46
natural,46
use,46
reason,46
help,46
clean,46
possible,46
seven,46
b,46
thy,46
corny,46
summer,45
skirt,45
wine,45
wore,45
trouble,45
minutes,45
north,45
beyond,45
glanced,45
speech,45
quiet,45
piece,45
row,45
laughter,45
fellows,45
living,45
bent,45
maria,45
lower,44
glasses,44
wild,44
stone,44
lane,44
buy,44
holding,44
catch,44
stop,44
stand,44
sort,44
pity,44
tommy,44
per,44
remembered,43
chair,43
written,43
lamp,43
almost,43
ground,43
lifted,43
caught,43
story,43
save,43
shoulders,43
stairs,43
less,43
act,43
blazes,43
reading,42
houses,42
noise,42
lived,42
sailor,42
faces,42
rain,42
tone,42
thank,42
close,42
french,42
paris,42
rich,42
tram,42
takes,42
moon,42
london,42
court,42
douce,42
james,41
week,41
hours,41
cross,41
cat,41
top,41
falling,41
either,41
pleasure,41
devil,41
ring,41
chandler,41
die,41
strong,41
pretty,41
instant,41
flesh,41
female,41
grace,40
coat,40
quietly,40
kept,40
afraid,40
liked,40
quay,40
moustache,40
middle,40
inside,40
fresh,40
rock,40
means,40
la,40
milly,40
hed,40
waited,39
looks,39
broke,39
listen,39
happy,39
bought,39
secret,39
led,39
kitchen,39
dinner,39
carriage,39
laugh,39
party,39
twenty,39
clothes,39
south,39
ball,39
whatever,39
concert,39
slow,39
hundred,39
jesus,39
william,39
bello,39
softly,38
ears,38
leg,38
strange,38
college,38
grave,38
indeed,38
sound,38
real,38
opposite,38
playing,38
waters,38
return,38
manner,38
probably,38
gently,38
eleven,38
wet,38
tonight,38
burke,38
d,38
id,38
giving,37
nearly,37
papers,37
finger,37
handed,37
tall,37
suit,37
crowd,37
throw,37
colour,37
double,37
youth,37
loose,37
aside,37
grand,37
heaven,37
points,37
