word type,number
everything,246817
adult,69
hate,9
function,124681
normal,number
the,14849
of,8143
and,7204
a,6453
to,4925
in,4876
he,3836
his,3306
i,2681
that,2601
with,2468
it,2345
was,2131
on,2110
for,1930
you,1887
her,1758
him,1505
is,1432
all,1311
at,1283
by,1269
said,1208
as,1183
from,1075
she,1073
they,1009
or,955
me,940
bloom,895
what,893
out,892
not,890
be,876
my,832
up,820
had,814
one,735
like,731
their,715
mr,715
there,699
have,693
but,690
no,681
them,671
an,653
so,615
then,576
when,549
if,536
about,534
are,533
which,518
were,510
your,487
old,485
who,485
stephen,483
says,473
down,449
this,445
too,442
over,439
now,438
do,435
see,431
after,428
we,424
man,409
did,404
two,388
would,385
time,376
o,369
off,367
yes,358
back,355
will,346
into,330
know,327
eyes,322
good,321
those,316
some,315
other,312
could,311
more,310
where,308
its,299
street,292
little,290
has,289
our,289
hand,286
here,280
first,278
father,276
way,275
well,273
how,271
come,268
say,264
get,256
only,253
us,252
never,251
day,250
just,249
through,246
round,239
right,237
long,236
again,235
go,234
night,231
face,228
very,226
under,224
must,221
because,217
sir,217
name,216
before,216
god,215
himself,214
head,210
put,210
can,205
been,205
j,203
mrs,202
let,201
going,199
thing,199
came,197
look,196
still,195
john,194
young,192
any,191
life,191
why,189
asked,187
poor,185
woman,185
last,183
made,182
went,182
got,182
something,178
away,176
might,175
tell,174
always,174
three,174
being,174
make,173
though,172
voice,171
house,171
give,170
than,169
same,168
course,166
left,164
much,163
hat,162
white,161
love,161
saw,160
ever,159
am,157
own,153
new,152
mulligan,150
most,150
want,149
hands,149
lord,149
world,147
told,144
black,143
think,143
behind,142
take,142
every,141
took,141
bit,141
men,137
without,137
joe,137
door,136
fellow,135
turned,134
till,134
high,134
miss,134
between,133
wife,133
better,132
place,132
upon,131
years,131
such,129
against,128
dark,127
best,127
great,127
heard,127
once,127
s,127
hear,126
even,125
gave,124
heart,122
another,122
coming,122
while,122
big,122
mother,121
half,121
dead,121
towards,120
hair,119
water,119
read,118
mouth,118
wait,117
thought,117
having,116
words,116
along,116
home,116
morning,115
near,115
buck,114
air,114
light,114
dublin,114
looking,114
suppose,114
word,114
call,112
irish,112
red,112
looked,110
son,110
eye,109
open,108
things,108
knew,107
martin,106
money,105
kind,105
bloody,104
both,104
side,104
feel,104
women,104
bed,103
second,103
does,102
full,102
far,102
sea,101
these,100
past,100
sure,99
green,98
nothing,98
passed,97
wonder,97
citizen,97
four,94
each,94
gold,93
five,92
may,92
watch,90
bad,90
stood,89
gone,89
called,88
corner,88
anything,88
power,88
paper,88
gentleman,87
girl,87
also,87
lost,87
moment,86
ah,85
quite,85
book,85
mind,85
lips,84
arms,83
dear,83
yet,82
death,82
should,82
brought,82
case,82
c,82
land,81
cried,81
p,81
feet,81
blue,81
perhaps,81
days,80
end,79
ten,79
keep,79
done,79
many,79
boy,78
henry,78
nice,78
professor,78
lovely,77
walked,77
times,77
ireland,77
letter,77
music,76
show,76
few,76
master,76
seen,76
born,76
used,76
remember,75
sun,75
pocket,74
sweet,74
foot,74
believe,74
ben,74
mean,73
forward,72
body,72
knows,72
today,72
point,72
de,72
find,72
year,71
myself,71
people,71
private,71
enough,70
table,70
walk,70
lady,69
lay,68
grey,68
next,68
window,67
tea,67
rose,67
turn,67
ned,67
answered,66
shall,66
slowly,66
wanted,66
fine,66
earth,66
soul,65
nose,65
bob,65
saint,65
across,64
matter,64
brother,64
hope,64
hard,64
friend,64
cold,63
form,63
talking,63
molly,63
cissy,63
wind,62
drink,62
ought,62
getting,62
held,61
felt,61
work,61
set,61
waiting,61
part,61
true,61
alf,61
ill,61
fingers,60
others,60
nature,60
rather,60
whole,60
king,60
comes,59
brown,59
met,59
holy,59
nor,59
fact,59
lynch,59
fair,58
taking,58
write,58
