word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,25.99%,a,6.41%,his,2.87%
and,the,7.64%,a,2.69%,he,2.45%
buck,mulligan,90.48%,and,1.9%,himself,0.95%
mulligan,said,20.57%,cried,3.55%,in,3.55%
came,to,11.28%,out,9.74%,from,8.21%
from,the,34.94%,his,8.56%,a,5.54%
the,same,1.01%,other,0.97%,world,0.73%
a,bit,1.55%,man,1.37%,good,1.13%
of,the,21.73%,a,5.37%,his,4.39%
on,the,34.49%,his,7.36%,a,5.2%
which,he,11.29%,the,7.72%,was,6.93%
lay,on,12.12%,in,7.58%,a,6.06%
was,a,8.52%,the,5.87%,in,4.62%
behind,the,20.3%,him,12.78%,his,7.52%
him,to,5.69%,and,4.79%,in,4.31%
morning,and,5.5%,sir,4.59%,with,4.59%
air,the,8.49%,of,7.55%,a,6.6%
he,was,8.77%,said,7.08%,had,5.82%
held,his,11.67%,the,10.0%,out,10.0%
down,the,16.32%,to,8.97%,on,7.59%
dark,and,5.79%,eyes,4.96%,horse,4.96%
called,it,10.84%,him,10.84%,to,9.64%
out,of,36.75%,the,5.92%,and,3.87%
come,to,11.83%,on,10.69%,back,6.49%
up,the,9.91%,to,9.28%,in,7.65%
you,know,4.66%,are,3.43%,have,2.98%
forward,and,15.49%,to,8.45%,a,5.63%
about,the,21.96%,it,4.99%,that,4.79%
land,of,27.85%,and,7.59%,a,5.06%
then,he,9.4%,the,7.23%,i,2.89%
towards,the,60.95%,him,5.71%,stephen,3.81%
made,a,13.89%,him,8.33%,me,7.22%
in,the,31.52%,a,7.39%,his,6.4%
his,eyes,2.37%,own,2.3%,hand,2.14%
head,and,10.55%,of,9.55%,to,3.52%
arms,and,7.69%,hotel,7.69%,of,7.69%
looked,at,15.89%,down,7.48%,on,4.67%
at,the,31.98%,his,5.34%,all,4.22%
face,of,9.59%,and,5.94%,that,3.2%
that,was,6.24%,he,5.47%,the,4.09%
its,way,3.41%,own,2.73%,not,2.39%
light,of,11.71%,and,5.41%,the,5.41%
hair,and,10.34%,on,7.76%,in,4.31%
like,that,21.76%,a,17.72%,the,10.52%
an,old,6.84%,instant,4.07%,idea,1.14%
under,the,36.74%,his,9.3%,a,7.91%
back,to,9.88%,and,7.85%,in,4.94%
to,the,12.73%,be,6.92%,his,2.9%
said,he,6.23%,i,4.52%,the,3.79%
for,the,19.3%,a,10.14%,him,3.6%
this,morning,6.99%,is,5.13%,day,2.56%
o,yes,5.72%,i,5.42%,the,3.92%
is,the,9.34%,a,6.28%,it,5.91%
body,and,8.45%,the,7.04%,to,4.23%
soul,is,8.2%,of,6.56%,to,4.92%
blood,of,15.69%,and,7.84%,in,3.92%
music,of,6.67%,and,5.33%,that,4.0%
your,own,2.85%,mother,2.19%,wife,2.19%
eyes,and,8.82%,on,4.25%,that,3.27%
one,of,11.38%,and,3.13%,time,2.7%
moment,he,7.41%,to,7.41%,i,6.17%
little,man,3.07%,alf,2.3%,paddy,1.53%
those,who,3.47%,two,2.78%,of,2.78%
white,and,5.84%,teeth,1.95%,breast,1.95%
all,the,17.46%,that,2.98%,right,2.9%
gave,him,19.17%,me,15.0%,her,8.33%
long,ago,9.73%,john,7.52%,as,6.64%
call,it,21.82%,him,10.91%,them,9.09%
even,a,6.67%,the,6.67%,if,5.83%
here,and,7.31%,the,4.23%,i,3.46%
there,was,16.72%,is,5.47%,he,4.88%
with,a,14.24%,the,13.47%,his,7.18%
gold,cup,12.36%,and,10.11%,in,6.74%
two,and,4.34%,of,3.25%,men,1.36%
answered,i,9.84%,with,8.2%,he,4.92%
through,the,49.78%,a,9.09%,his,6.06%
old,woman,4.31%,man,3.83%,fellow,1.91%
chap,in,18.87%,with,7.55%,that,5.66%
cried,i,8.11%,the,6.76%,he,6.76%
will,you,10.56%,be,9.97%,do,3.23%
do,you,27.4%,it,7.03%,the,4.68%
off,the,15.19%,his,6.88%,with,4.01%
over,the,26.65%,his,8.73%,to,4.25%
lips,the,6.02%,of,6.02%,and,4.82%
it,was,13.07%,is,6.13%,in,2.93%
name,of,11.76%,is,10.29%,and,6.37%
went,to,13.33%,on,11.11%,out,7.78%
himself,and,7.35%,a,6.37%,the,4.9%
followed,the,21.15%,by,17.31%,them,5.77%
still,i,4.84%,he,4.84%,in,4.84%
as,a,11.12%,he,10.34%,the,8.17%
voice,of,19.02%,that,4.29%,and,4.29%
my,eyes,2.45%,name,2.06%,heart,1.42%
too,much,6.15%,and,3.07%,he,2.13%
but,he,6.87%,the,6.87%,i,5.34%
has,been,9.09%,a,8.74%,the,6.64%
we,are,12.47%,have,11.25%,were,8.31%
must,be,30.77%,have,19.0%,get,4.52%
go,to,12.95%,and,8.48%,on,7.59%
if,you,17.57%,he,16.02%,i,13.9%
i,was,7.36%,am,4.75%,suppose,3.37%
can,you,8.87%,do,6.4%,be,6.4%
get,a,12.75%,it,8.76%,the,6.77%
laid,the,15.69%,his,7.84%,on,7.84%
tell,you,24.14%,me,16.67%,him,15.52%
me,to,6.48%,the,4.2%,and,3.98%
stephen,said,25.49%,and,3.92%,answered,3.43%
yes,sir,7.93%,i,7.62%,yes,6.4%
love,and,8.39%,to,7.1%,with,5.16%
how,to,10.82%,do,6.72%,did,6.34%
going,to,43.88%,out,5.61%,on,4.59%
right,hand,5.8%,and,5.8%,to,4.91%
not,to,7.18%,a,6.49%,the,2.62%
gentleman,in,7.23%,and,4.82%,of,4.82%
god,he,7.61%,i,6.09%,knows,4.06%
these,words,5.1%,reminiscences,3.06%,objects,3.06%
bloody,old,8.33%,mongrel,4.17%,well,3.12%
money,and,6.93%,is,3.96%,in,2.97%
because,he,14.42%,she,13.94%,the,10.1%
comes,out,12.28%,from,8.77%,to,8.77%
have,a,8.84%,been,8.26%,you,6.67%
make,a,16.76%,him,9.83%,it,8.09%
best,of,5.74%,to,4.92%,said,4.92%
night,in,4.52%,he,4.52%,i,4.52%
black,and,6.87%,panther,3.82%,straw,2.29%
where,he,10.58%,the,9.9%,is,8.19%
were,in,5.43%,the,2.62%,there,2.41%
man,in,8.47%,of,5.03%,that,4.5%
know,what,17.29%,that,6.44%,the,5.08%
men,and,6.02%,in,4.51%,the,4.51%
am,i,18.83%,the,7.79%,a,6.49%
hand,to,7.3%,on,5.84%,in,5.11%
pocket,and,22.06%,of,10.29%,he,7.35%
us,a,8.82%,the,5.88%,in,3.36%
hold,on,11.11%,that,9.26%,him,9.26%
show,you,13.51%,us,9.46%,and,5.41%
corner,of,27.06%,and,11.76%,he,4.71%
new,hat,4.76%,moon,3.4%,and,2.72%
our,friend,3.4%,own,2.26%,saviour,1.89%
irish,language,3.77%,and,3.77%,art,2.83%
again,and,7.8%,the,4.13%,he,3.21%
dublin,and,10.48%,fusiliers,3.81%,from,2.86%
sea,and,14.29%,the,9.18%,to,4.08%
great,sweet,3.33%,goal,2.5%,big,2.5%
sweet,mother,5.88%,song,5.88%,and,4.41%
mother,the,8.25%,of,8.25%,in,6.19%
read,the,14.16%,in,8.85%,that,6.19%
them,all,4.96%,and,4.5%,in,3.88%
she,was,11.07%,had,7.99%,said,5.2%
look,at,29.38%,like,3.61%,look,3.61%
stood,up,22.47%,by,12.36%,in,7.87%
water,and,14.04%,from,4.39%,is,3.51%
turned,to,13.95%,out,6.2%,his,5.43%
grey,and,10.77%,matter,6.15%,trousers,4.62%
why,did,10.23%,he,6.82%,not,6.25%
let,him,17.68%,me,16.67%,us,11.11%
anything,to,6.82%,of,6.82%,for,5.68%
her,eyes,1.91%,to,1.91%,and,1.84%
could,see,9.71%,have,6.8%,not,6.8%
when,i,19.39%,he,13.05%,the,10.56%
asked,him,6.25%,the,5.68%,her,5.11%
much,as,8.23%,the,5.7%,better,3.8%
think,of,25.98%,it,7.87%,he,7.09%
last,night,9.6%,time,9.6%,of,3.95%
breath,of,15.69%,he,9.8%,that,5.88%
something,in,9.25%,to,8.09%,like,5.2%
lovely,seaside,5.41%,and,5.41%,weather,2.7%
against,the,35.48%,his,8.87%,her,5.65%
yet,the,5.19%,more,3.9%,they,3.9%
heart,of,12.82%,to,8.55%,and,5.98%
had,a,9.54%,been,8.8%,to,5.2%
after,the,12.25%,him,6.37%,a,5.64%
death,and,9.33%,of,5.33%,is,5.33%
brown,paper,8.77%,and,8.77%,macintosh,8.77%
upon,the,31.01%,his,10.85%,him,7.75%
across,the,59.68%,his,8.06%,a,4.84%
saw,him,18.83%,the,12.99%,a,7.14%
green,and,7.69%,street,3.3%,with,3.3%
ah,yes,18.06%,the,5.56%,that,4.17%
poor,little,10.3%,old,8.48%,fellow,4.85%
kind,of,71.84%,is,1.94%,to,1.94%
give,us,16.57%,him,13.61%,you,9.47%
are,you,16.13%,the,6.45%,not,3.42%
they,were,7.87%,are,5.59%,say,4.45%
well,he,4.78%,as,4.78%,i,4.38%
enough,for,16.18%,to,13.24%,of,8.82%
should,be,26.83%,have,8.54%,i,4.88%
be,a,7.56%,the,4.53%,in,3.37%
knows,what,11.43%,the,7.14%,a,5.71%
what,is,7.38%,he,5.04%,was,4.92%
left,the,13.55%,hand,8.39%,me,3.87%
told,me,26.06%,him,18.31%,her,15.49%
fingers,in,11.11%,and,9.26%,on,3.7%
felt,it,9.84%,the,8.2%,for,6.56%
fellow,in,9.52%,with,6.35%,that,5.56%
says,joe,18.76%,he,17.0%,the,11.92%
p,up,19.12%,o,11.76%,the,8.82%
half,a,11.97%,of,11.11%,the,8.55%
now,and,3.95%,i,3.95%,the,3.46%
end,of,40.26%,to,6.49%,the,3.9%
others,see,6.9%,in,5.17%,who,5.17%
see,the,10.82%,it,5.29%,you,4.57%
who,was,9.28%,is,8.65%,had,5.91%
does,it,14.71%,he,9.8%,that,8.82%
always,with,3.51%,the,2.34%,something,2.34%
into,the,34.95%,a,11.33%,his,7.44%
brought,the,11.11%,him,11.11%,it,7.41%
away,from,10.18%,the,8.38%,and,4.79%
only,for,7.26%,a,6.85%,the,6.05%
walked,on,15.79%,along,7.89%,through,5.26%
round,the,23.58%,to,6.55%,him,5.68%
fair,to,5.36%,sex,5.36%,trial,3.57%
more,than,14.8%,of,2.96%,and,2.3%
than,the,14.63%,he,4.88%,that,4.27%
any,of,5.41%,case,4.86%,more,4.32%
cold,feet,7.02%,steel,5.26%,in,5.26%
or,a,7.48%,the,6.35%,something,2.27%
some,of,4.67%,kind,2.67%,other,2.0%
other,hand,4.35%,in,3.68%,way,2.68%
work,of,15.52%,in,8.62%,a,6.9%
together,and,9.62%,with,7.69%,in,5.77%
might,be,22.86%,have,11.43%,take,2.86%
having,been,10.34%,a,6.9%,to,6.03%
nose,and,13.79%,with,5.17%,in,5.17%
young,man,9.2%,stephen,6.32%,student,5.17%
their,own,2.23%,eyes,1.63%,faces,1.34%
another,and,9.32%,time,5.08%,thing,4.24%
shall,be,21.21%,i,9.09%,come,7.58%
table,and,11.76%,with,5.88%,the,5.88%
want,to,51.02%,a,8.16%,it,4.08%
open,the,9.8%,and,3.92%,your,3.92%
window,of,15.15%,and,6.06%,the,4.55%
evening,and,7.14%,in,5.36%,dress,5.36%
nothing,in,9.38%,to,5.21%,but,5.21%
quite,right,11.9%,a,7.14%,possibly,4.76%
looking,for,15.93%,at,11.5%,up,10.62%
remember,the,18.57%,that,8.57%,me,5.71%
wind,and,10.34%,of,8.62%,a,3.45%
passed,the,11.83%,out,7.53%,over,6.45%
own,father,3.42%,son,2.74%,house,2.05%
first,watch,7.72%,i,5.15%,he,3.68%
day,i,6.25%,and,4.17%,of,3.33%
house,of,20.96%,and,5.99%,in,4.79%
tea,and,12.7%,i,3.17%,she,3.17%
did,he,12.91%,you,11.39%,not,9.62%
say,that,4.74%,a,4.74%,it,4.35%
rose,of,19.05%,and,11.11%,to,6.35%
every,day,7.46%,morning,4.48%,time,4.48%
thing,like,8.38%,in,7.85%,he,6.28%
matter,of,27.42%,and,9.68%,what,6.45%
way,to,7.75%,he,7.75%,of,5.54%
sir,the,6.38%,i,5.32%,stephen,4.26%
suppose,he,15.24%,i,6.67%,she,6.67%
mean,the,8.96%,to,7.46%,he,5.97%
words,he,5.5%,of,5.5%,to,5.5%
very,much,4.55%,good,4.09%,reverend,3.18%
coming,out,10.74%,in,7.44%,to,5.79%
no,more,6.59%,one,5.49%,no,3.61%
turn,up,7.58%,aside,6.06%,back,6.06%
