word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.17%,him,1.54%,it,0.91%
the,of,11.69%,in,9.82%,on,4.87%
an,of,7.85%,in,4.98%,with,4.61%
two,the,14.11%,with,5.19%,or,4.36%
house,the,34.68%,a,5.41%,his,3.15%
a,of,6.19%,in,5.79%,with,5.22%
little,a,29.52%,the,10.81%,poor,3.74%
case,the,26.73%,in,8.91%,any,8.91%
day,the,19.93%,one,7.56%,a,5.84%
in,was,2.19%,and,1.51%,it,1.37%
room,the,44.44%,drawing,7.41%,dressing,6.17%
mother,the,13.1%,her,10.34%,his,8.97%
dead,the,24.44%,is,9.63%,was,8.89%
there,and,7.38%,was,3.26%,that,2.66%
was,he,17.37%,it,14.06%,i,7.49%
no,was,6.29%,no,4.59%,and,4.46%
for,him,2.0%,waiting,1.32%,and,1.28%
him,to,6.45%,for,5.19%,of,4.08%
this,of,7.36%,in,6.42%,at,5.47%
time,the,15.59%,one,4.78%,same,4.37%
it,of,5.0%,is,3.56%,in,2.47%
night,the,25.08%,at,8.57%,good,8.25%
after,and,5.72%,him,1.78%,time,1.78%
i,when,3.99%,and,3.7%,if,2.67%
had,he,29.94%,she,12.56%,i,5.6%
passed,he,18.94%,had,6.82%,and,6.82%
and,him,1.37%,up,0.96%,it,0.85%
of,out,4.01%,one,1.43%,and,0.91%
same,the,84.57%,that,1.6%,very,1.06%
way,the,30.58%,that,8.87%,his,8.56%
if,as,10.91%,and,4.3%,see,3.53%
he,that,4.3%,and,4.19%,as,3.36%
thought,i,23.93%,he,16.56%,she,9.2%
would,he,17.84%,she,10.12%,it,7.55%
see,to,28.02%,you,11.21%,i,9.7%
on,down,1.75%,it,1.59%,and,1.51%
knew,he,24.69%,she,20.37%,i,17.9%
that,like,5.56%,of,3.98%,is,2.71%
must,i,13.83%,you,9.09%,it,8.7%
be,to,42.08%,would,10.81%,must,7.72%
at,look,4.16%,up,2.28%,looked,1.93%
head,his,40.45%,the,12.36%,her,9.74%
said,he,24.54%,stephen,6.59%,she,6.21%
to,began,1.85%,him,1.85%,going,1.74%
me,to,7.9%,for,4.45%,told,4.09%
am,i,78.31%,what,5.42%,and,1.2%
not,did,9.57%,was,7.79%,could,5.25%
long,a,23.08%,so,7.34%,his,4.55%
world,the,66.67%,this,6.11%,other,4.44%
his,of,10.89%,in,8.46%,with,4.79%
words,the,16.15%,his,7.69%,last,4.62%
now,and,4.28%,was,2.79%,me,2.42%
they,and,5.42%,as,4.29%,when,4.05%
were,they,16.6%,we,6.51%,you,6.24%
every,in,7.73%,at,5.15%,and,5.15%
as,and,2.94%,him,2.14%,such,1.94%
up,it,5.49%,stood,3.89%,him,2.1%
word,a,29.41%,the,22.06%,my,5.88%
always,was,8.96%,had,6.13%,i,6.13%
my,in,8.36%,of,6.88%,on,4.23%
like,you,4.45%,not,3.34%,him,2.35%
but,it,1.85%,said,1.34%,me,1.13%
name,the,27.04%,his,20.6%,my,7.3%
some,of,8.84%,for,5.9%,in,4.76%
being,of,8.12%,was,3.55%,there,3.55%
with,him,1.59%,and,1.59%,up,1.48%
look,to,19.55%,a,4.09%,you,4.09%
upon,hand,3.17%,looked,2.12%,look,1.59%
its,of,10.06%,in,7.99%,from,3.85%
old,the,24.96%,an,8.65%,of,3.59%
when,and,8.26%,but,1.7%,him,1.7%
came,he,17.28%,she,4.04%,it,4.04%
while,a,6.04%,and,6.04%,wait,3.3%
aunt,said,20.57%,my,19.15%,and,8.51%
out,it,4.62%,went,2.81%,came,2.62%
something,or,9.44%,was,9.01%,do,3.86%
about,talking,4.23%,was,3.44%,what,3.13%
you,do,7.14%,if,5.13%,are,4.62%
began,he,25.58%,and,13.95%,she,4.65%
mind,his,35.14%,her,7.21%,my,6.31%
we,when,6.75%,that,3.65%,and,3.1%
first,the,35.56%,at,4.26%,his,3.95%
used,he,20.34%,i,16.1%,they,9.32%
have,to,13.13%,i,10.8%,would,7.48%
own,his,48.73%,her,12.69%,your,9.64%
think,i,35.57%,you,17.53%,to,13.4%
one,no,5.11%,to,4.24%,the,4.02%
those,of,17.44%,all,4.65%,like,4.65%
say,to,31.19%,they,17.36%,i,9.32%
again,back,2.98%,over,2.38%,said,2.38%
without,world,3.64%,and,3.03%,home,2.42%
us,give,9.48%,for,9.17%,let,8.56%
saw,i,33.66%,he,23.27%,and,10.4%
well,as,9.7%,very,3.88%,said,2.77%
so,and,6.04%,was,3.76%,not,3.22%
your,of,9.88%,in,8.7%,with,3.95%
is,it,10.63%,he,8.14%,that,5.25%
gone,had,20.56%,is,7.48%,have,5.61%
hear,to,29.79%,could,11.35%,i,11.35%
who,man,3.44%,and,2.53%,he,2.53%
father,his,11.51%,the,8.22%,her,5.92%
mr,said,17.65%,and,3.02%,to,2.78%
here,over,2.68%,come,2.68%,and,2.68%
has,he,26.49%,she,5.63%,who,4.97%
just,was,16.29%,i,6.44%,you,3.41%
told,he,18.82%,i,13.53%,she,8.24%
under,from,7.09%,and,3.15%,hand,2.36%
great,a,32.45%,the,17.55%,with,5.32%
god,of,11.72%,by,11.72%,to,7.95%
looked,he,27.04%,she,10.69%,and,8.81%
felt,he,35.0%,she,13.33%,i,9.17%
black,the,16.56%,a,12.74%,of,7.01%
eyes,his,24.93%,her,12.34%,my,6.3%
looking,was,10.14%,without,4.35%,not,2.9%
from,away,2.16%,and,2.0%,him,1.92%
into,it,4.94%,went,4.51%,out,3.0%
too,was,5.09%,not,2.85%,it,2.44%
much,too,15.05%,so,15.05%,how,10.68%
man,a,17.7%,the,17.05%,old,9.51%
how,and,6.81%,know,4.64%,said,3.41%
do,to,14.93%,what,8.38%,you,7.16%
asked,he,24.15%,i,7.55%,and,6.79%
what,know,6.59%,and,3.24%,of,2.63%
let,to,14.42%,and,8.84%,he,4.65%
young,the,24.41%,a,14.24%,two,5.08%
right,all,22.81%,the,17.54%,his,9.12%
corner,the,50.46%,a,11.93%,street,3.67%
take,to,32.14%,and,5.36%,would,5.36%
why,and,4.72%,was,4.72%,reason,2.36%
morning,the,26.71%,this,21.23%,every,7.53%
life,of,15.33%,his,12.26%,the,4.6%
all,of,6.68%,and,4.38%,at,4.32%
very,the,13.95%,a,13.66%,was,11.92%
might,he,18.72%,you,8.87%,they,7.39%
brought,he,11.76%,and,5.88%,had,5.88%
put,to,14.29%,and,9.39%,i,9.39%
table,the,81.48%,a,2.22%,supper,2.22%
good,a,24.24%,the,4.43%,very,3.96%
she,and,6.17%,that,4.4%,when,3.93%
because,him,4.0%,yes,4.0%,that,2.4%
their,in,12.26%,of,9.05%,with,4.17%
are,you,12.03%,they,11.68%,we,10.48%
things,all,12.0%,the,10.4%,of,7.2%
know,you,34.99%,i,23.24%,to,11.49%
mouth,his,28.68%,her,10.85%,and,9.3%
give,to,26.95%,would,5.99%,could,3.59%
red,the,14.29%,a,13.45%,of,5.88%
though,and,3.85%,as,3.3%,it,2.75%
dark,the,39.88%,a,11.04%,of,4.29%
face,his,20.7%,the,12.28%,her,11.58%
over,all,7.78%,went,3.04%,and,2.47%
still,was,5.65%,but,3.63%,and,3.63%
voice,the,19.34%,a,13.68%,his,12.74%
then,and,20.33%,was,1.76%,but,1.63%
went,he,20.21%,and,9.93%,i,8.87%
down,sat,4.86%,and,4.86%,sit,3.3%
street,the,18.42%,lombard,5.26%,eccles,4.82%
door,the,61.5%,a,4.5%,next,4.0%
poor,the,18.43%,a,7.37%,of,4.15%
women,the,21.74%,of,5.22%,and,4.35%
boy,the,25.42%,a,17.8%,little,7.63%
also,and,5.36%,but,3.57%,he,3.57%
read,to,16.03%,and,14.5%,he,10.69%
s,and,63.16%,p,4.39%,of,3.51%
