word type,number
everything,47197
adult,0
hate,0
function,27661
normal,number
the,2346
and,1416
to,1199
he,1054
a,934
was,927
of,860
it,798
in,680
that,617
she,598
they,585
had,508
you,491
but,480
his,473
her,468
i,428
not,393
for,390
peter,377
said,358
on,355
is,343
him,338
as,333
with,329
at,327
them,279
have,257
all,250
were,247
so,243
be,241
this,220
their,219
would,217
one,211
no,202
are,195
there,192
when,176
by,173
out,168
what,167
up,165
if,164
now,163
we,162
hook,154
then,151
who,145
could,141
cried,136
been,136
do,133
from,133
did,130
john,127
time,126
which,124
darling,111
about,108
see,108
me,106
little,104
into,103
boys,101
michael,101
an,100
children,95
again,95
like,94
know,92
only,90
mother,89
night,89
way,86
first,86
will,83
how,83
never,81
my,80
go,79
more,78
thought,78
just,78
came,76
or,74
mrs,72
come,71
your,71
knew,69
don't,69
course,68
other,67
very,67
once,66
down,65
let,65
back,64
quite,63
bed,62
over,62
still,62
must,61
say,61
such,60
think,60
away,59
last,59
moment,59
oh,58
hand,57
than,57
pirates,57
man,56
long,56
yes,55
always,54
went,54
after,53
nana,53
because,53
made,52
even,52
before,52
look,52
through,51
where,51
round,51
us,51
tink,51
smee,51
ever,50
house,49
though,49
am,49
really,48
slightly,48
heard,47
tell,47
mr,46
can,46
should,46
thing,46
asked,46
home,45
off,45
every,45
boy,45
tootles,45
two,44
get,44
well,44
saw,44
himself,44
rather,43
put,42
too,42
good,41
looking,41
most,40
father,40
window,40
why,39
nursery,39
room,39
light,39
some,39
eyes,39
any,38
much,38
has,38
nibs,38
sound,37
told,37
gave,36
sure,36
make,36
island,35
almost,35
without,35
sat,35
called,35
take,35
found,35
may,35
voice,35
chapter,34
looked,34
here,34
things,34
fly,34
lagoon,33
another,33
right,33
got,33
going,33
while,33
also,33
hear,33
water,33
upon,33
ground,32
pirate,32
soon,32
lady,32
tree,32
perhaps,32
face,32
fell,32
ay,32
each,31
bell,31
captain,31
believe,30
sometimes,30
dear,30
want,30
tinker,30
replied,30
day,29
mouth,29
might,29
three,29
these,29
can't,28
many,28
cry,28
something,28
best,28
great,28
thus,28
ship,27
shall,27
it's,27
peter's,27
rock,27
pan,26
story,26
old,26
however,26
being,26
others,26
air,26
redskins,26
under,25
bird,25
seen,25
its,25
tried,25
true,24
fairies,24
took,24
own,24
asleep,24
nothing,24
trees,24
our,24
give,24
help,24
flew,24
crocodile,24
jane,24
door,23
seemed,23
remember,23
same,23
floor,23
felt,23
till,23
suddenly,23
against,23
lost,23
neverland,22
stood,22
words,22
head,22
answer,22
indeed,22
o,22
answered,22
save,22
curly,22
shadow,21
until,21
girl,21
open,21
hands,21
longer,21
whispered,21
hat,21
hook's,21
end,20
lovely,20
mind,20
those,20
instead,20
around,20
yet,20
sleep,20
began,20
strange,20
evening,20
medicine,20
life,20
glad,20
except,19
often,19
white,19
george,19
kennel,19
themselves,19
arms,19
gone,19
i'm,19
already,19
fairy,19
heart,18
ones,18
whether,18
days,18
lay,18
feeling,18
part,18
name,18
dead,18
quickly,18
far,18
sea,18
