word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
peter,pan,5.11%,was,4.84%,said,4.3%
by,the,20.35%,a,6.98%,this,5.81%
a,little,5.04%,moment,1.61%,mother,1.39%
the,children,1.88%,boys,1.84%,pirates,1.67%
come,to,12.68%,back,9.86%,away,5.63%
away,to,10.53%,and,8.77%,for,5.26%
little,house,12.5%,girl,5.77%,boy,4.81%
never,bird,9.88%,was,4.94%,knew,3.7%
children,are,8.42%,to,6.32%,were,5.26%
are,you,17.53%,not,4.64%,the,4.12%
do,you,29.32%,it,8.27%,what,4.51%
you,are,4.75%,know,4.13%,see,4.13%
in,the,30.18%,a,10.36%,his,7.25%
hook,was,7.84%,had,6.54%,and,5.23%
or,me,8.57%,the,7.14%,two,2.86%
me,he,6.67%,and,6.67%,to,6.67%
this,time,11.93%,was,9.63%,is,4.59%
time,he,7.94%,and,7.94%,they,7.14%
up,and,12.2%,in,11.59%,the,10.98%
all,the,16.4%,this,2.8%,but,2.8%
one,of,15.24%,who,3.33%,thing,2.86%
they,were,15.24%,had,8.22%,are,6.16%
know,that,10.0%,how,10.0%,what,8.89%
that,he,10.66%,they,8.2%,the,7.21%
will,be,19.51%,never,8.54%,die,4.88%
and,the,5.42%,he,5.06%,then,3.83%
knew,that,28.99%,it,8.7%,what,5.8%
was,a,7.16%,the,6.72%,not,4.66%
when,he,17.16%,she,14.2%,they,12.43%
she,was,15.89%,had,9.7%,said,8.03%
with,a,17.9%,the,12.65%,his,6.79%
it,was,24.94%,is,11.01%,and,3.04%
to,the,9.58%,be,8.65%,him,3.73%
her,and,4.09%,to,3.87%,he,2.37%
mother,he,5.95%,she,4.76%,but,4.76%
i,am,10.3%,have,7.03%,don't,6.32%
must,have,26.23%,be,22.95%,not,4.92%
have,been,17.58%,a,3.91%,to,3.91%
for,the,15.14%,a,10.7%,it,4.7%
mrs,darling,90.28%,darling's,9.72%
darling,was,9.91%,had,5.41%,said,5.41%
hand,and,15.79%,to,8.77%,on,5.26%
cried,the,8.66%,peter,6.3%,and,4.72%
oh,dear,27.59%,no,10.34%,yes,6.9%
like,a,18.28%,the,10.75%,to,6.45%
them,and,7.22%,the,5.42%,to,5.05%
on,the,39.2%,his,7.1%,a,4.55%
but,he,11.89%,it,5.31%,the,5.1%
always,to,5.66%,the,5.66%,said,3.77%
after,the,15.38%,him,9.62%,all,9.62%
is,the,8.77%,a,7.02%,not,5.56%
of,the,21.92%,course,7.94%,them,5.69%
course,he,8.96%,they,7.46%,it,7.46%
their,way,2.74%,mouths,2.28%,captain,2.28%
came,to,15.79%,the,11.84%,back,7.89%
such,a,55.0%,an,8.33%,person,3.33%
other,boys,28.36%,hand,7.46%,side,2.99%
from,the,28.79%,his,10.61%,him,5.3%
there,was,33.85%,is,15.62%,were,8.85%
more,than,8.97%,of,5.13%,in,3.85%
had,been,13.78%,a,7.09%,to,6.69%
could,not,27.66%,have,7.8%,be,4.96%
way,of,12.94%,and,7.06%,that,5.88%
who,was,12.41%,had,11.72%,is,8.97%
been,a,8.21%,in,4.48%,told,3.73%
boys,were,9.09%,and,8.08%,but,4.04%
first,to,10.59%,he,9.41%,time,9.41%
so,that,9.92%,much,7.85%,on,3.31%
he,had,11.95%,was,11.76%,said,8.44%
about,the,13.08%,to,9.35%,him,6.54%
thought,of,14.29%,it,11.69%,this,10.39%
him,and,7.16%,to,6.27%,he,4.78%
then,he,13.51%,she,5.41%,they,4.73%
not,to,6.91%,a,4.6%,know,3.84%
only,a,8.89%,one,7.78%,man,5.56%
no,one,10.05%,more,6.53%,longer,6.53%
quite,a,11.11%,the,11.11%,easily,4.76%
said,peter,6.4%,and,4.65%,to,4.07%
were,not,5.26%,the,5.26%,all,4.45%
down,on,12.31%,to,7.69%,and,6.15%
would,have,18.98%,not,11.11%,be,8.8%
made,a,13.46%,her,9.62%,the,7.69%
at,the,22.88%,once,13.48%,last,7.52%
as,if,12.12%,he,10.0%,a,7.88%
if,you,19.02%,he,14.11%,they,11.04%
out,of,25.9%,to,7.83%,the,4.82%
john,and,20.16%,said,9.68%,had,4.03%
michael,had,8.0%,who,5.0%,and,5.0%
be,a,8.33%,sure,4.58%,heard,2.5%
very,well,7.46%,small,4.48%,like,2.99%
bed,and,19.67%,in,6.56%,post,4.92%
what,was,10.18%,is,8.98%,are,5.99%
his,hand,3.81%,face,2.75%,head,2.54%
again,and,13.98%,he,10.75%,the,4.3%
now,and,5.03%,they,5.03%,that,3.77%
don't,know,18.84%,think,10.14%,want,8.7%
my,mother,16.25%,own,3.75%,love,3.75%
say,that,11.86%,it,6.78%,peter,5.08%
your,mother,7.04%,finger,4.23%,own,4.23%
man,who,5.36%,though,5.36%,he,5.36%
did,not,46.92%,it,9.23%,you,6.15%
yes,i,9.26%,he,7.41%,and,7.41%
we,have,12.96%,are,10.49%,shall,7.41%
went,out,12.96%,to,11.11%,on,11.11%
just,as,10.26%,the,7.69%,before,7.69%
over,the,20.0%,it,13.33%,him,11.67%
even,when,7.69%,in,7.69%,then,5.77%
nana,had,9.43%,to,5.66%,who,3.77%
where,are,13.73%,they,13.73%,the,9.8%
into,the,47.57%,it,5.83%,a,4.85%
how,to,13.41%,long,6.1%,could,4.88%
moment,he,10.71%,and,8.93%,she,7.14%
night,lights,10.34%,and,8.05%,was,4.6%
last,a,8.62%,he,8.62%,words,6.9%
see,her,12.38%,the,12.38%,how,4.76%
back,and,17.74%,to,8.06%,he,4.84%
once,that,9.38%,and,6.25%,the,6.25%
an,hour,5.0%,odd,4.0%,easy,3.0%
which,was,12.2%,is,8.13%,they,6.5%
long,ago,19.64%,time,8.93%,as,7.14%
still,in,8.33%,more,6.67%,she,5.0%
before,he,15.38%,the,13.46%,they,9.62%
go,on,12.82%,to,8.97%,back,7.69%
than,the,14.55%,a,7.27%,ever,7.27%
think,i,16.67%,he,6.67%,she,6.67%
let,us,26.56%,go,14.06%,me,10.94%
look,at,25.0%,of,7.69%,on,5.77%
because,he,19.61%,they,13.73%,i,7.84%
tink,was,11.76%,he,7.84%,said,5.88%
pirates,and,7.02%,were,7.02%,on,5.26%
