word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
peter,said,5.91%,and,5.11%,that,4.3%
and,john,1.81%,him,1.74%,it,1.74%
a,in,7.5%,was,7.07%,with,6.22%
through,way,5.88%,breaks,3.92%,showing,3.92%
away,flew,13.56%,come,6.78%,fly,6.78%
come,had,21.74%,not,7.25%,to,7.25%
little,a,45.63%,the,20.39%,his,2.91%
the,in,8.81%,of,7.99%,on,5.96%
never,the,11.11%,had,9.88%,will,8.64%
children,the,46.32%,her,5.26%,their,4.21%
are,they,18.46%,you,11.79%,we,8.72%
you,do,8.01%,are,6.98%,if,6.37%
in,was,3.71%,and,2.97%,up,2.82%
or,hook,8.22%,you,4.11%,one,2.74%
me,to,7.62%,let,6.67%,or,5.71%
this,that,5.0%,by,4.55%,of,4.55%
time,this,20.8%,the,10.4%,in,7.2%
up,grown,6.67%,her,4.24%,grow,3.03%
all,they,9.24%,of,7.63%,were,4.42%
one,no,9.62%,was,5.77%,the,4.33%
they,that,8.58%,and,8.06%,when,3.6%
know,you,21.74%,not,16.3%,i,14.13%
that,so,3.92%,was,3.75%,knew,3.26%
will,it,12.05%,they,9.64%,you,9.64%
way,the,34.88%,this,8.14%,his,6.98%
was,it,21.94%,he,13.81%,she,10.58%
when,and,13.69%,that,2.98%,but,2.38%
she,and,7.73%,that,6.55%,when,4.03%
with,it,2.78%,him,2.47%,them,2.16%
it,and,3.55%,but,3.17%,that,2.92%
to,had,2.85%,not,2.26%,was,2.1%
her,to,7.49%,in,6.42%,of,5.14%
mother,a,14.94%,my,14.94%,her,10.34%
i,but,4.27%,and,4.03%,said,2.37%
must,they,18.03%,it,11.48%,he,9.84%
have,would,16.02%,to,12.5%,i,11.72%
for,them,2.84%,looking,2.06%,but,2.06%
mrs,and,15.49%,george,5.63%,that,5.63%
darling,mrs,59.09%,mr,35.45%,george,1.82%
hand,his,31.58%,her,17.54%,right,8.77%
cried,he,33.33%,she,13.95%,they,3.88%
oh,dear,5.45%,said,5.45%,me,3.64%
like,you,7.53%,was,5.38%,would,4.3%
them,of,17.2%,for,5.38%,to,5.02%
on,it,3.95%,go,2.82%,so,2.26%
but,it,3.77%,him,2.73%,them,2.31%
always,is,9.26%,was,9.26%,are,9.26%
after,and,5.77%,mother,3.85%,but,3.85%
is,it,25.44%,there,8.77%,he,6.73%
of,out,5.01%,one,3.73%,instead,1.75%
