word type,number
everything,158213
adult,0
hate,0
function,97617
normal,number
to,5239
the,5202
and,4896
of,4293
i,3177
a,3129
it,2528
her,2462
was,2398
she,2340
in,2189
not,2140
you,1980
be,1975
he,1806
that,1788
had,1624
but,1441
as,1436
for,1347
have,1320
is,1240
with,1217
very,1202
mr,1153
his,1145
at,1031
so,974
all,845
could,837
would,820
emma,787
been,759
him,759
no,742
my,728
mrs,699
on,692
any,654
do,639
were,600
miss,599
by,573
me,573
will,570
must,567
which,556
there,549
from,546
they,540
what,535
this,526
or,494
such,489
much,486
if,485
said,484
more,467
an,464
are,455
one,442
every,435
them,432
than,416
harriet,415
am,414
well,401
thing,397
think,383
how,371
should,369
when,363
your,362
little,359
good,359
being,358
never,358
did,352
we,349
only,341
know,337
might,326
say,310
now,309
their,304
own,301
who,294
jane,283
can,283
quite,282
herself,279
time,279
woodhouse,277
great,264
some,262
nothing,256
too,254
before,250
has,250
about,249
most,248
dear,241
always,238
thought,226
soon,224
see,222
other,221
may,221
again,219
man,218
shall,217
without,214
out,212
first,209
sure,204
indeed,202
like,200
frank,200
made,199
ever,193
oh,193
churchill,193
young,192
up,190
day,186
two,177
though,177
better,173
come,172
then,169
father,168
friend,166
just,165
body,164
into,163
after,161
give,159
upon,159
way,155
here,153
really,153
make,152
having,147
long,146
rather,146
himself,146
us,145
hope,143
done,142
cannot,142
seemed,141
over,139
away,138
many,138
poor,136
wish,135
while,133
even,132
go,132
however,131
home,130
does,130
enough,129
mind,128
bates,126
happy,125
yes,125
woman,122
its,122
look,121
going,120
heard,120
came,119
last,119
take,119
half,118
love,117
room,117
pleasure,115
still,115
felt,113
another,113
something,113
sort,112
moment,110
yet,109
letter,109
saw,108
morning,108
few,106
myself,103
till,102
believe,102
same,102
feelings,102
certainly,101
idea,100
hear,100
speak,99
off,99
perhaps,99
doubt,98
our,97
subject,97
evening,96
party,96
house,95
feel,95
those,95
ought,95
word,94
place,93
people,93
deal,92
right,92
found,92
looked,91
often,91
want,90
let,90
present,89
coming,89
almost,88
knew,88
john,88
visit,86
where,86
best,85
both,85
old,85
least,85
possible,84
once,83
kind,82
friends,82
together,81
suppose,81
cried,81
world,80
gone,80
life,80
else,80
emma's,79
replied,79
hour,78
told,78
smith,78
family,77
tell,77
given,77
happiness,76
obliged,76
whole,76
find,75
manner,75
wanted,75
perry,74
between,73
whom,73
seen,73
able,72
three,72
nobody,72
ill,72
martin,72
hardly,71
opinion,71
short,70
part,70
far,70
immediately,70
side,70
down,70
carriage,69
looking,69
less,68
left,68
pretty,68
understand,68
get,67
back,67
perfectly,67
these,66
true,66
heart,66
wife,66
talked,66
sir,66
lady,66
ready,66
towards,66
extremely,66
comfort,65
afraid,65
since,65
general,65
situation,64
spirits,64
nor,64
put,64
whether,64
either,64
began,64
answer,64
next,63
acquaintance,63
marry,63
set,63
under,63
person,63
things,62
therefore,62
through,61
change,61
sorry,61
course,61
children,60
others,60
talk,60
known,60
bad,60
thinking,60
account,59
mean,59
longer,59
attention,59
dare,59
superior,59
assure,59
exactly,58
leave,58
taken,58
years,57
mother,57
equal,57
making,57
chapter,56
isabella,56
name,56
walk,56
feeling,56
yourself,56
return,56
sense,56
degree,56
state,56
passed,55
business,55
imagine,55
why,55
brought,54
beyond,54
cold,54
gave,54
manners,53
because,53
talking,53
minutes,53
hand,53
bear,52
natural,52
walked,52
satisfied,52
aunt,52
read,52
usual,51
among,51
directly,51
saying,51
care,51
eyes,51
seeing,51
point,51
affection,50
used,50
rest,50
glad,50
days,50
agreeable,50
dinner,49
brother,49
wonder,49
end,49
appeared,49
words,49
cole,49
means,48
wished,48
society,48
ah,48
attachment,48
remember,48
door,47
daughter,47
allow,47
took,47
voice,47
pleased,47
interest,47
particularly,46
each,46
girl,46
went,46
believed,46
likely,46
full,46
giving,46
against,46
speaking,46
near,46
doing,45
married,45
london,45
walking,45
already,45
ladies,45
air,45
son,44
strong,44
stay,44
farther,44
called,44
smile,44
character,43
hoped,43
regard,43
meant,43
ask,43
respect,43
campbell,43
real,42
five,42
conversation,42
call,42
need,42
fine,42
proper,42
different,42
spoke,42
early,41
power,41
pleasant,41
impossible,41
afterwards,41
open,41
delightful,41
nature,41
reason,41
taylor,40
allowed,40
kindness,40
night,40
head,40
beginning,40
themselves,40
particular,40
expected,40
thank,40
consider,40
weather,40
sitting,40
fond,39
fortune,39
health,39
settled,39
entirely,39
meeting,39
help,39
returned,39
question,39
creature,39
sometimes,39
whose,39
father's,39
round,39
object,39
wrong,39
letters,39
handsome,38
sit,38
thoughts,38
met,38
bring,38
engaged,38
neither,38
fancy,38
asked,38
use,38
continued,38
colonel,38
woodhouse's,37
sat,37
surprize,37
convinced,37
truth,37
seem,37
added,37
temper,36
amiable,36
necessary,36
got,36
received,36
forward,36
new,36
determined,36
meaning,36
probably,36
appear,36
news,36
marriage,35
large,35
please,35
child,35
supposed,35
common,35
company,35
taste,35
comfortable,34
excellent,34
perfect,34
circumstance,34
pain,34
obliging,34
evil,33
keep,33
papa,33
sent,33
acquainted,33
morrow,33
wanting,33
absolutely,33
dancing,33
ago,32
match,32
meet,32
hearing,32
pass,32
face,32
matter,32
surprized,32
except,32
men,32
within,32
robert,32
charming,32
danger,31
difference,31
husband,31
begin,31
spoken,31
small,31
resolution,31
second,31
compliment,31
says,31
circumstances,31
abbey,31
interesting,31
case,31
serious,31
eye,31
smiling,31
praise,31
ten,31
anxious,31
persuaded,31
ball,31
maple,31
grove,31
twenty,30
knows,30
four,30
warm,30
drawing,30
delighted,30
fair,30
appearance,30
months,30
difficulty,30
worse,30
worth,30
engagement,30
judgment,29
gratitude,29
followed,29
cheerful,29
looks,29
turned,29
none,29
greatest,29
merely,29
greater,29
body's,29
beauty,29
actually,29
excuse,29
attentions,29
easy,28
satisfaction,28
times,28
whenever,28
year,28
understanding,28
shew,28
curiosity,28
occasion,28
week,28
taking,28
yesterday,28
turn,28
ashamed,28
forget,28
resolved,28
clever,27
consequence,27
companion,27
loved,27
sister,27
tea,27
advantage,27
table,27
late,27
alone,27
spirit,27
view,27
fortunate,27
parties,27
happened,27
style,27
notice,27
decided,27
certain,27
instead,27
honour,27
conduct,27
friendship,26
knowing,26
aware,26
marrying,26
pity,26
odd,26
mentioned,26
pray,26
depend,26
regret,26
tried,26
favour,26
mine,26
sight,26
knowledge,26
gentleman,26
completely,26
plan,26
judge,26
crown,26
lived,25
attached,25
sad,25
pay,25
distance,25
horses,25
sensible,25
especially,25
guess,25
hours,25
vain,25
standing,25
goddard,25
elegant,25
sake,25
quiet,25
struck,25
led,25
silent,25
quarter,25
extraordinary,25
behaviour,25
disposition,24
highly,24
event,24
spite,24
beautiful,24
hurry,24
comes,24
fact,24
chuse,24
influence,24
generally,24
written,24
country,24
admiration,24
seems,24
justice,24
entered,24
music,24
write,24
consideration,24
tone,24
also,24
turning,24
loss,23
self,23
scheme,23
town,23
observe,23
thinks,23
hands,23
service,23
favourite,23
due,23
became,23
