word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,18.26%,her,7.62%,any,5.32%
an,hour,9.52%,excellent,4.33%,idea,3.68%
emma,was,8.4%,could,7.76%,had,4.71%
i,am,12.45%,have,8.86%,do,5.7%
chapter,i,5.36%,ii,5.36%,iii,5.36%
woodhouse,i,7.94%,was,6.5%,and,5.42%
and,the,4.6%,i,3.82%,she,2.38%
with,the,10.35%,a,10.1%,her,8.61%
a,very,6.39%,little,4.82%,great,4.34%
home,and,13.85%,i,5.38%,for,4.62%
happy,to,18.4%,and,8.0%,in,4.8%
seemed,to,31.21%,as,6.38%,a,4.26%
to,be,11.87%,the,4.64%,her,3.7%
some,time,13.36%,of,7.63%,other,1.91%
of,the,13.51%,her,6.19%,his,4.55%
the,very,1.96%,same,1.94%,world,1.47%
best,of,14.12%,to,5.88%,blessings,2.35%
had,been,19.05%,not,6.93%,a,3.53%
one,of,14.55%,cannot,2.95%,morning,2.73%
years,old,17.54%,ago,15.79%,hence,7.02%
in,the,20.73%,a,8.37%,her,4.37%
world,and,8.75%,to,7.5%,but,7.5%
very,much,8.32%,well,6.07%,good,3.99%
little,more,3.68%,while,3.4%,friend,3.12%
or,two,5.48%,other,4.87%,any,3.45%
her,own,5.42%,to,4.07%,and,3.66%
she,had,14.22%,was,14.05%,could,7.33%
was,not,6.86%,a,6.19%,the,3.81%
two,or,7.39%,years,4.55%,such,2.84%
most,happy,4.44%,natural,2.82%,agreeable,2.42%
father,and,15.48%,had,5.36%,was,4.76%
been,a,5.93%,so,5.93%,the,4.61%
his,own,6.91%,father,3.23%,wife,2.62%
house,and,15.79%,i,7.37%,was,6.32%
from,the,18.38%,her,8.32%,any,3.87%
mother,and,21.05%,is,10.53%,in,8.77%
too,much,16.93%,well,3.15%,and,3.15%
long,as,8.22%,and,6.16%,enough,6.16%
for,the,12.79%,her,9.31%,a,6.66%
have,been,18.45%,a,4.71%,no,4.63%
more,than,17.56%,and,5.35%,to,4.93%
than,she,9.58%,i,9.58%,a,4.91%
place,and,9.68%,to,7.53%,in,7.53%
woman,and,8.26%,of,7.44%,in,5.79%
as,to,10.18%,she,7.16%,he,5.26%
who,had,16.67%,have,5.78%,could,5.44%
short,and,5.71%,i,5.71%,of,4.29%
miss,woodhouse,36.4%,bates,23.15%,smith,11.46%
mr,woodhouse,26.76%,frank,12.17%,and,9.49%
family,and,11.69%,of,9.09%,but,3.9%
less,of,11.76%,than,8.82%,in,4.41%
friend,and,9.88%,to,6.79%,of,5.56%
both,to,8.24%,in,4.71%,be,3.53%
but,i,10.76%,it,6.29%,she,5.73%
it,was,17.82%,is,11.89%,would,4.89%
even,to,9.3%,the,6.2%,of,5.43%
before,she,10.08%,the,8.87%,her,7.66%
hardly,be,8.45%,knew,7.04%,any,5.63%
any,thing,25.27%,body,10.41%,other,4.29%
being,a,5.92%,in,5.63%,so,3.66%
now,i,8.41%,in,3.88%,and,3.88%
passed,away,10.91%,between,9.09%,through,5.45%
away,and,11.59%,from,8.7%,with,5.8%
they,were,19.18%,are,10.8%,had,9.12%
together,and,12.35%,as,6.17%,in,6.17%
just,as,15.15%,what,9.09%,now,5.45%
what,she,8.6%,is,7.66%,you,7.29%
own,way,2.33%,mind,2.33%,heart,2.33%
indeed,i,17.41%,you,5.97%,and,4.98%
emma's,feelings,5.06%,being,3.8%,side,3.8%
situation,in,9.52%,i,7.94%,and,6.35%
were,to,6.35%,not,4.85%,all,3.51%
having,a,6.85%,any,4.79%,no,4.11%
rather,a,6.16%,than,5.48%,too,4.11%
much,to,6.19%,as,5.77%,more,5.57%
way,to,12.34%,and,7.79%,of,7.14%
think,of,18.37%,it,9.97%,i,6.04%
well,as,11.06%,i,8.54%,and,5.53%
herself,and,10.39%,to,9.32%,in,6.09%
these,were,10.77%,are,9.23%,words,4.62%
which,she,12.18%,i,5.45%,was,5.09%
many,a,6.52%,of,4.35%,years,3.62%
however,i,10.08%,was,8.53%,she,8.53%
at,all,13.15%,the,13.15%,least,6.18%
present,i,6.74%,and,5.62%,to,4.49%
so,much,10.21%,very,8.87%,well,3.2%
that,she,10.42%,he,10.25%,i,7.53%
did,not,51.99%,you,6.82%,she,2.56%
not,be,6.84%,have,4.55%,know,3.8%
came,to,24.37%,in,10.92%,back,8.4%
all,the,20.05%,that,8.71%,her,5.49%
first,in,4.78%,and,3.83%,but,2.87%
brought,the,11.11%,up,9.26%,on,7.41%
on,the,22.27%,her,7.08%,his,5.01%
day,and,10.75%,i,5.91%,of,5.38%
this,is,10.65%,was,5.89%,morning,5.13%
thought,of,15.49%,it,15.04%,you,4.42%
over,the,17.52%,and,8.76%,it,5.84%
people,who,9.68%,in,9.68%,to,6.45%
gone,to,13.75%,through,10.0%,home,5.0%
left,her,16.18%,to,14.71%,the,10.29%
no,more,5.94%,doubt,5.8%,i,4.05%
evening,of,9.38%,and,6.25%,with,6.25%
himself,and,9.66%,to,5.52%,he,5.52%
after,a,16.88%,all,7.5%,the,6.25%
usual,and,3.92%,you,3.92%,hour,3.92%
then,i,8.33%,said,4.17%,he,4.17%
only,to,6.74%,a,5.57%,one,3.81%
every,thing,28.74%,body,20.69%,body's,4.37%
happiness,of,16.0%,in,9.33%,than,5.33%
man,and,7.34%,of,6.42%,who,5.5%
manners,and,13.21%,are,7.55%,it,5.66%
there,was,25.55%,is,18.25%,will,4.2%
always,the,3.36%,been,2.94%,at,2.52%
want,of,35.56%,to,26.67%,his,2.22%
would,be,26.37%,not,17.95%,have,16.61%
be,a,5.43%,the,3.56%,so,3.25%
felt,that,18.58%,the,9.73%,it,6.19%
hour,of,16.67%,and,10.26%,before,10.26%
how,to,7.4%,much,7.12%,could,6.03%
old,friend,9.41%,lady,8.24%,acquaintance,8.24%
through,the,32.79%,a,8.2%,her,6.56%
here,is,10.46%,i,9.8%,it,5.23%
last,night,12.71%,and,3.39%,with,3.39%
equal,to,33.33%,footing,3.51%,and,3.51%
soon,as,15.62%,be,8.04%,afterwards,6.7%
their,own,5.63%,being,3.97%,way,2.65%
other,day,4.52%,people,4.07%,and,3.62%
yet,it,6.42%,she,5.5%,he,5.5%
such,a,40.98%,an,12.91%,as,2.87%
few,minutes,18.87%,days,11.32%,weeks,5.66%
its,being,22.13%,own,4.1%,way,2.46%
pleasure,of,15.65%,in,11.3%,to,9.57%
whom,she,26.03%,he,16.44%,i,15.07%
could,not,33.33%,be,11.39%,have,5.52%
speak,of,22.22%,to,15.15%,with,7.07%
never,been,5.31%,had,5.31%,have,4.19%
find,her,8.0%,a,8.0%,fault,4.0%
bear,to,28.85%,it,9.62%,the,5.77%
change,of,22.95%,and,8.2%,it,4.92%
true,my,6.06%,and,4.55%,for,4.55%
going,to,49.17%,on,8.33%,in,3.33%
half,a,31.36%,an,16.95%,so,8.47%
them,and,7.66%,to,6.5%,all,5.57%
great,deal,24.24%,pleasure,4.92%,a,4.17%
must,be,31.92%,have,11.82%,not,7.05%
between,them,23.88%,the,17.91%,us,5.97%
