word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.87%,was,2.11%,not,1.76%
an,such,13.64%,of,6.71%,be,4.33%
emma,and,8.49%,said,7.85%,to,4.76%
jane,and,8.57%,of,5.71%,that,5.36%
i,and,6.04%,but,5.0%,that,4.32%
chapter,her,5.56%,it,3.7%,harriet,3.7%
woodhouse,miss,58.48%,mr,39.71%,emma,1.81%
and,her,1.92%,him,1.43%,it,1.3%
with,and,3.93%,her,2.93%,love,2.59%
a,such,6.44%,in,5.8%,of,4.86%
home,at,30.0%,her,5.38%,go,4.62%
happy,very,16.8%,be,9.6%,most,8.8%
seemed,it,16.42%,he,12.69%,and,4.48%
to,as,2.81%,her,1.94%,was,1.59%
some,of,10.42%,in,5.79%,for,5.41%
of,sort,1.97%,think,1.64%,out,1.59%
the,of,11.0%,in,8.65%,to,4.6%
best,the,48.19%,very,7.23%,had,4.82%
had,she,21.31%,he,15.4%,i,6.87%
one,in,6.45%,any,4.38%,but,3.69%
years,two,14.29%,ten,10.71%,many,8.93%
in,was,2.7%,and,2.56%,her,1.86%
world,the,94.94%,this,2.53%,white,1.27%
very,a,16.81%,the,8.45%,so,7.26%
little,a,42.13%,very,7.87%,so,5.62%
or,two,2.73%,one,1.68%,hour,1.47%
her,of,10.6%,to,7.7%,for,5.01%
she,that,8.06%,and,5.08%,as,4.47%
was,it,19.64%,she,14.38%,he,9.73%
two,the,27.27%,or,15.34%,and,3.41%
most,the,23.55%,a,23.14%,was,9.92%
father,her,47.62%,his,22.02%,my,15.48%
been,had,40.63%,have,32.06%,has,7.26%
his,of,16.74%,in,6.57%,and,5.52%
house,the,51.61%,his,7.53%,a,5.38%
from,her,3.72%,far,3.16%,and,2.23%
mother,my,47.37%,his,12.28%,her,8.77%
too,was,10.84%,is,4.42%,are,4.42%
long,so,18.49%,a,7.53%,as,6.85%
for,enough,1.97%,and,1.82%,but,1.59%
have,i,21.39%,to,14.0%,would,10.35%
more,no,9.48%,much,5.82%,be,5.39%
than,more,20.15%,better,5.9%,rather,1.97%
place,the,26.88%,take,8.6%,taken,7.53%
woman,a,25.41%,young,18.85%,the,6.56%
as,and,5.92%,well,3.14%,but,2.85%
who,those,10.51%,and,7.39%,man,4.67%
short,in,37.14%,a,14.29%,too,5.71%
miss,and,11.34%,to,6.94%,of,6.09%
mr,of,7.8%,and,7.1%,to,4.56%
family,the,20.55%,a,16.44%,her,9.59%
less,much,11.76%,not,5.88%,the,5.88%
friend,her,20.73%,a,17.07%,your,8.54%
both,of,14.29%,them,14.29%,were,7.14%
but,it,3.01%,not,1.86%,nothing,1.79%
between,passed,6.85%,divided,5.48%,intimacy,5.48%
even,not,9.16%,or,8.4%,and,6.11%
before,and,3.75%,hour,3.33%,day,3.33%
hardly,could,15.71%,can,12.86%,would,8.57%
any,of,7.37%,to,5.84%,for,5.07%
being,of,21.1%,its,7.8%,his,6.94%
now,was,10.23%,and,10.23%,but,5.61%
passed,had,23.64%,have,5.45%,long,3.64%
away,thrown,5.8%,go,5.07%,passed,4.35%
they,as,7.59%,that,6.26%,when,4.93%
together,them,7.5%,walking,5.0%,happy,3.75%
just,was,7.98%,had,7.36%,is,6.13%
what,of,8.16%,know,6.83%,to,3.42%
own,her,44.48%,his,26.42%,your,7.69%
indeed,no,6.15%,and,3.08%,yes,2.56%
emma's,in,10.26%,of,8.97%,but,6.41%
situation,a,21.05%,her,12.28%,of,7.02%
were,they,18.1%,you,8.61%,we,4.04%
having,of,18.31%,for,9.15%,and,8.45%
rather,would,11.89%,was,10.49%,i,4.2%
much,very,20.58%,so,20.37%,as,10.08%
way,the,14.38%,a,7.84%,his,6.54%
think,i,28.31%,to,18.25%,not,14.29%
well,very,18.43%,as,12.63%,so,7.83%
herself,to,12.23%,for,4.32%,of,3.6%
these,all,10.77%,of,6.15%,in,4.62%
which,in,2.59%,on,2.04%,to,1.48%
many,so,21.17%,great,7.3%,with,5.11%
however,still,3.97%,but,3.97%,herself,3.17%
at,not,3.84%,be,2.86%,and,2.56%
present,at,34.83%,the,28.09%,her,6.74%
so,and,6.83%,be,6.63%,is,6.31%
that,and,4.67%,all,4.15%,of,2.79%
did,she,17.78%,i,13.99%,he,13.12%
not,could,13.04%,do,11.02%,did,8.58%
came,he,20.54%,she,12.5%,it,6.25%
all,at,13.88%,of,7.0%,with,6.17%
it,of,6.08%,but,3.6%,that,3.52%
first,the,34.95%,at,15.53%,her,5.34%
brought,had,18.52%,have,5.56%,be,5.56%
on,and,3.54%,but,1.62%,go,1.47%
day,the,17.2%,to,13.44%,a,10.22%
this,of,10.72%,in,6.82%,at,6.43%
thought,i,17.27%,she,15.91%,have,10.0%
over,was,5.8%,be,5.8%,it,5.07%
people,young,10.99%,other,9.89%,of,8.79%
gone,had,15.19%,was,15.19%,be,10.13%
left,he,8.96%,were,7.46%,had,7.46%
no,have,8.39%,had,7.7%,was,7.02%
evening,the,42.71%,an,6.25%,every,5.21%
himself,to,10.14%,of,6.52%,from,2.9%
after,and,15.19%,soon,7.59%,inquiries,2.53%
usual,the,25.49%,as,21.57%,than,21.57%
then,and,36.14%,but,7.23%,she,4.82%
only,the,8.71%,and,6.01%,was,4.2%
every,of,9.3%,and,7.91%,in,6.05%
happiness,the,17.57%,and,9.46%,of,8.11%
man,young,36.24%,a,25.23%,the,5.96%
there,and,6.15%,that,5.77%,but,5.03%
always,was,10.39%,i,9.96%,is,6.06%
want,not,20.0%,i,13.33%,the,8.89%
would,it,15.63%,she,12.07%,he,10.67%
be,to,30.78%,would,10.95%,must,9.18%
felt,she,23.42%,emma,17.12%,i,9.91%
hour,an,56.41%,half,7.69%,the,5.13%
how,and,8.2%,know,7.1%,me,3.28%
old,an,18.82%,years,11.76%,the,10.59%
through,gone,13.11%,passed,4.92%,her,3.28%
here,and,7.38%,be,6.71%,been,4.7%
last,at,38.98%,the,20.34%,very,5.93%
equal,an,9.09%,was,7.27%,her,5.45%
soon,as,14.86%,very,8.56%,will,8.11%
their,of,19.8%,in,11.07%,to,5.7%
other,the,33.48%,any,12.67%,or,10.86%
yet,and,25.93%,not,9.26%,but,7.41%
such,of,8.59%,with,6.95%,in,6.34%
few,a,67.92%,very,12.26%,the,3.77%
its,of,30.33%,for,4.92%,and,4.1%
pleasure,the,21.74%,of,15.65%,great,11.3%
whom,to,26.39%,with,6.94%,man,6.94%
could,she,20.98%,he,11.78%,i,10.43%
speak,to,44.9%,not,12.24%,you,10.2%
never,i,16.06%,had,12.11%,have,5.07%
find,to,33.33%,not,10.67%,will,10.67%
bear,not,27.45%,to,17.65%,could,17.65%
change,the,18.33%,a,13.33%,any,5.0%
