word type,number
everything,277167
adult,0
hate,0
function,171133
normal,number
the,9524
to,9390
and,8434
of,7893
i,5206
a,5070
her,4653
was,4237
in,4065
it,4048
she,4024
not,3556
that,3316
you,3296
be,3212
he,3126
had,2794
as,2615
but,2413
his,2399
for,2394
with,2267
have,2158
is,2096
mr,1935
at,1817
very,1686
so,1558
him,1508
all,1460
my,1427
on,1407
could,1360
would,1286
been,1273
no,1225
by,1210
were,1165
they,1137
which,1091
mrs,1042
from,1036
what,1007
me,993
do,981
will,978
this,967
any,922
there,890
said,885
miss,882
such,872
must,872
them,860
if,829
an,826
much,811
your,800
are,792
more,789
or,788
emma,787
their,742
when,733
am,729
one,703
than,698
every,632
well,623
did,616
should,614
elizabeth,602
how,598
think,594
we,593
who,578
never,576
know,573
good,557
only,555
little,546
jane,544
being,532
might,526
now,512
herself,503
can,494
own,483
time,482
before,477
has,470
say,468
some,467
soon,440
thing,438
most,434
nothing,432
other,429
harriet,417
may,412
great,406
though,398
dear,398
again,396
too,394
without,384
shall,378
quite,378
see,371
darcy,370
about,369
man,361
after,360
always,356
first,354
out,345
then,339
thought,337
day,325
made,325
ever,323
young,322
make,317
up,312
two,308
sure,306
into,305
indeed,294
bennet,293
oh,285
father,284
give,282
woodhouse,277
like,277
himself,271
friend,269
room,267
us,266
however,265
better,265
come,264
hope,264
way,262
long,261
many,256
away,255
cannot,253
lady,249
having,243
really,241
last,239
just,237
upon,235
go,233
enough,233
wish,231
done,231
over,230
family,228
its,226
letter,225
here,220
even,214
felt,212
does,212
saw,210
came,209
love,209
while,208
seemed,207
happy,206
pleasure,206
sister,206
heard,204
house,201
rather,201
frank,200
take,199
home,195
myself,195
till,194
churchill,193
believe,189
feelings,188
yes,188
half,187
still,187
morning,185
mind,184
something,183
yet,182
replied,182
subject,181
often,180
woman,179
chapter,178
few,177
going,177
look,177
perhaps,175
where,174
moment,174
poor,173
cried,172
certainly,171
hear,171
same,171
our,170
manner,170
another,169
evening,168
mother,167
place,166
body,166
speak,165
let,165
looked,164
off,161
found,158
whom,157
both,156
present,156
collins,156
whole,155
those,154
party,152
sort,150
least,150
idea,149
happiness,148
coming,148
tell,148
seen,148
almost,147
ill,147
world,146
told,146
less,145
knew,145
together,144
sir,144
kind,143
down,143
word,142
gone,141
once,140
people,139
opinion,139
ought,139
possible,139
visit,137
life,136
between,135
