word type,number
everything,118954
adult,0
hate,0
function,73516
normal,number
the,4322
to,4151
of,3600
and,3538
her,2191
i,2029
a,1941
in,1876
was,1839
she,1684
that,1528
it,1520
not,1416
he,1320
you,1316
his,1254
be,1237
as,1179
had,1170
with,1050
for,1047
but,972
is,856
have,838
at,786
mr,782
him,749
on,715
my,699
by,637
all,615
they,597
elizabeth,594
so,584
were,565
which,535
could,523
been,514
from,490
very,484
no,483
what,472
would,466
this,441
their,438
your,438
them,428
me,420
will,408
said,401
such,383
when,370
darcy,370
an,362
if,344
mrs,343
do,342
there,341
are,337
much,325
more,322
am,315
must,305
or,294
bennet,293
who,284
miss,283
than,282
any,268
did,264
jane,261
one,261
should,245
we,244
know,236
before,227
how,227
herself,224
well,222
though,221
has,220
never,218
soon,216
only,214
can,211
think,211
other,208
some,205
now,203
time,203
might,200
after,199
good,198
every,197
may,191
little,187
most,186
lady,183
own,182
sister,179
again,177
nothing,176
being,174
then,170
without,170
make,165
shall,161
say,158
dear,157
collins,156
family,151
room,150
see,149
first,145
man,143
into,142
great,142
too,140
day,139
however,134
out,133
two,131
young,130
ever,130
made,126
himself,125
give,123
chapter,122
up,122
hope,121
us,121
last,120
about,120
always,118
many,118
away,117
father,116
letter,116
long,115
cannot,111
thought,111
mother,110
catherine,110
way,107
house,106
enough,104
its,104
replied,103
friend,103
sure,102
saw,102
go,101
felt,99
quite,96
wish,96
having,96
manner,95
oh,92
love,92
better,92
indeed,92
come,92
till,92
myself,92
cried,91
over,91
pleasure,91
came,90
often,89
done,89
really,88
where,88
believe,87
feelings,86
heard,84
subject,84
whom,84
does,82
even,82
happy,81
take,80
anything,79
whole,79
sir,78
aunt,78
like,77
less,77
morning,77
perhaps,76
sisters,76
upon,76
daughter,76
let,75
ill,75
while,75
seen,75
ladies,74
down,73
place,73
our,73
therefore,73
looked,73
yet,73
just,72
still,72
evening,72
happiness,72
tell,71
few,71
nor,71
hear,71
added,71
both,71
next,70
certainly,70
something,70
half,69
these,69
kitty,69
same,69
told,68
opinion,68
attention,68
here,67
towards,67
present,67
charlotte,67
speak,66
world,66
found,66
seemed,66
marriage,66
went,66
least,65
left,65
town,65
brother,65
home,65
colonel,65
answer,64
moment,64
yes,63
together,63
each,63
between,62
off,62
married,61
character,61
gone,61
passed,61
leave,61
kind,61
received,61
immediately,60
part,60
conversation,60
seeing,60
because,60
uncle,60
since,59
three,59
those,59
began,59
either,59
whose,59
almost,59
coming,59
known,58
find,58
affection,58
far,58
woman,57
knew,57
once,57
going,57
party,56
mind,56
life,56
another,56
means,56
look,56
behaviour,55
rather,55
given,55
possible,55
london,54
gave,54
able,54
side,54
friends,53
whether,53
took,53
why,52
others,52
get,52
certain,52
against,52
visit,51
general,51
acquaintance,51
continued,51
eyes,51
walk,51
reason,51
daughters,50
return,49
idea,49
yourself,49
regard,49
word,48
person,48
object,48
suppose,48
settled,47
perfectly,47
pride,46
people,46
hardly,46
course,46
returned,45
girls,45
business,45
heart,45
point,45
everything,45
scarcely,45
want,44
wife,44
ought,44
agreeable,44
walked,44
carriage,44
longer,44
impossible,43
else,43
expected,43
manners,43
turned,43
short,43
honour,42
spoke,42
husband,42
power,42
through,42
civility,42
marry,42
thing,41
best,41
back,41
read,41
called,41
cousin,41
help,41
country,41
william,40
dare,40
asked,40
convinced,40
fortune,39
assure,39
wished,39
rest,39
hertfordshire,39
met,39
spirits,39
former,39
talking,39
write,39
de,39
likely,38
account,38
mary,38
pleased,38
sat,38
talked,38
situation,38
feeling,38
neither,38
feel,38
sort,38
right,38
occasion,37
handsome,37
glad,37
poor,37
making,37
afraid,37
minutes,37
brought,37
engaged,37
girl,37
doubt,37
stay,37
believed,37
entered,36
near,36
different,36
surprise,36
beyond,36
four,35
years,35
ball,35
door,35
dinner,35
gentlemen,35
amiable,35
everybody,35
care,35
expect,35
sense,35
sometimes,35
night,35
invitation,34
thousand,34
themselves,34
mean,34
advantage,34
sorry,34
looking,34
within,34
deal,34
also,34
wonder,34
silence,34
saying,34
answered,34
whatever,34
wishes,34
usual,34
name,33
consider,33
merely,33
men,33
ten,33
satisfied,33
hour,33
society,33
surprised,33
under,33
table,33
five,32
determined,32
sensible,32
dance,32
ask,32
afterwards,32
hurst,32
speaking,32
consequence,32
head,32
length,32
taken,31
fine,31
talk,31
meet,31
gentleman,31
particularly,31
set,31
appeared,31
necessary,31
put,31
real,31
case,31
instantly,31
comfort,31
end,30
respect,30
understand,30
astonishment,30
days,30
arrival,30
countenance,30
air,30
alone,30
equal,30
words,30
allow,30
officers,30
exactly,30
appearance,30
appear,30
resolved,30
ladyship,30
neighbourhood,29
week,29
year,29
mention,29
news,29
kindness,29
obliged,29
things,29
younger,29
opportunity,29
lost,29
smile,29
matter,28
highly,28
already,28
early,28
particular,28
mentioned,28
offer,28
joined,28
receive,28
assured,28
call,28
truth,27
information,27
meant,27
credit,27
imagine,27
during,27
importance,27
observed,27
attachment,27
hours,27
face,27
thus,27
knowing,27
forward,27
pain,27
absence,27
satisfaction,27
circumstances,27
money,27
beauty,26
reply,26
keep,26
walking,26
expressed,26
compliment,26
liked,26
anxious,26
allowed,26
true,26
easily,26
attentions,26
doing,26
turn,26
silent,26
pray,26
breakfast,26
supposed,26
wholly,26
exceedingly,26
ago,26
giving,25
children,25
delight,25
humour,25
among,25
second,25
hand,25
followed,25
admiration,25
disposition,25
got,25
interest,25
entirely,25
thoughts,25
concern,25
bear,25
persuaded,25
hearing,24
send,24
temper,24
acquainted,24
easy,24
derbyshire,24
pretty,24
anyone,24
pounds,24
greater,24
nature,24
self,24
express,24
attended,24
serious,24
wanted,24
relations,24
probably,24
change,24
master,24
living,24
happened,24
match,24
brighton,24
considered,23
large,23
delighted,23
depend,23
following,23
sake,23
new,23
hopes,23
library,23
fear,23
several,23
remained,23
curiosity,23
anybody,23
spite,23
small,23
gratitude,23
degree,23
prevented,23
inquiries,23
conduct,23
frequently,23
fixed,22
park,22
desire,22
spent,22
proud,22
company,22
dislike,22
event,22
pleasing,22
praise,22
natural,22
favour,22
directly,22
whenever,22
remember,22
seems,22
latter,22
voice,22
except,22
meeting,22
inclination,22
especially,22
terms,22
fair,22
son,22
thinking,21
marrying,21
design,21
live,21
intended,21
promised,21
fortnight,21
pleasant,21
dancing,21
instead,21
above,21
sitting,21
listened,21
used,21
expression,21
notice,21
attempt,21
repeated,21
drawing,21
work,21
madam,21
wrote,21
further,21
trouble,21
months,21
journey,21
acknowledged,20
understanding,20
knowledge,20
times,20
morrow,20
equally,20
estate,20
hoped,20
charming,20
mistaken,20
question,20
vain,20
greatest,20
endeavour,20
forced,20
proper,20
ready,20
sent,20
favourite,20
engagement,20
particulars,20
connection,20
receiving,20
niece,20
none,19
choose,19
excellent,19
delightful,19
eldest,19
drew,19
join,19
unless,19
fancy,19
common,19
circumstance,19
address,19
taking,19
regiment,19
danger,19
resolution,19
anxiety,19
affected,19
late,19
comprehend,19
strong,19
thank,19
full,19
need,19
state,19
written,19
street,19
summer,19
nephew,19
cause,19
expectation,19
regret,19
paid,18
chance,18
persuade,18
intelligence,18
women,18
book,18
admire,18
maria,18
superior,18
smiled,18
civil,18
purpose,18
vanity,18
evident,18
slight,18
success,18
light,18
play,18
reached,18
pause,18
avoid,18
dining,18
cold,18
leaving,18
health,18
affair,18
concerned,18
weeks,18
stairs,18
led,18
effect,18
capable,18
high,17
twenty,17
addressed,17
forget,17
accept,17
report,17
sight,17
bring,17
angry,17
resentment,17
partner,17
round,17
ease,17
perfect,17
likewise,17
removed,17
absolutely,17
beg,17
promise,17
felicity,17
open,17
politeness,17
indifference,17
connections,17
opened,17
scheme,17
dearest,17
motive,17
view,17
yours,17
wait,17
proved,17
loss,17
saturday,17
kept,17
parsonage,17
affectionate,17
disappointment,17
comes,16
extraordinary,16
ignorant,16
suddenly,16
fond,16
step,16
law,16
nobody,16
related,16
chose,16
seem,16
excuse,16
generally,16
composure,16
pass,16
laugh,16
companion,16
distance,16
servant,16
dine,16
miles,16
accepted,16
readily,16
spoken,16
tone,16
formed,16
letters,16
conviction,16
tried,16
confess,16
pardon,16
became,16
blame,16
distress,16
prevent,16
scene,16
ashamed,16
objection,15
says,15
use,15
extremely,15
lively,15
fortunate,15
window,15
declared,15
sit,15
beautiful,15
eye,15
advice,15
worth,15
disposed,15
age,15
period,15
intention,15
wrong,15
duty,15
winter,15
calling,15
otherwise,15
housekeeper,15
chief,15
trust,15
assurance,15
prevailed,15
seated,15
justice,15
earnest,15
future,15
indifferent,15
farther,15
belief,15
share,14
compassion,14
consideration,14
unable,14
questions,14
arrived,14
disagreeable,14
principal,14
creature,14
behind,14
tolerable,14
twice,14
gratified,14
struck,14
elegant,14
asking,14
thanks,14
please,14
observation,14
fact,14
respectable,14
choice,14
greatly,14
influence,14
tolerably,14
eagerly,14
considering,14
wishing,14
interesting,14
astonished,14
caroline,14
bad,14
aware,14
parted,14
alarm,14
reading,14
prospect,14
kent,14
connected,14
painful,14
visitors,14
occurred,14
misery,14
marked,14
wedding,14
supposing,14
reasonable,14
road,14
servants,13
consent,13
old,13
suffer,13
meaning,13
books,13
ideas,13
youngest,13
assistance,13
etc,13
entrance,13
standing,13
turning,13
learnt,13
lived,13
spend,13
intimate,13
opening,13
form,13
conceal,13
secure,13
leisure,13
plan,13
sooner,13
taste,13
stood,13
frequent,13
yesterday,13
finding,13
clothes,13
enjoyment,13
picture,13
possibility,13
worse,13
relief,13
child,13
partiality,13
writing,13
determine,13
comparison,13
ran,13
tea,13
grateful,13
hall,13
understood,13
eager,13
dared,13
deceived,13
evil,13
anger,13
seriously,13
distressed,13
unhappy,13
recollected,13
produced,12
single,12
agreed,12
recommend,12
silly,12
observing,12
amusement,12
actually,12
joy,12
favourable,12
danced,12
occasionally,12
amongst,12
admired,12
stranger,12
disappointed,12
steady,12
rich,12
public,12
parties,12
begin,12
approaching,12
hard,12
application,12
