word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,17.75%,her,7.49%,his,6.68%
and,the,4.64%,i,3.43%,she,3.17%
there,was,26.11%,is,19.29%,were,8.01%
is,a,9.0%,not,8.53%,very,4.27%
an,hour,5.08%,air,3.11%,end,3.11%
of,the,13.4%,her,7.45%,his,6.76%
this,is,6.41%,was,5.72%,morning,2.97%
which,she,8.16%,i,7.59%,he,7.4%
may,be,23.56%,have,5.24%,not,5.24%
at,the,15.36%,all,10.14%,least,6.3%
it,was,16.58%,is,12.53%,would,4.58%
a,very,4.1%,few,2.99%,little,2.89%
that,he,11.83%,she,8.45%,i,7.17%
man,who,12.77%,of,10.64%,and,8.51%
in,the,20.92%,a,7.34%,her,5.2%
good,humour,6.6%,opinion,4.57%,deal,4.06%
must,be,25.66%,have,10.86%,not,6.25%
be,in,3.43%,so,3.43%,the,3.18%
however,to,6.72%,that,5.97%,she,5.22%
little,of,5.56%,and,3.33%,to,3.33%
known,to,13.79%,her,8.62%,him,6.9%
the,whole,1.71%,room,1.64%,same,1.64%
feelings,which,11.76%,and,9.41%,of,7.06%
or,three,4.86%,the,4.86%,two,4.51%
such,a,37.27%,an,11.55%,as,4.2%
on,the,21.51%,her,6.55%,his,6.27%
his,own,4.11%,wife,2.63%,friend,2.55%
first,object,4.14%,came,3.45%,place,3.45%
so,much,10.57%,far,3.81%,well,3.64%
well,as,13.7%,i,7.31%,and,5.48%
he,had,12.39%,was,11.94%,is,5.59%
some,time,11.82%,of,9.85%,other,2.96%
one,of,26.36%,day,3.1%,cannot,2.33%
other,and,5.88%,person,2.94%,day,2.94%
their,father,3.34%,own,3.1%,brother,2.15%
my,dear,17.96%,own,4.34%,father,3.14%
dear,sir,8.13%,aunt,6.5%,jane,5.69%
mr,darcy,49.38%,collins,26.54%,bennet,16.26%
bennet,was,11.26%,and,7.51%,had,6.48%
said,she,13.54%,elizabeth,10.94%,he,9.9%
lady,catherine,67.57%,and,3.38%,who,2.7%
to,be,11.04%,the,6.27%,her,4.32%
him,to,11.44%,and,6.19%,in,5.92%
day,before,9.49%,of,8.03%,and,5.84%
have,been,16.21%,no,3.84%,the,3.72%
you,are,7.4%,have,6.01%,will,5.93%
heard,of,10.71%,you,8.33%,from,5.95%
let,me,42.47%,us,20.55%,her,8.22%
last,night,8.4%,i,3.36%,letter,3.36%
replied,elizabeth,17.17%,jane,7.07%,that,6.06%
had,been,16.91%,not,6.35%,never,3.0%
not,be,6.47%,to,4.55%,have,3.2%
but,i,10.25%,it,5.71%,she,5.29%
she,was,12.46%,had,12.1%,could,7.69%
for,the,15.64%,her,8.27%,a,5.48%
mrs,bennet,67.8%,collins,12.68%,hurst,9.76%
long,enough,6.96%,ago,6.96%,as,5.22%
has,been,23.04%,not,7.37%,no,3.69%
just,as,18.84%,been,7.25%,what,5.8%
been,so,4.12%,a,3.33%,in,3.33%
here,and,7.58%,on,4.55%,i,4.55%
told,her,22.06%,me,14.71%,you,11.76%
me,to,10.12%,i,6.75%,that,4.34%
all,the,18.12%,that,5.77%,her,5.6%
about,it,20.0%,the,19.13%,a,7.83%
made,no,17.46%,her,14.29%,him,8.73%
no,more,7.32%,means,5.44%,one,5.23%
answer,and,20.63%,to,11.11%,but,7.94%
do,not,35.91%,you,14.24%,it,4.15%
know,that,13.04%,what,10.0%,how,6.96%
who,had,13.78%,was,9.54%,could,4.95%
cried,elizabeth,28.57%,her,11.9%,his,5.95%
tell,you,22.86%,me,21.43%,her,10.0%
i,am,14.96%,have,9.12%,do,4.39%
was,not,6.78%,a,4.54%,to,3.17%
enough,to,46.15%,for,9.62%,of,6.73%
why,did,13.46%,should,11.54%,all,5.77%
young,man,27.64%,ladies,20.33%,lady,13.01%
from,the,20.31%,her,8.95%,what,3.49%
came,to,25.56%,in,7.78%,and,6.67%
down,to,19.18%,the,16.44%,again,9.59%
see,her,11.72%,him,10.34%,the,8.97%
place,and,8.22%,in,5.48%,to,4.11%
much,as,9.88%,to,6.79%,more,4.94%
with,the,11.52%,a,8.98%,her,8.3%
immediately,and,13.33%,before,6.67%,that,5.0%
take,the,11.69%,care,11.69%,it,7.79%
before,the,8.85%,she,8.41%,he,7.96%
are,not,11.31%,you,7.74%,all,4.17%
house,and,17.14%,in,9.52%,as,5.71%
next,morning,27.54%,day,20.29%,to,7.25%
what,i,9.33%,he,8.68%,is,8.03%
