word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.08%,was,1.76%,joined,1.44%
and,her,1.66%,him,1.36%,it,1.33%
is,it,23.42%,he,9.05%,there,8.05%
an,such,12.26%,with,8.36%,of,6.41%
of,one,1.9%,out,1.2%,part,1.15%
this,of,9.47%,in,7.62%,all,6.7%
which,in,7.49%,of,4.22%,on,2.5%
may,you,18.48%,i,9.78%,it,7.07%
at,looked,3.25%,and,3.12%,was,2.86%
jane,and,7.72%,to,7.34%,said,5.41%
chapter,sister,3.7%,house,3.7%,home,3.7%
a,such,7.41%,in,6.99%,of,5.74%
that,and,3.62%,all,2.35%,of,2.08%
man,a,25.87%,young,23.78%,the,10.49%
in,and,2.77%,him,2.39%,be,2.28%
good,a,17.8%,the,8.38%,very,7.33%
must,you,20.67%,i,13.33%,it,8.33%
be,to,35.96%,would,7.57%,not,7.4%
however,but,6.92%,it,3.85%,length,3.85%
little,a,29.73%,very,9.73%,so,7.57%
known,have,15.79%,had,14.04%,well,5.26%
the,of,10.88%,in,8.96%,to,5.89%
feelings,her,22.37%,the,13.16%,my,11.84%
or,two,4.59%,day,2.47%,three,1.77%
such,in,8.71%,of,8.44%,with,6.33%
on,and,2.71%,prevailed,1.71%,resolved,1.43%
his,of,18.84%,to,7.33%,in,5.88%
first,the,41.01%,at,12.95%,his,5.04%
so,be,7.32%,and,5.75%,was,4.88%
well,as,18.55%,so,9.5%,very,7.69%
he,that,13.51%,as,4.79%,if,4.63%
some,of,9.27%,with,9.27%,for,5.37%
one,no,9.65%,only,4.63%,on,4.63%
other,the,27.4%,each,15.38%,any,13.46%
their,of,19.95%,to,5.57%,in,5.1%
my,of,11.81%,in,5.83%,to,4.52%
dear,my,76.92%,dear,3.85%,his,1.92%
mr,of,8.6%,and,5.56%,to,5.42%
bennet,mrs,48.43%,mr,27.53%,miss,20.91%
said,and,5.85%,she,5.32%,he,3.46%
lady,of,9.39%,young,8.84%,to,6.08%
to,as,2.57%,him,2.08%,not,1.56%
him,with,7.23%,to,7.1%,of,6.96%
day,the,25.9%,a,12.23%,every,10.07%
have,i,22.21%,would,10.07%,you,9.47%
you,that,5.05%,if,4.97%,do,3.73%
heard,had,17.5%,have,15.0%,never,13.75%
let,to,7.04%,not,7.04%,and,5.63%
last,at,29.82%,the,23.68%,town,3.51%
replied,he,14.14%,she,8.08%,bennet,3.03%
had,she,18.29%,he,14.59%,they,5.77%
not,could,11.86%,did,9.38%,was,8.81%
but,him,2.34%,nothing,2.24%,her,2.02%
it,of,5.9%,that,4.83%,but,3.62%
she,that,7.61%,and,6.7%,as,5.78%
for,her,2.05%,as,1.76%,affection,1.37%
mrs,and,13.53%,said,6.18%,to,6.18%
long,mrs,12.5%,not,8.04%,a,6.25%
has,he,25.49%,she,9.8%,it,7.84%
just,had,9.72%,have,9.72%,was,5.56%
been,had,38.63%,have,26.47%,has,9.8%
here,been,7.58%,come,6.06%,coming,4.55%
told,i,16.42%,he,8.96%,she,7.46%
me,to,10.71%,let,7.38%,with,4.52%
all,at,10.78%,of,10.13%,to,4.25%
about,care,4.39%,nothing,3.51%,all,2.63%
made,have,6.5%,had,4.88%,she,4.88%
no,had,7.07%,have,6.65%,was,5.82%
answer,no,26.56%,an,10.94%,her,9.38%
do,i,26.59%,to,15.11%,you,6.34%
know,to,21.93%,you,20.18%,i,17.98%
who,man,7.06%,and,7.06%,darcy,4.31%
cried,she,12.94%,indeed,5.88%,you,3.53%
tell,to,22.86%,you,10.0%,not,8.57%
i,and,6.15%,that,5.48%,but,5.01%
was,it,14.38%,she,12.02%,he,8.97%
enough,long,7.69%,was,6.73%,near,3.85%
young,a,20.77%,the,19.23%,this,3.08%
from,far,3.94%,and,3.53%,him,3.11%
came,he,16.05%,who,8.64%,she,7.41%
down,sat,26.39%,sit,9.72%,and,6.94%
see,to,51.68%,you,7.38%,i,6.04%
place,the,23.29%,a,9.59%,took,9.59%
much,so,19.0%,as,13.4%,too,11.21%
with,and,2.53%,her,2.43%,acquainted,1.94%
immediately,and,12.28%,not,8.77%,was,8.77%
take,to,27.27%,not,10.39%,i,7.79%
before,day,5.88%,and,3.17%,him,2.71%
are,you,29.63%,they,12.35%,we,8.33%
house,the,58.51%,his,6.38%,a,6.38%
next,the,63.77%,very,4.35%,of,2.9%
what,of,12.69%,know,5.03%,and,4.16%
married,be,24.59%,well,6.56%,were,6.56%
oh,bennet,3.45%,it,3.45%,her,2.3%
sure,am,60.78%,be,17.65%,was,9.8%
our,of,13.89%,to,9.72%,in,8.33%
how,know,7.24%,and,5.88%,see,4.07%
can,i,25.96%,you,8.17%,how,6.25%
them,of,12.5%,with,5.66%,to,4.72%
am,i,95.54%,what,0.64%,how,0.64%
very,a,16.25%,was,8.33%,the,7.92%
love,in,37.78%,my,8.89%,of,7.78%
therefore,and,21.13%,was,9.86%,must,4.23%
as,and,4.93%,soon,4.84%,much,2.77%
soon,as,27.49%,was,8.53%,she,5.69%
go,to,38.0%,not,8.0%,must,7.0%
perhaps,but,14.08%,and,9.86%,may,4.23%
will,you,19.95%,i,14.25%,it,10.62%
still,was,17.65%,were,8.82%,she,8.82%
better,much,13.04%,the,13.04%,had,11.96%
any,to,6.37%,without,6.37%,had,5.24%
like,not,11.69%,to,7.79%,you,7.79%
