word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,18.0%,her,7.56%,his,5.18%
an,hour,7.6%,excellent,3.55%,end,2.57%
emma,was,8.4%,could,7.76%,had,4.71%
i,am,13.42%,have,8.96%,do,5.19%
woodhouse,i,7.94%,was,6.5%,and,5.42%
and,the,4.62%,i,3.66%,she,2.71%
with,the,10.89%,a,9.59%,her,8.47%
a,very,5.52%,little,4.09%,great,3.65%
home,and,14.95%,i,4.64%,with,4.12%
happy,to,14.22%,and,6.37%,as,4.41%
seemed,to,32.37%,as,4.35%,a,3.38%
to,be,11.51%,the,5.35%,her,3.97%
some,time,12.69%,of,8.6%,other,2.37%
of,the,13.46%,her,6.76%,his,5.55%
the,same,1.8%,world,1.48%,very,1.48%
best,of,14.29%,to,3.97%,in,3.17%
had,been,18.15%,not,6.69%,a,3.27%
one,of,18.91%,cannot,2.72%,day,2.58%
in,the,20.82%,a,7.9%,her,4.75%
world,and,11.03%,to,6.21%,but,6.21%
very,much,7.21%,well,5.36%,good,3.69%
little,of,3.56%,more,3.0%,to,2.44%
or,two,5.12%,other,4.61%,three,3.33%
her,own,4.24%,to,3.49%,and,3.21%
she,was,13.39%,had,13.34%,could,7.48%
was,not,6.83%,a,5.48%,the,3.37%
two,or,8.52%,years,3.61%,of,2.95%
most,happy,2.54%,agreeable,2.31%,natural,1.85%
father,and,13.83%,had,6.03%,was,5.32%
marriage,of,7.92%,and,5.94%,but,5.94%
been,so,5.2%,a,4.89%,the,4.02%
his,own,5.46%,wife,2.62%,father,1.99%
house,and,16.5%,in,7.5%,i,5.0%
from,the,19.28%,her,8.62%,mr,3.38%
mother,and,17.37%,was,6.59%,in,5.39%
too,much,20.15%,well,3.06%,and,2.81%
long,as,6.9%,enough,6.51%,and,4.98%
for,the,14.02%,her,8.86%,a,6.15%
have,been,17.58%,no,4.33%,a,4.28%
more,than,17.77%,to,5.2%,and,4.57%
than,she,8.66%,i,7.64%,a,4.85%
place,and,9.04%,in,6.63%,to,6.02%
woman,and,7.91%,of,7.34%,in,6.21%
as,to,9.69%,she,7.64%,he,5.31%
who,had,15.25%,was,7.28%,could,5.2%
short,and,6.19%,time,5.31%,pause,5.31%
affection,for,17.76%,and,13.08%,of,5.61%
miss,woodhouse,27.6%,bates,17.55%,bennet,10.22%
mr,darcy,26.76%,collins,14.38%,woodhouse,12.26%
family,and,9.25%,of,5.73%,were,4.41%
less,than,12.41%,of,8.28%,in,3.45%
friend,and,8.88%,to,5.41%,of,5.02%
both,of,6.45%,to,5.16%,in,3.87%
but,i,10.56%,it,6.06%,she,5.55%
it,was,17.35%,is,12.13%,would,4.77%
even,to,9.66%,the,5.31%,of,3.86%
before,she,9.28%,the,8.86%,he,7.17%
hardly,know,7.69%,knew,6.84%,be,5.98%
any,thing,17.99%,body,7.52%,other,6.11%
being,in,6.44%,a,5.11%,so,3.98%
now,i,6.89%,and,3.94%,in,2.95%
passed,between,9.48%,away,8.62%,in,7.76%
away,and,9.8%,from,6.67%,with,6.27%
they,were,20.76%,had,9.98%,are,8.66%
together,and,13.99%,in,6.29%,as,5.59%
just,as,16.24%,what,8.12%,now,5.56%
what,she,8.33%,is,7.83%,i,7.83%
own,and,3.53%,feelings,2.49%,way,2.29%
indeed,i,15.86%,and,6.9%,you,5.86%
situation,in,13.86%,and,8.91%,of,5.94%
were,to,6.54%,not,4.73%,all,3.61%
having,a,7.08%,been,5.0%,no,3.33%
rather,than,7.5%,a,6.0%,too,3.5%
much,as,7.42%,to,6.43%,more,5.32%
way,to,13.79%,of,8.43%,and,7.28%
think,of,17.15%,it,11.21%,i,5.6%
well,as,11.99%,i,8.1%,and,5.51%
herself,and,10.76%,to,7.77%,she,6.18%
these,are,8.27%,were,6.02%,words,5.26%
which,she,10.21%,i,6.5%,he,5.57%
many,years,5.93%,of,5.93%,a,5.14%
however,was,6.84%,she,6.84%,i,6.46%
at,the,14.08%,all,11.88%,least,6.23%
present,i,7.05%,and,4.49%,to,3.85%
so,much,10.34%,very,6.59%,well,3.36%
that,he,10.97%,she,9.52%,i,7.37%
did,not,51.3%,you,6.35%,she,4.56%
not,be,6.69%,have,4.01%,to,3.9%
means,of,20.59%,to,10.78%,so,4.9%
came,to,24.88%,in,9.57%,back,6.7%
all,the,19.24%,that,7.47%,her,5.54%
married,and,12.26%,to,7.55%,women,5.66%
first,and,3.11%,in,2.82%,object,2.82%
on,the,21.88%,her,6.81%,his,5.65%
day,and,8.67%,of,6.5%,before,6.5%
this,is,8.72%,was,5.82%,morning,4.15%
thought,it,14.58%,of,13.69%,she,4.76%
over,the,17.33%,and,6.67%,it,5.78%
people,in,11.59%,who,8.7%,of,5.8%
gone,to,17.02%,through,8.51%,and,4.96%
left,to,15.32%,her,12.9%,the,11.29%
no,more,6.48%,doubt,4.18%,longer,3.36%
evening,of,7.19%,and,5.99%,before,4.79%
himself,to,8.96%,and,8.96%,he,5.22%
after,a,16.34%,the,8.45%,all,5.92%
then,i,5.97%,said,3.88%,he,3.58%
only,to,7.05%,a,5.24%,one,4.52%
every,thing,22.29%,body,14.49%,day,4.78%
happiness,of,14.29%,and,8.84%,in,7.48%
man,who,8.36%,of,8.08%,and,7.8%
character,and,12.75%,of,7.84%,was,5.88%
there,was,25.76%,is,18.64%,were,5.65%
always,be,3.65%,been,3.37%,the,3.09%
want,of,39.55%,to,27.61%,you,2.24%
would,be,24.08%,not,17.23%,have,17.07%
be,a,4.51%,the,3.41%,so,3.32%
felt,that,18.96%,the,6.16%,it,5.69%
hour,of,12.61%,and,10.81%,before,7.21%
how,much,7.99%,to,6.29%,could,5.27%
here,i,8.22%,is,8.22%,and,5.48%
last,night,10.55%,and,2.95%,with,2.53%
soon,as,20.82%,afterwards,7.09%,after,6.18%
their,own,4.16%,being,2.77%,father,2.22%
each,other,51.89%,of,11.32%,side,6.6%
other,and,4.71%,day,3.76%,people,3.06%
yet,it,6.04%,he,5.49%,she,4.95%
such,a,39.36%,an,12.31%,as,3.45%
few,minutes,20.9%,days,12.99%,moments,7.91%
its,being,16.52%,own,2.68%,effect,2.23%
pleasure,of,17.48%,in,13.11%,and,9.22%
whom,she,21.15%,he,19.87%,i,13.46%
could,not,32.87%,be,10.71%,have,5.47%
speak,of,16.97%,to,16.97%,with,7.27%
never,been,5.21%,had,4.69%,saw,3.99%
find,that,10.61%,out,7.58%,a,7.58%
going,to,46.89%,on,7.34%,away,5.08%
half,a,26.34%,an,17.74%,so,8.6%
them,to,7.58%,and,7.34%,all,5.24%
great,deal,21.48%,pleasure,5.43%,a,3.21%
must,be,29.74%,have,11.48%,not,6.77%
between,the,19.69%,them,19.69%,mr,7.09%
he,had,12.93%,was,12.16%,is,5.5%
conversation,with,18.63%,was,7.84%,and,4.9%
life,i,8.09%,and,7.35%,to,6.62%
without,any,8.09%,a,6.53%,being,6.27%
mind,was,9.24%,to,7.61%,and,7.07%
body,else,14.55%,and,5.45%,who,5.45%
though,she,9.46%,i,7.67%,he,6.91%
heart,and,13.51%,was,9.01%,i,5.41%
him,to,10.61%,and,7.54%,in,4.54%
time,to,10.02%,of,5.85%,for,5.64%
sister,and,12.94%,was,4.98%,to,4.98%
off,in,6.83%,for,5.59%,and,5.59%
next,morning,21.21%,day,19.7%,to,7.58%
visit,to,12.41%,and,8.03%,was,8.03%
give,me,10.75%,you,10.39%,her,8.6%
almost,as,10.27%,every,9.59%,all,5.48%
really,is,3.75%,believe,2.92%,was,2.5%
looked,at,22.56%,as,7.93%,up,7.32%
up,the,10.65%,to,9.35%,and,7.74%
acquaintance,with,12.5%,and,11.61%,of,6.25%
wish,to,20.87%,of,15.65%,you,10.87%
till,the,14.95%,she,8.76%,i,8.76%
made,her,14.86%,a,8.98%,him,8.36%
spirits,and,10.68%,were,10.68%,which,6.8%
part,of,58.46%,with,8.46%,i,3.08%
kind,of,21.13%,as,9.15%,to,7.04%
nor,could,6.11%,was,4.58%,the,3.82%
ever,since,4.98%,be,4.67%,been,4.05%
when,she,11.34%,he,10.37%,the,9.54%
obliged,to,87.62%,in,1.9%,and,1.9%
able,to,93.65%,and,1.59%,of,0.79%
suppose,that,11.02%,you,5.51%,there,5.51%
feel,that,20.45%,it,13.64%,the,7.58%
done,and,7.36%,for,6.06%,but,5.19%
thing,to,7.11%,in,6.42%,that,5.96%
deal,of,40.8%,more,8.0%,to,6.4%
if,you,18.56%,he,16.09%,i,13.12%
say,that,14.66%,you,4.53%,no,4.09%
said,she,13.25%,he,12.56%,emma,7.03%
poor,miss,10.0%,harriet,8.75%,mr,7.5%
again,and,16.75%,to,6.35%,i,4.31%
is,not,9.45%,a,9.35%,the,4.68%
cannot,be,16.73%,imagine,4.38%,help,3.98%
you,are,7.37%,will,5.53%,have,5.07%
know,that,10.85%,what,10.5%,how,7.47%
good,deal,5.25%,sense,2.72%,humour,2.72%
wife,and,6.36%,he,6.36%,to,5.45%
us,all,6.42%,i,3.4%,to,3.4%
my,dear,19.14%,own,3.67%,father,3.38%
might,be,30.48%,have,18.1%,not,7.24%
where,she,10.98%,the,6.94%,he,6.94%
three,months,10.69%,and,7.63%,or,6.87%
dear,emma,8.56%,miss,8.56%,sir,6.35%
often,and,3.91%,as,3.91%,been,2.23%
we,shall,10.51%,are,9.83%,have,9.66%
shall,be,15.38%,not,12.73%,have,6.37%
see,him,11.51%,her,10.96%,you,6.58%
coming,to,18.49%,in,4.79%,back,4.11%
go,to,15.45%,and,9.44%,on,6.87%
am,sure,23.55%,not,8.68%,very,5.37%
get,a,7.63%,the,5.93%,away,5.93%
walk,to,10.28%,and,7.48%,with,5.61%
far,as,28.57%,from,28.57%,off,6.35%
your,own,5.14%,father,2.96%,sister,2.83%
carriage,was,9.73%,and,8.85%,she,3.54%
sure,i,13.38%,you,10.37%,of,8.03%
will,be,25.2%,not,15.47%,have,2.77%
like,to,11.9%,it,8.55%,a,7.06%
are,not,9.24%,you,6.71%,very,5.06%
while,she,12.62%,he,11.17%,the,7.77%
our,lives,2.98%,good,2.98%,poor,2.38%
into,the,34.45%,a,10.7%,her,5.35%
talked,of,34.62%,to,14.42%,on,7.69%
may,be,28.78%,not,6.83%,have,6.83%
because,i,15.32%,he,13.51%,she,12.61%
doubt,of,35.82%,that,8.21%,whether,4.48%
whether,he,18.02%,she,15.32%,it,9.91%
take,care,13.78%,the,12.76%,it,7.14%
else,and,11.67%,i,9.17%,to,8.33%
upon,my,21.21%,the,14.72%,it,12.55%
make,her,11.97%,the,7.77%,it,7.77%
opinion,of,37.96%,and,6.57%,in,5.11%
me,to,9.13%,i,8.42%,and,3.75%
do,not,36.66%,you,12.56%,it,3.19%
manner,of,14.79%,and,8.28%,which,8.28%
right,to,19.23%,and,6.92%,of,4.62%
about,it,17.83%,the,15.6%,him,5.29%
daughter,and,8.13%,he,4.88%,of,4.88%
tell,you,31.51%,me,21.23%,her,8.22%
immediately,and,10.0%,that,3.85%,said,3.85%
brother,and,22.32%,in,5.36%,is,5.36%
come,to,18.18%,in,10.61%,and,8.33%
out,of,32.46%,and,4.97%,the,4.09%
afraid,of,37.62%,you,13.86%,i,5.94%
sir,william,27.54%,i,10.14%,you,5.8%
back,again,14.02%,to,13.08%,and,9.35%
found,her,9.68%,that,9.68%,it,8.39%
look,at,16.38%,and,9.6%,of,6.21%
quite,a,7.94%,as,4.5%,so,4.5%
sort,of,77.85%,and,4.03%,which,2.01%
hope,of,11.41%,you,11.41%,to,7.98%
went,to,21.43%,away,20.54%,on,14.29%
cried,emma,16.36%,elizabeth,14.55%,mr,9.7%
better,than,12.21%,of,4.96%,for,3.82%
those,who,24.03%,of,5.19%,to,4.55%
certainly,have,6.59%,not,5.99%,be,4.79%
believe,it,12.83%,i,10.16%,me,8.56%
idea,of,52.03%,that,6.76%,and,5.41%
oh,no,16.04%,yes,11.57%,my,7.46%
myself,i,10.26%,to,7.69%,and,6.15%
another,and,4.79%,word,3.59%,day,2.99%
told,her,21.23%,me,19.86%,you,15.07%
knew,that,10.42%,how,8.33%,it,7.64%
