word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.93%,was,1.93%,it,1.42%
an,such,13.03%,of,6.58%,with,5.24%
emma,and,8.49%,said,7.85%,to,4.76%
jane,and,8.16%,to,6.12%,of,5.01%
i,and,6.09%,but,5.01%,that,4.77%
chapter,her,2.78%,it,1.85%,last,1.85%
woodhouse,miss,58.48%,mr,39.71%,emma,1.81%
and,her,1.81%,him,1.4%,it,1.31%
with,and,3.28%,her,2.7%,love,2.16%
a,such,6.81%,in,6.25%,of,5.2%
home,at,31.44%,her,6.19%,go,4.64%
happy,be,11.82%,very,11.82%,most,5.42%
seemed,it,14.14%,he,12.63%,and,4.55%
to,as,2.7%,her,1.72%,him,1.72%
some,of,9.91%,with,6.47%,for,5.39%
of,one,1.68%,sort,1.48%,out,1.42%
the,of,10.95%,in,8.79%,to,5.18%
best,the,51.22%,very,6.5%,his,5.69%
had,she,20.05%,he,15.07%,i,6.0%
one,no,5.34%,in,5.05%,only,3.61%
in,and,2.66%,was,2.48%,be,1.88%
world,the,95.17%,this,2.07%,fashionable,1.38%
very,a,16.65%,the,8.29%,was,7.39%
little,a,37.89%,very,8.5%,so,6.28%
or,two,3.42%,one,1.58%,day,1.58%
her,of,11.2%,to,7.83%,for,4.46%
she,that,7.87%,and,5.76%,as,5.02%
was,it,17.36%,she,13.36%,he,9.4%
two,the,28.52%,or,13.11%,and,3.61%
most,a,24.53%,the,23.36%,was,8.18%
father,her,40.43%,my,16.67%,his,16.67%
been,had,39.83%,have,29.81%,has,8.28%
his,of,17.83%,in,6.21%,to,6.17%
house,the,55.08%,his,6.95%,a,5.88%
from,far,3.53%,her,3.24%,and,2.84%
mother,her,37.35%,my,20.48%,your,7.23%
too,was,11.55%,be,4.72%,is,4.2%
long,so,11.63%,a,6.98%,as,6.2%
for,and,1.58%,as,1.54%,enough,1.54%
have,i,21.7%,to,12.25%,would,10.24%
more,no,10.06%,much,5.48%,be,4.71%
than,more,20.41%,better,4.66%,less,2.62%
place,the,25.3%,take,7.83%,took,7.23%
woman,a,29.05%,young,17.88%,the,5.03%
as,and,5.47%,soon,3.56%,well,2.89%
who,and,7.23%,those,7.23%,man,5.86%
short,in,30.63%,a,27.03%,too,4.5%
affection,her,15.53%,his,15.53%,the,7.77%
miss,and,9.86%,to,7.91%,of,5.73%
mr,of,8.12%,and,6.48%,to,4.9%
family,the,25.0%,her,17.31%,a,12.98%
less,much,7.59%,the,6.21%,was,5.52%
friend,her,20.0%,his,13.96%,a,12.45%
both,of,18.83%,them,14.29%,were,6.49%
but,it,2.31%,him,1.97%,nothing,1.97%
between,passed,8.21%,divided,5.22%,difference,3.73%
even,and,11.32%,not,7.55%,or,6.13%
before,day,4.56%,and,3.47%,it,2.6%
