word type,number
everything,30984
adult,0
hate,0
function,17430
normal,number
the,1824
and,1475
of,750
a,688
to,667
in,485
he,472
they,448
i,415
that,378
his,375
it,371
said,308
men,306
was,275
is,259
on,256
with,248
for,244
were,212
all,205
so,190
we,189
at,187
but,182
there,181
my,175
will,174
this,173
not,171
king,169
you,168
them,159
had,150
as,150
have,147
their,146
from,134
up,134
are,133
one,133
out,132
then,132
him,124
into,120
when,106
went,104
land,103
be,102
some,102
great,95
no,95
about,94
man,94
eric,89
came,85
back,83
see,83
long,82
our,82
iceland,81
these,79
norway,78
many,78
down,77
shall,73
by,71
now,71
good,70
go,69
stood,68
over,67
sea,66
me,66
saw,64
house,64
after,64
before,64
or,63
like,63
feast,62
put,62
what,59
come,59
us,59
hall,58
her,57
here,57
cried,56
did,56
ship,55
your,55
little,54
day,54
high,53
ships,53
people,52
sailed,51
made,50
sat,49
old,49
time,49
called,48
off,48
two,48
looked,47
shore,46
boat,46
an,46
where,46
country,45
every,45
would,45
laughed,44
do,44
sword,43
other,41
she,41
thralls,41
new,39
gold,39
can,39
am,39
illustration,38
fire,38
could,38
last,38
than,37
around,37
only,37
night,37
again,37
who,37
place,37
been,36
those,36
never,36
swords,36
another,36
took,36
things,36
make,35
must,35
under,34
far,34
water,34
head,34
has,34
got,34
greenland,34
shouted,33
winter,33
set,33
upon,33
red,32
seat,32
thor,32
ran,31
walked,31
norsemen,30
next,29
white,29
while,29
let,29
way,29
eyes,29
horn,29
home,29
fight,28
found,28
women,28
through,28
story,28
three,28
battle,27
take,27
thought,27
away,27
valhalla,27
better,27
houses,26
think,26
father,26
green,26
sail,26
door,25
more,25
much,25
very,25
hand,25
if,25
years,24
soon,24
give,24
look,24
ready,24
vow,23
ever,23
tell,23
side,23
near,23
shield,22
hands,22
until,22
days,22
died,22
heard,22
horns,22
oh,22
himself,22
viking,21
dead,21
woods,21
along,21
strange,21
empty,21
full,21
feet,21
horses,21
foes,20
turned,20
work,20
stories,20
going,20
norse,20
say,20
sometimes,20
across,20
cut,20
together,20
big,20
each,20
odin,20
mead,20
still,20
page,19
son,19
threw,19
wife,19
brave,19
always,19
black,19
spear,19
because,19
ice,19
same,19
foster,19
note,18
left,18
carried,18
rock,18
sons,18
guests,18
well,18
seen,18
beautiful,18
perhaps,18
talked,18
grapes,18
held,17
live,17
gave,17
rich,17
few,17
lived,17
king's,17
brought,17
doors,17
find,17
raised,17
friends,17
islands,17
decoration,16
own,16
leaped,16
jumped,16
first,16
hear,16
hung,16
its,16
thing,16
wonderful,16
spears,16
warriors,16
