word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,stood,5.97%,down,4.48%,spear,4.48%
the,of,10.01%,in,7.83%,on,5.7%
at,looked,8.65%,but,4.86%,and,3.24%
was,it,19.53%,there,13.28%,he,12.89%
from,up,9.02%,out,5.26%,down,3.01%
of,out,4.14%,some,3.34%,one,2.4%
hall,the,43.86%,feast,40.35%,jennie,5.26%
in,as,4.61%,men,3.35%,sat,1.89%
have,i,29.45%,we,11.64%,to,7.53%
up,stood,19.4%,put,5.97%,set,4.48%
over,all,9.09%,west,7.58%,and,6.06%
a,is,7.67%,was,6.19%,in,4.57%
is,it,31.45%,there,8.47%,this,8.06%
i,said,6.16%,that,5.91%,and,5.42%
and,up,1.94%,it,1.87%,him,1.51%
with,covered,2.07%,them,2.07%,and,2.07%
king,the,20.5%,of,6.21%,to,3.11%
sea,the,51.52%,cold,3.03%,under,3.03%
iceland,in,27.27%,of,18.18%,to,15.58%
his,and,8.29%,in,7.22%,of,5.61%
land,the,17.65%,empty,8.82%,this,7.84%
good,a,26.09%,the,10.14%,with,5.8%
this,of,10.47%,in,6.98%,all,5.23%
for,him,3.43%,sailed,3.0%,look,2.58%
my,for,9.3%,to,6.4%,in,5.81%
he,then,7.96%,that,4.87%,and,4.65%
shall,you,23.94%,we,18.31%,he,9.86%
be,to,22.77%,will,21.78%,shall,14.85%
back,came,13.25%,come,8.43%,sailed,7.23%
little,a,62.96%,this,5.56%,so,3.7%
so,was,2.17%,norway,2.17%,and,2.17%
that,so,5.33%,of,5.07%,all,4.0%
it,of,4.92%,said,3.01%,that,2.73%
great,a,56.38%,the,11.7%,that,3.19%
to,went,3.19%,said,2.43%,back,2.43%
out,went,4.58%,come,3.82%,called,3.82%
into,it,8.4%,got,7.56%,leaped,5.04%
will,i,45.78%,we,12.05%,you,3.61%
not,will,15.29%,did,13.53%,could,8.24%
all,and,9.9%,of,5.94%,they,4.95%
norway,of,32.0%,in,13.33%,to,12.0%
him,to,14.52%,with,5.65%,at,4.84%
you,that,7.27%,to,5.45%,have,4.24%
they,so,7.24%,and,5.88%,that,4.75%
saw,they,28.33%,he,15.0%,and,10.0%
them,of,7.55%,to,4.4%,on,3.14%
on,sat,3.54%,them,3.15%,up,2.36%
men,the,28.81%,his,11.53%,many,5.42%
their,to,9.59%,with,8.22%,in,6.85%
were,they,21.43%,there,8.1%,men,5.24%
went,they,20.0%,he,19.0%,and,17.0%
there,and,4.47%,said,2.79%,lived,2.79%
but,said,5.75%,it,4.02%,is,2.3%
long,a,26.83%,the,14.63%,so,6.1%
house,the,29.31%,my,18.97%,a,12.07%
high,the,36.54%,his,15.38%,a,11.54%
had,he,23.53%,they,15.44%,and,5.88%
what,see,12.07%,said,6.9%,of,5.17%
about,note,17.2%,sat,4.3%,song,3.23%
are,there,14.29%,they,12.03%,we,11.28%
as,said,3.12%,red,2.34%,soon,2.34%
these,of,15.58%,all,6.49%,that,5.19%
some,and,7.84%,but,4.9%,them,2.94%
came,they,19.48%,men,9.09%,he,7.79%
day,one,35.19%,every,12.96%,next,12.96%
when,but,7.77%,him,2.91%,thing,1.94%
no,is,17.2%,said,6.45%,had,6.45%
then,said,5.04%,them,5.04%,cried,4.2%
or,day,3.17%,gold,3.17%,three,3.17%
stood,and,30.16%,i,9.52%,they,6.35%
man,a,31.91%,every,11.7%,old,6.38%
come,to,10.34%,had,8.62%,would,6.9%
down,went,6.49%,sat,6.49%,lay,3.9%
our,and,8.64%,for,6.17%,in,6.17%
many,so,7.89%,and,7.89%,are,5.26%
feast,the,35.48%,a,16.13%,great,4.84%
me,to,10.61%,with,10.61%,follow,7.58%
go,to,24.64%,will,14.49%,us,8.7%
said,he,24.35%,and,14.78%,they,10.87%
we,that,8.7%,said,7.61%,and,5.43%
after,but,6.35%,and,4.76%,feast,3.17%
now,said,5.8%,but,4.35%,him,4.35%
us,let,20.34%,of,10.17%,with,6.78%
one,no,9.92%,said,4.58%,but,3.82%
before,stood,6.45%,up,4.84%,and,3.23%
her,to,10.53%,of,7.02%,in,5.26%
cried,he,33.33%,they,5.88%,ho,3.92%
put,and,30.91%,they,23.64%,he,14.55%
see,to,31.82%,i,15.15%,and,10.61%
your,of,9.26%,for,7.41%,to,5.56%
like,i,9.52%,looked,6.35%,look,6.35%
did,they,15.69%,he,15.69%,and,5.88%
here,stay,5.36%,them,3.57%,king,3.57%
eric,said,7.14%,so,4.76%,to,4.76%
