word type,number
everything,151067
adult,33
hate,12
function,75382
normal,number
the,9127
a,7622
of,5447
to,5411
and,3484
in,3217
or,2771
is,2443
for,1346
as,1305
by,1140
from,1085
it,1065
an,969
with,957
be,913
that,891
on,796
which,780
at,779
are,753
who,747
his,679
was,664
term,659
this,653
one,609
used,523
slang,507
he,503
have,487
not,463
up,438
also,435
but,434
has,433
when,432
man,410
any,395
their,391
out,380
word,376
old,370
all,350
so,335
said,329
they,319
called,315
person,313
been,300
very,290
him,266
other,259
now,252
money,237
generally,236
cant,235
no,232
you,228
words,228
i,227
its,226
being,223
sometimes,216
good,211
were,211
may,206
use,205
more,196
will,195
phrase,194
first,192
into,191
means,188
often,188
applied,188
some,186
if,184
c,180
house,180
street,178
much,175
there,174
name,174
p,174
among,169
them,164
off,163
language,162
two,160
well,156
probably,155
made,154
many,154
horse,154
originally,152
than,151
time,151
london,150
would,150
vulgar,150
common,148
go,146
half,146
work,145
take,144
low,144
what,143
upon,143
most,143
do,143
down,142
make,141
these,141
over,141
we,140
great,139
known,138
only,137
anything,137
another,133
men,133
give,132
about,132
small,131
those,130
expression,128
general,127
had,125
long,125
back,123
your,122
given,122
then,121
derived,121
same,118
without,118
like,115
me,115
say,115
kind,113
however,112
english,109
termed,109
cut,109
changed,108
can,107
before,107
after,107
public,106
sense,106
get,106
game,106
way,105
fellow,105
terms,104
corruption,104
little,102
my,101
our,99
dictionary,98
country,97
put,96
head,96
three,94
day,93
supposed,93
run,93
drink,92
bad,92
under,91
people,88
woman,88
new,87
each,87
short,87
place,86
shop,83
though,82
against,82
where,82
hand,82
last,81
through,81
similar,81
large,80
done,80
high,80
away,80
piece,79
too,78
persons,78
pay,78
years,77
both,77
modern,76
such,76
amongst,76
says,76
part,74
form,74
taken,73
frequently,73
meaning,73
life,72
thus,72
ancient,70
thieves,70
full,70
every,69
does,69
origin,69
race,69
end,68
once,68
himself,67
formerly,67
peculiar,67
manner,67
reference,66
certain,66
book,64
should,64
far,64
others,64
water,64
hat,64
white,64
own,63
still,63
come,63
perhaps,63
popular,63
blow,63
fact,62
while,62
horses,62
either,62
turn,62
always,61
must,61
course,60
having,60
found,60
sporting,60
nothing,59
see,59
how,59
themselves,59
cheat,59
pot,59
hard,59
eye,59
face,58
few,58
round,58
pocket,58
know,57
houses,57
young,57
nose,57
irish,57
best,56
french,56
almost,56
even,56
her,56
phrases,55
mr,55
dead,55
latter,54
speech,54
england,54
present,54
gipsy,54
look,54
lower,53
article,53
beat,53
beer,53
drunk,53
become,52
call,52
favourite,52
case,51
st,51
shillings,51
because,51
story,51
penny,51
never,51
blue,51
allusion,51
boys,51
here,50
society,50
curious,50
master,50
title,50
side,50
american,50
during,49
synonymous,49
play,49
account,48
gipsies,48
between,48
whose,48
o,48
gin,48
cards,48
fast,47
rather,47
days,47
order,47
states,47
door,47
let,47
pronounced,47
talk,46
various,46
beggars,46
show,46
practice,46
mean,46
enough,46
ring,46
college,46
stick,46
cambridge,46
streets,45
fashionable,45
secret,45
