word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,used,12.4%,worn,1.53%,made,1.44%
the,of,12.93%,in,9.25%,to,6.04%
at,used,1.33%,look,1.33%,game,1.19%
was,it,14.61%,he,6.57%,which,4.27%
from,derived,9.6%,probably,4.85%,called,2.38%
made,are,6.54%,is,6.54%,be,5.88%
is,it,13.33%,this,4.3%,which,4.05%
a,of,6.5%,in,4.04%,for,3.68%
in,used,4.44%,is,1.34%,and,1.24%
have,to,29.45%,may,5.51%,which,4.66%
been,has,44.59%,have,34.46%,had,4.39%
which,in,9.04%,of,6.52%,to,3.06%
may,it,12.56%,which,4.52%,he,3.52%
not,is,17.3%,does,11.24%,and,4.72%
all,of,12.69%,in,7.55%,to,5.44%
are,they,11.32%,which,3.91%,there,3.77%
small,a,34.13%,the,7.94%,of,6.35%
to,said,3.83%,is,2.8%,applied,2.78%
case,a,25.49%,the,17.65%,which,5.88%
of,out,1.98%,one,1.8%,corruption,1.76%
good,a,36.76%,very,6.37%,the,4.9%
too,by,4.0%,be,4.0%,good,2.67%
and,slang,1.0%,cant,0.96%,words,0.78%
know,to,41.82%,i,14.55%,not,7.27%
much,so,11.7%,too,9.36%,term,7.02%
what,of,5.74%,and,5.74%,from,4.1%
they,when,11.4%,as,8.14%,that,6.51%
will,he,8.42%,it,7.37%,i,5.79%
this,of,17.94%,in,11.63%,to,3.16%
it,that,4.47%,as,4.18%,but,2.53%
than,more,17.57%,other,8.78%,rather,4.73%
other,the,19.77%,and,13.57%,or,13.57%
nothing,for,12.73%,is,9.09%,has,7.27%
that,of,5.05%,and,3.1%,so,2.64%
way,the,21.78%,by,6.93%,its,5.94%
for,term,11.17%,slang,2.16%,name,1.77%
many,by,6.71%,of,6.04%,and,5.37%
there,that,6.17%,and,4.32%,which,3.7%
you,do,10.85%,if,10.85%,are,8.02%
taken,be,16.67%,was,6.94%,is,5.56%
up,turn,2.55%,put,2.55%,cut,2.31%
but,is,3.98%,slang,2.49%,nothing,2.24%
on,be,1.69%,blow,1.3%,out,1.17%
slang,of,9.0%,the,7.57%,a,6.95%
dictionary,a,15.29%,the,15.29%,canting,15.29%
new,a,31.25%,the,17.5%,and,3.75%
london,in,24.14%,of,23.45%,the,20.69%
like,shaped,2.86%,the,1.9%,a,1.9%
course,of,62.71%,the,22.03%,in,5.08%
time,the,15.94%,of,8.7%,his,5.07%
though,and,7.69%,is,7.69%,as,7.69%
years,few,22.37%,some,18.42%,late,15.79%
first,the,41.71%,at,8.02%,was,6.95%
public,the,24.53%,a,24.53%,in,7.55%
then,and,35.29%,is,5.88%,was,5.04%
work,this,14.18%,the,12.06%,to,9.22%
kind,any,26.55%,a,15.04%,this,12.39%
with,synonymous,4.27%,connected,2.88%,connexion,2.45%
always,is,14.75%,are,9.84%,not,9.84%
under,from,3.75%,new,2.5%,worn,2.5%
its,in,14.86%,from,12.16%,of,9.46%
book,a,13.79%,the,12.07%,pocket,12.07%
an,of,6.85%,in,4.46%,for,4.02%
would,it,11.03%,he,6.9%,who,4.14%
make,to,54.2%,or,8.4%,the,3.82%
be,to,54.55%,may,8.87%,would,4.04%
as,known,4.61%,used,2.31%,well,2.07%
reference,in,51.52%,any,6.06%,a,4.55%
among,use,23.03%,used,3.64%,also,2.42%
people,the,11.63%,low,8.14%,of,4.65%
vulgar,the,25.17%,a,18.88%,and,9.09%
use,in,29.5%,the,12.0%,general,7.0%
word,the,49.46%,this,8.15%,a,7.61%
those,of,14.84%,to,13.28%,by,7.81%
words,cant,12.89%,the,12.44%,slang,8.0%
only,the,12.03%,is,11.28%,not,9.77%
used,term,8.81%,is,7.63%,also,5.68%
term,the,24.13%,a,17.98%,slang,4.57%
has,it,10.53%,who,9.52%,he,7.02%
should,we,10.17%,it,8.47%,and,5.08%
one,any,13.29%,of,5.79%,is,3.58%
who,one,14.89%,man,10.25%,those,6.88%
no,is,10.91%,by,8.18%,has,4.09%
place,a,23.81%,the,13.1%,to,8.33%
any,of,18.3%,to,8.76%,in,7.22%
out,look,2.94%,turn,2.67%,him,2.41%
his,in,12.57%,of,11.08%,to,5.69%
give,to,63.87%,or,10.08%,will,2.52%
our,of,20.83%,to,18.75%,in,9.38%
well,as,21.48%,a,9.4%,the,6.71%
english,the,26.67%,old,13.33%,an,9.52%
language,the,12.18%,secret,10.26%,cant,9.62%
houses,public,19.3%,the,10.53%,lodging,10.53%
does,who,16.42%,he,16.42%,and,7.46%
means,by,13.66%,it,9.29%,which,9.29%
end,east,26.56%,the,25.0%,one,7.81%
my,nix,5.62%,to,4.49%,in,4.49%
become,to,23.08%,has,17.31%,and,7.69%
fact,the,41.67%,in,26.67%,actual,5.0%
him,to,10.69%,give,6.49%,with,6.11%
upon,looked,2.86%,come,2.14%,down,2.14%
me,give,8.93%,over,5.36%,reach,5.36%
how,matter,5.56%,say,3.7%,money,3.7%
far,so,43.33%,as,13.33%,how,5.0%
each,to,16.28%,on,8.14%,of,6.98%
can,that,8.74%,you,5.83%,he,5.83%
best,the,51.92%,his,7.69%,is,5.77%
himself,for,13.43%,by,4.48%,to,4.48%
he,that,9.34%,which,6.79%,when,6.58%
own,his,50.94%,their,26.42%,our,9.43%
i,as,5.58%,vol,5.58%,that,3.55%
say,to,28.18%,would,5.45%,soldi,5.45%
others,and,25.81%,the,9.68%,of,6.45%
when,and,3.55%,that,2.13%,or,2.13%
now,is,20.33%,but,13.69%,are,5.81%
called,is,16.34%,so,16.34%,sometimes,9.15%
had,who,15.7%,he,9.92%,have,9.09%
so,and,11.21%,not,3.74%,is,3.12%
large,a,35.9%,the,10.26%,of,5.13%
or,man,0.95%,up,0.61%,beat,0.57%
however,is,17.59%,have,5.56%,has,3.7%
done,is,12.0%,have,9.33%,or,4.0%
their,of,14.21%,in,6.98%,to,6.2%
two,the,13.84%,or,11.32%,of,5.66%
them,of,11.59%,by,6.1%,to,5.49%
known,well,23.36%,is,14.6%,also,5.11%
phrases,and,22.22%,slang,18.52%,these,7.41%
ancient,the,31.88%,in,11.59%,an,11.59%
modern,the,22.97%,and,14.86%,of,10.81%
expression,the,26.23%,an,14.75%,common,8.2%
general,now,18.11%,the,14.96%,in,14.17%
cant,the,14.29%,a,11.16%,old,8.93%
before,century,3.81%,country,1.9%,long,1.9%
same,the,91.53%,this,1.69%,those,0.85%
origin,the,39.39%,its,22.73%,their,4.55%
also,is,16.17%,are,3.23%,it,2.24%
short,a,27.91%,the,4.65%,or,3.49%
life,of,20.9%,low,8.96%,fast,5.97%
back,the,30.43%,years,13.04%,a,6.09%
into,fallen,3.16%,came,2.63%,corrupted,2.63%
these,of,24.81%,in,8.27%,and,3.01%
part,a,10.77%,the,9.23%,that,9.23%
generally,is,18.26%,are,3.91%,and,3.48%
such,in,10.67%,as,10.67%,of,9.33%
while,the,3.28%,remains,1.64%,prad,1.64%
often,is,30.05%,are,12.57%,very,8.74%
