word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,21.78%,a,7.78%,means,2.32%
and,the,7.21%,a,2.43%,is,1.63%
the,word,2.13%,term,1.79%,same,1.26%
this,is,15.86%,word,4.71%,term,4.08%
was,a,7.36%,the,7.06%,to,3.07%
from,the,49.03%,a,8.51%,its,2.61%
made,by,10.6%,of,9.27%,to,7.28%
is,a,8.82%,to,6.05%,said,5.8%
a,man,2.91%,person,2.18%,term,1.6%
in,the,27.12%,a,9.58%,his,2.79%
have,been,21.34%,a,6.9%,the,3.56%
been,in,4.41%,made,2.71%,used,2.03%
which,is,12.86%,the,7.44%,he,4.33%
may,be,39.11%,have,12.87%,not,4.95%
not,a,4.78%,be,4.78%,to,4.57%
all,the,13.57%,to,3.54%,over,3.24%
are,called,3.64%,said,3.64%,the,3.51%
small,beer,5.69%,piece,3.25%,capitals,1.63%
to,the,10.17%,be,9.26%,a,3.43%
case,of,19.61%,a,7.84%,for,5.88%
of,the,22.3%,a,9.07%,this,2.11%
no,means,7.24%,doubt,4.98%,other,3.62%
good,or,4.95%,fellow,4.46%,beating,4.46%
too,much,20.78%,many,7.79%,late,5.19%
know,the,13.21%,that,11.32%,of,7.55%
you,are,9.31%,will,5.39%,have,3.92%
what,is,14.18%,a,11.19%,was,5.22%
they,are,26.67%,were,7.62%,have,6.35%
will,be,18.75%,not,8.85%,take,2.6%
go,to,14.08%,in,5.63%,away,5.63%
it,is,30.27%,was,8.61%,has,4.06%
than,the,22.54%,that,4.93%,a,4.93%
other,than,5.18%,side,2.39%,words,1.99%
nothing,but,16.36%,to,14.55%,of,9.09%
that,the,15.46%,it,5.27%,a,5.27%
for,a,20.12%,the,16.83%,an,2.83%
if,he,12.92%,you,12.92%,a,7.3%
much,in,16.37%,used,11.11%,of,5.26%
many,of,13.73%,other,5.88%,years,5.88%
taken,from,17.81%,in,17.81%,up,6.85%
up,to,20.14%,a,9.59%,the,6.95%
but,the,8.16%,now,7.69%,it,6.06%
on,the,43.04%,a,9.02%,his,2.71%
slang,and,6.61%,term,5.99%,for,5.79%
dictionary,of,43.21%,was,4.94%,the,3.7%
new,and,5.81%,dictionary,5.81%,words,4.65%
like,a,23.42%,the,12.61%,it,4.5%
course,of,24.14%,from,5.17%,is,5.17%
time,of,10.42%,the,5.56%,and,4.86%
though,it,17.5%,the,12.5%,this,5.0%
years,ago,23.29%,back,20.55%,it,5.48%
first,rate,13.23%,used,6.35%,edition,3.17%
public,house,34.31%,houses,10.78%,and,4.9%
then,the,7.69%,to,4.27%,said,3.42%
work,is,9.22%,of,7.8%,and,6.38%
kind,of,41.82%,a,5.45%,is,3.64%
with,the,18.39%,a,18.39%,an,2.47%
always,be,6.56%,the,6.56%,to,4.92%
under,the,38.37%,a,8.14%,his,5.81%
its,origin,6.91%,use,4.61%,being,4.61%
book,of,12.5%,was,7.14%,or,7.14%
an,old,5.08%,americanism,2.92%,american,2.05%
would,be,24.32%,have,10.81%,seem,5.41%
make,a,19.26%,the,6.67%,him,5.19%
be,a,4.29%,found,2.94%,in,2.6%
as,a,16.57%,the,11.55%,to,4.38%
reference,to,92.42%,not,1.52%,with,1.52%
among,the,24.22%,sporting,6.21%,thieves,5.59%
people,who,14.12%,in,9.41%,of,3.53%
vulgar,words,11.27%,language,9.15%,or,6.34%
use,among,19.0%,of,18.5%,in,11.0%
word,is,12.43%,in,7.18%,for,4.97%
those,who,38.28%,of,11.72%,words,3.91%
words,and,11.9%,are,7.62%,of,5.24%
only,a,8.09%,to,6.62%,in,4.41%
used,by,26.44%,in,26.05%,to,16.48%
term,for,22.24%,is,9.36%,used,6.9%
has,been,30.56%,a,6.02%,its,3.47%
every,day,10.29%,one,7.35%,other,5.88%
one,who,18.03%,of,16.33%,to,2.55%
who,is,7.12%,has,5.11%,are,2.96%
place,in,15.29%,of,11.76%,or,7.06%
any,one,20.31%,kind,7.81%,other,5.99%
out,of,28.65%,to,8.65%,and,4.59%
should,be,41.94%,have,4.84%,say,3.23%
his,own,4.33%,money,1.77%,time,1.12%
give,a,13.28%,him,13.28%,the,11.72%
our,modern,7.53%,language,6.45%,own,5.38%
way,of,26.53%,to,11.22%,is,5.1%
well,known,21.05%,as,17.11%,to,5.92%
english,language,10.1%,word,6.06%,in,4.04%
language,of,21.09%,the,8.84%,with,3.4%
at,the,24.83%,a,11.81%,once,2.68%
houses,and,20.0%,in,9.09%,of,7.27%
does,not,72.46%,in,2.9%,to,2.9%
means,to,16.22%,of,15.68%,a,11.35%
end,of,48.53%,the,4.41%,and,4.41%
my,dolly,4.3%,davy,3.23%,eye,3.23%
become,a,9.8%,bankrupt,7.84%,fashionable,5.88%
fact,that,30.65%,of,8.06%,the,6.45%
him,a,8.8%,to,6.4%,and,5.2%
upon,the,23.53%,his,7.35%,a,6.62%
me,to,7.55%,in,7.55%,a,6.6%
how,much,10.34%,are,8.62%,far,5.17%
far,as,40.62%,from,6.25%,fetched,4.69%
each,other,31.33%,of,7.23%,side,4.82%
can,be,29.91%,you,6.54%,only,3.74%
best,known,9.26%,of,7.41%,but,3.7%
himself,with,12.31%,by,9.23%,as,9.23%
he,is,16.6%,was,8.1%,has,5.67%
own,peculiar,5.17%,bat,5.17%,share,3.45%
i,have,10.71%,am,8.16%,will,5.61%
say,that,12.75%,to,7.84%,a,5.88%
others,of,7.94%,to,7.94%,who,7.94%
when,the,13.75%,a,13.52%,they,8.16%
now,a,10.93%,general,9.31%,in,5.67%
called,a,24.13%,from,8.74%,the,8.39%
had,been,10.74%,a,9.92%,no,5.79%
so,called,15.2%,far,7.9%,that,6.99%
large,or,6.33%,thick,3.8%,quantity,3.8%
or,a,3.43%,the,2.34%,other,1.37%
however,that,9.82%,the,5.36%,in,4.46%
done,for,12.99%,up,10.39%,in,9.09%
their,own,3.75%,being,1.88%,language,1.07%
two,to,5.26%,centuries,4.61%,shillings,3.95%
them,to,7.59%,as,5.7%,and,5.06%
known,as,42.34%,to,9.49%,in,7.3%
most,likely,12.06%,probably,6.38%,of,2.84%
phrases,which,11.54%,are,7.69%,and,7.69%
ancient,and,14.71%,cant,11.76%,times,7.35%
modern,slang,14.08%,cant,9.86%,times,4.23%
expression,is,9.76%,of,8.13%,used,7.32%
general,use,11.48%,and,7.38%,in,4.92%
cant,and,13.72%,words,12.83%,word,8.41%
before,the,33.01%,it,4.85%,an,2.91%
same,as,16.67%,time,6.14%,way,4.39%
origin,of,38.46%,in,15.38%,is,6.15%
also,a,24.77%,to,10.51%,used,6.78%
short,and,10.59%,time,4.71%,for,4.71%
some,years,7.73%,of,6.08%,parts,3.31%
back,slang,25.42%,of,5.08%,in,4.24%
into,the,22.1%,a,15.47%,disuse,2.76%
these,are,5.84%,terms,4.38%,words,3.65%
part,of,58.9%,ii,6.85%,with,4.11%
generally,used,10.64%,a,7.66%,applied,5.96%
such,a,19.74%,as,14.47%,an,5.26%
while,the,27.12%,in,5.08%,others,5.08%
often,used,8.65%,said,6.49%,called,6.49%
said,to,60.98%,of,15.85%,that,4.27%
take,a,19.29%,the,9.29%,it,8.57%
face,a,12.5%,of,8.93%,or,8.93%
themselves,to,7.27%,as,5.45%,by,5.45%
amongst,the,41.89%,costermongers,6.76%,our,4.05%
still,in,12.7%,used,12.7%,more,7.94%
more,than,13.47%,generally,3.63%,to,2.59%
old,cant,5.65%,fashioned,4.52%,english,3.95%
we,are,19.12%,have,16.18%,find,4.41%
latter,is,15.09%,sense,5.66%,work,3.77%
without,any,12.17%,much,6.09%,the,6.09%
persons,of,15.58%,in,15.58%,who,12.99%
both,sexes,6.58%,the,3.95%,these,3.95%
certain,cards,4.69%,of,3.12%,quantity,3.12%
great,many,5.47%,deal,3.12%,public,2.34%
c,the,8.12%,to,5.0%,a,3.75%
high,and,16.88%,church,7.79%,sounding,6.49%
speech,of,11.76%,or,9.8%,and,9.8%
thieves,and,14.49%,talk,5.8%,c,5.8%
country,and,7.41%,with,3.7%,as,3.7%
england,and,7.41%,the,5.56%,to,5.56%
there,is,44.05%,are,16.67%,was,5.95%
having,been,12.07%,a,8.62%,the,6.9%
terms,are,11.22%,in,8.16%,and,7.14%
were,called,3.81%,formerly,3.81%,not,3.33%
probably,from,33.55%,a,14.47%,derived,7.89%
derived,from,84.17%,by,3.33%,the,1.67%
sense,of,34.65%,to,5.94%,in,3.96%
name,of,23.39%,for,13.45%,given,7.02%
after,the,27.36%,a,19.81%,that,4.72%
present,day,23.08%,century,5.77%,of,5.77%
being,the,10.14%,a,8.29%,in,3.23%
day,the,8.33%,and,7.14%,to,5.95%
street,slang,5.11%,folk,5.11%,term,4.55%
race,is,11.94%,of,10.45%,in,7.46%
must,be,29.51%,not,14.75%,have,9.84%
very,common,7.64%,often,5.56%,good,4.51%
about,the,26.45%,to,7.44%,in,5.79%
says,the,16.9%,it,11.27%,that,11.27%
come,to,13.33%,from,8.33%,it,6.67%
last,century,22.5%,dying,7.5%,two,3.75%
life,of,11.43%,in,7.14%,is,7.14%
horse,or,7.38%,racing,6.04%,in,4.7%
man,who,18.43%,is,8.08%,or,6.31%
low,or,5.84%,people,5.11%,vulgar,4.38%
supposed,to,68.48%,by,8.7%,that,4.35%
originally,a,27.21%,an,6.8%,applied,4.08%
money,or,5.38%,in,4.04%,to,4.04%
lower,orders,43.14%,classes,19.61%,class,7.84%
through,the,47.44%,a,10.26%,his,5.13%
over,the,24.09%,a,5.11%,me,4.38%
anything,to,7.35%,that,5.15%,which,5.15%
long,since,7.44%,been,5.79%,as,5.79%
found,in,35.0%,to,6.67%,it,3.33%
frequently,used,13.89%,to,4.17%,nowadays,2.78%
article,of,9.8%,is,9.8%,on,5.88%
perhaps,from,21.31%,the,8.2%,in,6.56%
given,to,31.93%,by,13.45%,in,10.92%
common,in,11.64%,term,7.53%,use,6.85%
similar,to,27.16%,sense,6.17%,manner,6.17%
gipsy,word,13.46%,language,9.62%,term,9.62%
cheat,or,21.05%,to,14.04%,the,8.77%
down,to,15.33%,the,12.41%,in,7.3%
woman,a,14.29%,who,10.39%,of,9.09%
formerly,the,19.05%,a,9.52%,used,9.52%
sometimes,called,13.02%,used,8.37%,varied,6.51%
applied,to,77.13%,by,6.38%,in,3.72%
against,the,24.36%,a,8.97%,him,8.97%
call,a,9.8%,it,7.84%,the,5.88%
few,years,29.82%,of,8.77%,words,5.26%
round,the,11.11%,to,7.41%,sum,5.56%
horses,in,8.2%,as,6.56%,for,6.56%
another,form,4.92%,to,4.92%,at,3.28%
popular,phrase,6.78%,name,5.08%,simile,5.08%
once,a,10.29%,in,4.41%,fashionable,4.41%
do,you,16.43%,it,7.14%,not,7.14%
three,horses,5.49%,centuries,4.4%,months,4.4%
little,book,5.43%,go,5.43%,or,3.26%
peculiar,to,37.88%,kind,6.06%,slang,3.03%
put,up,12.09%,in,10.99%,a,8.79%
thus,we,7.35%,the,5.88%,described,2.94%
men,who,15.91%,of,7.58%,and,7.58%
full,of,20.0%,fig,5.71%,feather,5.71%
almost,every,7.14%,obsolete,7.14%,entirely,5.36%
where,the,20.99%,it,7.41%,a,4.94%
drink,or,7.06%,to,5.88%,of,4.71%
house,of,14.2%,the,7.1%,in,6.51%
meaning,of,12.68%,to,11.27%,a,8.45%
piece,of,51.95%,or,6.49%,and,5.19%
person,who,14.24%,to,12.58%,a,5.63%
your,barrikin,3.54%,tongue,3.54%,stick,3.54%
termed,a,26.47%,the,10.78%,in,4.9%
bad,money,11.36%,or,6.82%,the,3.41%
favourite,expression,5.77%,the,5.77%,or,3.85%
head,of,10.34%,or,8.05%,a,8.05%
either,a,13.11%,from,9.84%,in,4.92%
form,of,54.93%,a,8.45%,or,4.23%
get,the,17.82%,a,9.9%,rid,6.93%
hat,a,4.84%,over,4.84%,or,3.23%
water,closet,11.48%,bewitched,6.56%,as,4.92%
pot,of,16.07%,or,7.14%,a,5.36%
london,and,7.25%,a,5.07%,lower,4.35%
nose,and,10.71%,the,8.93%,on,8.93%
cut,up,10.1%,it,7.07%,a,6.06%
white,spots,7.81%,man,6.25%,satin,4.69%
hard,to,9.09%,up,9.09%,blow,7.27%
half,a,40.14%,and,4.23%,crown,3.52%
even,the,16.36%,with,7.27%,a,5.45%
fellow,a,22.77%,who,4.95%,and,2.97%
irish,parents,5.56%,and,5.56%,phrase,3.7%
young,woman,11.11%,ladies,11.11%,man,7.41%
phrase,is,13.26%,for,7.18%,to,6.08%
manner,in,14.29%,to,14.29%,of,14.29%
away,with,10.81%,or,9.46%,from,9.46%
pay,the,9.86%,for,8.45%,or,7.04%
beat,or,29.41%,him,7.84%,to,7.84%
never,been,3.92%,heard,3.92%,trust,3.92%
look,out,21.57%,at,19.61%,after,5.88%
eye,a,9.26%,to,7.41%,teeth,7.41%
off,the,14.77%,to,12.08%,and,8.05%
hand,or,6.25%,over,6.25%,of,5.0%
beer,to,5.88%,shant,3.92%,in,3.92%
turn,up,18.03%,out,16.39%,aside,4.92%
run,away,25.84%,to,10.11%,or,7.87%
corruption,of,90.38%,probably,1.92%,although,0.96%
sporting,world,16.95%,men,15.25%,phrase,8.47%
allusion,to,76.47%,is,5.88%,perhaps,1.96%
changed,to,91.67%,all,1.85%,at,0.93%
shop,a,22.5%,or,7.5%,where,7.5%
blow,on,16.13%,me,8.06%,a,8.06%
game,of,29.41%,at,8.82%,is,7.84%
