word type,number
everything,57707
adult,0
hate,0
function,28326
normal,number
the,5266
of,3396
and,2133
in,1325
a,1106
to,894
it,892
is,861
with,687
i,450
which,441
its,435
on,427
brown,407
that,393
p,388
from,364
are,362
white,356
black,313
by,311
as,299
at,290
this,280
be,274
bird,258
species,237
all,234
but,229
tail,228
vol,223
surface,208
australia,207
very,204
or,197
honey,193
part,192
other,183
birds,179
have,178
under,175
yellow,174
feathers,172
size,170
two,162
upper,158
for,158
south,157
one,154
gen,145
new,143
grey,142
not,142
bill,141
coverts,137
an,134
female,134
trees,133
than,130
those,129
more,128
zool,127
being,126
each,125
eater,122
so,121
head,120
feet,118
their,117
has,117
they,116
dark,112
nest,110
colour,110
male,110
et,108
natural,108
found,107
illustration,106
much,106
been,105
throat,104
olive,103
small,103
was,102
del,102
over,101
lath,101
wales,99
may,99
tree,97
centre,97
young,96
wings,96
c,95
most,94
like,92
pl,90
seen,90
sexes,89
irides,89
branches,88
among,87
ii,86
my,85
h,84
only,84
richter,83
back,83
lines,82
when,81
insects,81
near,81
also,80
where,80
were,79
plumage,77
neck,76
eye,76
having,74
food,73
blackish,73
down,72
while,71
feather,71
eggs,71
branch,69
western,68
soc,67
broad,67
number,67
primaries,66
colouring,66
ground,65
country,65
any,65
syn,65
during,65
smaller,65
frequently,64
plate,64
tipped,64
three,64
long,63
these,62
specimens,62
proc,62
no,62
observed,62
land,60
parts,60
form,60
coast,60
note,60
river,59
habits,59
abundant,59
some,59
base,59
every,59
mr,58
supp,58
generally,58
red,57
same,57
van,56
upon,56
fine,56
genus,56
wing,55
about,55
me,55
hist,54
green,54
buff,54
whole,54
figures,53
ear,53
greyish,53
them,53
iv,52
deep,52
both,52
rather,52
represents,52
portion,51
margined,51
reddish,51
flowers,51
adult,50
crown,50
nearly,50
large,49
larger,49
range,49
had,49
brownish,49
particularly,48
great,47
stripe,47
sides,47
abdomen,47
linn,47
yellowish,47
brushes,46
xv,46
light,46
above,46
markings,46
webs,46
trans,45
many,45
inner,45
line,45
latter,44
into,44
lower,44
flight,44
less,44
shaped,44
would,43
if,43
beautiful,42
similar,42
rich,42
tip,42
known,41
spot,41
greenish,41
chest,41
far,41
tom,41
numerous,41
however,40
narrow,40
breast,40
aborigines,40
never,39
present,39
side,39
grasses,39
round,39
interior,39
mark,39
half,39
dull,39
swan,38
secondaries,38
will,38
port,38
vig,37
often,37
first,37
usually,37
viii,37
crossed,37
chestnut,36
although,36
legs,36
her,36
closely,36
colonists,36
season,36
ind,35
yet,35
placed,35
districts,35
lined,35
his,34
almost,34
consists,34
others,34
flanks,34
differs,34
pale,34
breeding,33
outer,33
end,33
there,33
difference,33
australian,32
little,32
members,32
somewhat,32
met,32
bower,31
rufous,31
band,31
loud,31
length,31
formed,31
remainder,31
gilbert,31
always,30
north,30
place,30
after,30
peculiar,30
beneath,30
blue,29
time,29
actions,29
am,28
eastern,28
disposition,28
low,28
spots,28
mandible,28
slightly,28
distinct,28
bright,27
several,27
can,27
appears,27
various,27
few,27
occasionally,27
alike,27
without,27
distinguished,27
such,26
fact,26
northern,26
passing,26
economy,26
another,26
external,26
either,25
thick,25
character,25
allied,25
common,25
inch,25
neighbourhood,25
continent,25
times,25
spotted,24
cuckoo,24
rump,24
conspicuous,24
situations,24
greater,24
notes,24
he,24
e,23
true,23
killed,23
structure,23
open,23
appearance,23
lighter,23
confined,23
considerable,23
variety,23
behind,23
wool,23
mountain,22
throated,22
between,22
differ,22
chin,22
well,22
former,22
running,22
believe,22
plains,22
ever,22
six,22
even,22
procured,22
eight,22
forest,22
island,22
out,22
r,21
appear,21
largely,21
habitat,21
inhabits,21
edit,21
hunter,21
buffy,21
bluish,21
wattle,20
orange,20
name,20
