word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,22.65%,a,10.03%,mr,3.88%
and,the,8.97%,h,4.09%,a,4.04%
the,upper,2.12%,natural,2.01%,head,1.71%
this,species,25.36%,bird,18.93%,new,5.0%
was,the,10.78%,very,3.92%,always,2.94%
from,the,38.33%,its,4.17%,tree,4.17%
birds,of,32.73%,vol,8.48%,are,4.24%
of,the,42.89%,a,5.96%,australia,3.01%
australia,part,16.15%,and,10.42%,where,7.29%
zool,soc,49.61%,vol,36.22%,misc,3.15%
soc,part,77.61%,of,7.46%,november,4.48%
hist,vol,92.59%,soc,7.41%
land,and,15.25%,in,10.17%,it,6.78%
in,the,26.24%,proc,4.64%,a,4.49%
vol,ii,25.68%,xv,20.27%,iv,14.41%
red,bill,14.04%,the,12.28%,and,7.02%
broad,the,20.9%,band,17.91%,stripe,8.96%
ground,colour,13.85%,thrush,10.77%,it,7.69%
new,south,69.72%,species,10.56%,holl,7.04%
south,wales,63.06%,australia,27.39%,eastern,6.37%
wales,and,21.05%,the,9.47%,where,9.47%
white,the,5.34%,and,4.49%,on,4.21%
honey,eater,77.71%,eaters,10.19%,and,3.18%
long,by,53.97%,billed,3.17%,known,3.17%
brown,the,16.95%,bill,7.62%,with,6.14%
yellow,the,10.34%,irides,6.32%,and,5.17%
black,the,16.99%,with,4.17%,and,4.17%
river,hunter,12.73%,and,10.91%,where,7.27%
grey,the,22.86%,with,5.71%,all,4.29%
green,the,14.81%,shoulders,5.56%,bill,5.56%
tree,to,18.75%,creeper,15.62%,in,7.29%
h,c,98.81%,e,1.19%
c,richter,89.25%,that,2.15%,and,2.15%
richter,del,100.0%
del,et,100.0%
ii,p,90.36%,pl,8.43%,cancelled,1.2%
i,have,21.38%,am,6.44%,p,5.52%
so,far,14.88%,much,8.26%,closely,8.26%
with,a,18.3%,the,11.42%,white,8.78%
that,it,14.25%,of,13.49%,the,10.69%
not,the,4.93%,so,4.93%,been,4.23%
my,own,8.43%,notice,6.02%,readers,6.02%
as,the,14.53%,to,7.77%,i,7.09%
to,the,24.43%,be,13.8%,which,3.62%
their,plumage,7.76%,inner,6.03%,length,6.03%
but,the,19.65%,it,5.24%,in,4.37%
which,it,17.46%,is,13.38%,are,9.75%
these,birds,16.13%,bowers,11.29%,trees,6.45%
has,the,34.19%,been,14.53%,a,10.26%
is,a,9.55%,very,4.66%,of,3.61%
a,male,3.09%,female,2.55%,narrow,2.18%
have,been,14.61%,the,10.11%,never,8.99%
been,found,8.57%,seen,6.67%,observed,5.71%
having,a,29.73%,the,22.97%,been,16.22%
parts,of,78.33%,as,3.33%,at,1.67%
at,the,53.21%,port,5.0%,all,4.64%
it,is,31.17%,was,4.15%,in,4.04%
