word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,long,11.07%,crossed,6.84%,me,2.61%
the,of,27.23%,in,6.6%,on,5.87%
at,white,3.83%,is,3.83%,particularly,3.48%
was,it,36.27%,i,5.88%,this,4.9%
from,distinguished,4.79%,differs,3.66%,of,3.66%
birds,of,26.04%,syn,15.98%,the,12.43%
of,part,2.66%,proc,1.85%,one,1.73%
australia,of,48.31%,western,25.12%,south,20.77%
soc,zool,94.03%,hist,5.97%
hist,gen,92.45%,nat,7.55%
and,wings,2.64%,throat,2.23%,male,2.12%
van,of,39.29%,in,26.79%,and,5.36%
in,and,5.75%,it,3.05%,found,1.69%
vol,hist,24.27%,zool,22.33%,trans,21.84%
iv,vol,61.54%,part,36.54%,volume,1.92%
ground,the,69.23%,spotted,7.69%,their,6.15%
bird,the,24.51%,this,20.95%,bower,5.93%
south,new,63.46%,in,8.97%,the,8.33%
wales,south,100.0%
honey,of,11.17%,cheeked,6.7%,throated,6.7%
eater,honey,100.0%
bill,brown,21.99%,the,20.57%,white,9.93%
river,swan,62.71%,the,32.2%,that,1.69%
tree,from,15.46%,to,15.46%,the,9.28%
h,and,98.81%,of,1.19%
c,h,89.25%,by,2.15%,shells,2.15%
richter,c,100.0%
del,richter,100.0%
et,del,98.08%,noir,0.96%,bonn,0.96%
ii,vol,66.28%,tom,19.77%,part,12.79%
zool,of,52.5%,gen,37.5%,leach,3.33%
i,which,6.35%,and,5.9%,that,5.22%
p,ii,20.27%,xv,12.43%,iv,10.54%
mr,by,21.05%,and,8.77%,of,7.02%
so,and,7.63%,are,6.78%,is,5.93%
with,tipped,9.08%,margined,4.98%,lined,4.69%
not,is,18.31%,did,8.45%,have,6.34%
my,to,13.41%,during,12.2%,of,12.2%
as,well,4.88%,far,4.53%,but,3.48%
to,appears,2.83%,as,2.61%,it,2.61%
their,of,29.91%,in,7.69%,to,5.98%
but,all,6.83%,trees,2.44%,species,2.44%
which,of,13.49%,in,8.37%,to,7.44%
these,of,41.94%,all,6.45%,that,4.84%
has,it,23.28%,male,18.1%,which,6.03%
is,it,32.9%,which,6.98%,and,5.44%
a,of,17.98%,with,11.35%,is,7.45%
have,i,52.54%,to,3.95%,and,2.82%
been,have,24.76%,has,16.19%,yet,12.38%
having,in,29.58%,feather,11.27%,never,4.23%
parts,all,15.0%,other,10.0%,northern,8.33%
other,the,36.07%,and,12.02%,each,9.84%
may,it,26.53%,i,6.12%,and,6.12%
much,is,15.09%,very,12.26%,so,9.43%
it,which,8.87%,that,6.45%,where,4.84%
being,in,8.33%,its,4.17%,female,3.33%
frequently,it,17.46%,is,11.11%,and,7.94%
this,of,33.33%,in,6.13%,that,3.83%
country,the,70.77%,of,6.15%,latter,4.62%
be,to,45.02%,may,15.87%,will,7.01%
only,the,22.62%,is,8.33%,can,7.14%
form,the,16.67%,in,16.67%,to,5.0%
new,of,41.01%,in,17.99%,this,10.07%
that,and,5.47%,of,4.95%,to,3.91%
species,this,30.08%,other,9.32%,the,6.36%
seen,be,27.78%,have,8.89%,never,8.89%
any,in,12.31%,or,7.69%,without,7.69%
its,of,21.58%,in,9.98%,from,3.48%
habits,its,61.02%,the,11.86%,their,5.08%
those,to,12.5%,of,11.72%,are,11.72%
coast,the,30.0%,north,21.67%,northern,10.0%
abundant,very,16.95%,tolerably,13.56%,more,13.56%
all,and,18.61%,in,15.15%,at,5.63%
also,is,24.05%,it,13.92%,are,8.86%
very,is,19.7%,a,10.84%,are,9.36%
like,hair,5.68%,brush,4.55%,shrub,3.41%
long,lines,47.54%,its,4.92%,a,4.92%
branches,the,38.64%,topmost,17.05%,leafy,10.23%
trees,the,37.12%,of,9.85%,gum,6.06%
when,and,14.1%,which,6.41%,uttered,3.85%
are,they,12.78%,which,12.22%,figures,10.51%
upon,feeding,7.41%,feeds,5.56%,tree,5.56%
food,its,24.66%,the,24.66%,of,21.92%
insects,of,43.21%,and,13.58%,on,6.17%
two,the,31.25%,are,8.12%,and,4.38%
young,the,63.29%,two,5.06%,a,5.06%
plate,the,82.54%,accompanying,11.11%,present,3.17%
an,of,8.33%,is,8.33%,with,6.82%
were,they,12.66%,and,10.13%,observed,5.06%
on,feathers,3.86%,white,3.61%,size,3.13%
among,and,4.71%,while,3.53%,bird,2.35%
plumage,the,36.36%,its,15.58%,in,14.29%
they,that,14.66%,which,9.48%,where,6.03%
nest,the,64.55%,a,10.91%,its,10.91%
some,in,22.03%,of,15.25%,on,6.78%
sexes,the,64.04%,two,24.72%,both,10.11%
colour,in,16.36%,horn,14.55%,flesh,10.91%
or,two,9.52%,six,2.65%,colour,2.12%
size,natural,57.06%,in,17.65%,the,7.06%
specimens,the,21.67%,some,5.0%,two,5.0%
tail,and,28.07%,under,17.98%,the,13.6%
feathers,tail,31.98%,the,23.26%,white,6.4%
more,a,14.06%,is,10.16%,the,9.38%
tipped,largely,29.69%,feathers,12.5%,slightly,9.38%
green,with,19.23%,olive,15.38%,yellowish,11.54%
than,smaller,13.95%,more,8.53%,less,5.43%
deep,a,21.15%,with,13.46%,of,5.77%
black,of,15.38%,bill,9.36%,brownish,8.03%
down,brown,19.72%,black,15.49%,white,12.68%
centre,the,67.01%,two,14.43%,and,5.15%
neck,the,75.0%,head,11.84%,and,7.89%
broad,lines,37.88%,a,33.33%,and,4.55%
each,of,23.2%,on,12.8%,brown,12.8%
head,the,72.5%,its,3.33%,female,1.67%
back,the,44.58%,and,16.87%,head,4.82%
wings,surface,15.62%,the,13.54%,and,12.5%
olive,yellowish,14.56%,with,12.62%,of,7.77%
wing,the,69.09%,and,7.27%,greater,5.45%
coverts,tail,49.64%,ear,32.85%,wing,13.87%
same,the,100.0%
upper,the,68.35%,and,11.39%,white,3.16%
primaries,the,50.0%,brown,7.58%,grey,6.06%
base,the,91.53%,their,3.39%,black,1.69%
small,a,22.33%,in,15.53%,of,11.65%
white,with,18.29%,of,15.85%,the,10.37%
throat,the,35.58%,and,10.58%,white,7.69%
buff,reddish,24.07%,with,11.11%,pale,5.56%
under,the,30.29%,and,25.71%,white,5.71%
irides,black,13.48%,brown,12.36%,yellow,12.36%
dark,tail,13.39%,irides,12.5%,very,11.61%
