word type,number
everything,307669
adult,11
hate,0
function,173275
normal,number
the,19103
of,12799
and,11294
to,8604
a,7480
in,5780
was,4693
i,4505
his,4338
that,3459
he,3444
as,3022
had,2644
at,2440
it,2350
my,2228
with,2217
by,2157
for,2140
on,2102
not,1792
but,1674
which,1639
be,1629
were,1415
have,1291
him,1285
or,1272
their,1201
an,1155
from,1150
is,1131
all,1115
her,1071
this,1069
they,1044
one,1043
no,1020
who,1004
me,1004
so,985
any,940
very,904
been,863
mr,825
would,800
more,758
most,729
could,728
if,726
said,724
you,679
when,674
every,653
some,639
than,616
them,610
never,608
out,599
she,594
into,564
being,554
there,530
then,521
we,518
time,510
great,501
up,501
after,499
now,490
own,489
lord,465
other,461
its,456
man,452
are,446
did,446
good,443
sir,442
upon,438
well,433
much,422
only,404
before,400
two,396
old,395
should,393
irish,383
however,381
our,374
made,361
will,360
what,359
having,357
without,356
though,354
your,350
such,348
first,347
ireland,345
himself,341
ever,340
many,339
day,338
has,318
same,318
about,316
may,315
house,314
do,311
those,309
long,299
might,297
over,292
these,285
little,271
too,268
both,266
years,265
country,262
even,255
like,253
where,252
dublin,250
us,247
thing,243
lady,241
can,237
must,235
off,233
quite,231
friend,231
down,228
doctor,227
called,225
c,223
body,220
soon,219
under,217
person,215
whom,214
few,214
family,213
rather,211
found,210
took,210
john,208
general,207
yet,206
full,206
nor,203
make,203
place,203
gentleman,203
way,202
either,202
see,198
always,198
still,198
myself,197
fact,197
each,195
footnote,194
got,193
believe,193
young,193
whole,193
say,192
till,191
give,191
head,190
life,188
better,188
people,187
french,187
men,185
three,184
present,184
considered,184
think,183
therefore,183
length,182
told,182
honour,182
also,180
seemed,180
mind,178
state,178
thought,178
indeed,177
course,176
certainly,176
nature,176
put,175
heard,174
gentlemen,173
through,172
against,172
nothing,171
character,171
once,171
take,169
another,168
moment,168
am,166
set,165
saw,165
father,164
high,163
gave,163
just,162
castle,162
between,161
among,160
public,160
appeared,160
while,159
brother,159
last,158
part,158
best,158
went,158
came,158
nearly,157
far,157
law,157
immediately,156
hand,156
mrs,156
half,155
several,155
generally,155
next,154
days,152
county,152
english,150
least,149
became,149
enough,148
death,147
knew,147
thus,145
away,144
sure,144
left,143
seen,140
during,139
get,138
large,137
whose,136
poor,136
court,135
room,135
back,135
new,132
again,132
almost,132
know,132
short,131
name,131
counsellor,131
how,129
since,129
received,129
taken,129
paris,129
matter,128
subject,127
true,126
determined,126
de,125
period,125
shall,124
neither,123
here,123
king,123
lordship,123
side,123
come,123
point,122
afterward,122
morning,121
world,121
night,120
brought,120
right,119
second,118
sent,118
case,118
captain,117
society,116
fair,115
word,115
judge,114
company,114
together,112
whilst,112
go,111
times,110
fellow,110
miss,108
cannot,108
themselves,108
often,107
given,107
felt,107
late,106
doubt,106
bar,106
curran,106
lost,106
horse,105
different,105
justice,104
less,104
george,103
hundred,103
began,102
fire,102
england,101
attorney,101
napoleon,101
cause,100
ladies,99
persons,99
son,99
near,98
scarcely,98
reason,98
why,98
turned,98
master,98
battle,97
party,97
friends,96
round,96
possible,96
sort,95
curious,95
town,95
common,94
kept,94
perhaps,94
species,93
former,93
met,93
further,93
occasion,93
strong,93
business,93
done,93
continued,93
government,93
circumstances,92
author,92
cut,92
used,92
circumstance,92
small,92
opinion,91
changed,91
tell,90
parliament,89
extraordinary,89
love,89
totally,89
others,88
money,88
return,88
manner,88
page,88
replied,88
work,87
fine,87
order,87
year,87
blood,86
latter,86
because,85
twenty,85
means,84
william,84
woman,84
celebrated,84
army,84
returned,84
held,83
particularly,83
dinner,83
four,83
known,83
honourable,82
heart,82
certain,82
mentioned,82
military,82
extremely,81
kind,81
parties,81
proper,81
lieutenant,81
ground,81
truth,80
appearance,80
dead,80
frequently,79
colonel,79
eyes,79
five,79
eye,79
numerous,78
letter,78
fortune,78
humour,78
number,77
making,77
within,77
fight,77
idea,76
looking,76
except,76
stood,76
recollect,76
above,76
toward,76
