word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,7.8%,i,3.62%,a,2.44%
the,most,1.59%,french,1.37%,same,1.3%
this,was,5.65%,moment,2.96%,work,2.69%
was,a,6.02%,not,4.75%,the,4.38%
from,the,26.87%,a,5.47%,his,5.22%
made,a,14.04%,up,6.14%,no,6.14%
by,the,27.96%,a,9.76%,his,5.92%
of,the,24.24%,his,5.33%,a,4.55%
his,own,4.63%,lordship,2.4%,hand,1.07%
own,country,4.55%,times,2.27%,i,2.27%
in,the,24.34%,a,7.29%,his,3.98%
ireland,and,13.95%,the,5.81%,was,4.65%
c,c,18.57%,and,10.0%,at,4.29%
three,friends,5.66%,years,5.66%,of,5.66%
second,reign,9.26%,and,7.41%,the,5.56%
a,very,4.09%,great,2.38%,few,1.8%
to,the,14.87%,be,7.15%,me,3.38%
my,friend,6.78%,mind,5.36%,own,5.05%
general,rule,3.39%,the,3.39%,use,3.39%
must,be,29.89%,have,17.24%,necessarily,6.9%
be,a,6.15%,considered,2.79%,the,2.79%
any,thing,10.18%,other,6.91%,body,3.27%
but,i,8.0%,the,7.27%,it,4.36%
an,old,3.65%,hour,3.65%,immense,2.43%
whose,name,5.56%,character,3.7%,habits,3.7%
such,a,25.86%,as,12.93%,an,9.48%
on,the,36.73%,his,8.16%,a,4.08%
me,to,13.3%,in,5.88%,that,4.86%
those,who,20.0%,of,13.33%,whose,3.81%
have,been,20.78%,seen,3.9%,a,3.03%
you,have,6.99%,will,5.59%,know,4.2%
for,the,22.06%,a,9.22%,his,4.7%
your,honour,18.46%,own,6.15%,edward,3.08%
when,i,14.85%,the,12.87%,he,10.89%
has,been,15.89%,a,4.67%,the,3.74%
no,doubt,5.16%,means,4.19%,more,3.55%
where,the,16.47%,he,10.59%,i,7.06%
will,be,17.09%,not,11.11%,find,4.27%
is,the,8.42%,a,6.19%,not,5.45%
time,to,7.91%,and,7.34%,of,7.34%
that,the,9.62%,he,7.68%,i,7.24%
i,have,8.21%,was,7.51%,had,6.17%
as,to,9.79%,a,8.12%,the,7.56%
may,be,36.7%,have,3.67%,explain,2.75%
if,he,12.83%,the,10.16%,they,10.16%
it,was,21.64%,is,14.86%,would,2.74%
not,be,6.28%,a,4.01%,only,2.79%
at,the,26.41%,length,6.21%,a,5.23%
very,good,4.3%,well,2.87%,fine,2.51%
am,sure,13.73%,not,7.84%,no,5.88%
with,the,19.22%,a,11.56%,his,4.87%
before,the,13.22%,he,11.57%,my,6.61%
honour,of,27.59%,and,12.07%,to,6.9%
between,the,37.04%,frank,3.7%,lady,3.7%
mr,thomas,9.09%,hamilton,5.68%,c,5.68%
character,of,18.31%,and,11.27%,the,7.04%
life,and,12.5%,of,10.94%,the,6.25%
some,of,21.24%,time,5.75%,other,2.21%
all,the,15.47%,his,6.59%,was,2.58%
last,of,6.9%,visit,5.17%,moments,5.17%
her,own,2.89%,to,2.27%,husband,2.06%
whom,i,34.67%,he,13.33%,the,6.67%
he,was,15.58%,had,13.68%,could,2.95%
under,the,33.33%,his,5.8%,a,4.35%
nature,of,20.48%,i,7.23%,and,7.23%
other,and,3.4%,the,3.4%,in,3.4%
up,to,10.67%,the,7.33%,in,6.67%
among,the,53.85%,other,11.54%,them,5.77%
irish,girl,8.06%,peasant,6.45%,herald,6.45%
most,of,5.91%,extraordinary,4.22%,interesting,2.95%
lady,morgan,12.7%,to,7.94%,and,7.94%
them,to,8.38%,the,5.03%,and,5.03%
mrs,jordan,72.55%,marshall,13.73%,k,9.8%
french,army,8.85%,officers,4.42%,officer,3.54%
public,functionaries,8.93%,life,8.93%,or,7.14%
long,and,8.25%,been,5.15%,as,4.12%
dublin,and,19.64%,the,7.14%,theatre,5.36%
then,in,6.04%,a,5.37%,the,3.36%
its,own,4.24%,contents,1.82%,nature,1.82%
fact,that,7.89%,the,7.89%,was,6.58%
more,than,11.91%,particularly,4.26%,to,3.4%
people,in,9.09%,at,7.58%,and,7.58%
english,and,9.33%,army,5.33%,in,4.0%
house,of,11.11%,in,11.11%,and,7.41%
state,of,74.6%,that,3.17%,coach,3.17%
paris,and,12.62%,the,6.8%,i,6.8%
while,the,17.54%,others,7.02%,king,5.26%
set,out,17.31%,off,13.46%,up,13.46%
emperor,had,14.52%,and,11.29%,of,6.45%
napoleon,was,10.42%,and,8.33%,had,7.29%
into,the,31.97%,a,20.41%,his,4.08%
over,the,21.84%,to,11.49%,his,9.2%
their,own,4.88%,arrival,1.52%,hands,1.52%
army,at,13.73%,was,7.84%,in,7.84%
friend,of,13.79%,and,11.49%,was,8.05%
or,the,4.27%,three,3.7%,to,2.85%
one,of,27.85%,day,3.48%,moment,2.22%
good,nature,6.67%,deal,5.56%,natured,5.56%
after,a,15.58%,the,15.58%,his,3.9%
these,are,4.65%,men,4.65%,as,2.33%
him,to,10.53%,and,6.5%,in,5.88%
old,guard,7.14%,and,5.1%,lady,5.1%
person,who,11.7%,and,8.51%,of,5.32%
than,any,11.22%,the,10.73%,a,8.29%
should,be,26.23%,have,14.75%,think,4.92%
they,were,15.21%,had,8.41%,are,7.12%
can,be,19.1%,scarcely,4.49%,see,4.49%
are,not,5.23%,now,3.49%,the,3.49%
now,and,6.35%,in,3.97%,to,3.17%
being,the,5.69%,a,5.69%,as,2.44%
might,have,25.27%,be,21.98%,perhaps,5.49%
considered,as,36.36%,it,9.09%,a,7.27%
so,much,6.33%,long,4.67%,far,4.0%
nor,did,8.33%,the,6.67%,any,5.0%
two,or,11.43%,of,4.76%,years,4.76%
better,than,23.21%,calculated,3.57%,informed,3.57%
there,was,27.27%,were,12.73%,is,9.7%
which,i,10.86%,he,9.28%,had,5.6%
country,and,10.0%,where,5.71%,i,5.71%
much,more,9.94%,to,5.59%,as,4.97%
had,been,17.01%,not,4.37%,no,3.52%
