word type,number
everything,101513
adult,0
hate,0
function,56877
normal,number
the,6181
of,3984
and,3695
to,2700
a,2637
in,1868
was,1472
his,1454
i,1298
he,1186
that,1140
as,1114
at,784
it,768
for,753
with,750
had,746
by,716
my,712
on,638
not,595
be,551
or,537
but,503
him,475
were,467
which,436
all,411
their,407
said,397
have,394
they,394
an,389
is,371
so,370
one,363
any,361
you,355
no,355
who,336
this,332
from,315
if,308
mr,308
would,294
when,288
very,286
me,255
more,254
her,248
could,246
been,240
out,229
them,227
every,218
being,217
most,208
sir,201
into,201
now,201
there,196
than,195
then,183
good,181
some,181
your,180
up,180
we,175
own,174
never,172
are,166
old,165
two,163
well,162
after,160
great,160
its,154
man,149
time,143
upon,141
before,140
other,140
she,138
should,135
our,135
did,135
irish,133
like,132
do,131
what,130
only,129
though,126
having,123
ever,122
much,120
however,118
same,118
doctor,116
has,115
over,115
may,114
about,114
will,113
day,113
such,112
himself,112
us,111
ireland,108
little,108
made,106
without,104
down,104
off,104
long,103
might,101
both,100
where,99
first,98
lord,97
house,97
too,94
those,93
years,93
got,91
many,90
thing,90
counsellor,89
c,88
body,86
sure,85
head,84
can,84
way,83
these,82
soon,81
give,80
either,79
say,79
john,79
quite,78
family,78
gentleman,78
called,78
horse,78
even,77
father,76
three,75
country,75
always,75
came,74
dublin,74
few,74
till,73
poor,73
found,72
make,72
put,71
course,71
nothing,71
rather,69
take,69
better,69
see,68
george,68
back,67
just,67
whole,66
gentlemen,66
captain,66
told,66
therefore,65
under,65
people,65
fair,64
took,64
nor,63
know,63
days,63
place,63
full,62
get,62
friend,61
law,61
county,61
still,60
another,60
footnote,60
honour,59
young,59
must,58
state,58
half,58
brother,58
indeed,57
between,57
myself,57
attorney,57
nearly,56
present,56
set,56
through,56
each,56
several,56
general,55
yet,55
am,55
come,55
generally,55
think,55
devil,55
least,55
while,55
new,54
also,54
left,54
heard,54
length,54
enough,54
person,53
among,53
lady,53
lieutenant,53
master,53
went,53
best,52
tell,52
life,52
gave,52
far,51
matter,51
hand,51
why,51
away,50
short,50
once,50
white,50
blood,50
considered,49
thought,49
part,49
shall,49
death,49
again,49
men,48
here,47
seen,47
whom,47
go,47
changed,47
page,46
sent,46
how,46
certainly,46
dead,45
name,45
fellow,45
saw,45
town,45
subject,44
proper,44
fact,44
nature,44
high,44
against,44
castle,44
taken,44
next,44
times,43
last,43
true,43
doubt,43
world,43
black,43
son,43
company,43
rebel,43
rebels,43
room,43
love,41
word,41
four,41
money,41
immediately,41
during,40
hundred,40
mrs,40
year,40
king,39
neither,39
given,38
whose,38
appeared,38
robert,38
became,38
different,37
themselves,37
often,37
believe,37
cut,37
t,37
mode,37
began,37
case,37
morning,37
brought,37
five,37
fight,37
right,36
almost,36
former,36
night,36
twenty,36
round,36
character,35
species,35
since,35
lost,35
side,35
afterward,35
thus,35
sort,35
going,35
sowl,35
author,34
ladies,34
english,34
turned,34
mentioned,34
boy,34
order,34
william,34
seemed,34
moment,34
cannot,33
point,33
mind,33
latter,33
large,33
used,33
replied,33
fire,33
near,33
single,32
hot,32
second,32
done,32
reason,32
martin,32
battle,32
end,32
bad,32
oh,32
extremely,32
court,31
baronet,31
tom,31
dinner,31
donnybrook,31
humour,31
parson,31
home,31
less,31
received,30
period,30
ned,30
met,30
let,30
keep,30
kept,30
determined,30
fear,29
because,29
number,29
woman,29
persons,29
strong,29
excellent,29
butler,29
pay,29
show,29
stephen,29
mary,29
god,29
knew,29
cried,29
door,28
parties,28
washington,28
window,28
kind,28
ready,28
bottle,28
together,28
curran,28
boys,28
dear,27
able,27
common,27
fancy,27
actually,27
celebrated,27
truth,27
natural,27
making,27
lay,27
further,27
looking,27
occasion,27
cause,27
palmer,27
eyes,27
totally,27
run,27
ten,26
continued,26
description,26
possible,26
call,26
judge,26
hard,26
green,26
wine,26
arms,26
late,26
held,26
water,26
idea,26
fine,26
face,26
dog,26
skin,26
answered,26
children,25
perhaps,25
manner,25
happy,25
wife,25
account,25
story,25
pike,25
bar,25
six,25
use,25
broken,25
uncle,25
french,25
modern,24
plenty,24
look,24
ground,24
ago,24
above,24
ceremony,24
enemy,24
taste,24
toward,24
desired,24
carriage,24
means,24
declared,24
married,24
fell,24
practice,24
women,24
street,23
public,23
incident,23
third,23
volume,23
fortune,23
save,23
seldom,23
sometimes,23
murder,23
miss,23
easy,23
scarcely,23
duly,23
decided,23
certain,23
justice,23
child,23
circumstance,23
st,23
hanged,23
send,23
happened,23
placed,23
else,23
arrived,23
accordingly,23
feet,23
