word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,7.11%,i,3.21%,a,2.87%
the,most,1.75%,same,1.54%,irish,1.11%
this,was,6.19%,moment,2.55%,is,2.46%
was,a,6.06%,not,4.68%,the,4.15%
from,the,28.18%,his,6.74%,a,5.43%
made,a,16.9%,up,5.63%,the,4.79%
by,the,26.75%,a,9.55%,his,4.65%
of,the,23.63%,his,6.0%,a,5.41%
his,own,5.39%,lordship,2.62%,head,1.34%
own,and,3.09%,country,2.65%,times,1.99%
i,was,8.05%,have,7.46%,had,6.4%
a,very,3.65%,few,1.85%,great,1.76%
life,and,16.67%,of,6.99%,i,4.84%
sir,john,36.99%,william,9.04%,francis,5.48%
high,sheriff,11.46%,and,7.64%,treason,5.1%
in,the,24.41%,a,7.54%,his,4.96%
ireland,and,11.71%,was,4.5%,the,4.5%
c,c,23.92%,the,6.7%,and,6.7%
three,or,7.3%,years,6.18%,of,5.62%
to,the,14.23%,be,7.09%,his,2.83%
person,who,11.79%,of,10.38%,and,7.08%
whom,i,33.96%,he,15.09%,they,5.19%
have,been,17.86%,a,3.62%,the,2.75%
long,and,9.59%,as,4.45%,before,3.08%
among,the,46.88%,other,8.75%,them,8.75%
my,own,5.17%,friend,4.09%,mind,3.2%
for,the,20.81%,a,9.18%,his,4.71%
been,a,5.31%,the,2.83%,in,2.59%
is,a,8.33%,not,6.2%,the,6.02%
too,much,8.8%,late,5.6%,far,3.2%
be,a,5.79%,the,3.54%,considered,1.8%
any,thing,9.54%,other,5.16%,of,4.04%
it,was,22.88%,is,11.7%,would,3.2%
only,a,6.74%,to,5.7%,by,3.89%
as,to,8.82%,a,8.52%,the,7.33%
which,i,9.99%,he,9.19%,the,6.48%
may,be,36.6%,not,5.56%,have,2.94%
one,of,31.55%,day,2.98%,or,2.98%
who,had,19.01%,was,11.17%,were,3.82%
can,be,18.18%,scarcely,3.46%,do,3.46%
at,the,28.66%,length,7.15%,all,4.34%
all,the,17.77%,his,5.89%,this,2.39%
not,be,5.26%,a,3.93%,to,3.41%
its,changed,4.61%,own,2.76%,being,1.84%
but,the,6.81%,i,6.38%,a,3.8%
first,and,3.26%,of,2.97%,time,2.08%
me,to,10.31%,and,6.22%,that,5.71%
rather,a,10.0%,than,7.0%,too,6.5%
indeed,i,6.29%,was,6.29%,the,5.71%
myself,and,7.69%,to,6.15%,i,5.64%
think,of,9.04%,it,7.91%,that,7.91%
so,far,5.2%,much,4.89%,long,3.64%
had,been,14.54%,a,5.05%,not,4.94%
got,a,12.7%,the,8.99%,into,7.94%
nearly,as,13.25%,a,4.64%,in,3.31%
half,a,14.19%,an,14.19%,of,9.03%
way,of,17.95%,to,10.26%,and,6.15%
through,the,37.43%,a,6.43%,his,4.68%
before,the,18.85%,he,10.21%,i,6.54%
could,not,24.58%,be,9.78%,have,3.91%
no,doubt,7.24%,more,4.34%,means,4.14%
fact,the,8.47%,he,6.88%,that,5.29%
mind,and,11.36%,of,5.11%,the,5.11%
time,to,6.57%,and,5.98%,the,5.98%
on,the,33.54%,his,7.32%,a,6.01%
public,character,6.54%,life,5.88%,and,5.88%
far,as,24.84%,more,9.55%,from,8.92%
that,the,9.45%,he,8.28%,i,6.1%
than,the,12.63%,any,8.19%,a,6.48%
has,been,16.72%,not,4.5%,a,3.86%
after,the,14.49%,a,13.87%,i,4.14%
another,and,7.84%,the,1.96%,man,1.96%
their,own,5.76%,hands,1.17%,heads,1.17%
or,the,4.3%,two,3.73%,three,2.32%
were,not,4.28%,in,3.48%,the,3.41%
they,were,14.94%,had,8.4%,are,4.98%
about,the,21.07%,to,7.02%,his,4.68%
found,it,10.58%,that,9.62%,him,6.25%
some,of,16.67%,time,7.37%,years,2.4%
years,ago,9.62%,of,8.46%,since,5.77%
them,to,7.12%,and,6.44%,the,4.41%
there,was,26.0%,is,11.95%,were,11.01%
with,the,17.5%,a,13.98%,his,5.46%
what,he,8.72%,is,8.43%,i,8.14%
would,have,18.61%,be,14.63%,not,11.17%
an,old,4.7%,hour,4.23%,irish,3.67%
however,the,6.9%,i,6.37%,was,4.77%
length,he,8.84%,the,4.97%,it,4.42%
believe,that,7.49%,it,6.95%,he,4.28%
are,the,4.88%,now,4.19%,not,3.72%
now,and,6.36%,i,2.75%,the,2.12%
will,be,15.49%,not,6.76%,i,3.1%
both,of,10.42%,in,6.18%,the,6.18%
see,the,24.34%,that,4.76%,his,3.7%
present,day,4.6%,lord,4.02%,and,4.02%
being,the,4.49%,a,3.93%,in,2.06%
might,be,24.31%,have,18.75%,not,4.51%
ever,saw,5.21%,heard,3.37%,so,3.37%
nor,was,8.38%,did,7.85%,the,6.28%
man,and,11.43%,of,9.19%,who,5.16%
over,the,25.17%,to,8.39%,his,7.69%
two,or,6.93%,of,5.87%,years,4.53%
old,and,5.29%,man,3.9%,women,3.62%
immediately,after,5.92%,set,5.26%,to,4.61%
set,out,14.02%,of,10.37%,up,10.37%
very,good,4.41%,well,3.02%,few,2.44%
great,number,3.76%,deal,2.92%,grandfather,2.71%
well,as,18.63%,and,5.15%,known,3.92%
having,been,14.53%,no,4.56%,the,2.85%
therefore,to,3.93%,was,3.37%,determined,2.25%
also,a,9.5%,the,3.35%,to,2.79%
other,hand,4.51%,and,3.61%,people,2.93%
people,in,8.7%,and,8.7%,of,5.43%
make,a,14.5%,the,8.5%,an,6.0%
these,sketches,3.64%,men,2.91%,are,2.91%
just,as,11.73%,to,7.41%,now,4.94%
soon,as,14.49%,after,10.28%,found,3.27%
thing,to,5.88%,in,5.88%,but,5.46%
like,a,28.4%,the,13.99%,to,3.29%
out,of,39.59%,to,4.57%,the,4.4%
took,place,19.81%,the,9.18%,a,7.25%
most,of,4.65%,extraordinary,2.54%,interesting,2.26%
several,of,17.22%,years,11.92%,other,5.3%
did,not,52.49%,i,4.07%,the,4.07%
many,of,18.86%,years,13.77%,a,8.38%
such,a,27.49%,as,11.11%,an,7.6%
into,the,33.33%,a,16.94%,his,6.45%
without,any,12.43%,the,12.14%,a,5.49%
am,sure,12.74%,not,6.37%,aware,4.46%
up,the,11.74%,to,8.91%,in,6.88%
he,was,16.18%,had,13.43%,could,3.4%
do,not,15.51%,you,11.55%,so,4.95%
called,the,14.13%,a,10.87%,to,7.61%
