word type,number
everything,12331
adult,0
hate,0
function,7003
normal,number
the,824
of,448
a,400
and,371
to,307
he,298
in,256
his,238
was,162
that,151
had,142
with,126
i,119
on,116
him,114
at,104
her,102
it,96
as,94
she,93
from,73
for,71
by,70
all,70
but,69
not,56
out,55
an,53
is,47
been,47
one,47
over,45
they,44
this,43
there,42
up,42
would,39
have,36
man,36
you,35
some,35
me,34
into,33
could,33
very,33
were,32
their,31
like,30
no,29
be,29
then,29
eyes,27
old,27
little,25
which,25
so,25
time,25
day,24
who,24
or,23
before,23
if,22
said,22
only,22
made,21
came,21
know,21
smith,21
country,20
sea,20
down,20
when,20
after,20
people,20
black,20
seemed,20
through,19
these,19
away,19
head,19
seen,19
ship,18
door,18
long,18
upon,18
did,18
himself,18
road,17
now,17
other,17
night,17
back,16
my,16
two,16
what,16
how,16
them,15
good,15
face,15
we,15
see,15
heart,15
never,15
under,15
three,15
got,15
amy,14
water,14
saw,14
get,14
voice,14
child,14
off,14
mrs,14
house,14
foster,13
many,13
looked,13
first,13
sort,13
once,13
about,13
went,13
days,12
left,12
do,12
girl,12
nothing,12
great,12
men,12
round,12
village,11
still,11
come,11
end,11
young,11
again,11
such,11
heard,11
more,11
room,11
something,11
too,11
called,11
looking,10
than,10
are,10
years,10
talk,10
used,10
look,10
love,10
father,10
fear,10
word,10
being,10
without,10
perhaps,10
same,10
stood,10
children,10
earth,10
amongst,10
side,10
far,10
america,10
wild,10
where,10
must,10
told,10
evening,10
lying,10
tell,10
ever,10
asked,10
high,9
against,9
wall,9
trees,9
land,9
low,9
half,9
white,9
every,9
took,9
cottage,9
bit,9
our,9
hands,9
any,9
though,9
another,9
here,9
much,9
morning,9
home,9
kept,9
suddenly,9
going,9
miss,9
doctor,8
ground,8
red,8
miles,8
big,8
its,8
open,8
life,8
creature,8
mr,8
even,8
fell,8
go,8
might,8
dark,8
course,8
say,8
wind,8
whether,8
table,8
cross,8
arms,7
among,7
along,7
enough,7
manner,7
hand,7
work,7
between,7
think,7
faces,7
poor,7
grass,7
true,7
understand,7
doubt,7
fields,7
immense,7
way,7
sheep,7
taken,7
women,7
words,7
spoke,7
caught,7
tried,7
memory,7
found,7
kennedy,6
well,6
mud,6
afternoon,6
sitting,6
grey,6
woman,6
full,6
short,6
imagination,6
yet,6
has,6
name,6
sky,6
field,6
new,6
farm,6
aspect,6
may,6
ran,6
yard,6
give,6
understood,6
straight,6
within,6
soft,6
below,6
light,6
ashore,6
rain,6
whom,6
make,6
cart,6
also,6
married,6
just,6
wonder,6
behind,5
bay,5
afterwards,5
penetrating,5
power,5
sometimes,5
hear,5
twice,5
large,5
your,5
dull,5
take,5
hair,5
seems,5
those,5
us,5
will,5
horses,5
above,5
wife,5
want,5
strange,5
human,5
help,5
fellow,5
certain,5
year,5
hat,5
tramp,5
hundred,5
mother,5
slowly,5
last,5
terror,5
past,5
feet,5
body,5
different,5
appeared,5
floor,5
foot,5
find,5
indeed,5
world,5
darkness,5
hill,5
stones,5
window,5
lost,5
am,5
most,5
sight,5
cold,5
laid,5
cried,5
noise,5
gave,5
steam,5
wanted,5
idea,5
bare,5
gold,5
sat,5
next,5
language,5
should,5
few,5
aloud,5
wore,5
kitchen,5
gone,5
suppose,5
frightened,5
while,5
garden,5
began,5
why,5
across,4
further,4
distance,4
flat,4
use,4
mile,4
inn,4
near,4
tower,4
tiny,4
square,4
church,4
green,4
valley,4
broad,4
market,4
known,4
mind,4
roads,4
horse,4
walk,4
dog,4
figure,4
brown,4
drawn,4
breath,4
hanging,4
slow,4
daughter,4
struck,4
less,4
incomprehensible,4
heads,4
touch,4
itself,4
put,4
barns,4
dress,4
walking,4
shape,4
lose,4
living,4
bird,4
pity,4
thought,4
always,4
best,4
anything,4
silently,4
silence,4
walked,4
glances,4
emigrant,4
later,4
sound,4
till,4
turning,4
almost,4
speaking,4
outside,4
often,4
death,4
else,4
read,4
hard,4
simply,4
air,4
together,4
care,4
bundle,4
place,4
can,4
machine,4
shut,4
straw,4
thing,4
everybody,4
however,4
money,4
own,4
fair,4
baby,4
passionate,4
having,4
coming,4
legs,4
happened,4
alone,4
step,4
given,4
lodge,4
upstairs,4
daresay,4
became,4
fierce,4
thinking,4
bread,4
sir,4
pallet,4
wondered,4
eye,4
anybody,4
believe,4
song,4
dance,4
marry,4
ill,4
boy,4
says,4
shores,3
town,3
beyond,3
beach,3
shingle,3
stand,3
familiar,3
small,3
bottom,3
several,3
anchor,3
hedges,3
view,3
companion,3
papers,3
intelligence,3
habit,3
return,3
waited,3
size,3
pair,3
making,3
trotted,3
roof,3
throwing,3
dripping,3
chestnut,3
covered,3
raised,3
quite,3
muttered,3
safe,3
fall,3
beginning,3
marriage,3
differences,3
sun,3
times,3
rolling,3
gently,3
leading,3
whip,3
call,3
whole,3
dislike,3
single,3
outlandish,3
ears,3
boys,3
knees,3
wet,3
german,3
matter,3
four,3
stiles,3
yes,3
mysterious,3
sombre,3
met,3
bowed,3
since,3
heavy,3
pine,3
passing,3
around,3
startled,3
bearing,3
nature,3
pointed,3
belt,3
clear,3
castaway,3
knew,3
learned,3
expected,3
rolled,3
net,3
english,3
speech,3
longer,3
close,3
directions,3
story,3
sign,3
existence,3
strangeness,3
cast,3
discovered,3
surroundings,3
wooden,3
houses,3
sleep,3
walls,3
everything,3
awful,3
sickness,3
glass,3
dressed,3
rich,3
lot,3
muddy,3
shouted,3
driving,3
set,3
hung,3
mountains,3
dollars,3
oh,3
getting,3
sold,3
brothers,3
promised,3
cow,3
pay,3
during,3
sick,3
knowledge,3
loneliness,3
soul,3
turned,3
sudden,3
rough,3
angry,3
early,3
turn,3
right,3
jumped,3
funny,3
waggoner,3
run,3
conviction,3
harm,3
felt,3
lunatic,3
wood,3
done,3
deal,3
muttering,3
despair,3
hamburg,3
reaching,3
remember,3
rose,3
bed,3
either,3
mysteriously,3
disaster,3
hencoop,3
possible,3
remembered,3
looks,3
neither,3
nor,3
compassion,3
gate,3
coach,3
couple,3
quick,3
reminded,3
snare,3
fingers,3
unmoved,3
surprised,3
ear,3
lips,3
utterly,3
five,3
warm,3
coat,3
prayer,3
deaf,3
winter,3
dead,3
somewhere,3
saying,3
ah,3
drink,3
tough,3
trouble,3
couch,3
fever,3
joseph,2
lives,2
rising,2
abruptly,2
street,2
regular,2
barren,2
spire,2
point,2
fairly,2
weather,2
anchoring,2
north,2
rubbish,2
heap,2
martello,2
edge,2
coastguard,2
cottages,2
enclosing,2
figures,2
six,2
brow,2
slope,2
wide,2
flowing,2
practice,2
begun,2
scientific,2
fancy,2
order,2
curiosity,2
general,2
mystery,2
ago,2
stay,2
neglect,2
patients,2
keep,2
company,2
laugh,2
freely,2
climbing,2
pulled,2
line,2
hedge,2
dusty,2
tight,2
sounded,2
timid,2
remarked,2
prominent,2
inertness,2
rate,2
farmer,2
sunk,2
shepherd,2
utter,2
scandalous,2
dropped,2
touched,2
smooth,2
top,2
ploughed,2
innumerable,2
horizon,2
uniform,2
uncounted,2
ridge,2
background,2
family,2
age,2
service,2
sharp,2
notice,2
curious,2
mist,2
vague,2
utterance,2
stammer,2
passes,2
tender,2
peculiarities,2
accents,2
prevent,2
crime,2
swim,2
trap,2
suffering,2
leave,2
need,2
form,2
notion,2
beauty,2
feed,2
inscrutable,2
born,2
smiths,2
month,2
showed,2
desire,2
conversation,2
fine,2
stout,2
boots,2
feather,2
finery,2
yards,2
younger,2
kiss,2
obstinately,2
spell,2
possessed,2
unaccountable,2
melancholy,2
shoulders,2
leaden,2
hearts,2
lithe,2
appearance,2
dust,2
paced,2
lustrous,2
movement,2
glance,2
olive,2
complexion,2
graceful,2
woodland,2
smoke,2
steamer,2
floated,2
shipwrecked,2
washed,2
storm,2
drowned,2
struggled,2
animal,2
blind,2
resembled,2
curiously,2
bleating,2
arrive,2
means,2
begin,2
reins,2
tongue,2
directly,2
corner,2
late,2
lamp,2
frigid,2
splendour,2
passed,2
chill,2
relations,2
die,2
miserably,2
others,2
precarious,2
object,2
helpless,2
obscure,2
adventurers,2
fate,2
innocent,2
christian,2
beheld,2
surprise,2
probably,2
board,2
note,2
anxious,2
battened,2
start,2
ladder,2
places,2
boxes,2
clothes,2
stick,2
lights,2
box,2
boom,2
overcame,2
prayers,2
besides,2
iron,2
slept,2
sit,2
mountain,2
grow,2
image,2
drove,2
anywhere,2
spent,2
extremely,2
teeth,2
each,2
falling,2
separated,2
venerable,2
cloth,2
cunning,2
telegraph,2
american,2
kaiser,2
engaged,2
able,2
because,2
send,2
ponies,2
cleared,2
pass,2
real,2
adventurer,2
greatest,2
telling,2
seldom,2
missed,2
singing,2
blank,2
ignorance,2
abominably,2
lay,2
sensitive,2
pig,2
pound,2
speak,2
indignation,2
lasted,2
west,2
crying,2
fled,2
helped,2
roadside,2
nearer,2
immobility,2
advanced,2
dashing,2
fright,2
indignantly,2
milk,2
secret,2
drop,2
stop,2
devil,2
confessed,2
drunk,2
deep,2
perambulator,2
finn,2
chap,2
taking,2
pick,2
moment,2
plainly,2
meant,2
finding,2
barking,2
fit,2
locked,2
dirty,2
supposed,2
stackyard,2
frighten,2
miry,2
fro,2
stormy,2
inexplicable,2
part,2
silent,2
admitted,2
rapid,2
escaped,2
completely,2
insanity,2
approached,2
gracious,2
food,2
shelter,2
watching,2
community,2
maniac,2
brain,2
ask,2
hunger,2
meantime,2
screaming,2
herself,2
disturbing,2
