word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,26.9%,a,9.66%,and,4.14%
and,the,8.0%,i,5.26%,a,2.83%
of,the,17.76%,a,6.43%,his,4.24%
i,had,12.89%,was,6.71%,saw,3.8%
the,manager,1.53%,river,1.4%,other,1.27%
a,little,2.61%,man,1.57%,moment,1.22%
to,the,11.3%,be,5.2%,me,4.63%
her,head,3.85%,face,3.85%,and,2.56%
without,a,27.45%,the,5.88%,any,3.92%
was,a,8.53%,not,6.14%,the,5.99%
at,the,27.38%,me,7.22%,last,6.46%
had,been,14.31%,a,6.16%,to,6.16%
made,me,19.4%,a,19.4%,the,7.46%
river,with,6.78%,i,6.78%,the,5.08%
only,thing,7.27%,a,5.45%,the,3.64%
for,the,19.85%,a,18.38%,me,4.04%
it,was,25.83%,had,6.4%,is,5.79%
before,the,17.74%,i,12.9%,me,6.45%
us,in,5.56%,there,3.7%,who,3.7%
like,a,38.46%,the,14.53%,this,4.27%
an,air,3.93%,immense,2.81%,old,2.25%
in,the,34.31%,a,15.61%,this,2.44%
were,no,3.85%,not,3.21%,in,3.21%
up,the,8.4%,in,8.4%,and,6.72%
with,a,16.8%,the,11.65%,an,4.88%
seemed,to,66.67%,at,4.35%,very,2.9%
on,the,40.76%,a,6.37%,his,3.82%
that,was,5.57%,i,4.84%,the,3.39%
out,of,32.03%,there,10.46%,to,3.92%
back,and,9.23%,to,9.23%,of,7.69%
into,the,37.18%,a,19.23%,it,3.85%
over,the,35.21%,a,9.86%,it,7.04%
we,were,10.53%,had,10.53%,could,5.92%
his,head,2.94%,eyes,2.65%,life,2.06%
as,though,12.63%,i,10.24%,if,8.53%
he,had,14.04%,was,13.37%,said,7.28%
there,was,34.48%,were,7.39%,i,4.93%
looked,at,28.57%,like,7.14%,as,7.14%
so,on,7.21%,i,6.31%,to,5.41%
which,i,14.29%,was,11.11%,he,9.52%
is,the,9.76%,a,9.76%,not,5.69%
not,a,7.38%,to,4.1%,so,3.28%
but,i,15.96%,the,6.1%,there,5.16%
him,and,6.79%,i,6.33%,to,5.43%
have,been,28.93%,a,6.61%,no,4.13%
said,i,14.73%,the,10.08%,he,9.3%
long,as,7.84%,time,7.84%,grass,3.92%
some,of,5.88%,sort,5.88%,reason,2.94%
or,a,8.0%,the,8.0%,two,4.0%
did,not,57.47%,i,6.9%,it,4.6%
very,well,5.6%,clear,3.2%,far,3.2%
from,the,36.13%,a,5.04%,his,5.04%
more,than,26.92%,for,5.13%,i,3.85%
if,he,14.29%,i,12.99%,the,9.09%
its,own,5.66%,head,3.77%,curved,1.89%
about,the,13.89%,that,8.33%,me,6.94%
men,with,7.84%,and,3.92%,of,3.92%
came,to,17.46%,upon,12.7%,out,11.11%
after,all,20.75%,a,18.87%,the,7.55%
man,who,10.91%,i,6.36%,of,5.45%
who,was,16.95%,had,10.17%,i,6.78%
than,a,23.64%,the,9.09%,i,9.09%
upon,the,26.79%,my,16.07%,me,10.71%
all,the,28.65%,this,8.11%,that,5.41%
time,i,15.38%,to,7.69%,the,6.41%
be,a,4.0%,he,3.2%,made,3.2%
they,were,21.38%,had,14.47%,would,4.4%
what,i,12.07%,he,9.48%,was,6.9%
this,was,8.05%,i,5.17%,time,3.45%
been,a,9.84%,very,4.1%,there,2.46%
one,of,22.79%,day,4.41%,evening,2.94%
could,not,23.64%,see,22.73%,be,10.0%
too,much,14.67%,i,8.0%,and,4.0%
their,hands,5.88%,own,3.53%,faces,3.53%
them,the,6.85%,and,6.85%,with,5.48%
these,chaps,8.33%,things,8.33%,were,6.67%
no,more,9.55%,doubt,6.37%,one,5.1%
when,i,27.27%,the,14.29%,he,14.29%
you,know,10.71%,see,6.17%,would,4.55%
little,more,4.92%,man,3.28%,cabin,3.28%
well,i,17.31%,as,7.69%,you,5.77%
know,i,14.77%,how,7.95%,why,6.82%
would,be,12.78%,have,12.78%,not,5.26%
something,like,7.69%,to,7.69%,and,7.69%
then,i,15.73%,the,8.99%,a,5.62%
don't,know,28.57%,you,19.05%,want,7.94%
me,i,10.93%,to,6.88%,the,6.07%
my,head,5.26%,eyes,3.24%,dear,2.83%
though,i,16.39%,he,16.39%,it,8.2%
see,the,18.68%,i,8.79%,him,6.59%
she,was,13.1%,had,13.1%,seemed,4.76%
