word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,8.33%,him,2.78%,near,2.78%
and,him,1.52%,it,1.32%,up,0.81%
of,out,3.57%,one,2.26%,kind,1.53%
the,of,10.61%,in,9.21%,on,5.59%
a,in,8.36%,of,7.66%,with,5.4%
to,seemed,5.15%,had,3.47%,began,1.9%
her,on,10.26%,of,8.97%,saw,3.85%
without,and,7.84%,anchor,1.96%,together,1.96%
was,it,19.08%,he,12.06%,i,11.6%
at,looked,6.11%,look,4.58%,and,3.05%
had,i,29.74%,he,16.9%,it,6.31%
made,i,16.42%,it,7.46%,had,5.97%
river,the,53.33%,that,13.33%,big,6.67%
only,the,20.0%,was,10.91%,had,5.45%
for,waiting,2.22%,and,1.48%,that,1.48%
it,of,5.8%,as,3.11%,that,2.48%
before,days,4.92%,and,3.28%,long,3.28%
us,of,18.52%,to,14.81%,at,9.26%
like,was,7.5%,don't,4.17%,something,3.33%
an,of,14.53%,with,10.06%,was,10.06%
in,was,2.77%,and,1.79%,up,1.63%
were,they,21.79%,we,10.26%,there,9.62%
up,going,3.33%,it,3.33%,stood,3.33%
with,and,2.93%,me,2.39%,said,1.6%
seemed,it,20.29%,that,13.04%,i,7.25%
on,went,4.49%,so,2.56%,and,2.24%
that,of,10.05%,all,2.39%,in,2.39%
out,came,4.58%,come,3.27%,him,3.27%
back,the,12.31%,my,10.77%,his,9.23%
into,me,6.49%,burst,3.9%,stepped,2.6%
over,all,8.45%,brooding,5.63%,came,5.63%
we,as,6.62%,what,3.31%,and,2.65%
his,of,17.06%,to,4.71%,with,3.53%
as,was,3.79%,and,2.76%,just,2.76%
he,and,2.91%,as,2.05%,said,2.05%
there,out,7.92%,and,6.93%,but,5.45%
looked,i,16.07%,it,12.5%,he,8.93%
so,and,11.61%,not,7.14%,was,6.25%
which,of,9.52%,in,6.35%,from,4.76%
is,it,23.33%,he,10.83%,there,6.67%
not,did,20.58%,was,16.87%,could,10.7%
but,nothing,3.32%,that,1.42%,it,1.42%
him,to,8.56%,of,4.5%,heard,4.5%
i,and,4.64%,but,3.03%,as,2.68%
have,i,14.88%,to,14.88%,would,14.05%
said,he,32.82%,i,29.01%,she,2.29%
some,of,16.67%,at,5.88%,to,5.88%
or,hook,2.0%,second,2.0%,him,2.0%
did,i,34.48%,he,13.79%,it,6.9%
very,the,13.82%,was,10.57%,a,9.76%
from,away,8.33%,and,2.5%,him,2.5%
more,no,19.23%,nothing,6.41%,any,5.13%
if,as,32.47%,and,3.9%,that,3.9%
its,in,13.21%,with,13.21%,and,7.55%
about,talk,5.41%,something,5.41%,much,4.05%
men,of,19.61%,the,13.73%,white,13.73%
came,i,11.11%,we,11.11%,it,6.35%
after,day,3.77%,but,3.77%,and,3.77%
man,the,18.18%,a,16.36%,white,7.27%
who,man,21.43%,us,3.57%,those,3.57%
than,more,38.18%,it,5.45%,us,3.64%
upon,came,14.29%,and,3.57%,effect,3.57%
all,of,5.98%,after,5.98%,at,4.89%
time,the,16.67%,of,12.82%,that,11.54%
be,to,36.8%,would,13.6%,could,8.8%
they,but,3.21%,and,3.21%,that,2.56%
what,of,6.9%,know,5.17%,but,4.31%
this,in,8.57%,all,8.57%,of,8.0%
been,had,58.54%,have,28.46%,not,4.07%
one,no,5.93%,of,3.7%,was,3.7%
could,i,35.45%,he,14.55%,we,8.18%
too,it,5.33%,me,4.0%,be,4.0%
their,in,16.28%,with,15.12%,of,13.95%
them,of,19.18%,to,9.59%,with,8.22%
these,of,30.0%,in,8.33%,but,5.0%
no,had,14.74%,was,8.33%,and,4.49%
when,but,9.09%,and,5.19%,moment,3.9%
you,as,4.89%,do,4.89%,don't,3.91%
little,a,49.18%,the,11.48%,his,6.56%
well,very,13.46%,as,13.46%,him,3.85%
know,you,37.5%,don't,20.45%,to,17.05%
would,i,19.7%,he,12.88%,you,10.61%
something,was,9.62%,know,5.77%,of,3.85%
then,and,31.46%,but,3.37%,were,2.25%
don't,i,61.9%,you,4.76%,and,3.17%
me,to,16.47%,at,7.63%,made,5.22%
my,of,9.68%,to,5.65%,in,4.03%
though,as,61.67%,it,3.33%,rest,1.67%
see,could,27.17%,you,20.65%,to,18.48%
she,and,8.33%,though,4.76%,him,3.57%
mr,of,11.54%,that,9.62%,to,5.77%
