word type,number
everything,136728
adult,0
hate,54
function,73843
normal,number
the,8779
of,4789
a,4069
and,3872
to,3110
he,2492
in,2332
his,1927
i,1742
was,1606
with,1600
it,1364
had,1329
that,1274
on,1194
as,1065
at,939
for,880
you,864
him,791
all,688
out,644
they,616
but,584
an,581
not,577
up,572
we,568
by,566
there,536
one,521
from,509
like,470
were,464
no,447
this,424
me,420
would,417
her,416
be,416
been,406
their,393
my,390
is,390
said,388
man,387
if,382
she,368
over,365
could,339
what,331
have,323
men,309
ship,307
then,307
some,305
very,303
them,300
or,298
into,288
so,278
eyes,254
mr,252
head,251
seemed,238
about,237
down,237
our,235
time,229
see,224
jukes,223
who,221
more,219
did,214
sea,213
made,206
back,206
when,205
before,203
upon,203
through,202
long,200
us,195
after,192
though,190
know,189
old,187
captain,187
himself,185
only,185
away,181
little,180
two,179
came,176
looked,176
go,175
deck,175
now,174
under,173
black,173
which,172
do,171
face,171
off,168
went,167
are,166
don't,165
voice,165
other,162
than,161
too,161
its,160
get,160
without,158
good,155
heard,150
every,145
will,143
got,142
last,141
white,139
great,138
never,138
your,138
again,137
any,137
these,137
water,137
life,136
while,135
another,135
come,132
hands,130
nothing,129
look,128
way,127
night,127
day,127
well,127
door,127
jimmy,127
much,126
here,126
light,125
something,124
side,123
such,120
stood,120
say,119
moment,115
going,114
once,112
right,112
think,111
wind,111
thought,110
hand,110
first,110
still,110
round,107
just,107
end,105
saw,104
baker,103
sir,103
suddenly,103
where,101
how,101
half,100
above,100
asked,99
began,98
left,96
can,96
thing,94
must,94
enough,94
am,93
dark,93
work,92
being,91
three,91
high,91
put,91
ever,91
against,90
belfast,89
make,88
earth,87
cried,87
seen,87
let,87
wait,86
heavy,86
air,86
along,84
even,83
short,83
take,83
gone,83
together,82
arms,82
yet,81
tell,81
words,80
things,80
far,79
turned,79
feet,79
took,79
many,79
done,78
each,77
those,77
want,77
big,77
looking,77
faces,76
hear,74
silence,74
course,74
hard,73
lot,71
between,71
yer,71
felt,71
room,71
amongst,70
low,70
open,69
dead,69
full,69
coming,68
darkness,68
forward,68
became,68
keep,68
lost,67
perhaps,66
same,66
place,66
alone,66
boatswain,65
appeared,65
heads,65
behind,65
below,65
knew,65
cook,65
river,65
kept,64
why,64
anything,64
may,63
sat,62
own,62
can't,62
sky,62
house,62
found,62
because,61
mind,61
mate,61
second,61
it's,61
called,60
moved,60
world,59
few,59
clear,59
people,59
near,59
whole,59
heart,59
within,58
word,58
lips,58
talk,57
give,57
tone,57
watch,56
years,56
till,56
others,56
couldn't,56
slowly,56
yes,55
hold,54
gave,54
days,54
body,53
soon,53
young,53
shouted,53
kind,52
singleton,52
didn't,52
stand,51
most,51
land,51
legs,51
fell,51
cold,51
station,51
has,50
rest,50
should,50
matter,50
sometimes,50
care,50
also,50
bridge,50
weather,50
turn,50
oh,50
master,50
death,49
itself,49
hung,49
bad,49
forecastle,48
fear,48
lay,48
red,48
that's,48
struck,48
wanted,48
myself,48
find,47
deep,47
remained,47
sudden,47
understand,47
what's,46
small,46
iron,46
ran,46
glance,45
cabin,45
ready,45
home,45
might,45
seas,45
sort,44
tried,44
voices,44
towards,44
rose,44
ough,44
next,44
sick,44
rout,44
crowd,43
sound,43
bit,43
arm,43
wild,43
truth,42
always,42
breath,42
lying,42
set,42
says,42
manager,42
speak,41
fellow,41
aft,41
noise,41
nigger,40
sight,40
held,40
believe,40
fine,40
shook,40
immense,40
book,39
trying,39
loud,39
morning,39
row,39
board,39
both,39
name,39
human,39
manner,39
straight,39
past,39
better,39
trouble,39
james,38
run,38
quiet,38
shore,38
hair,38
seaman,38
i've,38
country,38
everything,37
times,37
chief,37
afterwards,37
sun,37
passed,36
told,36
sunshine,36
rolled,36
themselves,36
answered,36
closed,36
overboard,36
evening,35
best,35
new,35
strength,35
poor,35
spoke,35
broken,35
used,35
stopped,35
muttered,35
wouldn't,35
given,35
hours,35
steam,35
aspect,34
rather,34
ashore,34
devil,34
pair,34
rolling,34
fair,34
outside,34
quite,34
caught,34
doubt,34
idea,34
ship's,33
whether,33
soul,33
knees,33
wide,33
strange,33
fool,33
empty,33
watched,33
jimmy's,33
desire,32
less,32
brought,32
rope,32
chest,32
sitting,32
sides,32
wet,32
clothes,32
shoulders,32
foot,32
flung,32
started,32
die,32
already,32
burst,32
having,32
woman,32
fall,31
since,31
true,31
thin,31
chance,31
blue,31
ain't,31
neck,31
move,31
teeth,31
there's,31
calm,31
quick,31
trees,31
bank,31
ivory,31
pilgrims,31
profound,30
almost,30
hearts,30
road,30
rush,30
lamp,30
cut,30
archie,30
smoke,30
stared,30
silent,30
beyond,30
mouth,30
around,30
leaped,30
expected,30
whispered,30
wheel,30
miles,30
ear,30
im,30
gale,30
glass,30
nearly,30
ships,29
feeling,29
four,29
shadows,29
existence,29
lifted,29
yelled,29
heavily,29
several,29
opened,29
stop,29
mrs,29
sent,28
sense,28
pain,28
poop,28
shoulder,28
resembled,28
edge,28
listened,28
steamer,28
chap,28
nobody,28
i'll,28
shut,28
leave,28
call,28
rail,28
grunted,28
swung,28
repeated,28
help,28
getting,28
coast,28
talked,28
nan,28
making,27
however,27
feel,27
show,27
ceased,27
