word type,number
everything,54595
adult,0
hate,44
function,27774
normal,number
the,3495
of,1811
and,1654
a,1636
to,1132
he,980
in,925
his,822
with,773
on,476
it,438
was,435
that,413
as,403
at,359
had,357
we,351
for,342
you,342
him,316
i,313
they,298
all,274
up,270
out,268
one,255
by,222
an,220
men,212
like,211
from,197
their,197
but,190
our,185
were,183
no,173
there,171
ship,166
over,166
not,162
said,161
if,159
man,154
be,152
then,135
eyes,135
is,130
been,129
or,127
mr,127
jimmy,127
would,122
us,116
her,115
sea,114
some,111
head,111
could,110
through,109
them,109
what,108
baker,103
into,101
who,100
she,100
go,99
about,97
deck,95
more,94
down,93
old,92
this,91
seemed,90
looked,89
will,88
belfast,88
face,87
have,86
long,86
two,85
my,83
me,83
under,82
black,82
back,82
away,82
now,79
went,79
voice,79
wait,77
very,75
time,75
are,75
another,75
after,74
off,74
though,73
do,72
before,72
night,72
did,72
yer,71
so,70
made,70
your,70
last,69
every,69
see,68
white,68
don't,68
life,67
than,66
side,64
door,64
when,63
its,63
light,63
without,61
only,61
little,61
stood,61
water,61
while,59
cook,59
any,58
get,58
came,58
heard,57
above,57
upon,57
moment,55
again,55
hands,55
round,54
himself,52
singleton,52
got,52
hand,52
good,51
half,50
look,50
faces,50
never,49
arms,49
captain,49
forecastle,48
here,48
hard,48
along,48
began,48
come,47
short,47
know,47
well,47
wind,47
master,47
which,46
going,46
cried,46
way,45
asked,45
where,45
day,45
let,45
great,44
turned,44
put,44
much,43
forward,43
right,43
heavy,43
ever,43
ough,43
am,42
those,42
dark,42
against,42
suddenly,42
watch,41
nothing,41
once,41
together,41
such,41
high,41
work,40
big,40
moved,40
words,39
other,39
silence,39
still,39
james,38
think,38
sir,38
boatswain,38
lay,37
heads,37
lips,37
shouted,37
too,37
take,36
between,36
sky,36
nigger,35
thought,35
aft,35
cold,35
open,34
end,34
three,34
hear,34
cabin,34
sat,33
feet,33
first,33
many,33
jimmy's,33
done,32
called,32
mate,32
want,32
crowd,32
appeared,32
hung,32
became,32
something,32
took,32
tone,32
make,31
kept,31
just,31
left,30
amongst,30
stand,30
voices,30
archie,30
others,30
dead,29
clear,29
hold,29
rope,29
enough,29
ain't,29
it's,29
knew,29
looking,29
gone,29
thing,28
tell,28
loud,28
poop,28
behind,28
say,28
felt,28
can't,28
things,28
turn,28
ran,28
coming,27
held,27
full,27
till,27
low,27
bad,27
saw,27
sudden,27
shook,27
seen,27
slowly,27
sick,27
can,26
care,26
sunshine,26
soon,26
alone,26
im,26
narcissus,25
fear,25
few,25
earth,25
seaman,25
charley,25
below,25
rose,25
die,25
world,24
hearts,24
must,24
far,24
lot,24
rolled,24
bunk,24
em,24
own,24
gave,24
air,24
seas,24
rest,23
glance,23
even,23
darkness,23
ready,23
chest,23
row,23
land,23
keep,23
ye,23
themselves,23
days,23
passed,22
body,22
place,22
remained,22
spoke,22
iron,22
grunted,22
shadows,21
tried,21
breath,21
what's,21
both,21
struck,21
answered,21
watched,21
whispered,21
didn't,21
overboard,21
death,20
thin,20
quiet,20
clothes,20
why,20
how,20
fell,20
move,20
arm,20
sails,20
years,19
may,19
truth,19
desire,19
within,19
times,19
stared,19
young,19
mouth,19
listened,19
near,19
towards,19
aloft,19
fine,19
i've,19
yelled,19
weather,19
swung,19
sun,19
repeated,19
being,18
yet,18
ship's,18
trying,18
each,18
less,18
morning,18
noise,18
give,18
pair,18
sides,18
lost,18
small,18
that's,18
legs,18
outside,18
planks,18
teeth,18
muttered,18
rail,18
sleep,18
grey,18
matter,17
pain,17
run,17
main,17
cut,17
decks,17
officers,17
resembled,17
deep,17
ave,17
lifted,17
yes,17
calm,17
couldn't,17
galley,17
better,17
home,17
breeze,17
anything,17
hours,17
exclaimed,17
perhaps,16
best,16
most,16
should,16
kind,16
sight,16
forgotten,16
strength,16
ceased,16
red,16
sound,16
blue,16
shirt,16
wide,16
wet,16
won't,16
ere,16
i'll,16
fair,16
straight,16
call,16
quick,16
murmur,16
pay,16
has,15
book,15
profound,15
new,15
find,15
peace,15
always,15
also,15
poor,15
smile,15
stepped,15
lamp,15
shoulders,15
blanket,15
foot,15
empty,15
surprised,15
pulled,15
