word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,36.87%,a,10.14%,his,5.99%
the,ship,3.22%,sea,1.41%,deck,1.38%
of,the,20.98%,a,7.82%,his,6.77%
a,man,2.6%,moment,2.54%,little,2.11%
to,the,13.04%,be,4.88%,him,2.57%
this,ere,6.98%,is,5.81%,way,4.65%
about,the,17.71%,it,7.29%,his,6.25%
my,rights,3.66%,friends,2.44%,watch,2.44%
sea,the,11.5%,and,8.85%,that,4.42%
in,the,29.05%,a,20.67%,his,5.98%
from,the,27.92%,his,5.58%,under,4.06%
that,the,5.13%,he,4.65%,time,1.71%
when,he,24.59%,the,13.11%,it,6.56%
wait,in,5.33%,with,5.33%,was,5.33%
ship,and,4.91%,in,4.29%,a,3.07%
for,a,22.65%,the,18.53%,ever,4.41%
moment,of,20.0%,he,9.09%,in,5.45%
he,had,10.02%,was,9.3%,said,5.73%
us,with,8.85%,and,7.96%,in,5.31%
through,the,47.71%,a,11.93%,it,3.67%
i,am,13.53%,will,8.91%,don't,3.63%
had,been,22.13%,the,6.16%,a,5.32%
do,you,18.06%,it,15.28%,he,5.56%
with,a,18.37%,the,11.64%,his,6.86%
him,he,6.39%,and,4.47%,with,4.15%
was,a,11.06%,the,4.84%,heard,2.3%
is,not,9.38%,a,7.03%,it,7.03%
no,one,13.95%,more,8.72%,no,4.65%
and,the,6.81%,with,3.77%,in,1.82%
her,decks,4.35%,as,3.48%,deck,3.48%
his,head,6.22%,eyes,3.78%,back,2.8%
an,old,5.09%,empty,3.7%,intense,1.39%
some,one,20.91%,of,12.73%,man,2.73%
our,hands,4.32%,hearts,4.32%,lives,3.24%
over,the,40.0%,his,14.55%,him,4.24%
but,the,12.77%,he,7.98%,in,4.79%
who,had,20.2%,in,5.05%,could,4.04%
as,if,21.0%,though,16.0%,a,8.5%
very,much,6.67%,loud,5.33%,still,5.33%
me,i,10.0%,he,10.0%,a,8.75%
round,the,14.81%,and,11.11%,his,9.26%
not,a,8.12%,to,6.25%,have,4.38%
be,a,7.24%,seen,7.24%,heard,5.26%
more,than,11.96%,and,3.26%,you,2.17%
than,the,24.24%,a,10.61%,ever,6.06%
life,and,13.64%,to,6.06%,that,4.55%
time,in,12.16%,to,8.11%,he,5.41%
it,was,15.17%,is,4.83%,and,3.45%
or,two,10.24%,a,4.72%,the,3.94%
its,effect,3.17%,colour,3.17%,form,3.17%
are,you,17.81%,a,10.96%,the,8.22%
after,a,22.22%,all,8.33%,the,6.94%
last,ship,4.35%,month,4.35%,and,4.35%
before,the,30.56%,his,8.33%,it,5.56%
without,a,25.42%,any,8.47%,effort,3.39%
down,the,13.98%,on,9.68%,at,8.6%
on,the,40.93%,his,6.12%,a,4.22%
now,and,16.67%,he,11.54%,we,6.41%
at,the,26.89%,him,8.68%,his,7.84%
so,many,7.35%,far,5.88%,i,5.88%
out,of,26.87%,and,4.85%,a,4.48%
again,the,9.09%,he,9.09%,with,9.09%
under,the,43.9%,a,14.63%,his,9.76%
into,the,45.54%,a,12.87%,his,5.94%
light,of,9.52%,and,9.52%,the,7.94%
two,men,10.71%,or,4.76%,mates,4.76%
if,you,12.18%,he,8.33%,i,8.33%
up,the,10.49%,to,8.61%,and,7.87%
one,of,13.83%,another,11.86%,or,4.74%
every,one,14.49%,man,5.8%,morning,2.9%
what,do,8.49%,he,6.6%,did,6.6%
their,heads,7.14%,eyes,3.57%,life,3.06%
then,he,7.52%,a,6.77%,the,6.77%
like,a,46.89%,the,12.44%,an,6.22%
they,were,9.52%,had,7.48%,could,3.4%
heard,the,12.73%,him,9.09%,there,5.45%
himself,and,9.62%,in,7.69%,to,5.77%
made,a,17.14%,the,7.14%,us,5.71%
all,the,18.01%,right,6.25%,his,4.41%
men,who,4.76%,in,4.29%,and,3.81%
only,the,11.86%,a,10.17%,thing,5.08%
any,one,22.81%,of,14.04%,other,7.02%
above,the,49.12%,his,12.28%,a,8.77%
there,was,30.0%,were,6.47%,and,4.12%
old,man,19.57%,singleton,9.78%,seaman,5.43%
go,to,7.07%,an,6.06%,and,6.06%
will,do,8.14%,be,8.14%,have,6.98%
you,are,4.89%,don't,3.67%,he,3.06%
see,it,11.94%,the,8.96%,that,7.46%
your,work,5.97%,name,4.48%,best,4.48%
have,been,20.93%,you,5.81%,a,5.81%
eyes,and,7.52%,he,6.02%,the,6.02%
them,the,9.35%,he,5.61%,in,4.67%
get,out,19.64%,at,8.93%,the,7.14%
off,the,23.29%,his,6.85%,and,5.48%
we,were,10.32%,had,8.31%,could,5.44%
upon,the,49.12%,a,8.77%,her,7.02%
long,time,8.14%,and,5.81%,as,4.65%
little,cabin,10.34%,more,8.62%,belfast,6.9%
hands,and,10.91%,were,7.27%,that,3.64%
mr,baker,97.12%,baker's,2.88%
baker,was,5.83%,he,5.83%,grunted,4.85%
deck,and,9.47%,to,5.26%,with,4.21%
head,and,11.71%,he,5.41%,of,4.5%
night,and,12.5%,the,6.94%,in,6.94%
man,who,6.49%,is,5.19%,with,4.55%
said,the,14.29%,in,5.19%,with,4.55%
went,on,35.44%,away,8.86%,to,7.59%
while,the,27.59%,he,8.62%,they,5.17%
black,man,5.0%,face,3.75%,horse,3.75%
face,of,11.49%,the,8.05%,was,6.9%
been,a,5.51%,the,5.51%,sick,3.15%
side,of,34.92%,and,9.52%,to,9.52%
would,be,13.33%,have,10.0%,not,6.67%
white,beard,7.35%,and,4.41%,skin,2.94%
were,heard,5.49%,not,2.75%,as,2.2%
came,up,17.24%,out,10.34%,in,8.62%
another,in,5.41%,and,4.05%,they,4.05%
don't,you,16.42%,want,8.96%,be,5.97%
did,not,48.61%,you,11.11%,i,11.11%
belfast,with,4.55%,in,4.55%,who,3.41%
singleton,who,5.88%,stood,5.88%,the,3.92%
back,and,8.75%,on,8.75%,with,6.25%
seemed,to,72.22%,in,2.22%,for,2.22%
stood,still,11.48%,out,8.2%,up,6.56%
yer,will,6.25%,no,4.69%,can,4.69%
hand,with,11.54%,to,9.62%,and,7.69%
voice,he,10.39%,and,6.49%,of,5.19%
looked,at,23.6%,as,8.99%,down,7.87%
could,be,20.91%,not,17.27%,hear,11.82%
away,from,15.85%,with,8.54%,in,4.88%
door,and,7.94%,with,4.76%,behind,4.76%
water,cask,6.56%,and,4.92%,the,4.92%
cook,had,5.08%,was,5.08%,with,5.08%
she,had,14.0%,was,12.0%,ran,4.0%
though,he,41.1%,they,10.96%,it,9.59%
jimmy,was,8.87%,he,6.45%,and,4.84%
