word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.27%,one,1.82%,stand,1.82%
of,out,3.99%,one,1.94%,side,1.22%
the,of,10.86%,in,7.67%,on,5.57%
a,in,11.69%,with,8.73%,of,8.67%
to,seemed,5.8%,began,3.04%,up,2.05%
this,in,6.67%,all,5.56%,of,4.44%
about,talk,3.12%,busy,2.08%,rolled,2.08%
my,of,13.25%,in,7.23%,on,6.02%
sea,the,43.36%,a,6.19%,open,3.54%
in,and,3.29%,up,1.53%,out,1.2%
from,away,6.7%,out,3.09%,him,3.09%
that,of,6.08%,to,2.43%,and,1.95%
when,and,17.46%,bad,3.17%,man,3.17%
wait,james,48.05%,said,7.79%,is,2.6%
ship,the,67.88%,a,4.85%,wear,3.03%
for,and,2.67%,out,2.37%,care,1.48%
moment,a,74.55%,the,7.27%,every,3.64%
he,though,3.11%,and,2.9%,him,2.07%
us,of,13.51%,to,11.71%,for,5.41%
through,passed,4.59%,and,2.75%,out,2.75%
i,if,4.26%,me,2.62%,did,2.62%
had,he,27.92%,we,8.26%,they,6.27%
do,to,12.5%,what,12.5%,will,9.72%
with,and,8.12%,up,2.36%,him,1.7%
him,at,9.81%,to,9.18%,for,3.48%
was,he,21.16%,it,15.35%,there,11.86%
is,it,16.15%,he,6.92%,man,6.15%
no,was,5.39%,no,4.79%,and,3.59%
and,up,1.28%,it,0.91%,him,0.85%
her,of,14.78%,on,8.7%,with,6.09%
his,of,14.88%,in,6.71%,with,6.46%
an,of,10.5%,in,10.05%,with,8.22%
some,of,12.73%,and,5.45%,said,3.64%
our,of,21.62%,to,8.11%,in,8.11%
over,all,5.42%,hung,3.01%,went,3.01%
but,nothing,3.19%,ship,1.6%,too,1.6%
who,man,11.11%,men,11.11%,those,8.89%
as,and,3.54%,was,2.28%,him,2.03%
very,the,10.81%,and,8.11%,was,5.41%
me,to,7.5%,for,7.5%,with,3.75%
round,spun,9.26%,all,9.26%,a,5.56%
not,did,22.01%,could,11.95%,is,7.55%
be,to,36.18%,could,15.13%,would,10.53%
more,no,15.96%,and,6.38%,little,5.32%
than,more,16.67%,worse,6.06%,less,4.55%
life,of,34.33%,his,10.45%,their,8.96%
time,that,9.33%,the,9.33%,long,9.33%
it,and,2.97%,to,2.75%,do,2.52%
or,one,9.45%,three,3.15%,two,3.15%
its,in,15.87%,of,14.29%,with,6.35%
are,you,21.92%,we,9.59%,they,8.22%
after,and,10.96%,look,6.85%,then,6.85%
last,at,37.68%,the,31.88%,this,2.9%
before,up,4.23%,fleeing,2.82%,as,2.82%
without,and,6.56%,deck,6.56%,singleton,3.28%
down,sat,8.6%,looked,7.53%,bending,4.3%
on,went,5.91%,out,1.9%,down,1.9%
now,and,9.09%,it,2.6%,us,2.6%
at,looked,5.92%,and,3.38%,look,3.1%
