word type,number
everything,31200
adult,0
hate,0
function,16880
normal,number
the,2166
of,1155
a,882
and,854
to,777
he,622
in,535
his,527
it,345
was,338
had,327
with,325
that,289
on,287
as,275
jukes,223
at,213
for,193
you,179
i,176
out,168
all,159
up,140
him,139
captain,134
an,129
by,128
if,124
would,123
her,121
there,119
from,117
they,115
ship,115
this,114
not,114
but,111
be,110
like,109
been,107
them,103
were,93
she,91
is,90
what,90
no,88
man,87
could,86
one,83
over,83
have,80
their,79
into,76
down,76
himself,74
said,74
head,73
upon,72
so,71
very,70
mr,65
deck,62
seemed,59
some,57
sir,57
other,56
sea,56
me,54
then,54
about,53
time,51
we,50
wind,50
see,49
these,49
or,48
made,48
only,47
though,47
before,46
good,46
bridge,46
after,45
when,45
get,45
long,45
away,44
face,44
my,43
are,43
eyes,43
back,43
rout,43
come,42
under,41
second,40
old,40
room,40
hands,40
here,39
do,39
go,39
through,39
thought,39
which,38
too,38
who,38
water,38
off,38
voice,38
each,37
did,37
end,36
never,36
its,36
more,36
without,36
great,36
now,36
heard,35
way,35
men,34
say,34
don't,34
while,34
got,34
again,34
came,34
hand,33
know,33
little,32
side,32
door,32
went,32
every,31
nothing,31
two,31
once,31
than,30
moment,30
going,30
make,30
gone,30
being,29
another,29
yet,29
something,29
black,29
mate,29
look,29
much,28
weather,28
think,28
nan,28
air,28
light,28
course,27
thing,27
put,27
against,27
boatswain,27
first,26
such,26
shan,26
your,26
same,25
enough,25
coming,25
mind,24
right,24
found,24
can,23
any,23
done,23
says,23
white,23
just,22
life,22
whole,22
chinamen,22
heavy,22
well,22
keep,22
must,21
last,21
day,21
lot,21
chief,21
stood,21
steam,21
what's,21
where,21
above,21
couldn't,21
full,20
us,20
may,20
how,20
half,20
that's,20
began,20
still,20
far,19
anything,19
matter,19
left,19
together,19
coolies,18
seas,18
felt,18
place,18
having,18
round,18
looked,18
legs,18
take,18
iron,18
low,18
let,18
open,18
want,18
lost,18
dark,18
might,17
words,17
engineer,17
fell,17
asked,17
can't,17
forward,17
suddenly,17
it's,17
gale,17
book,16
many,16
because,16
hard,16
below,16
saw,16
few,16
find,16
word,16
give,16
sort,16
engine,16
tell,16
board,16
cried,16
things,16
hurricane,16
amongst,15
itself,15
ever,15
high,15
has,15
struck,15
arms,15
hold,15
there's,15
became,15
three,15
seen,15
soon,15
flung,15
turned,15
didn't,15
hear,15
mrs,15
broken,15
ship's,14
between,14
set,14
dead,14
work,14
chart,14
rolling,14
alone,14
ear,14
caught,14
roll,14
rush,14
bunker,14
volume,13
years,13
will,13
bad,13
world,13
earth,13
deep,13
always,13
home,13
short,13
rather,13
thick,13
heads,13
our,13
dirty,13
heavily,13
manner,13
tween,13
darkness,13
neck,13
body,13
chance,13
typhoon,12
port,12
china,12
others,12
talk,12
appeared,12
experience,12
within,12
knew,12
people,12
looking,12
understand,12
shoulders,12
woman,12
barometer,12
ready,12
isn't,12
knees,12
took,12
night,12
sound,12
even,12
feet,12
why,12
most,11
brought,11
storm,11
perhaps,11
effect,11
big,11
sometimes,11
solomon,11
oh,11
knocking,11
fall,11
taking,11
small,11
dollars,11
wrote,11
afterwards,11
stand,11
wet,11
clear,11
along,11
yes,11
top,11
glass,11
stars,11
alleyway,11
trouble,11
trying,11
wheelhouse,11
wild,11
lips,11
holding,11
sides,11
money,11
subject,10
also,10
quite,10
mean,10
own,10
intention,10
themselves,10
indeed,10
turn,10
moved,10
fair,10
immense,10
red,10
sudden,10
fellow,10
faint,10
eye,10
flag,10
opened,10
getting,10
chinaman,10
stop,10
am,10
thus,10
lying,10
closed,10
overboard,10
wouldn't,10
god,10
tone,10
breath,10
shut,10
lamp,10
swept,10
kept,10
since,9
speak,9
certain,9
whatever,9
ashore,9
watch,9
faces,9
father,9
mother,9
behind,9
till,9
movements,9
heat,9
called,9
command,9
cargo,9
sky,9
sat,9
coal,9
skipper,9
remarked,9
next,9
better,9
burst,9
sitting,9
speaking,9
anyhow,9
near,9
heart,9
fighting,9
devil,9
noise,9
force,9
muttered,9
calm,9
books,9
thinking,9
arm,9
remained,9
gear,9
tube,9
stories,8
falk,8
story,8
directly,8
perceived,8
hours,8
both,8
truth,8
feel,8
everything,8
attention,8
fine,8
times,8
hair,8
line,8
boots,8
sure,8
run,8
idea,8
towards,8
leave,8
fu,8
rail,8
chest,8
care,8
swell,8
loud,8
he's,8
wife,8
started,8
mumbled,8
new,8
across,8
greatly,8
falling,8
suppose,8
yelled,8
sight,8
should,8
steward,8
sent,8
jolly,8
rout's,8
fool,8
solid,8
stokehold,8
letting,8
motionless,8
blackness,8
hurry,8
tried,8
expected,8
yelling,8
engines,8
tumult,8
sounds,8
slow,8
already,7
wide,7
east,7
anybody,7
except,7
bit,7
fury,7
believe,7
aspect,7
piece,7
existence,7
those,7
least,7
girl,7
reason,7
live,7
hat,7
simply,7
gave,7
young,7
commander,7
morning,7
fancy,7
given,7
letters,7
ships,7
nature,7
coat,7
hung,7
added,7
rest,7
cabin,7
outside,7
past,7
i'll,7
decks,7
sol,7
pale,7
wood,7
wanted,7
disappeared,7
house,7
north,7
state,7
shout,7
sailor,7
seem,7
talking,7
fingers,7
told,7
strength,7
sink,7
answer,7
doing,7
ahead,7
yourself,7
catch,7
meet,7
tumbling,7
mad,7
blown,7
ears,7
awful,7
flying,7
afraid,7
straight,7
nobody,7
feeling,7
floor,7
running,7
shouted,7
job,7
worst,7
discovered,7
torn,7
fight,7
sake,7
around,6
occurred,6
kind,6
interest,6
human,6
simple,6
happened,6
bring,6
conscious,6
part,6
difficult,6
perfectly,6
tale,6
none,6
sense,6
shock,6
vision,6
four,6
business,6
passed,6
shore,6
shake,6
case,6
son,6
used,6
passage,6
seaman,6
names,6
name,6
pretty,6
six,6
passengers,6
bottom,6
stern,6
coast,6
continued,6
exasperated,6
lead,6
middle,6
does,6
dam,6
man's,6
sharp,6
elbow,6
directed,6
five,6
space,6
grave,6
remembered,6
apart,6
shape,6
herself,6
hadn't,6
row,6
dull,6
starboard,6
saying,6
silent,6
answered,6
however,6
uproar,6
metal,6
ceased,6
teeth,6
flash,6
enormous,6
hang,6
slowly,6
pair,6
fire,6
death,6
table,6
foam,6
points,6
battened,6
hope,6
hot,6
beyond,6
appalling,6
stillness,6
you've,6
held,6
doorway,6
