word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,28.12%,a,10.94%,an,6.25%
and,the,9.74%,a,3.99%,he,2.93%
the,ship,3.1%,bridge,1.85%,wind,1.43%
other,side,7.14%,stories,5.36%,day,5.36%
in,the,33.71%,a,14.23%,his,6.93%
this,was,9.09%,is,6.36%,volume,4.55%
a,man,2.38%,moment,1.48%,few,1.48%
to,the,12.39%,be,3.61%,him,2.84%
have,been,24.05%,a,6.33%,to,6.33%
not,been,6.14%,to,5.26%,so,3.51%
been,a,3.74%,the,3.74%,very,2.8%
as,if,25.82%,though,11.64%,a,7.64%
on,the,31.82%,his,10.49%,deck,5.94%
all,the,25.16%,these,6.92%,right,6.29%
upon,the,51.39%,a,6.94%,his,6.94%
so,much,11.59%,that,7.25%,many,5.8%
of,the,26.71%,a,8.5%,his,5.9%
that,he,7.32%,the,5.23%,would,2.44%
it,was,15.29%,seemed,4.41%,is,3.82%
but,the,18.02%,he,8.11%,a,2.7%
one,of,27.5%,after,2.5%,on,2.5%
they,were,17.39%,had,10.43%,would,6.96%
is,it,12.36%,the,10.11%,a,8.99%
with,a,23.15%,the,16.36%,his,9.26%
i,would,6.82%,had,5.11%,think,5.11%
had,been,17.13%,to,6.12%,gone,4.89%
was,the,5.93%,a,5.64%,not,4.15%
about,the,13.46%,in,7.69%,it,7.69%
for,the,18.23%,a,16.15%,his,3.65%
some,of,10.53%,time,5.26%,sort,5.26%
could,be,26.74%,not,11.63%,see,5.81%
be,done,4.55%,going,2.73%,put,2.73%
from,the,25.0%,his,9.48%,a,4.31%
their,feet,5.06%,heads,5.06%,ears,3.8%
very,well,4.29%,far,4.29%,much,2.86%
them,and,8.74%,the,4.85%,to,4.85%
an,immense,3.1%,old,3.1%,iron,3.1%
into,the,47.37%,a,21.05%,his,6.58%
at,the,29.05%,once,10.48%,his,7.62%
her,head,4.13%,deck,2.48%,life,2.48%
deck,in,5.0%,and,5.0%,with,3.33%
what,is,8.89%,was,7.78%,the,6.67%
like,a,39.45%,the,16.51%,an,8.26%
me,the,9.8%,if,7.84%,a,3.92%
sea,and,8.93%,boots,5.36%,way,3.57%
out,of,37.58%,on,7.27%,the,4.85%
would,have,18.7%,be,14.63%,never,4.07%
him,to,6.52%,and,6.52%,he,5.8%
he,had,13.67%,was,9.32%,said,3.86%
man,with,7.06%,he,5.88%,of,4.71%
his,head,5.88%,eyes,4.17%,face,2.85%
if,the,13.82%,i,6.5%,he,6.5%
were,as,3.23%,a,3.23%,to,3.23%
himself,and,8.11%,he,8.11%,the,6.76%
there,was,24.58%,were,5.93%,is,5.08%
then,and,7.55%,the,5.66%,he,5.66%
no,more,5.81%,one,5.81%,wind,4.65%
she,had,18.68%,was,12.09%,would,7.69%
up,to,15.22%,the,10.14%,in,7.25%
said,jukes,16.22%,the,13.51%,captain,10.81%
head,and,9.59%,of,8.22%,on,6.85%
over,the,33.73%,his,8.43%,a,6.02%
ship,he,6.25%,and,6.25%,the,5.36%
jukes,was,4.05%,had,4.05%,with,2.7%
sir,and,10.71%,the,7.14%,he,5.36%
mr,rout,43.55%,jukes,41.94%,rout's,11.29%
you,don't,3.98%,would,3.41%,know,2.84%
down,there,16.0%,and,6.67%,the,6.67%
seemed,to,69.49%,that,3.39%,thick,1.69%
