word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.34%,typhoon,1.56%,exasperated,1.56%
and,him,1.07%,them,1.07%,up,1.07%
other,the,48.21%,each,25.0%,some,3.57%
in,and,3.38%,up,1.88%,was,1.13%
this,in,8.18%,of,7.27%,like,6.36%
a,of,11.17%,in,8.67%,with,8.55%
to,seemed,5.3%,up,2.72%,had,2.59%
have,would,28.75%,to,13.75%,must,7.5%
not,did,17.7%,was,12.39%,could,8.85%
been,had,52.34%,have,17.76%,not,6.54%
as,soon,4.74%,was,2.55%,him,2.55%
the,of,14.3%,in,8.36%,to,4.46%
on,out,4.18%,went,3.83%,hung,1.74%
all,of,6.41%,it,3.85%,for,3.85%
upon,fell,5.56%,down,5.56%,fallen,2.78%
so,and,7.14%,not,5.71%,say,2.86%
was,he,17.58%,it,15.76%,there,8.79%
of,out,5.38%,one,1.91%,end,1.65%
that,of,5.9%,and,4.17%,in,3.82%
it,of,5.87%,is,3.23%,as,2.93%
but,him,3.64%,weather,2.73%,on,2.73%
one,with,7.23%,of,6.02%,no,6.02%
they,and,5.31%,if,3.54%,them,2.65%
is,it,14.94%,what,9.2%,he,8.05%
with,and,3.75%,man,1.88%,it,1.88%
i,if,4.68%,that,4.09%,jukes,2.92%
had,he,26.81%,she,5.36%,it,3.79%
about,knocking,9.43%,something,3.77%,casting,1.89%
for,and,3.12%,enough,2.6%,out,1.56%
some,of,14.29%,in,10.71%,for,5.36%
could,he,26.83%,what,7.32%,nothing,6.1%
be,to,25.45%,could,20.91%,would,16.36%
from,and,5.22%,away,5.22%,apart,3.48%
their,of,11.39%,in,11.39%,on,8.86%
very,the,20.0%,it,5.71%,so,4.29%
time,the,27.45%,same,9.8%,this,9.8%
them,of,22.33%,to,7.77%,let,3.88%
an,of,13.18%,with,6.98%,like,6.98%
into,back,3.95%,and,2.63%,straight,2.63%
at,look,4.72%,and,2.83%,all,2.83%
her,of,18.33%,on,5.83%,in,5.0%
deck,the,27.87%,on,27.87%,tween,21.31%
what,of,5.88%,that's,4.71%,but,3.53%
like,was,9.17%,on,2.75%,him,2.75%
me,to,22.22%,made,5.56%,tell,5.56%
sea,the,44.64%,a,16.07%,to,5.36%
out,come,4.17%,it,4.17%,came,3.57%
would,he,18.33%,i,10.0%,it,8.33%
captain,the,13.08%,his,6.92%,said,6.15%
him,to,15.94%,at,6.52%,of,5.8%
he,and,4.06%,that,3.41%,though,2.92%
man,a,24.14%,old,13.79%,the,11.49%
his,of,12.93%,in,7.03%,with,5.7%
if,as,57.72%,me,3.25%,that,3.25%
were,they,21.74%,it,8.7%,there,7.61%
himself,to,20.27%,found,5.41%,in,5.41%
there,down,10.08%,and,9.24%,in,8.4%
then,and,33.96%,bridge,3.77%,but,3.77%
no,had,9.09%,was,9.09%,and,5.68%
she,if,6.82%,and,4.55%,when,3.41%
mr,that,3.28%,shouted,3.28%,sake,3.28%
up,looked,4.29%,come,3.57%,himself,3.57%
said,he,32.88%,you've,4.11%,but,2.74%
head,his,42.47%,the,9.59%,her,6.85%
over,all,9.64%,not,3.61%,head,2.41%
ship,the,59.29%,his,11.5%,a,5.31%
jukes,mr,11.71%,and,6.76%,said,5.41%
sir,yes,12.28%,you,7.02%,no,3.51%
you,don't,5.08%,do,4.52%,are,3.95%
down,go,5.26%,them,3.95%,battened,3.95%
seemed,it,25.42%,he,8.47%,they,6.78%
