word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,31.79%,a,11.25%,his,3.93%
the,ship,2.14%,sea,1.19%,other,1.04%
of,the,21.95%,a,7.81%,his,6.01%
a,man,2.2%,little,2.05%,moment,1.71%
to,the,11.88%,be,4.66%,him,2.78%
this,was,7.51%,is,4.84%,time,3.15%
about,the,15.88%,it,6.87%,his,6.01%
my,head,4.12%,eyes,2.58%,own,2.32%
sea,the,8.96%,and,8.02%,he,3.3%
in,the,32.11%,a,17.33%,his,5.45%
from,the,30.22%,his,6.76%,a,4.17%
that,he,5.32%,the,4.84%,was,2.94%
when,he,20.79%,the,14.85%,i,13.37%
ship,and,5.33%,he,3.67%,in,3.67%
for,a,19.54%,the,18.17%,him,3.43%
he,had,12.31%,was,10.86%,said,5.29%
through,the,42.08%,a,11.39%,it,3.96%
i,had,10.08%,was,5.59%,am,5.18%
had,been,18.06%,a,5.57%,to,5.49%
with,a,18.97%,the,13.07%,his,7.16%
him,he,5.22%,and,4.97%,to,3.82%
was,a,8.81%,the,5.31%,not,4.38%
is,a,8.27%,the,8.01%,not,6.46%
no,one,8.56%,more,7.88%,doubt,4.73%
and,the,7.79%,a,2.7%,with,2.31%
her,head,2.17%,decks,1.93%,hands,1.93%
his,head,5.36%,eyes,3.54%,face,2.18%
an,old,3.82%,empty,2.6%,immense,2.43%
some,of,8.91%,one,8.58%,time,3.96%
our,heads,4.68%,hands,3.83%,hearts,3.83%
over,the,38.46%,his,10.44%,a,5.77%
but,the,11.21%,i,7.59%,he,6.9%
who,had,16.36%,was,8.18%,could,2.73%
as,if,18.36%,though,12.99%,a,7.44%
very,well,3.63%,far,3.3%,still,2.97%
me,i,8.74%,to,6.07%,the,5.34%
not,a,6.79%,to,4.7%,so,2.61%
be,seen,4.81%,a,4.33%,done,3.37%
more,than,21.66%,and,3.23%,for,2.76%
time,to,7.93%,he,6.61%,i,5.73%
it,was,20.3%,is,5.33%,had,4.22%
or,two,6.71%,a,5.7%,the,4.7%
before,the,22.77%,he,7.43%,his,5.94%
down,the,13.14%,there,8.05%,to,6.36%
on,the,37.9%,his,7.06%,a,5.46%
at,the,27.97%,once,6.22%,last,5.68%
so,much,6.59%,many,5.49%,that,4.76%
out,of,30.27%,on,3.9%,to,3.9%
into,the,43.4%,a,18.4%,his,5.21%
if,he,9.55%,the,8.49%,i,8.49%
up,the,10.25%,to,9.72%,and,7.6%
one,of,18.8%,another,6.01%,day,2.91%
what,he,7.93%,i,6.4%,was,6.4%
their,heads,5.12%,eyes,2.81%,hands,2.81%
then,he,7.24%,the,6.58%,a,6.25%
like,a,42.46%,the,14.22%,an,5.6%
they,were,14.38%,had,10.29%,could,3.27%
made,a,16.99%,me,8.74%,the,5.83%
all,the,24.49%,right,5.1%,his,3.79%
men,who,4.58%,in,3.92%,and,3.59%
there,was,30.58%,were,7.13%,is,4.69%
you,know,5.44%,see,3.78%,are,3.78%
see,the,11.76%,it,6.79%,that,5.43%
have,been,24.22%,a,6.52%,to,3.11%
eyes,and,7.57%,the,6.37%,he,5.58%
them,the,6.71%,and,6.04%,in,4.36%
we,were,9.38%,had,8.85%,could,5.49%
upon,the,42.36%,a,8.87%,him,4.93%
head,and,9.96%,of,5.98%,on,3.98%
man,who,7.01%,with,4.94%,he,4.68%
said,the,12.4%,i,5.8%,he,5.01%
been,a,6.95%,the,3.47%,very,2.48%
would,have,13.98%,be,12.77%,not,4.82%
were,not,3.02%,heard,2.38%,as,2.16%
did,not,54.67%,you,7.48%,i,6.54%
back,and,7.84%,to,7.84%,of,6.86%
seemed,to,70.17%,at,1.68%,in,1.26%
could,not,18.29%,be,17.7%,see,11.8%
she,had,17.39%,was,11.96%,would,4.89%
jukes,was,4.05%,had,4.05%,with,2.7%
