word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,4.63%,him,1.78%,near,1.43%
of,out,4.06%,one,2.03%,end,1.28%
the,of,11.96%,in,8.5%,on,5.16%
a,in,9.91%,of,9.19%,with,7.46%
to,seemed,5.4%,had,2.36%,began,2.17%
this,in,7.91%,of,7.19%,all,6.0%
about,talk,3.39%,something,2.97%,all,2.54%
my,of,10.51%,in,5.9%,to,4.87%
sea,the,49.06%,a,8.02%,to,3.77%
in,and,2.72%,up,1.6%,was,1.43%
from,away,6.18%,him,2.79%,and,2.79%
that,of,7.18%,in,2.44%,and,2.21%
when,and,11.22%,but,6.83%,moment,1.95%
ship,the,61.51%,a,5.92%,his,4.93%
for,and,2.53%,out,1.5%,him,1.5%
he,and,3.3%,that,2.73%,though,2.56%
i,and,3.85%,as,2.57%,but,2.57%
had,he,23.5%,i,13.33%,she,4.93%
with,and,5.62%,up,1.58%,him,1.45%
him,to,10.89%,at,6.58%,for,3.8%
was,it,17.4%,he,17.08%,there,10.35%
is,it,18.8%,he,9.14%,there,6.53%
no,had,8.64%,was,7.05%,and,4.32%
and,up,1.12%,him,1.02%,it,1.02%
her,of,12.77%,on,7.23%,in,5.54%
his,of,14.86%,in,6.55%,with,5.93%
an,of,13.13%,with,8.29%,in,7.94%
some,of,14.52%,in,4.95%,for,3.63%
our,of,22.55%,to,7.66%,in,7.66%
over,all,6.85%,came,1.92%,hung,1.64%
but,nothing,2.43%,him,1.39%,now,1.04%
who,man,13.37%,men,6.93%,those,6.44%
as,and,3.61%,was,2.66%,soon,2.18%
very,the,13.67%,was,7.33%,a,6.67%
me,to,16.07%,at,6.0%,made,4.32%
not,did,20.49%,was,12.26%,could,10.86%
be,to,34.62%,could,14.42%,would,12.74%
more,no,15.98%,any,4.57%,little,3.65%
time,the,17.47%,that,10.04%,of,8.73%
it,of,4.5%,and,2.36%,that,2.06%
or,one,4.39%,two,2.03%,three,1.69%
down,sat,4.64%,looked,2.95%,and,2.53%
on,went,4.97%,out,2.1%,and,1.68%
at,looked,4.61%,look,3.76%,and,3.22%
so,and,9.06%,was,5.43%,not,5.43%
out,come,3.42%,came,3.11%,look,2.95%
into,out,2.1%,him,2.1%,me,2.1%
if,as,52.0%,that,2.13%,and,2.13%
up,got,3.5%,came,2.8%,looked,2.63%
one,no,7.35%,some,5.03%,of,4.06%
what,know,4.63%,of,4.63%,but,2.78%
their,of,12.21%,in,11.7%,with,7.12%
then,and,25.49%,but,2.61%,now,1.63%
like,was,4.48%,and,1.71%,something,1.49%
they,and,4.26%,as,2.3%,if,1.97%
made,he,7.92%,i,6.93%,it,6.44%
all,of,5.12%,at,4.83%,and,3.66%
men,the,17.48%,of,15.21%,two,4.21%
there,and,8.44%,in,4.88%,down,3.56%
you,do,4.57%,don't,3.75%,if,3.75%
see,to,24.32%,could,18.02%,you,14.41%
have,would,17.96%,to,16.72%,must,9.91%
eyes,his,26.77%,the,5.91%,their,4.33%
them,of,19.33%,to,5.67%,with,4.33%
we,and,5.32%,as,3.55%,that,1.95%
upon,came,4.95%,looked,2.97%,and,2.97%
mr,that,4.44%,of,4.03%,to,3.63%
head,his,41.37%,the,11.24%,my,6.43%
man,a,23.06%,the,14.51%,old,8.81%
said,he,34.56%,i,11.61%,and,2.64%
been,had,59.55%,have,19.35%,not,3.72%
would,he,17.07%,i,11.71%,it,7.07%
were,they,19.01%,we,11.45%,there,8.21%
did,he,17.22%,i,16.27%,what,6.22%
back,his,19.12%,the,10.29%,it,4.41%
seemed,it,17.65%,he,10.92%,that,8.82%
could,he,21.99%,i,14.76%,we,9.34%
she,and,4.97%,if,3.31%,though,3.04%
jukes,mr,11.71%,and,6.76%,said,5.41%
