word type,number
everything,73279
adult,0
hate,0
function,41332
normal,number
the,4858
of,2836
to,1858
and,1811
a,1715
i,1675
in,1158
was,1019
my,937
it,822
we,786
that,699
with,631
is,592
this,573
he,550
at,545
but,527
not,498
which,491
his,477
had,451
for,414
as,394
our,391
be,385
uncle,374
by,371
have,371
on,371
no,349
were,330
me,321
all,290
you,290
us,284
an,282
there,271
from,269
are,261
upon,235
what,226
could,206
would,202
its,196
said,193
into,189
one,182
now,181
or,176
down,176
if,174
out,174
will,169
then,169
these,168
professor,162
up,162
so,158
hans,157
well,155
very,152
when,149
him,148
has,129
like,128
more,124
sea,123
they,122
been,121
some,118
their,117
must,117
cried,115
only,113
two,112
time,111
see,109
after,107
about,106
do,105
man,104
way,103
under,102
yet,99
here,99
over,99
should,98
feet,98
such,97
earth,96
little,95
yes,95
shall,93
other,92
before,91
last,91
long,90
again,90
seemed,90
axel,88
water,87
through,86
where,85
never,85
light,85
any,84
came,84
great,83
made,82
them,82
myself,81
still,81
did,80
than,79
nothing,79
few,78
who,77
without,77
hundred,77
those,76
good,76
may,75
let,75
every,72
how,71
left,71
eyes,71
therefore,70
thought,70
first,69
might,69
am,69
come,67
soon,67
even,67
moment,67
day,66
just,66
replied,66
away,65
three,65
go,65
half,64
surface,64
head,63
words,62
raft,62
took,61
rocks,60
leagues,60
rock,60
air,59
most,58
far,58
your,58
found,57
too,57
went,56
iceland,55
hand,54
her,53
against,53
back,53
m,52
why,52
don't,52
get,52
can,51
going,51
heat,51
granite,51
own,50
felt,50
world,49
being,49
hour,49
hours,48
each,48
right,48
chapter,47
word,47
vast,47
much,46
look,46
end,45
gallery,44
between,44
know,44
four,43
nor,43
take,43
doubt,43
cannot,43
night,43
course,42
saw,42
globe,42
shore,41
lava,41
whole,41
place,41
lay,41
point,40
centre,40
tell,40
looked,40
crater,39
she,39
say,39
passed,39
five,38
quite,38
wall,38
gave,38
guide,37
six,37
off,37
enough,37
fire,37
hands,37
thousand,36
mind,36
side,36
reason,36
rather,36
gone,36
part,36
wind,36
called,35
days,35
lost,35
himself,35
round,35
many,35
asked,35
along,35
almost,35
reached,34
hear,34
silence,34
journey,33
return,33
next,33
put,33
since,33
waves,33
island,32
matter,32
icelandic,32
old,32
passage,32
once,32
uncle's,32
formed,32
heard,32
road,32
high,32
work,31
period,31
together,31
name,31
question,31
another,31
carried,31
distance,30
house,30
make,30
began,30
think,30
rate,30
document,30
perhaps,29
alone,29
sure,29
fact,29
kept,29
does,29
find,29
longer,29
depth,29
walls,29
set,28
north,28
followed,28
new,28
deep,28
laid,28
stood,28
became,28
fell,28
certain,28
speak,28
voice,28
thirty,28
able,28
huge,28
hold,28
twenty,28
mountain,28
above,28
sail,28
compass,28
scarcely,27
volcano,27
nature,27
morning,27
within,27
believe,27
hunter,27
while,26
learned,26
ten,26
brought,26
feel,26
letters,26
oh,26
trees,26
south,26
taken,25
known,25
science,25
poor,25
foot,25
electric,25
storm,25
room,25
during,25
iron,25
ever,25
answer,25
action,25
crust,25
soil,25
waters,25
stopped,25
farther,25
below,24
fall,24
descent,24
ground,24
fast,24
darkness,24
least,24
full,24
appeared,24
instead,24
open,24
mean,24
minutes,24
besides,24
same,24
returned,24
sight,24
hope,24
amongst,24
immense,24
human,24
scientific,23
ages,23
sun,23
arrived,23
martha,23
midst,23
answered,23
coming,23
small,23
sound,23
temperature,23
miles,23
following,22
appearance,22
wanted,22
give,22
knew,22
become,22
having,22
life,22
degrees,22
impossible,22
around,22
