word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,29.89%,a,10.06%,an,3.63%
a,few,4.1%,man,1.87%,very,1.76%
into,the,38.62%,a,14.81%,which,4.76%
the,professor,2.51%,earth,1.6%,sea,1.39%
of,the,28.07%,a,4.83%,this,2.75%
earth,i,5.26%,the,5.26%,was,4.21%
was,a,7.19%,not,4.72%,no,3.84%
this,is,4.77%,was,3.36%,time,1.59%
is,the,10.6%,a,10.09%,not,6.15%
to,the,13.38%,be,6.8%,me,3.15%
be,the,3.39%,a,3.39%,sure,3.13%
most,curious,5.17%,ingenious,5.17%,wonderful,3.45%
in,the,30.22%,a,8.99%,this,3.61%
few,minutes,9.09%,hours,7.79%,moments,3.9%
are,we,7.28%,not,5.75%,you,4.6%
where,the,17.07%,i,10.98%,are,10.98%
they,were,13.93%,are,9.84%,seemed,3.28%
has,been,12.4%,not,5.43%,it,2.33%
with,a,16.24%,the,16.08%,his,4.62%
and,the,8.29%,i,6.23%,in,2.17%
he,was,12.55%,had,7.27%,cried,4.0%
made,no,9.76%,a,7.32%,up,7.32%
some,of,11.21%,difficulty,2.59%,great,1.72%
his,eyes,3.79%,head,3.58%,own,2.32%
which,i,10.49%,the,7.82%,was,5.97%
as,if,9.69%,the,7.91%,we,6.38%
it,is,18.15%,was,16.81%,would,2.56%
sea,the,6.5%,and,5.69%,is,4.88%
if,we,10.92%,i,9.77%,he,9.77%
for,the,19.22%,a,13.63%,my,3.41%
time,to,21.62%,the,6.31%,i,5.41%
first,of,5.8%,i,5.8%,signs,2.9%
had,been,7.98%,to,6.43%,not,5.54%
one,of,21.55%,to,4.97%,side,2.76%
i,was,9.97%,had,5.31%,could,4.96%
or,the,7.74%,not,2.98%,in,2.38%
long,as,7.78%,and,5.56%,way,5.56%
before,the,17.78%,us,16.67%,me,10.0%
man,of,13.46%,who,5.77%,had,4.81%
when,the,24.16%,i,12.08%,he,9.4%
yet,i,13.13%,the,5.05%,he,5.05%
well,as,8.44%,i,7.79%,said,3.9%
not,to,6.02%,a,5.22%,be,3.82%
him,to,8.16%,with,6.8%,and,5.44%
these,words,9.52%,were,3.57%,wonders,2.38%
have,been,12.67%,no,3.77%,gone,3.23%
been,the,4.2%,a,4.2%,so,3.36%
out,of,33.33%,to,6.43%,the,5.26%
that,the,7.59%,we,6.72%,i,5.99%
should,be,22.45%,have,20.41%,not,7.14%
will,be,13.61%,not,7.69%,see,5.33%
no,doubt,8.93%,longer,7.2%,more,4.32%
so,i,6.96%,that,4.43%,much,3.16%
iceland,but,12.73%,the,10.91%,i,5.45%
at,the,26.33%,a,7.58%,last,7.39%
last,i,6.74%,the,3.37%,we,3.37%
day,the,9.38%,and,9.38%,we,7.81%
upon,the,29.91%,a,7.69%,my,7.26%
were,not,4.56%,in,3.95%,the,3.65%
come,to,17.91%,out,10.45%,i,7.46%
who,was,10.39%,could,9.09%,had,6.49%
their,way,5.13%,own,5.13%,usual,2.56%
all,the,15.22%,this,5.54%,that,3.81%
more,than,14.52%,and,7.26%,we,3.23%
than,the,16.88%,that,10.39%,a,7.79%
those,of,8.0%,monsters,5.33%,words,4.0%
on,the,36.14%,board,4.62%,our,4.62%
little,house,4.3%,incident,3.23%,towards,2.15%
far,away,22.41%,as,13.79%,off,5.17%
from,the,36.92%,that,4.23%,my,3.85%
our,heads,3.84%,way,2.81%,raft,2.81%
may,be,17.57%,have,5.41%,easily,4.05%
them,in,9.76%,to,7.32%,i,7.32%
how,long,8.45%,far,5.63%,was,5.63%
two,hundred,8.93%,hours,6.25%,thousand,5.36%
without,a,11.69%,difficulty,3.9%,any,3.9%
any,rate,10.71%,one,5.95%,of,5.95%
great,animation,3.61%,deal,3.61%,geyser,2.41%
what,is,14.22%,a,5.33%,i,5.33%
professor,was,8.4%,with,6.87%,at,3.82%
then,i,12.57%,the,10.78%,we,5.39%
about,the,15.84%,to,9.9%,it,8.91%
an,hour,10.32%,enormous,3.91%,immense,3.2%
but,i,10.94%,the,5.95%,there,4.22%
found,in,21.05%,the,10.53%,myself,7.02%
under,the,44.0%,a,8.0%,this,6.0%
can,be,21.57%,i,9.8%,tell,7.84%
too,much,14.29%,and,5.36%,great,3.57%
down,the,18.29%,upon,7.43%,and,5.14%
water,i,6.98%,is,5.81%,and,5.81%
said,my,18.42%,i,12.63%,he,12.11%
again,and,11.24%,i,8.99%,the,6.74%
through,the,33.72%,which,8.14%,a,6.98%
my,uncle,36.32%,uncle's,3.42%,eyes,2.78%
uncle,was,7.22%,and,5.28%,i,4.72%
must,be,24.79%,have,16.24%,not,6.84%
very,well,9.87%,good,7.89%,much,5.26%
only,a,8.11%,the,5.41%,one,5.41%
just,as,31.82%,like,9.09%,the,4.55%
now,we,5.0%,the,4.44%,said,3.89%
myself,i,6.17%,in,4.94%,if,3.7%
soon,as,19.4%,the,4.48%,we,4.48%
cried,the,14.04%,my,10.53%,yes,7.02%
half,an,15.62%,hour,6.25%,past,4.69%
yes,i,10.75%,it,6.45%,we,5.38%
us,to,7.77%,the,3.89%,a,3.53%
here,is,11.11%,and,9.09%,the,6.06%
axel,it,6.98%,i,5.81%,and,5.81%
you,are,10.1%,will,8.36%,see,4.53%
her,way,5.66%,own,3.77%,and,3.77%
left,the,8.57%,in,7.14%,to,7.14%
away,from,16.92%,to,10.77%,the,7.69%
its,surface,5.61%,farthest,1.53%,origin,1.53%
feet,in,12.5%,high,10.42%,long,8.33%
