word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,out,1.63%,and,1.63%,me,1.36%
m,of,7.69%,by,3.85%,iceland,3.85%
into,out,3.72%,put,3.19%,journey,2.66%
the,of,15.93%,in,7.12%,to,5.11%
of,out,2.03%,one,1.39%,surface,1.07%
earth,the,79.17%,of,8.33%,on,3.12%
was,i,16.85%,it,13.93%,there,7.87%
in,and,3.45%,was,1.68%,it,1.33%
is,it,25.65%,there,7.75%,that,6.54%
to,seemed,2.92%,not,1.62%,had,1.57%
be,to,32.47%,would,9.35%,must,7.53%
most,the,60.34%,a,10.34%,that,3.45%
this,of,13.2%,in,7.22%,at,4.58%
few,a,89.74%,the,3.85%,these,3.85%
are,we,27.41%,you,11.2%,there,6.18%
where,point,6.33%,but,5.06%,to,3.8%
they,and,6.61%,that,5.79%,which,4.96%
and,hundred,1.25%,it,1.08%,uncle,1.08%
has,it,10.57%,he,9.76%,which,6.5%
with,and,2.39%,it,1.59%,me,1.59%
he,said,4.29%,that,3.54%,and,3.54%
made,i,9.76%,have,6.1%,was,6.1%
some,to,7.76%,in,4.31%,by,4.31%
a,of,7.79%,with,6.02%,in,6.02%
his,of,9.24%,in,8.61%,with,6.09%
which,of,12.37%,in,4.19%,and,2.52%
it,of,3.33%,and,2.96%,is,2.71%
sea,the,57.89%,of,4.39%,this,3.51%
as,just,5.41%,and,5.15%,well,3.35%
if,as,22.22%,and,8.77%,that,5.26%
for,as,5.33%,but,2.42%,preparations,2.18%
time,the,9.01%,this,8.11%,of,7.21%
first,the,52.94%,at,5.88%,this,4.41%
had,we,21.09%,i,20.18%,he,9.07%
one,at,7.34%,but,5.08%,in,3.95%
i,and,6.83%,but,3.48%,which,3.11%
or,feet,1.83%,me,1.83%,periods,1.22%
long,a,18.89%,feet,8.89%,as,7.78%
before,night,4.4%,day,3.3%,but,3.3%
man,a,30.77%,of,9.62%,the,7.69%
when,moment,5.37%,and,2.68%,man,2.01%
yet,and,14.29%,not,12.24%,as,4.08%
well,very,10.27%,as,9.59%,this,3.42%
not,could,11.9%,was,9.68%,is,7.26%
him,to,14.86%,with,5.41%,followed,4.73%
these,of,16.97%,all,6.67%,at,3.64%
have,we,16.58%,i,16.03%,would,11.68%
been,have,38.84%,had,29.75%,has,13.22%
out,come,4.02%,came,3.45%,shot,2.87%
that,of,4.48%,and,3.61%,is,2.89%
should,we,27.55%,i,21.43%,why,8.16%
will,i,22.02%,you,14.29%,it,10.71%
no,was,11.24%,had,4.9%,is,4.9%
so,and,5.73%,not,5.73%,is,3.82%
iceland,of,30.91%,in,23.64%,from,9.09%
at,arrived,3.18%,was,2.62%,and,2.06%
last,at,42.86%,the,20.88%,our,7.69%
day,next,19.7%,the,13.64%,that,9.09%
upon,down,5.56%,fell,3.85%,in,1.71%
were,we,37.92%,there,5.81%,they,5.2%
come,to,10.77%,not,9.23%,had,9.23%
who,uncle,13.33%,man,8.0%,professor,5.33%
their,of,10.26%,in,8.55%,upon,5.98%
all,at,9.72%,of,6.6%,and,4.51%
more,no,12.1%,and,8.87%,be,6.45%
than,more,22.78%,less,6.33%,better,3.8%
those,of,32.89%,all,6.58%,like,5.26%
on,went,5.77%,but,2.2%,go,1.92%
little,a,29.47%,the,10.53%,this,6.32%
far,as,12.07%,the,8.62%,so,8.62%
from,away,4.12%,leagues,2.62%,light,1.87%
our,of,14.14%,in,4.88%,to,4.63%
may,we,15.28%,you,9.72%,it,9.72%
them,of,12.2%,amongst,4.88%,upon,4.88%
how,but,14.29%,and,5.71%,me,4.29%
two,the,12.73%,of,6.36%,thirty,5.45%
without,not,7.79%,and,6.49%,on,2.6%
any,at,14.29%,have,5.95%,of,5.95%
great,the,24.1%,a,16.87%,with,9.64%
what,but,6.39%,and,4.57%,me,2.28%
professor,the,75.32%,of,3.16%,but,1.9%
then,and,12.65%,i,4.82%,but,3.61%
about,was,8.57%,all,4.76%,nothing,3.81%
an,of,13.36%,in,5.05%,to,4.69%
but,me,2.12%,it,1.93%,iceland,1.35%
found,i,32.14%,be,8.93%,have,8.93%
under,are,2.94%,hospitality,1.96%,that,1.96%
can,i,27.45%,you,7.84%,we,5.88%
too,was,10.53%,inhospitable,3.51%,little,3.51%
down,go,3.45%,look,2.87%,dropped,2.3%
water,of,37.93%,the,19.54%,this,5.75%
said,i,25.84%,he,11.24%,now,3.93%
again,was,4.6%,me,3.45%,up,3.45%
through,way,4.65%,all,4.65%,gone,4.65%
uncle,my,90.91%,dear,0.8%,good,0.53%
must,we,33.04%,i,15.65%,it,11.3%
very,a,19.87%,the,14.57%,was,7.28%
only,the,12.39%,was,7.96%,had,5.31%
just,was,9.38%,only,7.81%,had,7.81%
now,was,7.47%,and,5.17%,were,4.02%
myself,to,18.52%,and,7.41%,felt,6.17%
soon,as,19.7%,were,9.09%,i,6.06%
cried,i,51.75%,he,19.3%,it,1.75%
half,a,15.62%,and,9.38%,another,6.25%
yes,cried,8.89%,yes,5.56%,oh,3.33%
us,let,17.61%,before,5.28%,to,4.23%
here,and,5.21%,but,3.12%,us,3.12%
axel,dear,6.9%,well,5.75%,no,5.75%
you,do,13.52%,if,4.27%,are,4.27%
her,with,9.62%,of,3.85%,did,3.85%
left,had,15.49%,was,7.04%,the,7.04%
my,of,7.25%,to,5.3%,in,4.11%
away,far,20.0%,passed,12.31%,me,4.62%
its,of,11.34%,in,9.28%,and,4.64%
feet,hundred,21.25%,my,15.0%,our,12.5%
way,the,13.59%,our,10.68%,his,7.77%
words,these,25.81%,the,9.68%,those,4.84%
me,to,18.07%,upon,4.67%,for,3.12%
after,but,5.66%,me,3.77%,hours,2.83%
every,at,13.89%,of,5.56%,in,5.56%
over,was,5.1%,all,4.08%,were,4.08%
might,i,14.71%,which,11.76%,we,11.76%
such,of,12.5%,with,6.25%,at,5.21%
never,have,5.88%,will,5.88%,had,5.88%
came,i,9.64%,it,6.02%,he,6.02%
would,it,10.45%,he,8.96%,which,6.97%
there,but,8.27%,and,6.39%,that,4.51%
don't,i,35.29%,we,9.8%,you,7.84%
against,struck,5.66%,leaned,3.77%,ear,3.77%
therefore,i,16.18%,and,14.71%,was,11.76%
good,a,33.78%,very,16.22%,in,8.11%
even,not,13.85%,and,7.69%,i,6.15%
am,i,88.41%,what,2.9%,eruption,1.45%
still,but,8.75%,was,6.25%,were,6.25%
hundred,a,35.06%,two,12.99%,six,9.09%
let,well,8.45%,now,8.45%,uncle,5.63%
took,i,14.75%,uncle,8.2%,we,6.56%
eyes,my,36.62%,his,25.35%,own,5.63%
like,looked,6.3%,just,4.72%,was,2.36%
seemed,it,15.91%,which,9.09%,i,5.68%
shall,we,62.37%,i,16.13%,you,3.23%
other,the,38.04%,each,25.0%,and,4.35%
three,of,9.38%,in,7.81%,for,6.25%
