word type,number
everything,66610
adult,1
hate,1
function,37711
normal,number
the,5659
of,2265
to,1929
and,1870
a,1457
was,1173
it,982
in,975
that,789
which,731
he,601
had,600
not,552
on,540
for,511
his,494
be,488
they,476
at,475
as,455
this,453
by,429
but,428
with,424
is,376
were,372
from,331
been,300
island,294
have,294
would,289
we,268
you,266
harding,258
no,258
there,255
herbert,245
their,233
i,222
him,218
could,207
said,201
will,200
if,200
replied,190
one,188
or,187
cyrus,186
all,185
then,184
an,179
some,170
engineer,163
house,162
neb,160
so,158
them,157
granite,156
who,153
what,150
two,148
time,139
sailor,138
well,136
these,135
more,132
when,127
very,127
are,125
did,125
day,121
its,116
without,111
first,110
only,110
into,108
than,108
now,108
made,107
any,107
do,106
sea,104
gideon,104
nothing,103
after,103
coast,101
reporter,101
us,101
my,100
should,94
our,93
captain,92
up,92
about,91
settlers,88
out,88
must,87
has,86
might,85
having,85
shore,84
being,84
great,83
asked,79
mercy,76
lincoln,76
long,75
soon,75
other,74
vessel,74
during,74
companions,73
like,71
three,71
trees,71
left,71
man,68
little,68
returned,68
before,67
part,67
how,66
however,66
towards,66
few,65
even,65
found,65
miles,65
good,64
where,64
shall,64
water,64
make,64
appeared,64
top,63
colonists,63
already,62
here,62
still,61
cried,61
new,60
work,60
under,59
over,59
necessary,59
may,58
think,58
himself,58
also,58
say,58
night,57
tabor,57
see,57
again,56
those,56
five,55
corral,54
never,54
back,52
illustration,52
much,51
hundred,51
take,51
yes,51
forest,50
boat,50
can,50
feet,50
her,50
perhaps,50
answered,50
animals,49
stranger,49
go,49
since,48
days,48
way,48
yet,48
west,48
mouth,47
therefore,47
most,46
far,46
between,45
themselves,45
took,45
know,45
your,45
last,45
such,44
away,44
several,44
point,43
hand,43
rocks,43
distance,43
place,43
taken,43
return,42
wood,42
chest,42
passed,42
observed,42
chapter,41
river,41
wind,41
thus,41
cape,41
come,41
balloon,40
use,40
set,40
indeed,40
through,39
south,39
canoe,39
fine,39
exclaimed,39
just,39
down,39
nor,39
beach,39
plateau,39
north,38
heights,38
light,38
years,38
let,38
off,38
wild,38
round,37
fire,37
alone,37
me,37
o'clock,37
eyes,36
either,36
men,36
seen,36
leave,36
voyage,35
land,35
six,35
longer,35
another,35
least,35
certainly,35
able,35
remained,35
prospect,34
weather,34
moment,34
friends,34
among,34
hours,34
case,33
bridge,33
end,33
large,33
find,33
half,33
besides,33
document,32
added,32
less,32
near,32
same,32
fact,31
means,31
arrived,31
thought,31
sort,31
wreck,30
reason,30
master,30
often,30
sail,30
bank,30
anything,30
four,30
right,30
lord,30
course,29
tools,29
port,29
sight,29
incident,29
ladder,29
give,29
ground,29
mr,29
possible,29
every,29
enough,29
reach,29
each,29
why,29
creek,29
became,29
winter,28
islet,28
saw,28
too,28
difficult,28
easy,28
care,28
came,28
heard,28
ever,28
she,28
thousand,27
animal,27
months,27
