word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,11.32%,it,4.33%,his,2.77%
the,engineer,2.95%,island,2.44%,sailor,2.29%
by,the,31.4%,a,9.42%,means,5.56%
for,the,23.72%,a,8.89%,it,4.55%
will,be,23.0%,make,5.0%,not,4.5%
be,a,2.46%,no,2.46%,seen,2.25%
to,the,16.54%,be,6.37%,say,2.14%
all,the,20.88%,that,6.59%,this,3.85%
a,few,4.2%,good,1.58%,sort,1.58%
of,the,35.16%,a,5.39%,which,3.07%
under,the,53.45%,a,6.9%,his,5.17%
in,the,34.47%,a,10.08%,this,3.7%
two,or,10.96%,hours,9.59%,hundred,6.16%
back,to,17.31%,the,9.62%,and,7.69%
top,and,14.29%,of,11.11%,was,6.35%
new,zealand,18.33%,servant,6.67%,york,5.0%
this,was,7.06%,time,4.64%,is,4.42%
is,a,8.02%,to,7.22%,not,7.22%
so,as,21.79%,that,9.62%,much,5.77%
from,the,41.72%,his,5.52%,a,3.99%
island,and,8.36%,was,4.88%,it,3.83%
was,not,5.48%,the,3.85%,a,3.68%
with,the,17.97%,a,15.84%,his,3.07%
already,a,4.84%,been,3.23%,made,3.23%
then,the,7.73%,be,3.31%,have,3.31%
some,day,8.88%,of,4.73%,one,4.73%
which,the,9.79%,was,8.69%,had,5.38%
has,been,22.35%,not,9.41%,nothing,4.71%
like,a,31.43%,to,5.71%,it,5.71%
its,mouth,4.31%,waters,3.45%,course,2.59%
as,to,14.35%,the,12.8%,if,7.06%
before,the,22.73%,them,6.06%,for,4.55%
have,been,29.69%,a,4.78%,no,3.41%
into,the,44.44%,a,4.63%,his,3.7%
five,or,16.36%,miles,16.36%,o'clock,12.73%
it,was,29.14%,is,10.94%,would,5.21%
at,the,31.71%,least,6.13%,a,4.44%
three,miles,15.71%,months,8.57%,days,7.14%
other,side,8.22%,trees,4.11%,articles,2.74%
or,three,9.68%,rather,4.84%,six,4.3%
captain,grant,16.67%,harding,10.0%,replied,6.67%
great,satisfaction,4.82%,danger,3.61%,part,3.61%
house,and,13.84%,the,8.18%,but,4.4%
on,the,52.69%,this,6.31%,board,4.08%
without,any,8.11%,difficulty,6.31%,a,4.5%
an,hour,8.94%,island,3.35%,idea,2.79%
are,you,11.48%,called,4.1%,right,4.1%
i,will,9.5%,think,7.69%,am,6.79%
nothing,to,13.59%,could,7.77%,is,5.83%
man,was,8.82%,had,5.88%,who,4.41%
neb,and,15.92%,who,7.64%,were,3.82%
first,time,7.27%,week,5.45%,and,3.64%
coast,of,26.0%,and,6.0%,the,5.0%
they,had,16.18%,were,15.34%,could,6.3%
trees,the,9.86%,which,8.45%,of,5.63%
night,was,10.71%,in,8.93%,of,8.93%
not,be,6.7%,have,4.71%,a,4.35%
shore,and,8.64%,the,8.64%,it,4.94%
herbert,and,17.01%,that,3.32%,who,3.32%
mercy,the,14.47%,and,10.53%,so,6.58%
what,a,10.14%,is,10.14%,do,5.41%
granite,house,94.23%,cliff,1.28%,rocks,0.64%
how,to,12.31%,he,9.23%,the,7.69%
over,the,40.68%,this,6.78%,his,5.08%
corral,the,9.26%,and,9.26%,was,5.56%
their,native,3.43%,companions,3.0%,presence,2.58%
lincoln,island,98.68%,for,1.32%
more,than,23.48%,probable,2.27%,complete,2.27%
than,the,14.15%,a,11.32%,three,4.72%
up,the,26.09%,and,7.61%,to,7.61%
left,bank,18.31%,the,11.27%,to,9.86%
may,be,41.07%,have,7.14%,well,5.36%
cyrus,harding,90.8%,said,1.72%,that,1.15%
harding,and,18.75%,had,4.69%,was,3.12%
vessel,was,13.51%,which,6.76%,should,5.41%
tabor,island,98.25%,and,1.75%
no,longer,11.55%,doubt,7.57%,one,5.98%
one,of,22.46%,day,9.09%,to,3.21%
few,minutes,20.0%,days,18.46%,moments,6.15%
sea,and,12.75%,a,4.9%,the,3.92%
him,the,7.37%,and,7.37%,to,6.91%
still,more,8.2%,living,6.56%,there,4.92%
work,and,10.17%,the,8.47%,in,6.78%
that,the,17.66%,he,7.53%,is,6.62%
now,the,4.63%,we,3.7%,and,3.7%
there,was,24.3%,is,13.15%,were,5.58%
settlers,were,9.09%,in,6.82%,had,4.55%
his,companions,11.74%,eyes,3.85%,hand,2.43%
time,to,15.56%,the,7.41%,in,5.19%
he,had,11.83%,was,11.5%,will,3.67%
who,had,15.03%,was,12.42%,were,6.54%
you,are,9.16%,have,6.11%,know,5.73%
asked,the,37.31%,herbert,13.43%,neb,5.97%
good,wind,8.06%,said,6.45%,condition,4.84%
here,and,9.84%,is,6.56%,said,6.56%
my,friends,21.43%,friend,15.31%,boy,11.22%
said,the,27.74%,herbert,14.19%,he,10.97%
engineer,and,9.49%,but,8.23%,had,4.43%
had,been,23.37%,not,7.68%,no,3.17%
been,able,4.67%,a,4.0%,made,2.67%
during,the,66.22%,this,8.11%,our,5.41%
made,the,6.6%,him,5.66%,into,4.72%
being,able,4.76%,had,3.57%,could,3.57%
even,the,9.23%,a,9.23%,if,7.69%
only,a,14.55%,to,8.18%,the,8.18%
did,not,73.17%,it,3.25%,he,3.25%
any,rate,11.21%,one,4.67%,trace,4.67%
but,the,9.35%,he,5.04%,it,4.08%
colonists,had,14.52%,were,12.9%,cyrus,3.23%
were,not,4.57%,made,2.42%,in,2.15%
never,allowed,5.56%,mind,3.7%,any,3.7%
found,in,21.54%,the,7.69%,it,4.62%
must,be,25.29%,have,16.09%,not,5.75%
could,not,35.75%,be,15.94%,have,3.38%
companions,were,6.85%,and,6.85%,the,5.48%
them,to,10.26%,and,7.05%,but,4.49%
when,the,31.15%,he,9.84%,they,7.38%
well,as,13.85%,said,5.38%,my,4.62%
little,creek,5.97%,craft,4.48%,band,4.48%
these,words,6.72%,two,3.73%,birds,3.73%
our,island,9.89%,first,5.49%,boat,4.4%
we,shall,15.67%,will,13.06%,have,10.07%
if,the,13.2%,he,12.69%,it,10.66%
long,time,14.86%,in,8.11%,as,8.11%
hundred,and,27.45%,feet,9.8%,thousand,9.8%
sailor,and,11.59%,was,5.07%,who,3.62%
should,be,23.4%,have,11.7%,not,10.64%
would,be,23.18%,have,21.11%,not,7.96%
very,difficult,3.94%,well,3.94%,simple,3.94%
think,that,38.6%,of,14.04%,it,7.02%
reporter,and,13.86%,but,5.94%,to,4.95%
do,you,26.42%,not,21.7%,so,5.66%
out,of,23.26%,the,8.14%,to,6.98%
where,they,19.05%,the,15.87%,he,11.11%
replied,the,48.39%,herbert,15.48%,cyrus,12.26%
part,of,80.6%,in,10.45%,balanced,1.49%
however,the,15.87%,that,9.52%,it,7.94%
us,go,6.93%,to,5.94%,the,4.95%
take,him,13.73%,the,9.8%,a,7.84%
about,to,18.68%,it,10.99%,the,9.89%
might,be,27.06%,have,22.35%,perhaps,4.71%
after,having,29.13%,the,14.56%,a,10.68%
having,been,12.94%,seen,3.53%,doubled,2.35%
shall,have,14.06%,not,14.06%,be,12.5%
water,and,12.5%,which,6.25%,would,3.12%
necessary,to,52.54%,for,8.47%,it,3.39%
himself,with,10.34%,in,10.34%,and,8.62%
also,that,10.34%,to,6.9%,ran,3.45%
miles,from,20.0%,in,7.69%,which,7.69%
day,the,16.24%,to,7.69%,and,6.84%
returned,to,36.07%,the,22.95%,with,4.92%
again,on,5.36%,the,5.36%,and,3.57%
those,of,19.64%,which,7.14%,who,7.14%
say,that,14.04%,a,8.77%,to,7.02%
towards,the,73.85%,claw,4.62%,four,3.08%
make,the,17.19%,a,14.06%,it,10.94%
see,that,14.29%,if,7.14%,what,7.14%
soon,as,13.51%,became,6.76%,set,4.05%
appeared,to,26.56%,that,7.81%,in,7.81%
