word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.04%,formed,1.41%,surrounded,1.41%
the,of,14.09%,in,5.98%,to,5.66%
at,arrived,4.25%,but,2.55%,and,1.91%
of,part,2.46%,one,1.91%,mouth,1.55%
be,to,25.1%,would,13.79%,will,9.47%
to,as,3.39%,able,1.83%,was,1.67%
all,of,6.56%,at,5.46%,and,4.92%
a,of,8.44%,in,6.83%,with,4.67%
and,harding,2.71%,herbert,2.32%,neb,1.41%
under,be,5.26%,and,5.26%,seated,3.51%
for,it,1.81%,ready,1.41%,and,1.2%
in,and,3.53%,was,1.76%,o'clock,1.66%
two,the,22.3%,of,8.11%,about,4.05%
back,the,11.54%,come,9.62%,drew,9.62%
top,the,17.74%,and,9.68%,future,3.23%
new,a,21.67%,the,11.67%,this,8.33%
this,of,8.56%,in,8.11%,on,7.66%
is,it,28.53%,that,13.6%,there,8.8%
so,and,5.16%,was,4.52%,do,3.87%
island,the,45.24%,lincoln,25.51%,tabor,19.05%
was,it,25.36%,he,6.14%,which,5.6%
with,covered,4.85%,it,2.43%,communication,2.43%
already,had,25.0%,was,23.33%,years,5.0%
then,and,11.17%,was,8.94%,till,3.91%
some,of,8.33%,for,6.55%,that,4.76%
which,of,9.53%,in,4.01%,and,3.59%
has,he,19.74%,it,7.89%,which,5.26%
its,of,11.21%,and,7.76%,in,6.9%
as,so,7.57%,and,4.9%,well,4.01%
before,long,4.62%,and,4.62%,day,4.62%
have,would,20.82%,we,9.22%,not,8.87%
into,transformed,4.67%,made,4.67%,divided,3.74%
five,at,9.09%,in,7.27%,for,5.45%
sea,the,68.27%,at,6.73%,to,2.88%
it,and,8.12%,that,4.27%,of,2.6%
three,or,25.35%,of,7.04%,than,7.04%
other,the,39.73%,and,12.33%,each,10.96%
or,two,8.74%,five,4.92%,one,2.73%
captain,the,10.87%,of,6.52%,but,4.35%
great,a,22.89%,the,14.46%,with,7.23%
house,granite,90.74%,pigeon,2.47%,the,1.85%
on,was,3.0%,and,2.44%,him,1.5%
without,and,9.17%,not,5.5%,there,3.67%
are,you,19.35%,they,13.71%,we,11.29%
an,of,10.34%,for,4.6%,to,4.02%
i,and,12.08%,but,4.83%,as,4.35%
nothing,was,7.92%,saw,5.94%,and,5.94%
man,a,23.53%,unfortunate,19.12%,this,13.24%
neb,and,17.72%,said,8.23%,cried,8.23%
cyrus,replied,10.33%,said,5.98%,and,2.72%
first,the,56.88%,at,11.01%,our,4.59%
coast,the,42.57%,western,14.85%,east,7.92%
what,and,6.25%,but,5.56%,know,5.56%
from,miles,3.95%,and,3.04%,far,2.74%
they,and,8.99%,which,6.85%,that,6.42%
trees,the,32.86%,of,12.86%,fever,4.29%
night,the,61.4%,a,7.02%,first,3.51%
not,did,16.36%,could,13.45%,was,11.64%
shore,the,78.57%,on,4.76%,woody,2.38%
herbert,and,13.98%,replied,10.17%,said,9.32%
gideon,and,18.81%,said,10.89%,replied,8.91%
mercy,the,98.68%,their,1.32%
granite,of,28.85%,to,21.15%,at,9.62%
how,knew,7.81%,but,4.69%,and,4.69%
colonists,the,98.41%,regular,1.59%
over,bridge,8.47%,it,6.78%,passed,5.08%
corral,the,92.59%,a,3.7%,of,1.85%
their,of,15.52%,to,6.03%,in,6.03%
lincoln,of,23.68%,in,21.05%,on,11.84%
more,not,8.33%,a,6.06%,is,4.55%
than,more,28.7%,less,8.33%,easier,2.78%
up,it,6.52%,cutting,3.26%,cleared,3.26%
may,it,22.41%,we,12.07%,he,10.34%
left,the,22.06%,had,8.82%,nothing,7.35%
harding,cyrus,61.48%,replied,5.45%,captain,3.5%
well,as,17.16%,the,11.19%,very,3.73%
vessel,the,44.59%,a,17.57%,his,5.41%
tabor,to,21.82%,on,18.18%,of,18.18%
no,was,12.2%,had,7.48%,be,4.72%
one,no,8.11%,in,4.32%,every,4.32%
few,a,93.85%,every,1.54%,these,1.54%
him,to,12.84%,take,3.21%,with,3.21%
still,was,13.33%,were,11.67%,but,10.0%
work,to,16.67%,the,15.0%,his,11.67%
that,and,4.73%,think,2.89%,of,2.23%
settlers,the,97.73%,us,1.14%,two,1.14%
his,of,13.21%,and,10.16%,to,7.52%
time,this,15.22%,the,13.04%,long,7.97%
engineer,the,98.77%,best,0.61%,obliging,0.61%
you,do,10.85%,are,5.43%,and,5.43%
he,that,9.81%,and,7.95%,which,5.75%
asked,he,14.29%,captain,6.49%,it,5.19%
good,a,36.51%,is,6.35%,very,4.76%
my,well,6.12%,is,5.1%,know,4.08%
said,well,3.74%,captain,3.21%,friend,3.21%
now,was,14.29%,and,11.43%,had,4.76%
had,they,13.87%,he,12.79%,which,7.03%
been,had,46.67%,have,29.0%,has,6.33%
during,island,4.05%,harding,4.05%,passed,2.7%
made,had,8.57%,were,8.57%,been,7.62%
being,human,7.5%,not,6.25%,of,6.25%
even,and,14.29%,not,12.7%,nor,4.76%
there,and,7.17%,was,3.98%,house,2.79%
only,not,12.04%,was,10.19%,had,9.26%
did,he,14.17%,they,6.67%,why,5.0%
any,at,13.08%,without,8.41%,of,5.61%
but,engineer,3.22%,not,2.23%,him,2.23%
were,they,19.95%,which,7.92%,there,3.83%
