word type,number
everything,61820
adult,0
hate,0
function,33726
normal,number
the,4714
and,1909
of,1814
to,1696
a,1319
in,1057
was,1006
he,980
his,858
at,646
it,562
on,529
with,520
that,518
not,518
had,513
which,511
as,441
for,419
mr,391
but,378
by,370
i,337
is,327
him,323
you,322
this,312
from,311
were,311
be,303
would,283
have,269
fix,239
an,238
they,232
who,202
said,194
no,184
her,183
one,170
been,169
all,164
if,164
are,162
what,150
their,147
so,144
could,139
there,137
its,133
did,129
when,126
time,126
more,124
himself,124
or,119
upon,119
train,119
them,117
out,116
after,114
up,114
then,113
will,113
now,110
two,108
we,106
master,105
only,105
about,105
some,103
my,103
sir,103
she,100
hundred,98
twenty,97
well,96
before,94
replied,93
hours,90
day,89
thousand,88
steamer,88
made,87
very,85
into,84
like,83
do,80
without,79
man,78
days,77
me,76
going,76
left,76
great,73
where,73
these,73
than,72
passed,71
five,71
miles,70
london,70
seemed,70
pounds,69
good,68
your,68
detective,67
long,67
being,67
off,66
go,66
took,66
found,65
other,64
last,64
minutes,64
three,64
world,63
hong,63
kong,63
should,63
still,63
once,62
english,62
bombay,61
between,60
through,60
might,58
first,58
thought,58
hour,57
nothing,57
half,57
asked,57
having,57
must,56
returned,56
passengers,56
here,55
least,54
way,54
little,53
while,53
hand,53
francis,53
sea,52
four,52
yes,52
has,51
new,51
o'clock,51
soon,51
again,50
over,50
journey,50
know,49
went,49
whom,48
take,48
several,48
make,48
eight,48
station,48
servant,47
evening,47
wind,47
moment,46
nine,46
came,45
how,45
young,45
too,44
never,44
why,44
place,43
cried,43
captain,43
most,42
down,42
any,41
eyes,41
past,41
see,41
yokohama,41
however,41
even,40
gentleman,40
much,40
reached,40
next,40
board,40
indian,39
leave,39
under,39
shall,39
car,39
chapter,38
each,38
club,38
ten,38
six,38
put,38
am,38
followed,38
india,38
themselves,37
behind,37
railway,37
guide,37
speed,36
reform,36
nor,36
few,36
large,36
stopped,36
perhaps,35
get,35
during,35
course,35
head,35
woman,35
night,35
reach,35
boat,35
got,34
yet,34
morning,34
began,34
just,34
back,34
though,33
entered,33
heard,33
calcutta,33
along,33
san,32
american,32
travellers,32
against,32
can,32
really,32
around,31
francisco,31
house,31
bank,31
quite,31
lost,31
room,31
fellow,31
quarter,31
fifty,31
became,31
pilot,31
colonel,31
eighty,30
face,30
certainly,30
seen,30
those,30
such,30
england,30
every,30
find,30
end,30
away,30
saw,30
resumed,30
us,30
parsee,30
less,29
appeared,29
monsieur,29
come,29
already,29
general,29
towards,29
whose,29
point,29
necessary,29
mongolia,29
twelve,29
ever,28
part,28
feet,28
round,28
far,28
stuart,28
robber,28
liverpool,28
suez,28
york,28
set,28
deck,28
certain,27
hands,27
hope,27
watch,27
let,27
gave,27
country,27
seven,27
engineer,27
say,27
river,27
elephant,27
same,26
many,26
may,26
door,26
taken,26
since,26
delay,26
rose,26
among,26
leaving,26
locomotive,26
men,25
crowd,25
remained,25
ready,25
until,25
full,25
indians,25
wager,25
departure,25
thus,25
streets,25
pacific,24
always,24
alone,24
impossible,24
master's,24
steam,24
consul,24
fort,24
japanese,24
omaha,24
party,23
tour,23
eleven,23
john,23
air,23
don't,23
right,23
town,23
gentlemen,23
stop,23
warrant,23
think,23
looked,23
sails,23
pagoda,23
midst,23
proctor,23
change,22
means,22
across,22
does,22
it's,22
held,22
ah,22
added,22
doubt,22
company,22
within,22
rangoon,22
red,21
done,21
steps,21
looking,21
neither,21
times,21
gone,21
possible,21
december,21
kept,21
forward,21
mountains,21
south,21
voyage,20
name,20
old,20
open,20
true,20
another,20
idea,20
heart,20
passing,20
lose,20
arrived,20
fell,20
trains,20
steamers,20
poor,20
passport,20
judge,20
police,20
arrest,20
route,20
above,20
road,20
conductor,20
sledge,20
shoes,19
fortune,19
years,19
city,19
quietly,19
clear,19
game,19
october,19
frenchman,19
betrayed,19
tell,19
observed,19
till,19
mind,19
sent,19
also,19
difficult,19
appearance,19
honour,19
snow,19
noon,19
carried,19
vast,19
cries,19
whole,18
money,18
met,18
words,18
sort,18
whist,18
honest,18
taking,18
life,18
high,18
built,18
able,18
cabin,18
worthy,18
distance,18
east,18
chance,18
north,18
priests,18
white,18
madam,18
shanghai,18
speedy,18
seem,17
making,17
row,17
voice,17
knew,17
thing,17
second,17
almost,17
matter,17
word,17
light,17
felt,17
pass,17
beyond,17
longer,17
crossed,17
therefore,17
waves,17
curious,16
gained,16
whether,16
thirty,16
fine,16
calm,16
own,16
look,16
received,16
instant,16
coal,16
continued,16
order,16
called,16
remain,16
line,16
quay,16
sun,16
fix's,16
scarcely,16
morrow,16
chinese,16
lake,16
sail,16
sioux,16
rather,15
bag,15
happened,15
people,15
daily,15
often,15
nature,15
near,15
friends,15
body,15
clock,15
forty,15
everything,15
number,15
trees,15
proceeded,15
later,15
ralph,15
our,15
america,15
bet,15
given,15
disappeared,15
give,15
evidently,15
craft,15
atlantic,15
announced,15
keep,15
ground,15
coast,15
island,15
black,15
state,15
vessel,15
cars,15
conversation,14
thinking,14
singapore,14
interest,14
members,14
simple,14
account,14
person,14
short,14
exactly,14
better,14
port,14
because,14
due,14
indeed,14
question,14
that's,14
suddenly,14
foot,14
andrew,14
office,14
sum,14
turning,14
carry,14
struck,14
start,14
descended,14
approached,14
perceived,14
accomplished,14
travelling,14
track,14
government,14
getting,14
cold,14
meeting,14
ruined,14
opium,14
china,14
storm,14
noses,14
ocean,13
reward,13
either,13
enough,13
rich,13
best,13
sometimes,13
table,13
windows,13
together,13
according,13
i've,13
paris,13
service,13
human,13
speak,13
breakfast,13
affair,13
especially,13
offered,13
japan,13
exclaimed,13
saturday,13
arrival,13
saying,13
agreed,13
carriage,13
throughout,13
europe,13
attempt,13
iron,13
small,13
companion,13
position,13
besides,13
started,13
bridge,13
lay,13
arrive,13
platform,13
branches,13
honourable,13
salt,13
pocket,12
cross,12
mormon,12
struggle,12
sight,12
instead,12
united,12
street,12
turn,12
houses,12
useless,12
real,12
oh,12
description,12
tone,12
weather,12
project,12
carpet,12
rapidly,12
west,12
cause,12
view,12
run,12
fast,12
passenger,12
arrested,12
rapid,12
latter,12
caught,12
smoke,12
direction,12
sacrifice,12
waited,12
soldiers,12
terrible,12
crew,12
hotel,12
likely,11
cost,11
companions,11
seeing,11
banknotes,11
business,11
risk,11
travel,11
reason,11
simply,11
duty,11
strange,11
learned,11
step,11
brought,11
water,11
fire,11
responded,11
muttered,11
cut,11
lips,11
friend,11
failed,11
stood,11
arms,11
seventy,11
famous,11
return,11
present,11
easily,11
deal,11
despite,11
i'll,11
others,11
repeated,11
native,11
nearly,11
wait,11
french,11
rushed,11
banks,11
obliged,11
gain,11
anything,11
kind,11
carrying,11
moments,11
force,11
reaching,11
territory,11
refused,11
ask,11
resolved,11
chief,11
offer,11
signal,11
case,11
european,11
wood,11
save,11
victim,11
decided,11
seems,10
natural,10
detectives,10
ganges,10
understand,10
bad,10
tranquil,10
englishman,10
purpose,10
paid,10
rest,10
playing,10
won,10
home,10
bed,10
something,10
use,10
shut,10
hair,10
talk,10
perfect,10
shoulders,10
absolutely,10
lord,10
side,10
directed,10
drew,10
partners,10
principal,10
gold,10
meanwhile,10
raised,10
work,10
cards,10
search,10
interrupted,10
opened,10
expense,10
covered,10
seriously,10
ought,10
thanks,10
follow,10
directly,10
late,10
admit,10
putting,10
concealed,10
wished,10
surprise,10
coldly,10
help,10
spent,10
silence,10
important,10
changed,10
walls,10
harbour,10
horizon,10
sacred,10
told,10
determined,10
counted,10
stay,10
seat,10
probably,10
happily,10
led,10
places,10
knowing,10
escape,10
november,10
forced,10
dollars,10
creek,10
dear,9
impatience,9
prudent,9
loss,9
railroad,9
direct,9
known,9
docks,9
temple,9
capital,9
noble,9
single,9
served,9
seated,9
straight,9
habit,9
believe,9
carefully,9
countenance,9
highest,9
hurry,9
destination,9
vain,9
recognised,9
hung,9
top,9
repaired,9
formed,9
engaged,9
brindisi,9
recovered,9
wide,9
tried,9
arm,9
news,9
states,9
following,9
boats,9
can't,9
spoke,9
giving,9
anxious,9
passage,9
waters,9
below,9
eat,9
custom,9
favourable,9
interior,9
