word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
the,of,13.4%,in,6.42%,on,5.07%
world,the,92.06%,new,4.76%,this,1.59%
in,and,2.71%,was,2.13%,world,1.06%
days,eighty,27.03%,three,14.86%,two,9.46%
i,and,7.01%,that,5.1%,but,4.78%
which,in,18.4%,of,6.4%,to,2.2%
other,the,43.75%,each,25.0%,and,7.81%
one,no,8.33%,from,6.55%,of,5.36%
as,and,4.45%,was,2.58%,so,2.34%
master,his,60.19%,my,15.53%,the,7.77%
man,a,25.64%,the,17.95%,this,11.54%
that,and,5.72%,of,2.17%,thought,1.97%
he,that,7.14%,as,4.62%,which,4.09%
at,was,2.75%,and,2.75%,stopped,1.62%
last,at,45.16%,the,25.81%,his,4.84%
found,he,27.12%,last,8.47%,they,6.78%
his,of,9.07%,in,8.36%,to,5.06%
a,in,6.13%,of,5.14%,was,4.6%
to,going,1.92%,seemed,1.86%,began,1.68%
new,from,15.69%,the,13.73%,a,11.76%
of,one,2.87%,out,1.86%,midst,1.3%
on,went,2.33%,going,2.33%,and,2.13%
fix,and,6.44%,mr,5.58%,said,5.15%
detective,the,86.57%,a,5.97%,fix,1.49%
very,was,15.66%,the,10.84%,a,9.64%
once,at,45.9%,was,6.56%,is,4.92%
more,once,12.1%,and,8.87%,the,5.65%
than,more,32.39%,less,14.08%,perhaps,2.82%
is,it,21.04%,he,8.09%,which,7.12%
sea,the,48.08%,red,13.46%,to,7.69%
and,hundred,1.87%,him,1.36%,up,0.96%
only,is,8.57%,had,8.57%,the,8.57%
off,get,6.06%,went,6.06%,far,6.06%
with,and,3.19%,himself,1.8%,covered,1.4%
what,and,6.38%,of,4.26%,know,3.55%
without,and,6.85%,not,4.11%,ganges,2.74%
it,and,4.54%,but,3.45%,that,2.9%
some,and,6.8%,by,5.83%,have,3.88%
pounds,thousand,66.67%,hundred,15.15%,of,3.03%
not,did,20.04%,could,11.98%,was,11.39%
least,at,62.96%,the,37.04%
said,he,6.08%,and,6.08%,sir,3.87%
