word type,number
everything,117914
adult,758
hate,0
function,66539
normal,number
the,9027
of,4035
to,3486
and,2577
a,2351
in,1881
was,1748
that,1687
it,1600
he,1441
not,1277
had,1125
his,1119
on,988
which,902
this,824
at,801
be,758
dick,757
for,755
with,744
as,726
by,722
would,698
is,692
but,667
they,652
sand,636
him,575
i,568
mrs,554
have,533
from,508
were,502
then,491
you,472
no,435
all,416
there,399
her,392
one,386
replied,383
them,368
could,368
if,366
little,356
what,350
been,345
so,338
an,336
or,328
are,325
who,321
their,318
we,312
those,305
only,300
some,290
these,287
will,282
said,281
did,279
more,277
captain,262
very,257
cousin,245
harris,232
two,232
benedict,232
must,223
do,222
my,222
she,220
without,218
its,213
hull,210
when,210
jack,206
after,205
time,201
well,197
has,197
hercules,197
himself,193
than,192
under,186
tom,186
made,185
novice,184
pilgrim,182
coast,173
young,162
now,158
again,152
up,149
before,149
me,148
yes,147
even,146
long,146
where,145
out,145
day,143
still,141
companions,141
into,140
great,137
during,137
old,137
shall,137
first,136
good,135
other,135
dingo,135
going,134
ship,133
asked,132
nothing,130
boat,130
like,129
know,129
man,128
water,127
take,126
might,126
few,125
how,122
us,122
should,121
last,121
being,120
hundred,119
longer,119
place,118
any,117
whose,113
fact,112
see,111
moment,111
much,110
make,110
part,108
such,107
perhaps,106
country,105
africa,104
american,101
large,101
miles,99
mr,99
your,99
left,98
sea,97
days,95
may,95
say,95
natives,95
however,95
new,94
just,94
took,94
over,93
feet,93
whom,92
slaves,92
toward,91
end,91
about,91
most,90
here,90
board,89
having,89
four,88
away,88
cried,87
our,87
land,86
far,86
men,86
come,86
three,86
head,86
whale,85
hand,83
seemed,82
way,81
besides,81
already,80
between,80
while,79
also,78
meanwhile,78
find,78
themselves,78
dog,78
found,77
go,77
eyes,77
chapter,76
nor,76
child,76
wind,76
night,76
back,75
same,75
river,75
almost,74
trees,74
put,73
knew,71
because,71
near,71
least,70
less,70
can,70
soon,70
blacks,70
five,69
once,69
animal,69
carried,69
thought,69
necessary,67
portuguese,67
point,67
friend,67
passed,66
let,66
yet,65
thus,65
alone,65
years,64
right,64
always,64
done,63
indeed,63
deck,63
am,63
saw,63
twenty,62
never,62
able,62
forest,62
came,61
arms,61
half,61
hands,61
each,60
certain,60
gave,60
hours,60
sail,60
bat,60
slave,59
return,59
whole,59
heard,59
followed,58
name,58
possible,58
black,58
air,58
arrived,57
returned,57
seen,57
ah,57
give,56
off,56
journey,55
march,54
among,54
high,54
through,54
south,53
