word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,32.0%,a,8.86%,this,2.57%
and,the,9.91%,his,4.54%,he,3.5%
dick,sand,82.14%,sand's,5.16%,replied,1.46%
sand,and,8.7%,had,7.12%,was,5.7%
or,the,8.49%,to,5.03%,of,3.77%
a,few,4.73%,little,2.58%,good,1.81%
captain,hull,69.73%,of,5.36%,sand,3.45%
at,the,35.29%,least,8.02%,that,7.75%
in,the,28.98%,a,7.88%,fact,4.89%
of,the,35.02%,a,5.05%,his,2.91%
the,pilgrim,2.07%,novice,1.18%,young,1.18%
is,not,8.26%,the,6.23%,a,5.94%
this,time,4.43%,was,1.97%,country,1.97%
was,not,7.52%,a,4.37%,the,4.37%
first,time,11.76%,of,6.62%,to,3.68%
from,the,46.79%,his,4.42%,a,3.61%
that,the,11.06%,he,6.61%,is,4.93%
who,had,12.46%,was,8.1%,would,4.36%
american,coast,22.45%,continent,6.12%,and,4.08%
were,not,5.78%,going,3.19%,the,3.19%
hundred,miles,26.89%,and,15.97%,feet,15.13%
on,the,46.04%,board,8.74%,his,4.57%
twenty,four,19.35%,miles,12.9%,five,8.06%
under,the,52.72%,these,5.43%,his,3.8%
sea,and,10.42%,coast,6.25%,was,5.21%
days,after,11.58%,which,5.26%,that,5.26%
new,zealand,23.6%,world,10.11%,york,6.74%
chapter,i,5.26%,ii,5.26%,iii,5.26%
i,have,11.86%,shall,10.8%,am,10.62%
pilgrim,was,14.29%,and,6.59%,had,6.04%
whale,boat,35.29%,in,4.71%,fishing,4.71%
four,hours,11.36%,hundred,7.95%,days,6.82%
which,the,9.08%,he,7.4%,was,6.39%
land,on,8.14%,of,8.14%,land,4.65%
to,the,16.14%,be,5.12%,him,2.04%
do,not,33.33%,you,11.26%,it,9.46%
harris,and,13.85%,had,7.79%,replied,3.9%
way,to,8.75%,into,7.5%,of,6.25%
miles,from,19.39%,to,10.2%,in,8.16%
slave,trade,36.84%,ships,5.26%,trader,5.26%
their,country,2.52%,hands,2.21%,eyes,1.89%
some,of,9.76%,day,3.14%,other,3.14%
great,height,6.11%,lake,3.82%,lakes,3.05%
day,the,9.86%,and,4.93%,of,4.93%
where,the,20.98%,he,13.99%,they,9.09%
may,be,28.57%,god,8.33%,have,5.95%
south,america,32.69%,of,11.54%,and,9.62%
out,of,24.31%,and,6.94%,the,6.94%
for,the,23.62%,a,9.8%,him,4.16%
ship,which,8.33%,to,5.3%,was,3.79%
had,been,14.78%,not,9.08%,just,4.9%
several,times,20.75%,days,16.98%,hundred,7.55%
years,later,14.06%,old,10.94%,of,9.38%
it,was,23.13%,is,12.82%,would,4.46%
hull,and,8.57%,the,5.24%,but,3.81%
one,of,29.09%,would,4.94%,hundred,4.94%
but,the,11.01%,he,5.88%,it,5.28%
each,other,26.67%,day,16.67%,of,13.33%
not,be,5.35%,to,4.8%,a,3.46%
only,a,9.67%,to,4.67%,too,4.0%
as,to,13.99%,the,9.51%,if,6.85%
far,as,53.49%,away,9.3%,from,8.14%
also,the,7.69%,a,5.13%,i,3.85%
she,had,9.55%,was,8.64%,could,6.82%
her,companions,5.64%,child,5.38%,little,5.38%
very,much,5.84%,well,4.28%,fortunately,2.72%
with,the,19.59%,a,12.38%,his,5.31%
few,hours,12.1%,moments,11.29%,words,8.87%
men,who,6.98%,or,5.81%,and,4.65%
knew,how,15.49%,that,14.08%,what,9.86%
how,to,27.27%,many,7.44%,could,4.96%
himself,to,7.29%,in,6.77%,on,6.77%
say,that,20.21%,to,10.64%,the,7.45%
among,the,49.06%,all,9.43%,these,9.43%
those,who,6.4%,two,5.39%,whom,3.37%
during,the,50.36%,this,13.14%,a,5.11%
good,little,5.19%,and,4.44%,hope,2.96%
much,as,9.09%,more,6.36%,to,5.45%
than,the,16.15%,a,10.94%,ever,4.69%
they,were,13.96%,had,10.89%,would,6.29%
reach,the,34.62%,of,9.62%,it,3.85%
found,the,9.09%,himself,7.79%,themselves,6.49%
there,was,22.03%,is,8.86%,are,6.84%
already,the,7.5%,almost,3.75%,said,2.5%
away,by,9.2%,the,8.05%,in,6.9%
them,to,10.11%,the,6.01%,in,5.46%
going,to,76.87%,down,2.99%,on,2.24%
most,ordinary,3.33%,terrible,3.33%,dangerous,3.33%
crew,of,13.73%,was,7.84%,a,5.88%
five,hundred,11.59%,or,11.59%,blacks,7.25%
novice,was,6.59%,had,5.49%,and,4.95%
are,not,9.88%,the,4.32%,in,4.01%
necessary,to,61.19%,for,14.93%,as,2.99%
well,as,9.74%,that,4.1%,known,3.59%
up,the,14.19%,in,8.78%,by,5.41%
certain,that,8.33%,time,6.67%,measure,5.0%
more,than,23.47%,to,5.78%,and,2.89%
did,not,82.73%,he,2.88%,it,2.16%
all,the,20.34%,that,9.69%,this,3.63%
be,the,2.77%,able,2.64%,a,2.51%
followed,the,23.64%,by,16.36%,him,10.91%
once,to,8.7%,and,7.25%,the,5.8%
over,the,31.52%,his,5.43%,this,5.43%
put,the,12.33%,in,10.96%,his,8.22%
should,be,22.5%,have,7.5%,not,6.67%
come,to,31.76%,from,7.06%,the,3.53%
again,and,10.6%,the,5.96%,in,5.3%
board,the,33.71%,a,6.74%,of,4.49%
just,been,10.64%,as,6.38%,at,4.26%
nor,the,18.06%,of,9.72%,a,9.72%
even,the,6.21%,in,4.83%,though,4.83%
right,to,18.75%,direction,6.25%,and,6.25%
name,of,45.1%,to,9.8%,the,3.92%
been,able,6.67%,a,4.93%,the,2.9%
back,to,24.0%,on,12.0%,and,6.67%
whose,eyes,4.42%,length,2.65%,whole,2.65%
without,a,5.96%,being,4.13%,having,4.13%
what,is,8.45%,a,5.25%,he,4.96%
done,with,9.52%,in,7.94%,it,6.35%
his,companions,8.5%,eyes,2.69%,head,2.15%
he,was,13.2%,had,11.05%,would,5.28%
if,the,14.65%,he,13.52%,it,11.55%
fact,the,24.55%,it,11.82%,which,5.45%
