word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,made,1.69%,accompanied,1.41%,him,1.27%
dick,replied,8.46%,mr,3.09%,and,2.95%
sand,dick,97.8%,captain,1.42%,of,0.31%
or,two,3.27%,five,2.61%,one,2.29%
a,of,8.5%,in,6.29%,with,3.94%
captain,replied,12.06%,the,10.12%,said,5.84%
at,arrived,4.01%,was,2.58%,and,2.58%
the,of,15.23%,to,6.22%,in,5.97%
of,one,2.84%,part,1.98%,end,1.39%
was,it,21.9%,he,11.31%,there,5.18%
first,the,56.39%,at,7.52%,his,3.76%
in,and,2.62%,was,2.35%,it,1.69%
is,it,30.54%,that,12.28%,there,5.24%
from,miles,3.8%,him,2.0%,it,1.8%
that,and,4.17%,at,3.5%,in,2.72%
for,as,2.83%,him,1.88%,and,1.75%
were,they,18.65%,there,5.33%,which,3.07%
and,tom,2.55%,sand,2.34%,it,1.7%
hundred,a,31.09%,two,19.33%,one,15.97%
on,and,2.08%,was,1.77%,count,1.45%
twenty,and,11.67%,of,8.33%,than,6.67%
under,disappeared,2.73%,made,2.19%,was,2.19%
sea,the,64.95%,at,11.34%,to,3.09%
days,ten,12.63%,eight,11.58%,several,9.47%
new,the,26.6%,a,14.89%,of,9.57%
i,and,9.4%,but,4.7%,that,4.32%
pilgrim,the,98.35%,schooner,1.65%
whale,the,55.29%,a,16.47%,young,5.88%
four,twenty,14.12%,the,12.94%,or,7.06%
which,of,8.94%,to,3.21%,in,2.87%
land,the,25.58%,of,10.47%,to,9.3%
to,going,3.0%,as,2.91%,able,1.77%
do,to,19.91%,i,11.57%,you,4.63%
harris,replied,21.83%,mr,10.48%,said,6.11%
way,the,37.04%,his,9.88%,this,7.41%
miles,hundred,32.65%,three,9.18%,of,9.18%
slave,the,54.24%,a,10.17%,by,5.08%
march,the,30.19%,of,18.87%,to,11.32%
their,of,10.38%,to,7.86%,in,6.92%
some,by,4.48%,of,4.14%,and,3.79%
great,the,27.74%,a,15.33%,of,10.22%
day,the,18.18%,that,11.89%,next,11.89%
where,place,10.53%,country,5.26%,there,3.76%
may,it,20.0%,we,8.89%,he,5.56%
this,of,11.96%,in,9.49%,that,5.8%
out,set,12.41%,stretched,6.21%,setting,4.83%
ship,the,49.62%,a,12.78%,his,8.27%
who,those,6.53%,sand,5.5%,man,4.81%
had,he,14.96%,they,6.68%,sand,4.23%
several,for,21.15%,of,7.69%,by,5.77%
years,two,17.19%,fifteen,9.38%,three,7.81%
it,and,4.15%,that,3.64%,if,2.62%
hull,captain,86.67%,mr,2.86%,this,1.9%
one,no,5.0%,was,3.42%,of,3.42%
