word type,number
everything,56003
adult,0
hate,0
function,33084
normal,number
the,4330
of,1888
to,1815
and,1536
i,1210
a,1005
in,943
is,870
that,794
it,728
was,601
he,526
be,507
not,473
his,455
have,413
with,400
this,396
by,380
as,378
on,364
which,360
at,358
for,335
me,313
no,300
my,292
had,291
from,280
him,270
they,269
been,255
are,254
but,248
will,222
roch,221
what,218
has,213
thomas,212
if,208
one,199
would,196
count,194
you,192
an,175
were,170
about,164
or,161
all,161
back,156
engineer,152
there,148
could,144
am,141
who,139
out,139
then,136
we,135
her,124
cup,122
captain,120
when,119
up,118
their,112
spade,110
upon,109
can,107
any,103
them,102
through,102
must,100
so,98
only,96
where,94
schooner,92
more,89
off,89
do,88
some,87
its,86
into,86
after,85
house,84
may,83
know,82
she,82
very,79
even,78
time,77
healthful,75
tug,75
however,75
able,72
other,69
now,68
being,68
men,67
such,65
should,65
how,64
than,63
these,63
shall,63
tunnel,62
two,61
without,60
made,59
door,59
cavern,59
hart,58
way,58
man,58
see,58
boat,58
island,58
under,57
sea,57
over,57
get,57
water,56
again,55
cannot,55
well,54
before,54
does,54
myself,54
go,53
new,51
day,51
place,51
seen,51
having,51
secret,51
few,50
nothing,50
lagoon,50
might,49
name,47
towards,47
last,47
your,47
board,46
never,45
soon,45
fulgurator,45
though,45
going,45
side,45
first,44
night,44
here,44
down,44
vessel,44
ship,44
latter,43
just,43
our,43
hours,42
did,42
therefore,42
inventor,42
yes,41
said,40
come,40
mr,40
why,39
during,39
still,39
deck,38
long,38
every,38
make,38
another,38
five,37
hundred,37
part,37
say,37
sound,36
enough,36
perhaps,36
power,36
yet,36
port,36
coast,35
three,35
pirates,35
same,34
against,34
himself,34
fact,34
like,34
pavilion,34
doubt,34
known,34
reason,34
take,34
us,34
simon,33
end,33
carried,33
hour,33
great,32
taken,32
escape,32
while,32
ever,32
eyes,32
whose,32
crew,32
away,32
find,31
means,31
light,31
nor,31
along,31
since,31
open,30
too,30
warder,30
matter,30
engines,30
wall,30
heard,30
submarine,30
director,29
several,29
right,29
those,29
little,29
found,29
return,29
air,29
good,28
brought,28
invention,28
also,28
least,28
certain,28
direction,28
think,28
lieutenant,28
world,27
attention,27
necessary,27
point,27
attempt,27
either,27
near,27
work,27
hole,27
four,26
sight,26
give,26
explosive,26
yards,26
french,26
once,26
possible,26
hand,26
hope,26
o'clock,26
outside,26
beehive,26
visit,25
life,25
much,25
came,25
head,25
put,25
orders,25
sailors,25
surface,25
miles,24
question,24
whom,24
set,24
order,24
passed,24
thought,24
chance,24
whether,24
mind,23
idea,23
notice,23
engine,23
view,23
replied,23
ten,23
gone,23
speed,23
passage,23
cell,23
pamlico,22
years,22
lost,22
thing,22
done,22
besides,22
english,22
american,22
course,22
easily,22
east,22
better,22
left,22
half,22
entrance,22
behind,22
continue,22
feel,22
rocks,22
flag,21
become,21
others,21
most,21
longer,21
felt,21
let,21
given,21
moment,21
morning,21
west,21
north,20
position,20
bound,20
far,20
keep,20
case,20
impossible,20
until,20
among,20
sir,20
eight,20
till,20
cruiser,20
laboratory,20
