word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,35.03%,a,11.76%,which,2.41%
and,the,8.57%,i,5.14%,his,2.9%
the,count,3.51%,schooner,1.91%,tug,1.72%
in,the,29.98%,a,6.75%,this,4.93%
is,the,6.7%,not,6.35%,a,4.97%
an,hour,10.47%,instant,3.49%,inventor,2.33%
from,the,36.82%,healthful,4.69%,a,4.33%
this,is,7.14%,name,2.04%,time,2.04%
a,few,4.68%,man,1.99%,good,1.39%
one,of,29.29%,day,3.54%,is,3.54%
of,the,35.37%,a,4.31%,his,3.88%
under,the,38.6%,way,7.02%,which,5.26%
sea,in,7.14%,that,7.14%,again,5.36%
to,the,15.6%,be,6.97%,me,3.26%
new,berne,25.49%,world,9.8%,engine,7.84%
i,am,10.17%,have,7.93%,was,4.88%
healthful,house,100.0%
house,and,9.52%,the,7.14%,i,4.76%
where,the,19.35%,i,9.68%,it,8.6%
am,i,12.06%,not,12.06%,able,4.96%
hart,the,27.59%,he,10.34%,and,6.9%
on,the,39.39%,board,11.85%,deck,6.34%
two,men,16.39%,hundred,9.84%,days,8.2%
at,the,26.61%,least,5.88%,last,4.76%
back,cup,74.36%,to,3.85%,and,3.21%
cup,is,9.17%,and,7.5%,the,5.0%
be,able,5.92%,seen,4.34%,in,2.56%
with,the,20.45%,a,12.63%,him,5.3%
it,is,22.31%,was,11.16%,would,4.55%
tug,is,10.67%,and,6.67%,which,6.67%
only,a,9.38%,too,7.29%,to,5.21%
more,than,12.36%,to,4.49%,powerful,4.49%
that,the,14.25%,i,9.76%,he,5.52%
day,and,7.84%,i,7.84%,it,5.88%
was,a,5.34%,the,5.34%,not,4.84%
very,well,13.92%,likely,7.59%,different,3.8%
without,being,11.67%,having,10.0%,any,8.33%
or,other,5.13%,the,5.13%,two,3.85%
off,the,12.5%,and,9.09%,with,4.55%
which,is,10.0%,the,9.17%,i,7.78%
about,the,14.72%,it,11.04%,to,8.59%
its,way,5.81%,base,3.49%,destruction,3.49%
has,been,18.4%,not,8.02%,he,4.72%
for,the,23.94%,a,6.67%,i,5.45%
there,is,37.16%,was,16.22%,are,6.76%
are,not,5.93%,the,5.53%,in,3.56%
even,if,14.1%,the,8.97%,a,8.97%
such,a,43.08%,as,9.23%,an,9.23%
as,the,10.11%,i,8.78%,to,7.45%
into,the,39.53%,a,16.28%,his,4.65%
could,not,21.53%,be,13.19%,have,11.81%
have,been,22.03%,to,5.33%,no,4.36%
should,have,18.46%,not,7.69%,i,4.62%
been,able,5.49%,carried,3.53%,taken,2.75%
him,to,10.49%,and,7.12%,the,6.37%
had,been,21.72%,not,6.55%,no,4.14%
not,a,5.71%,be,5.29%,have,4.65%
would,be,25.0%,have,19.9%,not,10.71%
his,secret,3.76%,eyes,3.1%,keeper,2.88%
he,was,9.89%,is,8.56%,has,7.03%
captain,spade,79.17%,of,2.5%,spade's,2.5%
spade,and,22.94%,had,4.59%,was,3.67%
then,the,11.19%,i,6.72%,he,5.97%
who,was,10.07%,had,7.91%,knows,7.19%
their,way,2.68%,chief,2.68%,presence,1.79%
but,i,8.94%,what,8.13%,the,6.1%
all,the,16.15%,that,4.35%,this,4.35%
than,i,11.48%,he,9.84%,the,8.2%
so,that,12.24%,to,6.12%,many,6.12%
were,to,4.14%,the,3.55%,not,2.37%
when,the,23.08%,i,18.8%,they,12.82%
thomas,roch,99.48%,hart,0.52%
roch,and,14.09%,is,9.09%,i,8.18%
some,time,11.49%,day,6.9%,other,4.6%
how,much,11.11%,i,11.11%,could,6.35%
upon,the,23.85%,me,9.17%,him,6.42%
no,one,14.48%,doubt,8.97%,longer,6.55%
out,of,29.5%,the,8.63%,and,7.19%
over,the,40.35%,him,5.26%,and,5.26%
can,be,14.02%,see,5.61%,only,4.67%
these,are,4.76%,millions,3.17%,conditions,3.17%
may,be,45.78%,not,6.02%,i,4.82%
we,are,20.74%,have,13.33%,shall,8.89%
any,rate,11.65%,particular,5.83%,one,3.88%
now,i,10.45%,know,7.46%,and,4.48%
what,i,13.36%,is,12.44%,he,4.61%
place,in,7.84%,is,7.84%,where,5.88%
will,be,24.77%,not,7.21%,never,3.15%
seen,him,5.88%,that,5.88%,how,3.92%
if,the,21.18%,i,16.75%,he,10.34%
well,known,9.43%,as,9.43%,i,5.66%
they,are,12.64%,were,10.04%,will,6.69%
get,through,10.53%,rid,7.02%,in,5.26%
them,to,8.82%,and,6.86%,but,5.88%
however,the,10.81%,this,10.81%,i,9.46%
being,seen,5.88%,able,5.88%,that,2.94%
up,the,11.97%,to,11.11%,and,8.55%
before,the,30.19%,he,13.21%,they,7.55%
made,a,13.56%,to,13.56%,known,10.17%
way,to,15.52%,in,5.17%,i,5.17%
other,side,7.25%,hand,7.25%,the,4.35%
time,to,16.88%,the,7.79%,i,7.79%
having,been,23.53%,seen,5.88%,had,5.88%
after,the,14.29%,having,13.1%,all,7.14%
secret,of,27.45%,was,3.92%,the,3.92%
do,not,28.41%,so,14.77%,you,12.5%
man,of,17.24%,who,10.34%,at,10.34%
again,and,12.96%,i,9.26%,the,7.41%
cannot,be,23.64%,get,7.27%,distinguish,3.64%
able,to,95.83%,when,1.39%,either,1.39%
know,that,12.35%,what,11.11%,not,7.41%
schooner,and,8.43%,is,7.23%,was,4.82%
you,are,8.95%,can,4.74%,have,4.21%
she,is,19.51%,was,8.54%,must,7.32%
her,to,5.65%,way,4.03%,voyage,4.03%
door,of,15.25%,is,8.47%,and,8.47%
my,cell,5.82%,opinion,4.45%,prison,2.74%
does,not,53.7%,he,24.07%,it,9.26%
see,the,8.77%,it,8.77%,no,7.02%
go,on,9.62%,forward,7.69%,in,5.77%
me,to,10.0%,and,7.42%,i,7.42%
through,the,62.75%,which,10.78%,it,3.92%
men,who,13.43%,to,7.46%,and,4.48%
must,be,33.0%,have,27.0%,therefore,4.0%
boat,was,15.79%,and,14.04%,of,7.02%
water,a,5.36%,was,5.36%,tight,5.36%
shall,be,22.22%,have,11.11%,soon,11.11%
island,and,8.62%,of,6.9%,the,6.9%
myself,and,11.11%,i,7.41%,to,7.41%
cavern,i,8.47%,and,6.78%,which,6.78%
tunnel,and,9.84%,by,6.56%,is,6.56%
