word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,accompanied,2.93%,caused,2.13%,him,1.87%
the,of,15.11%,to,6.58%,in,6.53%
of,one,3.09%,out,2.18%,part,1.6%
is,it,19.29%,there,6.55%,he,5.36%
an,of,6.94%,in,6.94%,for,6.36%
in,and,2.37%,is,1.83%,was,1.4%
from,escape,2.53%,yards,2.17%,miles,2.17%
and,roch,2.14%,spade,1.72%,me,1.59%
this,in,11.98%,of,9.9%,and,4.17%
a,of,7.89%,in,6.29%,with,5.0%
one,no,21.21%,in,4.55%,is,4.04%
under,been,3.51%,patient,3.51%,be,3.51%
sea,the,40.35%,to,21.05%,at,19.3%
to,able,3.84%,me,1.72%,him,1.56%
new,the,25.49%,of,11.76%,in,7.84%
i,and,6.57%,that,6.4%,if,2.86%
healthful,of,25.68%,at,18.92%,from,17.57%
house,healthful,90.36%,power,3.61%,the,2.41%
count,the,74.74%,that,2.58%,this,2.06%
schooner,the,85.87%,his,5.43%,this,4.35%
where,know,4.35%,place,3.26%,side,3.26%
am,i,87.23%,where,3.55%,what,1.42%
hart,simon,53.45%,mr,39.66%,armaments,1.72%
engineer,and,17.04%,the,14.07%,of,4.44%
on,up,1.95%,going,1.67%,is,1.67%
two,the,16.95%,or,10.17%,vii,3.39%
at,is,2.33%,out,2.03%,man,1.74%
back,of,30.77%,in,7.69%,to,5.13%
cup,back,95.08%,the,1.64%,reversed,1.64%
be,to,24.85%,will,10.85%,would,9.66%
with,and,2.31%,it,2.31%,up,2.06%
it,that,5.15%,and,3.76%,of,3.06%
tug,the,95.95%,submarine,1.35%,iron,1.35%
only,is,11.58%,the,11.58%,not,7.37%
more,once,7.87%,no,7.87%,deal,4.49%
that,and,3.84%,is,3.2%,me,2.05%
day,one,13.73%,the,13.73%,to,11.76%
was,it,14.24%,i,10.37%,he,9.14%
very,a,14.1%,the,10.26%,be,7.69%
without,goes,8.33%,and,5.0%,it,5.0%
or,three,2.61%,him,1.96%,old,1.96%
off,carried,12.36%,miles,6.74%,carrying,3.37%
which,of,10.8%,in,6.82%,and,5.68%
about,was,7.36%,is,5.52%,of,3.07%
its,of,11.63%,in,6.98%,to,5.81%
has,he,19.37%,it,7.33%,roch,6.28%
for,reason,1.52%,him,1.22%,me,1.22%
there,that,6.8%,is,6.12%,and,4.76%
are,they,13.77%,we,11.34%,you,6.88%
even,not,16.67%,and,7.69%,it,3.85%
such,to,10.77%,in,7.69%,of,6.15%
as,just,4.0%,soon,3.73%,and,2.93%
into,me,6.98%,lowered,4.65%,thrown,4.65%
